# noise_analysis run from DCC-NOISE-001011 at Sun Jan 13 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/01/2013 00:05:00,   56.64,   60.30,   51.17,   59.75,   62.61,   55.35
13/01/2013 00:10:00,   58.04,   62.70,   50.84,   61.54,   65.42,   54.87
13/01/2013 00:15:00,   58.50,   63.38,   51.18,   61.62,   65.69,   55.06
13/01/2013 00:20:00,   55.49,   61.00,   50.38,   58.92,   63.22,   54.49
13/01/2013 00:25:00,   59.34,   64.62,   51.37,   62.25,   66.50,   55.39
13/01/2013 00:30:00,   57.54,   61.91,   50.78,   60.57,   64.32,   54.96
13/01/2013 00:35:00,   56.94,   61.91,   50.99,   60.09,   64.39,   55.01
13/01/2013 00:40:00,   58.88,   63.67,   51.05,   61.75,   65.21,   54.96
13/01/2013 00:45:00,   57.98,   63.87,   50.41,   61.33,   66.58,   54.83
13/01/2013 00:50:00,   56.02,   61.27,   50.34,   59.66,   64.46,   54.71
13/01/2013 00:55:00,   55.59,   60.52,   49.96,   58.91,   63.24,   54.19
13/01/2013 01:00:00,   56.01,   61.14,   49.70,   58.94,   62.86,   54.18
13/01/2013 01:05:00,   56.17,   61.86,   50.75,   59.64,   64.19,   54.98
13/01/2013 01:10:00,   59.37,   65.43,   49.92,   62.02,   66.97,   54.67
13/01/2013 01:15:00,   55.37,   59.92,   50.07,   58.35,   62.29,   53.76
13/01/2013 01:20:00,   55.98,   60.78,   49.98,   58.66,   62.59,   53.79
13/01/2013 01:25:00,   56.83,   60.14,   49.70,   59.47,   62.89,   53.40
13/01/2013 01:30:00,   54.67,   60.88,   49.26,   58.48,   63.65,   53.40
13/01/2013 01:35:00,   56.19,   60.39,   49.26,   58.98,   62.87,   53.35
13/01/2013 01:40:00,   54.11,   59.23,   49.28,   56.99,   60.99,   52.96
13/01/2013 01:45:00,   55.61,   60.33,   49.53,   58.62,   63.36,   53.37
13/01/2013 01:50:00,   56.35,   61.79,   49.29,   59.19,   63.70,   53.37
13/01/2013 01:55:00,   55.89,   60.86,   49.16,   58.59,   62.88,   52.91
13/01/2013 02:00:00,   56.18,   61.26,   48.80,   59.15,   63.95,   52.47
13/01/2013 02:05:00,   55.58,   61.57,   49.33,   58.36,   63.36,   53.20
13/01/2013 02:10:00,   56.75,   60.98,   49.23,   60.24,   64.54,   53.28
13/01/2013 02:15:00,   54.61,   59.51,   49.30,   57.75,   62.16,   53.51
13/01/2013 02:20:00,   54.41,   59.77,   48.97,   57.35,   62.31,   52.81
13/01/2013 02:25:00,   55.45,   61.54,   48.86,   58.61,   63.27,   52.79
13/01/2013 02:30:00,   54.59,   60.24,   48.73,   57.47,   62.37,   52.72
13/01/2013 02:35:00,   54.29,   59.06,   49.38,   57.57,   61.95,   53.15
13/01/2013 02:40:00,   53.96,   58.40,   48.69,   57.63,   61.01,   52.62
13/01/2013 02:45:00,   54.65,   59.09,   49.56,   57.66,   62.02,   53.19
13/01/2013 02:50:00,   55.64,   62.07,   48.57,   58.32,   64.06,   52.49
13/01/2013 02:55:00,   55.42,   61.02,   48.87,   58.38,   63.10,   53.35
13/01/2013 03:00:00,   55.49,   60.49,   49.05,   58.67,   63.54,   52.89
13/01/2013 03:05:00,   54.91,   60.62,   49.08,   57.77,   62.57,   52.88
13/01/2013 03:10:00,   55.58,   61.32,   49.15,   58.20,   63.06,   52.96
13/01/2013 03:15:00,   54.36,   58.99,   48.94,   57.31,   61.58,   52.64
13/01/2013 03:20:00,   55.60,   60.36,   48.35,   58.39,   62.93,   52.28
