# noise_analysis run from DCC-NOISE-001011 at Mon Jan 14 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/01/2013 00:05:00,   56.89,   60.15,   50.71,   59.39,   62.46,   53.87
14/01/2013 00:10:00,   55.02,   59.28,   50.36,   58.00,   61.18,   53.96
14/01/2013 00:15:00,   54.45,   59.69,   50.06,   57.19,   61.74,   53.58
14/01/2013 00:20:00,   55.84,   60.29,   50.66,   58.83,   62.66,   53.99
14/01/2013 00:25:00,   54.91,   59.78,   50.09,   57.71,   61.72,   53.68
14/01/2013 00:30:00,   55.67,   59.75,   49.87,   57.99,   61.47,   53.17
14/01/2013 00:35:00,   55.45,   59.96,   49.95,   57.92,   61.78,   53.23
14/01/2013 00:40:00,   55.33,   60.66,   50.15,   57.75,   62.39,   53.40
14/01/2013 00:45:00,   54.95,   59.84,   49.71,   57.82,   61.81,   53.39
14/01/2013 00:50:00,   55.47,   61.31,   49.43,   57.75,   62.97,   52.90
14/01/2013 00:55:00,   53.08,   57.72,   49.27,   56.16,   60.13,   52.97
14/01/2013 01:00:00,   52.74,   55.96,   49.46,   55.51,   58.32,   52.88
14/01/2013 01:05:00,   56.89,   62.55,   50.09,   59.03,   63.94,   53.39
14/01/2013 01:10:00,   54.19,   60.06,   48.99,   56.86,   61.72,   52.57
14/01/2013 01:15:00,   53.06,   57.60,   48.89,   55.99,   59.80,   52.54
14/01/2013 01:20:00,   53.70,   58.26,   48.61,   56.13,   59.92,   52.25
14/01/2013 01:25:00,   54.46,   60.05,   49.21,   57.05,   61.55,   52.90
14/01/2013 01:30:00,   54.86,   59.57,   49.69,   57.81,   62.19,   53.24
14/01/2013 01:35:00,   52.82,   55.67,   49.44,   56.08,   58.51,   53.04
14/01/2013 01:40:00,   52.94,   56.35,   48.86,   56.63,   60.60,   52.24
14/01/2013 01:45:00,   51.76,   54.92,   48.62,   55.10,   58.10,   52.17
14/01/2013 01:50:00,   54.28,   59.75,   48.81,   57.00,   61.54,   52.46
14/01/2013 01:55:00,   54.12,   59.67,   48.39,   58.22,   64.20,   52.38
14/01/2013 02:00:00,   53.92,   57.96,   49.03,   56.97,   60.62,   52.75
14/01/2013 02:05:00,   52.24,   56.42,   48.23,   55.15,   58.93,   51.92
14/01/2013 02:10:00,   53.20,   57.90,   48.43,   56.36,   60.36,   52.11
14/01/2013 02:15:00,   50.81,   53.76,   47.86,   53.82,   56.04,   51.59
14/01/2013 02:20:00,   52.62,   56.43,   48.49,   55.60,   59.12,   52.11
14/01/2013 02:25:00,   52.37,   56.38,   48.87,   55.37,   59.33,   52.24
14/01/2013 02:30:00,   53.03,   58.40,   48.31,   56.41,   61.21,   52.01
14/01/2013 02:35:00,   52.66,   56.67,   48.42,   55.60,   58.96,   52.01
14/01/2013 02:40:00,   53.17,   57.53,   48.66,   56.41,   60.42,   52.53
14/01/2013 02:45:00,   52.08,   55.83,   48.66,   55.21,   58.06,   52.25
14/01/2013 02:50:00,   52.26,   55.99,   48.19,   55.11,   58.19,   51.96
14/01/2013 02:55:00,   53.07,   57.50,   48.76,   56.17,   59.93,   52.35
14/01/2013 03:00:00,   53.59,   56.27,   48.86,   56.69,   60.56,   52.30
14/01/2013 03:05:00,   53.48,   59.25,   48.97,   56.22,   60.58,   52.56
14/01/2013 03:10:00,   54.90,   60.27,   48.46,   57.17,   61.60,   52.55
14/01/2013 03:15:00,   52.25,   56.41,   48.40,   55.29,   59.03,   52.14
14/01/2013 03:20:00,   52.70,   58.82,   48.17,   56.02,   60.78,   51.73
14/01/2013 03:25:00,   53.93,   59.59,   48.51,   56.66,   61.62,   52.08
14/01/2013 03:30:00,   52.84,   56.81,   49.26,   56.64,   60.14,   52.72
14/01/2013 03:35:00,   54.40,   58.38,   49.05,   57.43,   61.79,   52.55
14/01/2013 03:40:00,   53.30,   58.62,   48.24,   57.51,   62.33,   52.00
14/01/2013 03:45:00,   51.75,   54.26,   48.58,   56.28,   60.35,   52.39
14/01/2013 03:50:00,   52.87,   56.04,   49.33,   56.49,   59.46,   53.00
14/01/2013 03:55:00,   51.87,   56.02,   48.16,   55.19,   58.60,   52.01
14/01/2013 04:00:00,   54.64,   61.02,   48.26,   57.33,   63.01,   52.01
14/01/2013 04:05:00,   58.08,   64.33,   49.84,   60.55,   66.27,   53.32
