# noise_analysis run from DCC-NOISE-001011 at Tue Jan 15 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/01/2013 00:05:00,   55.61,   60.87,   49.97,   58.49,   62.92,   53.78
15/01/2013 00:10:00,   56.09,   60.28,   49.80,   59.66,   63.06,   53.70
15/01/2013 00:15:00,   55.68,   60.45,   49.86,   59.29,   63.60,   53.41
15/01/2013 00:20:00,   55.69,   59.93,   49.85,   59.02,   63.53,   53.63
15/01/2013 00:25:00,   56.14,   62.62,   49.35,   58.83,   64.12,   53.10
15/01/2013 00:30:00,   55.75,   61.07,   49.64,   59.28,   64.20,   53.41
15/01/2013 00:35:00,   55.42,   59.53,   49.53,   58.81,   62.22,   53.21
15/01/2013 00:40:00,   52.63,   56.39,   49.38,   55.80,   59.20,   53.09
15/01/2013 00:45:00,   56.77,   62.26,   49.24,   59.52,   64.45,   52.97
15/01/2013 00:50:00,   55.75,   61.86,   48.90,   58.83,   64.96,   52.68
15/01/2013 00:55:00,   63.61,   75.28,   48.72,   67.22,   78.46,   52.61
15/01/2013 01:00:00,   55.78,   61.52,   50.30,   59.59,   64.15,   54.36
15/01/2013 01:05:00,   54.77,   59.30,   49.40,   57.39,   60.77,   53.22
15/01/2013 01:10:00,   52.75,   56.11,   49.16,   56.73,   60.49,   52.99
15/01/2013 01:15:00,   51.52,   54.55,   48.58,   54.95,   58.27,   52.38
15/01/2013 01:20:00,   52.39,   57.28,   48.58,   55.53,   59.94,   52.50
15/01/2013 01:25:00,   52.89,   57.24,   48.29,   55.87,   59.40,   52.16
15/01/2013 01:30:00,   50.50,   53.87,   47.78,   54.11,   57.49,   51.82
15/01/2013 01:35:00,   52.41,   56.61,   48.25,   56.59,   60.35,   52.14
15/01/2013 01:40:00,   53.49,   57.88,   48.82,   56.86,   60.64,   52.81
15/01/2013 01:45:00,   50.79,   52.99,   48.23,   54.25,   56.46,   52.11
15/01/2013 01:50:00,   54.13,   59.27,   48.80,   57.60,   62.15,   52.70
15/01/2013 01:55:00,   53.41,   57.26,   49.26,   57.46,   61.68,   53.38
15/01/2013 02:00:00,   51.42,   54.44,   48.47,   54.90,   57.48,   52.55
15/01/2013 02:05:00,   52.13,   56.37,   48.71,   55.54,   58.76,   52.61
15/01/2013 02:10:00,   51.40,   53.86,   48.54,   55.04,   57.18,   52.50
15/01/2013 02:15:00,   53.01,   58.22,   48.73,   56.55,   62.99,   52.63
15/01/2013 02:20:00,   52.38,   58.96,   48.27,   56.00,   62.03,   52.25
15/01/2013 02:25:00,   50.76,   54.36,   47.91,   54.01,   56.78,   51.89
15/01/2013 02:30:00,   50.15,   53.37,   47.70,   54.15,   57.31,   51.80
15/01/2013 02:35:00,   49.84,   53.78,   47.21,   53.43,   56.67,   51.37
15/01/2013 02:40:00,   53.77,   60.11,   48.02,   56.46,   61.81,   51.87
15/01/2013 02:45:00,   50.39,   53.88,   47.16,   53.81,   56.43,   51.30
15/01/2013 02:50:00,   50.85,   55.57,   47.35,   54.78,   58.79,   51.59
15/01/2013 02:55:00,   50.52,   53.29,   47.53,   54.15,   57.46,   51.80
15/01/2013 03:00:00,   50.52,   54.44,   47.59,   53.96,   56.86,   51.68
15/01/2013 03:05:00,   55.15,   61.24,   48.10,   58.64,   64.22,   52.19
15/01/2013 03:10:00,   53.25,   59.31,   48.00,   56.48,   61.48,   52.09
15/01/2013 03:15:00,   50.91,   53.90,   48.16,   54.35,   56.94,   52.16
15/01/2013 03:20:00,   51.67,   55.68,   48.06,   55.00,   59.05,   51.95
15/01/2013 03:25:00,   53.23,   59.59,   47.74,   56.02,   61.53,   51.94
15/01/2013 03:30:00,   51.13,   54.23,   47.85,   54.79,   58.33,   51.97
15/01/2013 03:35:00,   51.16,   53.24,   47.81,   55.08,   58.18,   52.10
15/01/2013 03:40:00,   52.74,   58.40,   47.92,   57.04,   62.57,   52.03
15/01/2013 03:45:00,   53.53,   58.84,   48.73,   56.70,   61.22,   52.81
15/01/2013 03:50:00,   51.14,   54.22,   48.59,   55.29,   58.42,   52.71
15/01/2013 03:55:00,   51.64,   55.70,   48.05,   55.24,   58.69,   52.27
15/01/2013 04:00:00,   51.23,   55.55,   47.67,   54.74,   57.99,   51.90
15/01/2013 04:05:00,   50.91,   54.85,   47.86,   55.37,   59.04,   51.97
15/01/2013 04:10:00,   52.11,   57.24,   47.88,   55.40,   59.73,   51.94
15/01/2013 04:15:00,   55.79,   63.23,   47.97,   58.86,   64.69,   52.35
15/01/2013 04:20:00,   51.49,   55.54,   48.20,   55.06,   58.43,   52.33
15/01/2013 04:25:00,   51.20,   55.09,   47.89,   54.56,   57.74,   52.07
15/01/2013 04:30:00,   52.52,   57.90,   48.13,   56.15,   60.64,   52.75
15/01/2013 04:35:00,   53.38,   59.12,   48.21,   56.80,   61.62,   52.45
15/01/2013 04:40:00,   53.19,   57.55,   49.20,   57.29,   61.78,   53.39
15/01/2013 04:45:00,   53.07,   58.55,   49.14,   56.68,   61.16,   53.16
15/01/2013 04:50:00,   54.52,   59.70,   49.52,   57.52,   62.05,   53.32
15/01/2013 04:55:00,   55.20,   59.98,   49.94,   57.81,   62.09,   53.64
15/01/2013 05:00:00,   56.45,   61.04,   52.14,   59.16,   62.92,   55.14
15/01/2013 05:05:00,   57.38,   63.07,   50.35,   60.57,   65.34,   54.19
15/01/2013 05:10:00,   57.10,   62.35,   49.76,   60.04,   64.24,   53.93
15/01/2013 05:15:00,   54.52,   58.47,   50.69,   58.39,   61.93,   54.22
15/01/2013 05:20:00,   56.65,   61.82,   51.16,   59.93,   64.80,   54.80
15/01/2013 05:25:00,   55.86,   60.70,   51.01,   59.56,   64.12,   54.48
15/01/2013 05:30:00,   57.47,   62.05,   51.62,   60.57,   64.66,   54.95
15/01/2013 05:35:00,   58.91,   64.22,   52.54,   62.24,   66.34,   55.92
15/01/2013 05:40:00,   60.33,   64.97,   52.98,   62.95,   67.14,   56.22
15/01/2013 05:45:00,   57.95,   63.90,   52.91,   61.71,   66.04,   56.25
15/01/2013 05:50:00,   58.87,   64.08,   53.08,   62.86,   67.32,   56.21
15/01/2013 05:55:00,   58.73,   62.49,   53.66,   62.33,   65.94,   56.99
15/01/2013 06:00:00,   58.30,   63.33,   53.17,   62.01,   67.10,   56.35
15/01/2013 06:05:00,   60.45,   65.79,   53.16,   63.10,   68.01,   56.21
15/01/2013 06:10:00,   59.22,   64.21,   53.67,   61.90,   66.12,   56.71
15/01/2013 06:15:00,   58.89,   63.23,   54.02,   62.20,   66.51,   56.91
15/01/2013 06:20:00,   58.66,   63.45,   54.08,   61.84,   66.02,   56.89
15/01/2013 06:25:00,   59.71,   64.66,   54.63,   63.12,   67.78,   57.87
15/01/2013 06:30:00,   61.00,   66.31,   54.15,   64.29,   69.88,   57.34
15/01/2013 06:35:00,   58.62,   63.29,   53.95,   61.48,   65.21,   56.88
15/01/2013 06:40:00,   59.74,   64.81,   55.22,   63.19,   67.33,   58.31
15/01/2013 06:45:00,   60.77,   66.11,   55.17,   64.33,   69.69,   58.48
15/01/2013 06:50:00,   61.73,   66.33,   55.42,   64.94,   69.05,   59.04
15/01/2013 06:55:00,   61.53,   66.11,   55.88,   65.20,   69.79,   59.42
15/01/2013 07:00:00,   61.45,   66.96,   55.34,   65.06,   69.99,   59.19
15/01/2013 07:05:00,   60.60,   64.66,   55.47,   63.39,   67.20,   59.07
15/01/2013 07:10:00,   60.99,   66.33,   55.40,   63.82,   68.59,   58.75
15/01/2013 07:15:00,   61.77,   66.35,   54.91,   64.62,   68.45,   58.21
15/01/2013 07:20:00,   62.25,   67.40,   56.18,   65.60,   70.28,   59.85
15/01/2013 07:25:00,   62.36,   66.54,   55.49,   65.14,   68.73,   58.92
15/01/2013 07:30:00,   62.80,   67.62,   55.56,   65.93,   70.89,   58.80
15/01/2013 07:35:00,   61.88,   66.76,   55.74,   64.79,   69.25,   59.21
15/01/2013 07:40:00,   63.16,   67.42,   55.02,   66.06,   69.56,   58.57
15/01/2013 07:45:00,   62.78,   67.31,   55.77,   65.73,   69.54,   60.16
15/01/2013 07:50:00,   61.04,   65.84,   54.98,   63.99,   67.80,   58.57
15/01/2013 07:55:00,   62.83,   67.18,   55.76,   66.04,   70.97,   59.56
15/01/2013 08:00:00,   66.06,   70.93,   58.29,   69.08,   73.89,   61.92
15/01/2013 08:05:00,   63.82,   67.54,   58.83,   66.93,   70.70,   62.26
15/01/2013 08:10:00,   64.91,   70.64,   55.45,   68.03,   73.66,   58.97
15/01/2013 08:15:00,   62.82,   67.48,   55.03,   65.60,   69.42,   58.77
15/01/2013 08:20:00,   61.30,   66.53,   55.48,   64.63,   68.74,   59.33
15/01/2013 08:25:00,   62.18,   66.28,   55.65,   65.46,   68.77,   60.30
15/01/2013 08:30:00,   62.32,   67.06,   55.84,   65.66,   69.61,   60.29
15/01/2013 08:35:00,   63.30,   67.57,   56.40,   66.42,   70.52,   60.87
15/01/2013 08:40:00,   63.16,   67.58,   55.75,   66.55,   71.15,   59.65
15/01/2013 08:45:00,   64.36,   68.27,   57.43,   67.11,   70.99,   61.16
15/01/2013 08:50:00,   64.46,   68.89,   57.20,   67.17,   71.47,   61.08
15/01/2013 08:55:00,   63.15,   66.57,   56.13,   66.25,   69.54,   59.69
15/01/2013 09:00:00,   62.93,   67.69,   56.56,   66.16,   70.90,   59.79
15/01/2013 09:05:00,   62.79,   66.97,   56.22,   65.77,   69.58,   60.32
15/01/2013 09:10:00,   62.85,   67.82,   55.45,   65.94,   70.82,   59.24
15/01/2013 09:15:00,   63.63,   68.74,   56.94,   67.07,   72.20,   60.59
15/01/2013 09:20:00,   63.54,   68.62,   55.67,   66.64,   70.88,   59.14
15/01/2013 09:25:00,   61.59,   65.68,   55.22,   64.89,   68.82,   58.59
15/01/2013 09:30:00,   63.01,   67.23,   56.06,   65.90,   69.34,   59.64
15/01/2013 09:35:00,   63.15,   67.22,   55.27,   66.43,   70.70,   58.73
15/01/2013 09:40:00,   62.91,   67.08,   56.38,   66.16,   69.55,   60.35
15/01/2013 09:45:00,   62.67,   67.99,   56.04,   66.21,   71.12,   60.05
15/01/2013 09:50:00,   62.85,   67.16,   55.52,   66.14,   70.62,   59.52
15/01/2013 09:55:00,   61.56,   65.01,   55.55,   64.80,   68.01,   58.85
15/01/2013 10:00:00,   63.80,   68.21,   57.73,   66.52,   70.74,   60.92
15/01/2013 10:05:00,   62.07,   65.49,   55.70,   65.24,   68.97,   59.27
15/01/2013 10:10:00,   62.56,   67.17,   56.75,   66.14,   71.10,   59.96
15/01/2013 10:15:00,   62.72,   66.96,   57.62,   66.60,   71.52,   60.62
15/01/2013 10:20:00,   62.65,   66.58,   57.34,   65.38,   68.88,   60.51
15/01/2013 10:25:00,   62.34,   65.97,   55.31,   65.92,   69.69,   58.89
15/01/2013 10:30:00,   62.60,   66.83,   56.11,   65.93,   69.77,   59.94
15/01/2013 10:35:00,   62.95,   65.62,   57.67,   65.97,   68.64,   61.05
15/01/2013 10:40:00,   62.02,   65.84,   56.43,   65.10,   68.35,   59.74
15/01/2013 10:45:00,   64.03,   69.13,   55.35,   66.90,   71.85,   58.95
15/01/2013 10:50:00,   63.27,   67.09,   57.45,   66.29,   69.56,   61.56
15/01/2013 10:55:00,   62.25,   66.87,   55.66,   65.44,   69.97,   59.13
15/01/2013 11:00:00,   61.98,   67.95,   55.99,   65.38,   70.99,   59.02
15/01/2013 11:05:00,   62.31,   66.38,   56.91,   65.48,   69.95,   60.16
15/01/2013 11:10:00,   62.76,   68.13,   55.17,   65.63,   70.95,   58.22
15/01/2013 11:15:00,   61.23,   66.14,   54.76,   64.34,   69.74,   58.13
15/01/2013 11:20:00,   61.82,   66.50,   55.34,   64.77,   69.25,   58.44
15/01/2013 11:25:00,   63.65,   68.17,   55.79,   66.45,   71.17,   59.25
15/01/2013 11:30:00,   61.19,   66.02,   54.92,   64.65,   69.86,   57.78
15/01/2013 11:35:00,   60.63,   65.10,   54.73,   63.62,   67.35,   57.99
15/01/2013 11:40:00,   65.03,   70.09,   56.86,   67.70,   72.97,   60.12
15/01/2013 11:45:00,   60.92,   65.73,   53.97,   63.88,   68.10,   57.21
15/01/2013 11:50:00,   61.43,   65.75,   54.56,   64.44,   68.98,   57.99
15/01/2013 11:55:00,   62.04,   65.95,   56.37,   64.81,   68.62,   59.50
15/01/2013 12:00:00,   61.92,   66.36,   55.39,   64.91,   69.40,   58.80
15/01/2013 12:05:00,   64.06,   67.84,   57.65,   67.30,   70.93,   61.64
15/01/2013 12:10:00,   61.93,   65.47,   55.70,   64.42,   68.19,   59.24
15/01/2013 12:15:00,   63.12,   66.87,   56.17,   65.56,   69.97,   59.40
15/01/2013 12:20:00,   63.29,   68.07,   56.79,   66.88,   71.62,   60.67
15/01/2013 12:25:00,   61.49,   64.94,   56.84,   64.97,   68.37,   60.33
15/01/2013 12:30:00,   61.49,   65.66,   55.36,   64.59,   68.63,   58.92
15/01/2013 12:35:00,   62.00,   65.33,   55.97,   65.14,   68.84,   59.40
15/01/2013 12:40:00,   62.17,   66.02,   56.23,   65.00,   68.82,   59.39
15/01/2013 12:45:00,   63.11,   67.90,   56.53,   66.50,   71.14,   60.40
15/01/2013 12:50:00,   63.33,   68.13,   55.29,   66.42,   71.37,   58.45
15/01/2013 12:55:00,   62.35,   65.54,   56.99,   65.05,   68.26,   60.28
15/01/2013 13:00:00,   60.86,   65.39,   54.99,   64.08,   68.25,   58.53
15/01/2013 13:05:00,   62.67,   67.64,   56.32,   66.00,   70.44,   60.35
15/01/2013 13:10:00,   61.67,   67.11,   54.55,   64.93,   70.41,   57.68
15/01/2013 13:15:00,   62.71,   67.60,   54.39,   66.84,   72.10,   58.78
15/01/2013 13:20:00,   60.01,   62.78,   54.90,   62.98,   65.57,   58.13
