# noise_analysis run from DCC-NOISE-001011 at Wed Jan 16 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/01/2013 00:05:00,   57.74,   63.31,   50.41,   60.49,   65.68,   53.65
16/01/2013 00:10:00,   54.60,   59.59,   48.87,   57.33,   61.92,   52.69
16/01/2013 00:15:00,   57.03,   64.49,   48.86,   60.26,   66.48,   52.90
16/01/2013 00:20:00,   54.49,   58.90,   48.68,   57.77,   61.22,   52.49
16/01/2013 00:25:00,   55.80,   60.25,   48.11,   58.86,   62.62,   52.19
16/01/2013 00:30:00,   56.08,   63.53,   48.00,   58.78,   64.90,   51.99
16/01/2013 00:35:00,   53.86,   59.52,   48.20,   56.78,   61.51,   52.09
16/01/2013 00:40:00,   56.32,   62.57,   49.35,   59.64,   65.16,   52.91
16/01/2013 00:45:00,   55.91,   60.21,   48.51,   58.84,   62.71,   52.27
16/01/2013 00:50:00,   64.99,   76.01,   48.67,   68.45,   79.19,   52.35
16/01/2013 00:55:00,   54.31,   59.64,   48.27,   57.55,   61.88,   52.17
16/01/2013 01:00:00,   53.45,   59.33,   47.30,   56.77,   62.11,   51.26
16/01/2013 01:05:00,   53.27,   58.14,   47.90,   57.09,   62.08,   51.83
16/01/2013 01:10:00,   52.41,   58.00,   47.50,   55.77,   60.73,   51.36
16/01/2013 01:15:00,   51.62,   56.17,   47.53,   54.80,   58.94,   51.46
16/01/2013 01:20:00,   52.91,   58.46,   47.73,   55.77,   60.39,   51.57
16/01/2013 01:25:00,   53.27,   59.61,   47.54,   55.91,   61.17,   51.26
16/01/2013 01:30:00,   49.63,   52.31,   47.00,   53.24,   55.92,   50.88
16/01/2013 01:35:00,   51.15,   55.85,   47.26,   54.79,   59.40,   51.19
16/01/2013 01:40:00,   53.26,   58.86,   47.86,   56.17,   61.59,   51.64
16/01/2013 01:45:00,   52.81,   59.02,   47.94,   56.74,   62.02,   51.85
16/01/2013 01:50:00,   51.26,   54.88,   47.35,   55.30,   58.76,   51.40
16/01/2013 01:55:00,   51.80,   56.33,   48.04,   55.11,   59.08,   51.70
16/01/2013 02:00:00,   50.13,   52.06,   47.70,   53.79,   55.69,   51.68
16/01/2013 02:05:00,   50.82,   54.91,   47.24,   54.19,   57.55,   51.11
16/01/2013 02:10:00,   52.67,   56.69,   47.80,   55.04,   58.42,   51.64
16/01/2013 02:15:00,   50.95,   55.07,   47.45,   53.89,   57.20,   51.27
16/01/2013 02:20:00,   52.40,   58.13,   47.19,   55.67,   60.22,   51.26
16/01/2013 02:25:00,   51.30,   56.04,   47.77,   55.06,   59.57,   51.67
16/01/2013 02:30:00,   53.99,   57.27,   49.17,   57.17,   60.54,   52.82
16/01/2013 02:35:00,   54.31,   58.10,   51.45,   57.65,   61.51,   54.37
16/01/2013 02:40:00,   54.86,   62.15,   47.84,   57.70,   63.87,   51.55
16/01/2013 02:45:00,   51.40,   55.26,   47.55,   54.80,   57.85,   51.48
16/01/2013 02:50:00,   50.71,   53.19,   47.55,   56.91,   60.37,   51.52
16/01/2013 02:55:00,   51.54,   55.49,   47.94,   55.57,   59.11,   51.55
16/01/2013 03:00:00,   51.07,   54.47,   48.17,   55.66,   59.16,   52.02
