# noise_analysis run from DCC-NOISE-001011 at Sat Jan 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/01/2013 00:05:00,   56.52,   61.21,   51.47,   59.91,   64.58,   54.86
26/01/2013 00:10:00,   59.76,   64.71,   52.24,   63.53,   68.29,   55.79
26/01/2013 00:15:00,   59.41,   65.45,   52.88,   62.64,   67.41,   56.14
26/01/2013 00:20:00,   60.19,   66.60,   52.05,   63.62,   68.75,   55.45
26/01/2013 00:25:00,   56.79,   62.12,   51.51,   60.29,   65.28,   54.77
26/01/2013 00:30:00,   57.99,   62.79,   52.16,   61.44,   65.67,   55.71
26/01/2013 00:35:00,   56.96,   61.12,   51.68,   60.26,   64.29,   55.13
26/01/2013 00:40:00,   55.53,   61.10,   51.31,   58.39,   62.96,   54.59
26/01/2013 00:45:00,   59.02,   63.19,   51.75,   61.84,   65.95,   55.36
26/01/2013 00:50:00,   57.45,   62.58,   51.09,   60.50,   65.40,   54.45
26/01/2013 00:55:00,   55.95,   60.83,   50.61,   58.75,   63.26,   54.05
26/01/2013 01:00:00,   55.29,   60.46,   50.22,   58.13,   63.33,   53.78
26/01/2013 01:05:00,   54.88,   60.35,   50.43,   57.90,   62.48,   54.04
26/01/2013 01:10:00,   58.05,   63.80,   51.74,   60.65,   65.54,   55.07
26/01/2013 01:15:00,   55.44,   59.43,   50.91,   58.38,   61.88,   54.51
26/01/2013 01:20:00,   57.42,   62.92,   51.14,   59.72,   64.79,   54.42
26/01/2013 01:25:00,   55.74,   60.17,   51.60,   58.39,   61.99,   54.93
26/01/2013 01:30:00,   55.48,   59.53,   50.88,   59.18,   62.76,   54.73
26/01/2013 01:35:00,   55.41,   60.45,   50.99,   58.14,   62.34,   54.41
26/01/2013 01:40:00,   56.39,   60.77,   51.68,   59.40,   63.12,   54.88
26/01/2013 01:45:00,   56.24,   60.13,   51.10,   59.03,   62.13,   54.61
26/01/2013 01:50:00,   54.91,   59.55,   50.35,   57.75,   61.87,   53.80
26/01/2013 01:55:00,   54.87,   60.17,   50.32,   58.01,   62.58,   53.89
26/01/2013 02:00:00,   55.61,   61.97,   50.37,   58.40,   63.52,   54.22
26/01/2013 02:05:00,   56.60,   61.74,   51.10,   59.72,   64.11,   55.09
26/01/2013 02:10:00,   56.59,   60.67,   51.63,   60.22,   64.06,   55.28
26/01/2013 02:15:00,   54.97,   60.30,   50.67,   57.70,   61.92,   54.27
26/01/2013 02:20:00,   55.86,   62.13,   50.02,   58.53,   63.94,   53.99
26/01/2013 02:25:00,   56.12,   60.93,   50.90,   58.55,   62.54,   54.41
26/01/2013 02:30:00,   56.45,   61.39,   50.59,   59.85,   64.34,   54.07
26/01/2013 02:35:00,   56.50,   61.36,   51.12,   60.35,   65.22,   54.45
26/01/2013 02:40:00,   55.07,   59.97,   50.94,   57.60,   61.55,   54.19
26/01/2013 02:45:00,   54.82,   58.62,   51.11,   57.47,   60.50,   54.29
26/01/2013 02:50:00,   54.73,   60.40,   50.52,   57.43,   62.39,   53.58
26/01/2013 02:55:00,   55.98,   61.20,   50.53,   58.63,   63.22,   53.95
26/01/2013 03:00:00,   55.83,   61.27,   50.17,   58.84,   63.80,   53.79
26/01/2013 03:05:00,   55.77,   60.17,   51.56,   58.67,   62.45,   54.77
26/01/2013 03:10:00,   56.12,   61.83,   50.83,   59.14,   64.05,   54.15
26/01/2013 03:15:00,   57.06,   62.02,   50.80,   59.63,   64.35,   54.36
26/01/2013 03:20:00,   56.21,   61.00,   51.35,   59.12,   63.32,   54.46
26/01/2013 03:25:00,   56.40,   60.62,   51.36,   59.32,   63.57,   54.62
26/01/2013 03:30:00,   56.06,   61.39,   51.05,   58.90,   63.70,   54.40
26/01/2013 03:35:00,   55.40,   59.97,   51.17,   58.50,   62.66,   54.40
26/01/2013 03:40:00,   56.31,   61.27,   51.51,   58.97,   63.22,   54.81
26/01/2013 03:45:00,   55.76,   60.43,   50.85,   58.95,   63.33,   54.19
26/01/2013 03:50:00,   56.03,   61.54,   50.93,   58.79,   63.64,   54.23
26/01/2013 03:55:00,   54.79,   59.19,   50.84,   57.49,   61.19,   54.08
26/01/2013 04:00:00,   56.15,   61.74,   51.06,   58.68,   63.33,   54.21
26/01/2013 04:05:00,   55.00,   60.11,   50.52,   57.70,   61.82,   53.65
26/01/2013 04:10:00,   54.34,   59.59,   49.65,   57.05,   61.81,   52.97
26/01/2013 04:15:00,   54.71,   59.56,   49.78,   57.28,   61.42,   53.32
26/01/2013 04:20:00,   56.90,   61.89,   49.84,   62.36,   66.96,   53.39
26/01/2013 04:25:00,   57.56,   64.03,   49.98,   60.47,   66.32,   53.42
26/01/2013 04:30:00,   54.69,   59.36,   50.29,   57.72,   61.66,   53.53
26/01/2013 04:35:00,   56.42,   63.17,   49.34,   58.66,   64.95,   52.98
26/01/2013 04:40:00,   57.55,   63.10,   50.34,   59.71,   64.28,   53.55
26/01/2013 04:45:00,   54.79,   60.94,   50.18,   58.59,   63.31,   53.64
26/01/2013 04:50:00,   56.04,   61.67,   50.47,   58.52,   63.24,   53.95
26/01/2013 04:55:00,   57.00,   61.21,   51.30,   59.57,   62.94,   54.98
26/01/2013 05:00:00,   55.36,   59.60,   51.27,   58.02,   62.12,   54.49
26/01/2013 05:05:00,   55.05,   60.67,   50.16,   57.75,   62.73,   53.71
26/01/2013 05:10:00,   56.08,   62.74,   50.34,   58.82,   64.24,   53.76
26/01/2013 05:15:00,   56.68,   62.99,   50.10,   59.11,   64.86,   53.44
26/01/2013 05:20:00,   56.11,   62.39,   50.73,   58.66,   63.75,   54.11
26/01/2013 05:25:00,   55.52,   60.03,   50.61,   58.40,   62.80,   53.90
26/01/2013 05:30:00,   59.01,   66.19,   50.68,   61.00,   67.29,   53.99
26/01/2013 05:35:00,   56.71,   62.55,   51.05,   59.32,   63.88,   54.61
26/01/2013 05:40:00,   57.05,   62.42,   51.65,   60.82,   65.47,   55.52
26/01/2013 05:45:00,   55.74,   60.30,   51.54,   58.25,   62.51,   54.14
26/01/2013 05:50:00,   54.71,   57.67,   51.55,   57.28,   60.85,   54.13
26/01/2013 05:55:00,   57.83,   62.51,   52.14,   60.67,   64.62,   54.58
26/01/2013 06:00:00,   57.39,   62.31,   52.25,   61.07,   65.86,   54.79
26/01/2013 06:05:00,   56.38,   62.00,   52.35,   59.13,   64.40,   54.66
26/01/2013 06:10:00,   56.78,   61.63,   52.24,   59.30,   64.40,   54.61
26/01/2013 06:15:00,   58.78,   64.79,   52.68,   61.24,   66.73,   54.78
26/01/2013 06:20:00,   56.16,   60.86,   52.33,   58.75,   63.14,   54.93
26/01/2013 06:25:00,   55.79,   59.90,   52.52,   58.47,   62.22,   55.11
26/01/2013 06:30:00,   56.64,   60.56,   52.53,   59.94,   63.89,   55.02
26/01/2013 06:35:00,   58.74,   64.13,   52.67,   61.61,   66.43,   55.11
