# noise_analysis run from DCC-NOISE-001011 at Thu Jan 31 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
31/01/2013 00:05:00,   58.29,   62.37,   52.71,   63.37,   68.08,   56.20
31/01/2013 00:10:00,   55.27,   59.08,   50.65,   60.44,   65.26,   54.42
31/01/2013 00:15:00,   57.78,   62.56,   52.19,   63.63,   69.36,   55.74
31/01/2013 00:20:00,   59.35,   64.57,   51.80,   63.48,   69.83,   55.14
31/01/2013 00:25:00,   57.77,   62.46,   51.11,   63.32,   67.22,   54.96
31/01/2013 00:30:00,   57.73,   62.14,   51.36,   62.86,   67.87,   54.85
31/01/2013 00:35:00,   56.79,   60.68,   51.95,   61.86,   66.87,   55.77
31/01/2013 00:40:00,   57.64,   61.62,   51.45,   62.59,   68.55,   55.48
31/01/2013 00:45:00,   59.18,   65.66,   52.01,   63.67,   69.83,   55.26
31/01/2013 00:50:00,   65.26,   75.31,   53.50,   69.64,   78.63,   57.01
31/01/2013 00:55:00,   61.31,   65.60,   54.49,   64.23,   69.11,   56.88
31/01/2013 01:00:00,   58.96,   63.77,   53.98,   61.68,   66.01,   56.77
31/01/2013 01:05:00,   59.70,   64.29,   55.07,   64.11,   68.08,   57.60
31/01/2013 01:10:00,   59.79,   64.02,   55.35,   64.73,   67.48,   58.50
31/01/2013 01:15:00,   58.52,   61.68,   54.79,   66.57,   72.48,   58.22
31/01/2013 01:20:00,   57.04,   61.70,   53.09,   60.52,   64.67,   56.43
31/01/2013 01:25:00,   56.73,   62.37,   51.42,   61.94,   65.69,   54.88
31/01/2013 01:30:00,   55.27,   58.97,   51.44,   60.27,   63.85,   54.98
31/01/2013 01:35:00,   58.45,   64.97,   52.01,   64.28,   71.03,   55.61
31/01/2013 01:40:00,   57.53,   61.42,   52.99,   64.64,   70.76,   57.00
