# noise_analysis run from DCC-NOISE-001011 at Wed Jul  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/07/2013 00:05:00,   57.80,   63.02,   49.40,   61.46,   66.16,   53.47
03/07/2013 00:10:00,   53.04,   57.62,   48.48,   57.18,   61.37,   52.55
03/07/2013 00:15:00,   58.53,   63.91,   49.06,   61.74,   66.50,   52.83
03/07/2013 00:20:00,   58.20,   63.07,   47.96,   62.20,   67.68,   52.16
03/07/2013 00:25:00,   57.01,   62.44,   47.95,   61.54,   65.70,   51.92
03/07/2013 00:30:00,   57.58,   62.84,   49.46,   61.64,   65.83,   53.15
03/07/2013 00:35:00,   56.93,   63.51,   48.82,   60.72,   66.19,   52.40
03/07/2013 00:40:00,   56.83,   61.71,   48.31,   60.72,   64.45,   52.16
03/07/2013 00:45:00,   56.74,   65.21,   47.04,   61.00,   68.41,   51.06
03/07/2013 00:50:00,   57.13,   63.40,   47.20,   60.55,   65.71,   50.95
03/07/2013 00:55:00,   62.87,   73.63,   46.35,   67.30,   78.26,   50.75
03/07/2013 01:00:00,   53.50,   60.78,   45.35,   58.04,   64.65,   49.92
03/07/2013 01:05:00,   55.41,   61.62,   46.59,   59.64,   64.89,   50.69
03/07/2013 01:10:00,   53.21,   59.63,   46.39,   56.49,   62.57,   50.36
03/07/2013 01:15:00,   54.50,   61.05,   45.87,   57.89,   64.10,   49.41
03/07/2013 01:20:00,   54.48,   61.26,   45.34,   59.11,   64.53,   49.74
03/07/2013 01:25:00,   50.96,   58.66,   44.15,   54.85,   61.14,   48.51
03/07/2013 01:30:00,   52.58,   60.65,   43.76,   56.07,   62.94,   47.83
03/07/2013 01:35:00,   48.40,   51.92,   44.64,   52.89,   56.63,   49.01
03/07/2013 01:40:00,   50.21,   55.96,   44.29,   54.42,   59.86,   48.84
03/07/2013 01:45:00,   51.98,   58.23,   45.63,   56.65,   61.45,   50.63
03/07/2013 01:50:00,   51.84,   56.06,   44.14,   55.58,   59.93,   48.56
03/07/2013 01:55:00,   53.02,   59.54,   44.76,   56.52,   62.90,   49.40
03/07/2013 02:00:00,   50.33,   54.21,   44.46,   54.29,   58.15,   48.90
03/07/2013 02:05:00,   49.64,   55.24,   42.33,   52.83,   57.36,   46.94
03/07/2013 02:10:00,   47.76,   50.70,   44.04,   52.76,   56.00,   48.65
03/07/2013 02:15:00,   48.82,   52.20,   42.73,   51.75,   54.19,   46.98
03/07/2013 02:20:00,   50.27,   58.21,   43.14,   53.31,   60.61,   47.05
03/07/2013 02:25:00,   53.04,   59.70,   46.01,   55.57,   60.97,   49.31
03/07/2013 02:30:00,   48.98,   53.64,   44.30,   53.06,   56.86,   48.49
03/07/2013 02:35:00,   52.26,   57.33,   44.32,   55.00,   59.66,   48.67
03/07/2013 02:40:00,   52.49,   58.92,   44.79,   55.62,   62.68,   48.78
03/07/2013 02:45:00,   53.36,   58.94,   45.03,   57.07,   62.45,   49.59
03/07/2013 02:50:00,   50.95,   57.65,   43.01,   54.19,   59.31,   46.93
03/07/2013 02:55:00,   51.80,   58.63,   43.47,   55.24,   61.18,   47.59
03/07/2013 03:00:00,   50.87,   58.44,   43.08,   54.25,   60.90,   47.93
03/07/2013 03:05:00,   50.64,   58.53,   43.21,   53.68,   60.16,   47.26
03/07/2013 03:10:00,   50.34,   56.24,   43.70,   53.66,   59.78,   47.49
03/07/2013 03:15:00,   51.01,   54.57,   44.20,   54.37,   58.52,   47.98
03/07/2013 03:20:00,   63.11,   73.63,   45.38,   67.54,   77.82,   49.65
03/07/2013 03:25:00,   50.47,   56.39,   43.75,   54.35,   59.97,   48.30
03/07/2013 03:30:00,   54.61,   61.36,   44.76,   57.37,   63.47,   48.82
03/07/2013 03:35:00,   53.44,   61.42,   44.07,   56.38,   63.19,   48.04
03/07/2013 03:40:00,   53.03,   59.37,   44.56,   55.63,   62.83,   48.44
03/07/2013 03:45:00,   53.19,   60.36,   44.21,   57.19,   64.80,   48.19
03/07/2013 03:50:00,   52.34,   59.55,   44.61,   55.23,   61.14,   48.80
03/07/2013 03:55:00,   56.83,   63.92,   44.66,   58.94,   65.54,   48.32
03/07/2013 04:00:00,   50.42,   56.17,   43.57,   53.22,   58.95,   47.44
03/07/2013 04:05:00,   52.59,   58.59,   44.46,   55.57,   61.32,   49.10
03/07/2013 04:10:00,   52.40,   59.85,   43.61,   56.13,   63.11,   48.91
03/07/2013 04:15:00,   52.67,   59.81,   44.54,   55.65,   61.90,   49.09
03/07/2013 04:20:00,   54.48,   62.02,   45.15,   57.31,   65.05,   49.08
03/07/2013 04:25:00,   55.67,   63.12,   44.94,   58.73,   65.27,   49.67
03/07/2013 04:30:00,   53.68,   60.85,   44.57,   56.27,   62.72,   48.57
03/07/2013 04:35:00,   56.36,   63.97,   45.31,   59.70,   66.86,   50.22
03/07/2013 04:40:00,   54.23,   61.61,   45.18,   57.03,   63.99,   49.34
03/07/2013 04:45:00,   57.00,   64.08,   47.01,   59.65,   66.31,   51.20
03/07/2013 04:50:00,   57.34,   63.36,   46.74,   59.58,   65.27,   50.18
03/07/2013 04:55:00,   54.96,   61.21,   46.47,   58.21,   63.54,   51.02
03/07/2013 05:00:00,   57.36,   64.82,   47.67,   60.04,   66.62,   51.59
03/07/2013 05:05:00,   59.65,   66.36,   47.65,   62.74,   68.52,   51.49
03/07/2013 05:10:00,   57.21,   64.47,   48.69,   60.07,   65.66,   53.61
03/07/2013 05:15:00,   56.88,   63.17,   48.09,   60.48,   65.19,   53.75
03/07/2013 05:20:00,   56.34,   62.29,   48.18,   59.60,   64.90,   52.88
03/07/2013 05:25:00,   57.00,   64.55,   49.37,   60.49,   66.70,   54.17
03/07/2013 05:30:00,   59.39,   65.60,   49.63,   62.15,   67.58,   54.38
03/07/2013 05:35:00,   59.65,   66.49,   49.76,   62.90,   68.06,   54.59
03/07/2013 05:40:00,   58.07,   65.04,   50.08,   61.32,   66.79,   54.94
03/07/2013 05:45:00,   60.44,   66.65,   50.82,   64.36,   69.68,   55.78
03/07/2013 05:50:00,   58.78,   64.94,   48.53,   62.25,   66.95,   53.36
03/07/2013 05:55:00,   61.17,   66.69,   53.74,   64.32,   68.90,   57.03
03/07/2013 06:00:00,   59.40,   64.56,   51.79,   62.04,   66.66,   54.84
03/07/2013 06:05:00,   62.89,   69.53,   51.08,   66.26,   72.29,   54.22
03/07/2013 06:10:00,   58.63,   64.62,   51.90,   62.06,   67.82,   55.74
03/07/2013 06:15:00,   61.16,   67.08,   52.82,   64.92,   69.53,   57.07
03/07/2013 06:20:00,   60.01,   65.45,   53.98,   63.78,   68.25,   58.38
03/07/2013 06:25:00,   60.46,   66.54,   53.52,   64.23,   68.96,   57.97
03/07/2013 06:30:00,   61.09,   66.04,   53.89,   64.75,   69.20,   57.84
03/07/2013 06:35:00,   59.96,   65.10,   54.23,   63.44,   67.71,   57.84
03/07/2013 06:40:00,   60.94,   66.03,   54.01,   64.38,   68.27,   58.39
03/07/2013 06:45:00,   61.64,   68.42,   54.23,   65.07,   70.82,   57.74
03/07/2013 06:50:00,   61.62,   66.58,   54.35,   64.75,   68.69,   57.85
03/07/2013 06:55:00,   60.42,   66.93,   54.40,   63.65,   69.12,   58.16
03/07/2013 07:00:00,   63.30,   68.94,   55.71,   67.18,   72.39,   60.49
03/07/2013 07:05:00,   62.66,   68.02,   54.86,   66.12,   71.14,   58.96
03/07/2013 07:10:00,   62.95,   68.33,   53.82,   66.08,   71.03,   58.28
03/07/2013 07:15:00,   63.18,   69.11,   54.16,   66.86,   73.10,   58.39
03/07/2013 07:20:00,   64.46,   70.37,   54.31,   68.56,   74.86,   58.21
03/07/2013 07:25:00,   62.66,   68.14,   54.21,   66.17,   70.78,   58.26
03/07/2013 07:30:00,   62.40,   67.45,   53.52,   65.65,   70.02,   57.51
03/07/2013 07:35:00,   64.47,   69.33,   55.06,   67.84,   72.49,   59.45
03/07/2013 07:40:00,   64.56,   69.10,   57.34,   68.41,   72.93,   61.94
03/07/2013 07:45:00,   61.43,   66.80,   54.27,   65.63,   70.29,   58.55
03/07/2013 07:50:00,   65.19,   69.79,   55.70,   69.36,   74.34,   61.42
03/07/2013 07:55:00,   62.80,   67.80,   54.70,   66.48,   70.47,   59.86
03/07/2013 08:00:00,   65.29,   70.58,   56.13,   68.71,   73.95,   61.28
03/07/2013 08:05:00,   63.74,   67.89,   56.13,   67.25,   71.24,   60.42
03/07/2013 08:10:00,   64.70,   70.74,   54.91,   68.33,   74.26,   60.00
03/07/2013 08:15:00,   64.62,   68.79,   54.66,   68.45,   72.57,   59.91
