# noise_analysis run from DCC-NOISE-001011 at Thu Jul  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/07/2013 00:05:00,   57.49,   61.84,   51.71,   59.23,   63.89,   53.51
04/07/2013 00:10:00,   56.47,   62.96,   46.61,   60.17,   65.86,   51.06
04/07/2013 00:15:00,   57.10,   62.74,   46.50,   60.54,   65.42,   51.55
04/07/2013 00:20:00,   57.51,   65.52,   46.41,   61.67,   69.59,   50.24
04/07/2013 00:25:00,   54.10,   60.17,   47.32,   57.36,   63.72,   51.58
04/07/2013 00:30:00,   56.19,   61.81,   46.20,   59.91,   64.00,   50.50
04/07/2013 00:35:00,   54.99,   61.17,   45.82,   58.12,   63.88,   50.41
04/07/2013 00:40:00,   56.46,   63.15,   48.25,   59.96,   66.20,   51.58
04/07/2013 00:45:00,   56.83,   63.56,   46.65,   60.84,   66.30,   50.84
04/07/2013 00:50:00,   57.01,   63.96,   46.22,   60.30,   66.35,   49.91
04/07/2013 00:55:00,   50.90,   55.92,   45.04,   54.22,   58.47,   49.20
04/07/2013 01:00:00,   54.82,   61.58,   46.27,   58.39,   64.19,   50.44
04/07/2013 01:05:00,   62.34,   73.14,   46.68,   66.67,   77.57,   51.09
04/07/2013 01:10:00,   52.38,   59.66,   44.72,   56.68,   63.13,   49.32
04/07/2013 01:15:00,   52.86,   59.11,   46.07,   56.53,   62.17,   50.16
04/07/2013 01:20:00,   53.63,   61.13,   44.88,   56.39,   62.95,   49.41
04/07/2013 01:25:00,   51.20,   56.21,   44.61,   54.90,   59.19,   48.78
04/07/2013 01:30:00,   51.22,   57.73,   44.06,   54.27,   60.36,   47.99
04/07/2013 01:35:00,   52.31,   60.10,   44.61,   55.80,   62.34,   48.69
04/07/2013 01:40:00,   47.53,   51.27,   43.00,   51.93,   56.41,   47.78
04/07/2013 01:45:00,   54.93,   61.56,   45.40,   57.99,   63.64,   49.73
04/07/2013 01:50:00,   49.48,   54.42,   44.07,   53.54,   58.44,   48.79
04/07/2013 01:55:00,   52.60,   57.42,   46.32,   58.92,   63.64,   51.57
04/07/2013 02:00:00,   50.61,   53.96,   45.29,   54.70,   59.04,   49.64
04/07/2013 02:05:00,   52.45,   60.25,   45.30,   55.80,   62.53,   49.55
04/07/2013 02:10:00,   49.67,   55.14,   44.44,   54.02,   59.18,   48.40
04/07/2013 02:15:00,   49.99,   54.97,   44.85,   56.09,   61.68,   49.70
