# noise_analysis run from DCC-NOISE-001011 at Fri Jul  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/07/2013 00:05:00,   56.36,   62.72,   48.41,   59.30,   64.54,   52.51
05/07/2013 00:10:00,   58.57,   64.10,   48.71,   61.94,   66.83,   53.56
05/07/2013 00:15:00,   57.66,   63.38,   48.35,   61.10,   66.15,   52.42
05/07/2013 00:20:00,   56.77,   62.61,   49.54,   60.81,   65.75,   53.61
05/07/2013 00:25:00,   59.31,   64.66,   48.87,   62.88,   67.51,   53.21
05/07/2013 00:30:00,   56.85,   64.05,   48.65,   60.40,   66.44,   53.19
05/07/2013 00:35:00,   57.82,   63.55,   48.98,   61.38,   65.58,   53.80
05/07/2013 00:40:00,   55.31,   60.76,   48.66,   59.64,   63.62,   53.25
05/07/2013 00:45:00,   56.30,   62.08,   48.32,   60.43,   64.78,   52.51
05/07/2013 00:50:00,   55.46,   60.31,   47.52,   59.63,   63.57,   51.23
05/07/2013 00:55:00,   54.67,   61.02,   46.36,   57.60,   62.97,   50.49
05/07/2013 01:00:00,   56.97,   62.37,   48.47,   60.42,   65.00,   52.56
05/07/2013 01:05:00,   57.76,   60.69,   46.98,   61.98,   63.74,   50.73
05/07/2013 01:10:00,   57.87,   62.85,   45.70,   61.69,   65.18,   49.93
05/07/2013 01:15:00,   55.46,   62.46,   46.46,   58.19,   64.37,   50.32
05/07/2013 01:20:00,   53.44,   60.43,   45.03,   56.65,   62.64,   50.01
05/07/2013 01:25:00,   49.87,   54.21,   46.28,   55.03,   57.34,   52.57
05/07/2013 01:30:00,   54.20,   60.78,   46.18,   58.11,   64.09,   51.96
05/07/2013 01:35:00,   52.75,   58.56,   48.10,   58.47,   61.87,   55.86
05/07/2013 01:40:00,   55.00,   61.71,   45.26,   57.65,   63.75,   49.18
