# noise_analysis run from DCC-NOISE-001011 at Sat Jul  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/07/2013 00:05:00,   55.73,   61.83,   45.88,   58.98,   64.28,   50.78
06/07/2013 00:10:00,   56.41,   62.19,   44.77,   60.53,   65.78,   49.40
06/07/2013 00:15:00,   54.09,   60.49,   45.53,   57.68,   62.71,   50.26
06/07/2013 00:20:00,   56.68,   64.02,   46.05,   60.99,   67.50,   50.82
06/07/2013 00:25:00,   57.10,   62.73,   47.10,   60.81,   65.22,   50.66
06/07/2013 00:30:00,   57.31,   62.64,   47.23,   60.44,   65.38,   51.33
06/07/2013 00:35:00,   54.56,   59.39,   47.87,   57.47,   61.87,   51.82
06/07/2013 00:40:00,   57.44,   63.66,   47.69,   61.04,   66.20,   52.19
06/07/2013 00:45:00,   56.70,   62.82,   46.54,   61.40,   66.45,   52.00
06/07/2013 00:50:00,   54.57,   60.35,   45.82,   57.48,   62.50,   49.89
06/07/2013 00:55:00,   56.19,   61.50,   46.41,   59.42,   64.39,   50.08
06/07/2013 01:00:00,   55.19,   61.80,   45.81,   58.13,   63.97,   49.95
06/07/2013 01:05:00,   54.69,   61.00,   46.74,   57.78,   63.20,   51.22
06/07/2013 01:10:00,   56.16,   61.73,   46.92,   59.67,   64.24,   51.46
06/07/2013 01:15:00,   55.26,   60.66,   46.28,   58.77,   63.82,   50.50
06/07/2013 01:20:00,   54.30,   59.77,   46.28,   57.85,   63.47,   50.56
06/07/2013 01:25:00,   54.84,   61.13,   47.55,   57.52,   63.23,   51.40
06/07/2013 01:30:00,   53.76,   59.17,   46.90,   57.02,   61.90,   51.52
06/07/2013 01:35:00,   54.09,   59.83,   47.29,   57.08,   62.32,   51.75
06/07/2013 01:40:00,   53.80,   58.64,   46.99,   57.81,   62.23,   50.77
06/07/2013 01:45:00,   54.95,   60.47,   47.21,   57.55,   62.40,   51.15
06/07/2013 01:50:00,   54.51,   61.48,   45.98,   57.42,   63.85,   49.95
06/07/2013 01:55:00,   54.22,   60.13,   46.52,   57.41,   62.83,   50.58
06/07/2013 02:00:00,   55.11,   61.36,   46.31,   57.84,   63.48,   50.71
06/07/2013 02:05:00,   54.68,   62.05,   46.96,   57.82,   64.46,   51.31
06/07/2013 02:10:00,   51.52,   56.55,   46.49,   54.75,   58.92,   50.34
06/07/2013 02:15:00,   54.67,   61.30,   46.06,   57.84,   63.73,   50.26
06/07/2013 02:20:00,   54.60,   62.17,   44.56,   57.11,   63.94,   48.49
06/07/2013 02:25:00,   52.96,   59.80,   44.80,   55.95,   61.92,   48.89
06/07/2013 02:30:00,   55.30,   62.45,   45.41,   58.05,   64.23,   49.19
06/07/2013 02:35:00,   54.77,   62.44,   45.80,   57.77,   64.51,   50.33
06/07/2013 02:40:00,   55.23,   60.89,   46.15,   58.28,   63.67,   50.38
06/07/2013 02:45:00,   54.39,   61.03,   46.27,   56.73,   62.53,   50.15
06/07/2013 02:50:00,   56.58,   63.79,   46.80,   59.12,   65.88,   50.60
06/07/2013 02:55:00,   55.19,   61.10,   46.71,   57.76,   62.93,   50.50
06/07/2013 03:00:00,   54.78,   61.06,   47.70,   57.66,   63.58,   51.04
06/07/2013 03:05:00,   55.51,   62.24,   47.17,   58.46,   64.72,   50.71
06/07/2013 03:10:00,   55.86,   63.47,   46.93,   58.47,   65.56,   50.51
06/07/2013 03:15:00,   55.88,   63.29,   47.16,   58.74,   65.96,   51.21
06/07/2013 03:20:00,   54.86,   61.79,   47.01,   57.64,   63.88,   50.53
06/07/2013 03:25:00,   55.77,   62.88,   45.78,   58.73,   64.92,   50.54
06/07/2013 03:30:00,   54.46,   61.86,   45.56,   57.47,   64.38,   49.59
06/07/2013 03:35:00,   54.13,   60.38,   45.95,   56.90,   62.40,   49.55
06/07/2013 03:40:00,   55.83,   63.61,   46.20,   58.71,   65.74,   50.06
06/07/2013 03:45:00,   55.53,   63.00,   46.20,   59.78,   66.51,   51.25
06/07/2013 03:50:00,   53.84,   60.69,   46.09,   56.86,   62.88,   50.33
06/07/2013 03:55:00,   55.25,   61.94,   46.29,   59.02,   65.18,   50.34
06/07/2013 04:00:00,   55.80,   61.08,   46.33,   58.49,   63.86,   50.57
06/07/2013 04:05:00,   56.06,   62.39,   47.52,   58.57,   64.15,   51.20
06/07/2013 04:10:00,   55.69,   62.24,   45.83,   58.98,   65.53,   50.83
06/07/2013 04:15:00,   54.32,   61.31,   45.41,   56.65,   63.00,   48.94
06/07/2013 04:20:00,   54.54,   61.22,   45.87,   56.87,   63.30,   49.42
06/07/2013 04:25:00,   54.09,   61.90,   44.37,   57.06,   64.10,   48.72
06/07/2013 04:30:00,   55.20,   61.67,   46.94,   58.05,   63.90,   49.98
06/07/2013 04:35:00,   52.34,   57.94,   46.51,   55.24,   60.62,   50.23
06/07/2013 04:40:00,   53.81,   60.41,   45.81,   56.55,   62.74,   49.95
06/07/2013 04:45:00,   55.48,   63.69,   45.38,   58.20,   66.33,   49.39
06/07/2013 04:50:00,   57.10,   62.71,   48.27,   60.25,   65.02,   52.48
06/07/2013 04:55:00,   57.30,   62.76,   49.23,   60.51,   65.03,   52.72
06/07/2013 05:00:00,   56.25,   62.62,   46.07,   59.28,   65.12,   50.24
06/07/2013 05:05:00,   54.65,   60.23,   46.44,   57.81,   63.34,   50.82
06/07/2013 05:10:00,   53.59,   59.22,   45.31,   57.45,   62.09,   50.49
06/07/2013 05:15:00,   55.68,   61.89,   46.77,   59.30,   64.48,   51.22
06/07/2013 05:20:00,   55.69,   62.73,   47.81,   59.34,   65.12,   53.69
06/07/2013 05:25:00,   56.52,   63.24,   46.97,   59.76,   66.03,   51.47
06/07/2013 05:30:00,   53.86,   60.34,   45.41,   56.69,   62.76,   50.86
06/07/2013 05:35:00,   56.50,   63.66,   44.91,   59.39,   65.69,   49.87
06/07/2013 05:40:00,   56.58,   62.69,   47.55,   59.24,   64.75,   50.52
06/07/2013 05:45:00,   54.68,   61.92,   45.17,   57.49,   63.76,   48.61
06/07/2013 05:50:00,   55.74,   63.24,   46.04,   59.31,   66.17,   50.31
06/07/2013 05:55:00,   57.23,   63.72,   49.71,   60.36,   66.48,   52.78
06/07/2013 06:00:00,   57.48,   63.64,   50.32,   61.13,   65.74,   54.61
06/07/2013 06:05:00,   57.75,   63.32,   50.76,   61.04,   65.76,   53.87
06/07/2013 06:10:00,   60.15,   67.00,   50.16,   63.34,   70.24,   53.00
06/07/2013 06:15:00,   58.46,   64.34,   49.83,   61.14,   67.09,   52.00
06/07/2013 06:20:00,   55.61,   61.20,   50.03,   58.55,   63.68,   52.72
06/07/2013 06:25:00,   54.93,   58.90,   50.06,   58.41,   62.16,   52.96
06/07/2013 06:30:00,   56.44,   62.60,   50.07,   59.10,   64.68,   53.14
06/07/2013 06:35:00,   58.65,   65.12,   50.76,   62.21,   67.42,   54.09
06/07/2013 06:40:00,   57.93,   64.52,   50.17,   61.42,   67.25,   53.36
06/07/2013 06:45:00,   59.20,   65.06,   50.76,   62.58,   68.44,   54.14
06/07/2013 06:50:00,   59.28,   65.25,   52.43,   63.69,   69.31,   56.07
06/07/2013 06:55:00,   56.36,   62.61,   49.72,   59.70,   65.51,   52.78
06/07/2013 07:00:00,   55.98,   61.33,   50.03,   60.28,   64.80,   53.63
06/07/2013 07:05:00,   59.97,   64.74,   50.71,   64.30,   68.64,   53.74
06/07/2013 07:10:00,   58.28,   64.19,   50.14,   62.94,   67.94,   53.78
06/07/2013 07:15:00,   58.39,   65.19,   51.11,   62.90,   68.55,   55.98
06/07/2013 07:20:00,   56.51,   62.78,   50.54,   60.14,   65.43,   53.24
06/07/2013 07:25:00,   60.94,   66.89,   51.76,   64.85,   70.08,   56.35
06/07/2013 07:30:00,   57.70,   64.38,   49.79,   61.02,   66.51,   53.47
06/07/2013 07:35:00,   57.85,   63.30,   50.40,   62.23,   68.31,   53.67
06/07/2013 07:40:00,   59.35,   66.09,   50.48,   62.85,   68.32,   54.59
06/07/2013 07:45:00,   59.90,   65.71,   50.08,   63.66,   69.09,   53.44
06/07/2013 07:50:00,   56.45,   62.47,   49.28,   59.83,   64.90,   52.24
06/07/2013 07:55:00,   55.54,   60.97,   49.96,   59.10,   63.71,   53.06
06/07/2013 08:00:00,   59.53,   64.44,   50.42,   63.09,   67.10,   53.33
06/07/2013 08:05:00,   57.64,   63.25,   50.55,   60.77,   65.97,   54.20
06/07/2013 08:10:00,   58.77,   65.62,   51.00,   62.23,   68.05,   53.89
06/07/2013 08:15:00,   60.08,   64.22,   51.00,   62.83,   66.80,   54.86
06/07/2013 08:20:00,   58.33,   63.37,   51.16,   63.18,   67.55,   57.60
06/07/2013 08:25:00,   60.37,   66.00,   51.69,   65.14,   70.95,   58.29
06/07/2013 08:30:00,   59.12,   64.55,   50.85,   63.09,   67.01,   55.81
06/07/2013 08:35:00,   61.05,   64.97,   56.17,   64.06,   67.81,   58.37
