# noise_analysis run from DCC-NOISE-001011 at Sun Jul  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/07/2013 00:05:00,   56.49,   62.30,   47.55,   59.45,   64.65,   52.16
07/07/2013 00:10:00,   57.83,   62.88,   47.53,   61.73,   66.02,   52.03
07/07/2013 00:15:00,   58.28,   63.15,   47.99,   61.94,   66.11,   53.72
07/07/2013 00:20:00,   55.92,   61.68,   46.48,   58.80,   64.44,   51.07
07/07/2013 00:25:00,   58.98,   64.89,   49.23,   62.54,   67.46,   53.34
07/07/2013 00:30:00,   59.65,   66.73,   46.89,   63.41,   69.99,   51.59
07/07/2013 00:35:00,   56.64,   62.78,   47.22,   59.82,   64.72,   51.78
07/07/2013 00:40:00,   58.13,   62.25,   46.04,   61.77,   64.80,   50.75
07/07/2013 00:45:00,   55.76,   61.98,   47.37,   58.71,   64.37,   51.85
07/07/2013 00:50:00,   58.75,   64.46,   46.83,   62.59,   67.92,   51.35
07/07/2013 00:55:00,   58.22,   63.96,   47.69,   61.96,   66.88,   52.46
07/07/2013 01:00:00,   58.74,   64.51,   47.19,   61.18,   66.17,   51.72
07/07/2013 01:05:00,   55.07,   61.00,   46.81,   58.79,   64.49,   51.43
07/07/2013 01:10:00,   57.09,   64.54,   46.09,   60.58,   66.79,   51.21
07/07/2013 01:15:00,   53.80,   61.31,   44.44,   57.23,   64.35,   49.38
07/07/2013 01:20:00,   54.22,   60.35,   45.35,   57.37,   63.03,   49.85
07/07/2013 01:25:00,   53.64,   59.76,   45.78,   56.65,   62.29,   50.22
07/07/2013 01:30:00,   53.91,   59.29,   47.18,   56.83,   61.61,   51.27
07/07/2013 01:35:00,   53.57,   61.47,   45.91,   56.64,   64.03,   50.30
07/07/2013 01:40:00,   55.18,   61.99,   47.27,   58.17,   64.72,   51.34
07/07/2013 01:45:00,   55.22,   60.72,   47.51,   57.69,   63.45,   50.98
07/07/2013 01:50:00,   55.33,   61.68,   46.91,   58.26,   64.08,   51.45
07/07/2013 01:55:00,   51.79,   57.63,   43.95,   55.18,   61.23,   48.61
07/07/2013 02:00:00,   56.96,   63.45,   45.81,   59.92,   66.04,   50.73
07/07/2013 02:05:00,   55.14,   62.35,   46.54,   58.27,   64.72,   50.78
07/07/2013 02:10:00,   54.56,   61.20,   45.62,   57.33,   63.06,   50.36
07/07/2013 02:15:00,   52.05,   58.60,   44.98,   55.38,   60.80,   49.67
07/07/2013 02:20:00,   55.92,   63.71,   45.90,   58.60,   66.34,   49.86
