# noise_analysis run from DCC-NOISE-001011 at Mon Jul  8 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/07/2013 00:05:00,   54.79,   61.09,   45.17,   57.86,   63.13,   51.06
08/07/2013 00:10:00,   57.04,   63.11,   45.38,   60.76,   66.35,   51.39
08/07/2013 00:15:00,   55.51,   61.94,   45.66,   59.52,   64.67,   52.29
08/07/2013 00:20:00,   52.73,   60.70,   44.20,   56.73,   63.59,   50.99
08/07/2013 00:25:00,   53.32,   59.98,   44.41,   56.78,   62.17,   50.29
08/07/2013 00:30:00,   52.74,   60.58,   43.06,   56.10,   63.61,   48.74
08/07/2013 00:35:00,   53.95,   59.65,   43.91,   57.12,   62.37,   49.75
08/07/2013 00:40:00,   53.82,   63.01,   42.69,   57.46,   65.25,   50.07
08/07/2013 00:45:00,   52.63,   59.22,   43.77,   56.60,   61.99,   50.71
08/07/2013 00:50:00,   54.55,   61.21,   44.31,   58.19,   64.06,   50.30
08/07/2013 00:55:00,   51.92,   56.79,   44.97,   55.55,   59.94,   50.45
08/07/2013 01:00:00,   52.41,   59.59,   43.36,   56.86,   63.61,   49.90
08/07/2013 01:05:00,   50.88,   57.96,   42.64,   54.85,   60.94,   48.93
08/07/2013 01:10:00,   50.59,   57.30,   43.38,   54.58,   60.72,   48.64
08/07/2013 01:15:00,   53.50,   59.80,   43.50,   57.33,   62.94,   49.75
08/07/2013 01:20:00,   52.87,   60.94,   42.53,   56.07,   63.20,   48.65
08/07/2013 01:25:00,   51.20,   58.16,   42.61,   55.04,   60.29,   49.01
08/07/2013 01:30:00,   49.31,   57.22,   42.52,   53.72,   59.52,   49.11
08/07/2013 01:35:00,   51.42,   59.20,   43.09,   54.88,   62.16,   49.16
08/07/2013 01:40:00,   50.54,   57.64,   42.47,   54.48,   59.82,   49.13
08/07/2013 01:45:00,   50.83,   58.86,   43.27,   55.55,   61.36,   50.68
08/07/2013 01:50:00,   53.39,   60.73,   42.45,   56.70,   63.14,   48.84
08/07/2013 01:55:00,   54.63,   60.15,   44.51,   56.64,   61.98,   50.79
08/07/2013 02:00:00,   51.56,   57.44,   44.20,   55.26,   61.06,   50.08
08/07/2013 02:05:00,   48.67,   55.57,   42.06,   53.62,   58.65,   49.65
08/07/2013 02:10:00,   48.28,   54.07,   42.34,   53.20,   56.71,   48.51
08/07/2013 02:15:00,   49.44,   56.66,   42.63,   53.29,   59.22,   48.99
08/07/2013 02:20:00,   51.23,   58.67,   43.12,   55.73,   62.96,   48.98
08/07/2013 02:25:00,   50.63,   58.12,   42.93,   55.03,   61.32,   49.21
08/07/2013 02:30:00,   50.02,   57.12,   42.39,   54.29,   59.78,   48.30
08/07/2013 02:35:00,   48.75,   54.59,   43.07,   53.81,   58.35,   49.63
08/07/2013 02:40:00,   49.74,   56.77,   42.41,   54.53,   60.13,   49.03
08/07/2013 02:45:00,   52.88,   59.04,   43.17,   55.17,   60.25,   48.71
08/07/2013 02:50:00,   56.67,   63.91,   43.76,   58.92,   65.94,   48.70
08/07/2013 02:55:00,   48.87,   54.70,   42.78,   52.75,   56.36,   48.80
08/07/2013 03:00:00,   49.28,   55.79,   42.41,   53.71,   58.75,   48.75
08/07/2013 03:05:00,   52.16,   57.91,   42.94,   55.95,   60.80,   48.66
08/07/2013 03:10:00,   51.91,   58.14,   42.58,   56.63,   61.50,   48.92
08/07/2013 03:15:00,   50.71,   58.41,   42.42,   53.98,   60.65,   48.10
08/07/2013 03:20:00,   51.91,   60.14,   42.69,   55.46,   62.44,   48.73
08/07/2013 03:25:00,   50.06,   56.75,   41.96,   54.43,   60.04,   48.13
08/07/2013 03:30:00,   46.62,   49.74,   42.73,   52.31,   54.00,   48.97
08/07/2013 03:35:00,   50.95,   57.78,   43.07,   54.64,   60.39,   49.17
08/07/2013 03:40:00,   51.47,   59.95,   42.13,   54.95,   62.32,   48.93
08/07/2013 03:45:00,   50.24,   57.69,   42.93,   54.51,   59.92,   48.59
08/07/2013 03:50:00,   51.77,   59.77,   43.37,   55.99,   62.37,   49.72
08/07/2013 03:55:00,   54.29,   61.93,   44.00,   58.30,   66.14,   50.78
08/07/2013 04:00:00,   55.78,   62.21,   45.75,   58.53,   64.68,   51.24
08/07/2013 04:05:00,   53.93,   58.89,   45.00,   56.96,   61.50,   51.63
08/07/2013 04:10:00,   55.07,   61.79,   46.67,   57.90,   63.23,   53.16
08/07/2013 04:15:00,   52.53,   59.51,   45.88,   56.72,   62.38,   51.16
08/07/2013 04:20:00,   52.97,   58.12,   44.26,   56.58,   62.86,   50.21
08/07/2013 04:25:00,   54.11,   59.31,   46.67,   57.88,   62.50,   52.17
08/07/2013 04:30:00,   51.93,   57.46,   44.71,   54.68,   59.76,   50.01
08/07/2013 04:35:00,   55.66,   60.67,   47.88,   59.05,   64.11,   52.28
08/07/2013 04:40:00,   55.12,   62.97,   45.80,   58.76,   65.38,   52.20
08/07/2013 04:45:00,   52.48,   58.19,   45.33,   55.74,   60.83,   50.53
08/07/2013 04:50:00,   54.76,   62.53,   45.05,   58.38,   65.16,   50.50
08/07/2013 04:55:00,   55.95,   62.02,   46.16,   60.01,   64.92,   52.89
08/07/2013 05:00:00,   57.71,   63.19,   47.05,   61.30,   66.71,   53.00
08/07/2013 05:05:00,   57.65,   64.75,   48.54,   61.70,   67.92,   54.37
08/07/2013 05:10:00,   57.45,   64.33,   47.96,   61.26,   66.96,   54.48
08/07/2013 05:15:00,   57.07,   63.59,   48.25,   61.60,   67.30,   54.29
08/07/2013 05:20:00,   56.36,   62.03,   47.44,   60.36,   65.69,   52.61
08/07/2013 05:25:00,   58.25,   65.02,   49.48,   62.13,   67.17,   55.75
08/07/2013 05:30:00,   58.69,   64.56,   49.27,   62.89,   68.28,   55.42
08/07/2013 05:35:00,   62.10,   67.71,   50.30,   66.39,   72.53,   55.87
08/07/2013 05:40:00,   60.37,   65.74,   50.92,   64.51,   69.57,   57.70
08/07/2013 05:45:00,   63.41,   68.27,   52.35,   66.64,   71.31,   57.12
08/07/2013 05:50:00,   59.06,   63.34,   51.22,   64.31,   67.23,   58.52
08/07/2013 05:55:00,   59.26,   65.54,   52.01,   63.74,   69.39,   57.33
08/07/2013 06:00:00,   59.41,   64.54,   52.45,   63.27,   67.60,   57.43
08/07/2013 06:05:00,   60.64,   64.85,   53.08,   64.70,   68.54,   57.84
08/07/2013 06:10:00,   59.54,   65.69,   52.17,   63.48,   68.81,   57.38
08/07/2013 06:15:00,   58.86,   65.44,   52.17,   63.52,   68.98,   58.26
08/07/2013 06:20:00,   58.04,   63.56,   52.06,   62.43,   67.83,   58.14
08/07/2013 06:25:00,   59.35,   64.40,   52.85,   64.08,   68.97,   59.19
08/07/2013 06:30:00,   59.88,   64.79,   51.58,   63.64,   67.24,   55.80
08/07/2013 06:35:00,   57.77,   62.24,   50.47,   61.05,   64.76,   54.55
08/07/2013 06:40:00,   60.70,   65.54,   53.45,   63.75,   68.21,   57.15
08/07/2013 06:45:00,   60.79,   65.94,   53.48,   64.65,   69.56,   57.35
08/07/2013 06:50:00,   61.15,   66.30,   52.82,   66.40,   72.87,   56.65
08/07/2013 06:55:00,   61.18,   64.88,   53.76,   65.60,   68.34,   59.34
08/07/2013 07:00:00,   64.37,   69.57,   54.04,   68.61,   73.88,   58.88
08/07/2013 07:05:00,   62.29,   66.18,   53.13,   66.52,   70.10,   58.02
08/07/2013 07:10:00,   60.97,   65.28,   52.00,   65.09,   70.21,   56.03
08/07/2013 07:15:00,   61.52,   67.18,   52.18,   65.54,   71.35,   56.79
08/07/2013 07:20:00,   61.53,   67.11,   51.96,   65.65,   70.42,   56.96
08/07/2013 07:25:00,   63.94,   68.41,   54.25,   68.74,   74.38,   58.75
08/07/2013 07:30:00,   61.28,   68.15,   52.22,   65.42,   71.58,   56.73
08/07/2013 07:35:00,   63.55,   69.75,   53.72,   66.62,   71.45,   58.24
08/07/2013 07:40:00,   63.22,   67.74,   54.55,   67.30,   71.87,   59.31
08/07/2013 07:45:00,   62.83,   67.10,   55.37,   66.81,   70.72,   59.97
08/07/2013 07:50:00,   63.26,   68.66,   56.19,   67.17,   72.44,   60.07
08/07/2013 07:55:00,   63.48,   69.47,   53.20,   67.37,   73.32,   58.10
08/07/2013 08:00:00,   60.71,   65.44,   52.62,   64.85,   69.34,   57.34
08/07/2013 08:05:00,   61.69,   66.77,   51.59,   65.91,   71.27,   56.73
08/07/2013 08:10:00,   64.13,   68.65,   55.26,   66.38,   71.61,   58.87
08/07/2013 08:15:00,   62.90,   68.91,   54.10,   66.81,   72.55,   58.18
08/07/2013 08:20:00,   62.35,   67.05,   52.43,   66.14,   70.37,   56.83
08/07/2013 08:25:00,   62.16,   66.11,   53.05,   66.40,   70.10,   58.58
08/07/2013 08:30:00,   61.72,   68.84,   51.94,   66.00,   72.61,   56.81
08/07/2013 08:35:00,   62.88,   67.84,   53.09,   66.74,   72.37,   57.45
08/07/2013 08:40:00,   61.12,   66.54,   53.06,   65.05,   70.00,   57.52
08/07/2013 08:45:00,   63.79,   70.80,   53.98,   67.95,   74.21,   59.25
08/07/2013 08:50:00,   61.30,   66.30,   51.89,   65.41,   70.03,   57.35
08/07/2013 08:55:00,   61.76,   67.20,   53.82,   65.68,   71.46,   58.96
08/07/2013 09:00:00,   61.75,   66.37,   53.17,   66.26,   71.05,   57.81
08/07/2013 09:05:00,   61.75,   67.05,   53.24,   66.15,   71.40,   57.98
08/07/2013 09:10:00,   61.07,   66.09,   51.72,   64.97,   70.05,   56.64
08/07/2013 09:15:00,   64.22,   70.38,   52.56,   68.26,   74.47,   56.98
08/07/2013 09:20:00,   61.01,   65.34,   53.21,   65.37,   69.70,   58.15
08/07/2013 09:25:00,   63.02,   68.85,   53.58,   66.99,   73.13,   58.00
08/07/2013 09:30:00,   61.42,   67.01,   52.71,   65.44,   70.08,   56.95
08/07/2013 09:35:00,   61.24,   66.79,   51.81,   65.37,   70.26,   56.14
08/07/2013 09:40:00,   61.42,   66.25,   52.30,   65.40,   69.58,   56.35
08/07/2013 09:45:00,   61.23,   67.14,   52.23,   65.62,   73.05,   56.41
08/07/2013 09:50:00,   62.02,   66.40,   54.60,   65.76,   69.25,   59.02
08/07/2013 09:55:00,   61.10,   66.95,   51.83,   65.12,   71.17,   56.11
08/07/2013 10:00:00,   62.11,   66.83,   53.75,   66.26,   70.96,   57.63
08/07/2013 10:05:00,   61.82,   66.45,   54.35,   65.74,   70.12,   58.52
08/07/2013 10:10:00,   61.73,   65.45,   55.16,   65.90,   69.82,   59.79
08/07/2013 10:15:00,   60.64,   65.86,   51.24,   65.39,   70.87,   56.08
08/07/2013 10:20:00,   61.71,   66.36,   54.17,   66.23,   70.98,   59.15
08/07/2013 10:25:00,   60.89,   65.78,   54.67,   64.78,   69.71,   58.86
08/07/2013 10:30:00,   62.41,   65.87,   54.23,   66.97,   70.93,   58.69
08/07/2013 10:35:00,   62.74,   67.07,   54.03,   66.66,   70.35,   58.12
08/07/2013 10:40:00,   60.02,   64.39,   51.90,   64.41,   68.89,   56.40
08/07/2013 10:45:00,   62.57,   69.15,   52.59,   67.35,   72.84,   58.59
08/07/2013 10:50:00,   62.40,   66.79,   53.49,   66.60,   70.32,   58.12
08/07/2013 10:55:00,   61.20,   66.35,   52.96,   65.69,   70.19,   57.55
08/07/2013 11:00:00,   60.87,   64.36,   53.34,   64.99,   68.73,   57.69
08/07/2013 11:05:00,   61.48,   66.27,   54.74,   65.64,   70.85,   59.08
08/07/2013 11:10:00,   62.41,   67.39,   53.46,   67.00,   71.66,   58.57
08/07/2013 11:15:00,   61.00,   67.71,   50.03,   65.31,   71.93,   54.35
08/07/2013 11:20:00,   61.47,   67.24,   52.21,   66.01,   71.96,   57.02
08/07/2013 11:25:00,   59.63,   64.24,   50.94,   64.43,   69.03,   55.14
08/07/2013 11:30:00,   62.28,   69.27,   54.43,   66.58,   73.19,   58.25
08/07/2013 11:35:00,   60.06,   65.58,   52.10,   63.59,   68.19,   55.85
08/07/2013 11:40:00,   59.60,   64.07,   52.62,   64.06,   68.71,   57.09
08/07/2013 11:45:00,   62.22,   68.15,   55.09,   66.68,   72.59,   59.39
08/07/2013 11:50:00,   59.37,   63.26,   52.05,   64.07,   68.75,   56.28
08/07/2013 11:55:00,   61.54,   67.16,   52.19,   65.95,   71.46,   56.58
08/07/2013 12:00:00,   59.95,   63.85,   53.36,   64.82,   69.29,   58.05
08/07/2013 12:05:00,   59.55,   65.17,   51.66,   63.89,   68.50,   55.97
08/07/2013 12:10:00,   62.19,   68.55,   52.86,   67.50,   74.58,   57.68
08/07/2013 12:15:00,   60.56,   65.68,   52.89,   65.19,   70.68,   57.80
08/07/2013 12:20:00,   60.86,   65.13,   52.85,   65.06,   68.95,   57.19
08/07/2013 12:25:00,   61.42,   66.47,   54.34,   65.54,   70.58,   58.30
08/07/2013 12:30:00,   59.93,   64.37,   52.75,   64.29,   68.61,   57.52
08/07/2013 12:35:00,   62.37,   66.48,   55.12,   66.77,   70.86,   59.27
08/07/2013 12:40:00,   62.20,   68.26,   52.64,   66.98,   73.88,   57.15
08/07/2013 12:45:00,   60.49,   65.13,   52.82,   64.68,   69.09,   57.02
08/07/2013 12:50:00,   62.87,   68.48,   54.78,   67.89,   73.20,   59.84
08/07/2013 12:55:00,   60.43,   63.84,   52.93,   64.41,   67.83,   57.03
08/07/2013 13:00:00,   62.44,   67.48,   54.51,   66.82,   71.97,   59.05
08/07/2013 13:05:00,   60.73,   65.46,   53.87,   64.79,   69.05,   58.13
08/07/2013 13:10:00,   61.91,   66.47,   54.61,   65.62,   70.15,   59.46
08/07/2013 13:15:00,   62.35,   66.90,   53.83,   66.53,   71.87,   58.19
08/07/2013 13:20:00,   60.84,   65.20,   52.62,   64.82,   69.47,   56.33
