# noise_analysis run from DCC-NOISE-001011 at Tue Jul  9 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/07/2013 00:05:00,   57.14,   64.96,   44.57,   61.63,   69.40,   49.60
09/07/2013 00:10:00,   52.36,   60.12,   43.83,   55.92,   62.41,   49.11
09/07/2013 00:15:00,   56.63,   62.96,   45.23,   60.59,   65.69,   50.17
09/07/2013 00:20:00,   56.02,   60.21,   44.40,   60.66,   63.42,   49.65
09/07/2013 00:25:00,   53.71,   61.24,   44.52,   57.01,   63.83,   50.00
09/07/2013 00:30:00,   57.31,   64.80,   44.24,   61.06,   67.66,   49.83
09/07/2013 00:35:00,   53.41,   60.37,   44.95,   57.22,   63.68,   50.18
09/07/2013 00:40:00,   56.63,   60.71,   45.07,   61.12,   65.49,   50.35
09/07/2013 00:45:00,   53.90,   61.05,   44.35,   58.40,   64.11,   50.35
09/07/2013 00:50:00,   60.02,   67.40,   44.54,   64.29,   70.15,   50.15
09/07/2013 00:55:00,   60.71,   67.23,   42.95,   64.55,   70.26,   49.44
09/07/2013 01:00:00,   50.72,   58.13,   42.33,   54.79,   60.81,   48.98
09/07/2013 01:05:00,   55.59,   62.41,   43.43,   59.38,   65.00,   49.92
09/07/2013 01:10:00,   50.16,   57.21,   42.65,   54.31,   59.46,   49.63
09/07/2013 01:15:00,   48.77,   54.63,   42.61,   53.13,   58.16,   48.95
09/07/2013 01:20:00,   48.62,   54.98,   43.33,   53.28,   57.84,   50.06
09/07/2013 01:25:00,   47.87,   53.90,   42.97,   53.43,   57.43,   49.54
09/07/2013 01:30:00,   52.01,   59.29,   43.04,   56.46,   62.17,   49.62
09/07/2013 01:35:00,   52.55,   60.28,   42.26,   56.87,   63.80,   49.06
09/07/2013 01:40:00,   51.45,   61.24,   41.92,   55.20,   63.47,   48.59
09/07/2013 01:45:00,   51.34,   58.20,   42.19,   55.25,   60.69,   49.03
09/07/2013 01:50:00,   49.13,   55.01,   42.96,   53.47,   58.05,   49.43
09/07/2013 01:55:00,   52.00,   57.02,   44.80,   56.29,   60.56,   50.83
09/07/2013 02:00:00,   48.95,   53.24,   42.40,   53.21,   56.75,   49.07
09/07/2013 02:05:00,   49.05,   56.05,   41.95,   53.27,   58.78,   48.63
09/07/2013 02:10:00,   49.80,   54.98,   42.22,   54.57,   59.67,   48.99
09/07/2013 02:15:00,   48.33,   54.17,   42.35,   52.65,   56.80,   49.17
09/07/2013 02:20:00,   48.39,   53.43,   41.73,   52.86,   56.10,   48.93
09/07/2013 02:25:00,   64.20,   75.15,   43.82,   68.34,   78.91,   50.10
09/07/2013 02:30:00,   49.20,   55.24,   42.96,   54.80,   59.05,   49.52
09/07/2013 02:35:00,   51.00,   57.49,   42.21,   55.06,   60.66,   48.99
09/07/2013 02:40:00,   49.59,   57.15,   42.19,   53.63,   59.31,   48.84
09/07/2013 02:45:00,   47.83,   54.62,   41.70,   52.59,   57.83,   48.50
09/07/2013 02:50:00,   50.52,   59.79,   41.86,   55.13,   63.12,   48.89
09/07/2013 02:55:00,   48.94,   57.72,   41.28,   53.32,   59.70,   48.01
09/07/2013 03:00:00,   50.57,   56.51,   42.24,   54.04,   58.89,   48.89
09/07/2013 03:05:00,   49.56,   57.04,   41.05,   53.67,   60.48,   47.19
09/07/2013 03:10:00,   49.48,   57.41,   41.35,   53.03,   59.86,   47.23
09/07/2013 03:15:00,   54.06,   60.30,   44.64,   55.22,   61.49,   48.52
09/07/2013 03:20:00,   51.00,   59.39,   42.09,   54.62,   62.05,   48.48
09/07/2013 03:25:00,   49.21,   56.05,   41.81,   53.16,   58.75,   48.35
09/07/2013 03:30:00,   47.40,   54.09,   41.39,   52.10,   57.81,   47.72
