# noise_analysis run from DCC-NOISE-001011 at Wed Jul 10 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/07/2013 00:05:00,   53.55,   59.56,   45.19,   57.32,   62.30,   50.81
10/07/2013 00:10:00,   51.73,   58.64,   45.21,   55.98,   61.26,   50.27
10/07/2013 00:15:00,   57.68,   65.44,   44.66,   62.64,   71.04,   49.93
10/07/2013 00:20:00,   57.54,   65.35,   45.92,   61.69,   69.09,   50.72
10/07/2013 00:25:00,   55.94,   61.05,   45.96,   59.38,   63.57,   50.78
10/07/2013 00:30:00,   56.91,   65.38,   44.13,   59.99,   67.68,   48.83
10/07/2013 00:35:00,   51.81,   58.45,   43.91,   56.89,   63.01,   49.05
10/07/2013 00:40:00,   56.68,   63.19,   44.45,   60.17,   65.92,   49.05
10/07/2013 00:45:00,   54.38,   62.28,   43.12,   58.18,   64.92,   48.34
10/07/2013 00:50:00,   54.99,   63.36,   43.64,   59.65,   66.60,   48.72
10/07/2013 00:55:00,   62.03,   72.68,   43.44,   66.57,   77.49,   48.13
10/07/2013 01:00:00,   52.49,   59.08,   42.62,   56.77,   62.13,   47.65
10/07/2013 01:05:00,   54.78,   61.47,   43.41,   58.95,   64.91,   48.34
10/07/2013 01:10:00,   55.63,   62.92,   42.74,   58.48,   65.14,   48.15
10/07/2013 01:15:00,   50.61,   57.44,   43.24,   54.28,   60.72,   48.41
10/07/2013 01:20:00,   52.97,   60.58,   43.97,   55.92,   63.12,   48.82
10/07/2013 01:25:00,   50.42,   58.24,   41.56,   54.94,   61.87,   46.94
10/07/2013 01:30:00,   49.46,   55.95,   42.50,   53.64,   59.03,   47.74
10/07/2013 01:35:00,   49.66,   56.51,   42.35,   52.95,   58.88,   47.01
10/07/2013 01:40:00,   52.00,   57.91,   42.97,   55.87,   60.85,   47.73
10/07/2013 01:45:00,   49.06,   54.56,   42.27,   53.16,   57.57,   47.73
10/07/2013 01:50:00,   52.77,   61.20,   42.64,   59.52,   65.62,   48.16
10/07/2013 01:55:00,   49.36,   55.63,   42.15,   53.93,   59.90,   47.98
10/07/2013 02:00:00,   48.40,   52.58,   42.34,   52.99,   57.20,   47.95
10/07/2013 02:05:00,   50.38,   57.13,   42.55,   54.44,   61.47,   48.52
10/07/2013 02:10:00,   52.29,   60.90,   43.20,   55.76,   63.43,   48.66
10/07/2013 02:15:00,   51.22,   57.10,   43.30,   58.09,   63.14,   49.33
10/07/2013 02:20:00,   47.31,   51.48,   42.27,   52.24,   56.81,   48.22
10/07/2013 02:25:00,   49.62,   57.30,   42.25,   53.50,   59.83,   47.75
10/07/2013 02:30:00,   48.49,   54.60,   41.54,   52.03,   56.95,   47.12
10/07/2013 02:35:00,   51.24,   57.20,   42.60,   55.32,   59.59,   48.53
10/07/2013 02:40:00,   50.22,   58.33,   41.32,   53.58,   60.97,   46.73
10/07/2013 02:45:00,   53.27,   59.57,   42.33,   57.25,   63.59,   46.82
10/07/2013 02:50:00,   56.69,   59.17,   53.64,   61.40,   62.75,   59.32
10/07/2013 02:55:00,   57.34,   62.35,   46.40,   61.15,   64.41,   51.54
10/07/2013 03:00:00,   52.86,   58.36,   46.63,   56.72,   60.45,   52.13
10/07/2013 03:05:00,   60.52,   63.75,   54.46,   65.12,   66.86,   58.62
10/07/2013 03:10:00,   66.23,   72.50,   52.92,   70.35,   77.12,   57.91
10/07/2013 03:15:00,   64.13,   66.73,   59.71,   67.77,   69.56,   65.76
10/07/2013 03:20:00,   56.49,   65.48,   45.83,   59.67,   68.21,   50.60
10/07/2013 03:25:00,   53.49,   58.59,   44.28,   59.33,   63.19,   49.92
10/07/2013 03:30:00,   68.07,   74.64,   45.19,   73.45,   79.72,   49.90
10/07/2013 03:35:00,   66.08,   72.35,   49.52,   71.70,   78.03,   55.56
10/07/2013 03:40:00,   50.99,   58.28,   42.99,   54.08,   60.99,   47.79
10/07/2013 03:45:00,   49.32,   55.30,   42.83,   52.69,   58.24,   47.30
10/07/2013 03:50:00,   52.12,   56.83,   42.65,   55.33,   59.73,   47.55
10/07/2013 03:55:00,   51.42,   57.93,   42.66,   55.10,   61.32,   47.84
10/07/2013 04:00:00,   51.67,   57.15,   43.86,   55.30,   60.30,   48.87
10/07/2013 04:05:00,   51.23,   58.57,   43.47,   55.24,   61.95,   48.38
