# noise_analysis run from DCC-NOISE-001011 at Thu Jul 11 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/07/2013 00:05:00,   57.54,   64.94,   46.62,   62.90,   71.24,   51.93
11/07/2013 00:10:00,   59.18,   65.77,   47.48,   62.98,   69.75,   52.86
11/07/2013 00:15:00,   59.31,   64.70,   48.77,   63.57,   68.42,   53.52
11/07/2013 00:20:00,   59.38,   66.44,   48.98,   63.64,   69.67,   53.98
11/07/2013 00:25:00,   58.56,   62.53,   50.21,   62.43,   65.76,   54.08
11/07/2013 00:30:00,   59.02,   65.82,   46.83,   63.03,   70.18,   51.51
11/07/2013 00:35:00,   58.77,   65.16,   49.05,   62.89,   68.69,   53.25
11/07/2013 00:40:00,   58.45,   65.75,   47.67,   62.74,   69.71,   52.58
11/07/2013 00:45:00,   57.43,   64.68,   45.83,   61.31,   66.67,   50.87
11/07/2013 00:50:00,   56.79,   62.56,   47.67,   61.97,   66.77,   52.91
11/07/2013 00:55:00,   56.93,   63.97,   45.83,   60.93,   66.75,   51.21
11/07/2013 01:00:00,   54.90,   61.44,   45.98,   58.58,   63.54,   51.56
11/07/2013 01:05:00,   55.97,   62.70,   45.27,   60.07,   65.31,   50.73
11/07/2013 01:10:00,   61.87,   72.52,   45.50,   66.28,   77.14,   51.55
11/07/2013 01:15:00,   53.40,   60.61,   44.89,   57.05,   63.30,   50.94
11/07/2013 01:20:00,   52.40,   59.16,   43.64,   56.43,   63.02,   49.25
11/07/2013 01:25:00,   53.95,   58.73,   47.27,   56.66,   61.40,   51.18
11/07/2013 01:30:00,   55.07,   60.31,   46.50,   57.32,   62.49,   50.27
11/07/2013 01:35:00,   54.62,   59.41,   43.90,   57.24,   62.05,   49.03
11/07/2013 01:40:00,   50.97,   58.17,   43.76,   54.25,   60.69,   48.52
11/07/2013 01:45:00,   51.37,   58.02,   42.56,   54.97,   61.48,   48.25
11/07/2013 01:50:00,   52.01,   60.01,   43.48,   55.55,   62.59,   48.90
11/07/2013 01:55:00,   51.96,   57.38,   43.47,   56.00,   61.68,   49.06
11/07/2013 02:00:00,   53.85,   60.99,   44.45,   57.30,   63.60,   50.05
11/07/2013 02:05:00,   51.42,   58.74,   44.53,   56.02,   62.37,   50.26
11/07/2013 02:10:00,   49.52,   55.61,   43.18,   54.22,   58.41,   50.01
11/07/2013 02:15:00,   51.32,   58.73,   44.85,   55.95,   61.07,   51.38
11/07/2013 02:20:00,   52.07,   59.02,   44.27,   56.65,   63.09,   49.84
11/07/2013 02:25:00,   51.27,   57.60,   44.25,   56.47,   60.37,   50.01
11/07/2013 02:30:00,   50.58,   57.27,   44.62,   56.48,   59.76,   51.05
11/07/2013 02:35:00,   53.40,   57.87,   48.34,   58.71,   61.14,   54.08
11/07/2013 02:40:00,   53.85,   56.12,   45.22,   59.61,   61.14,   51.39
11/07/2013 02:45:00,   54.15,   57.33,   47.87,   60.80,   63.56,   53.80
11/07/2013 02:50:00,   58.33,   60.74,   50.14,   64.24,   66.11,   56.26
11/07/2013 02:55:00,   56.94,   64.16,   47.97,   62.06,   69.55,   54.33
11/07/2013 03:00:00,   63.05,   67.97,   50.34,   68.77,   73.37,   56.67
11/07/2013 03:05:00,   67.35,   68.71,   65.34,   72.98,   74.10,   71.37
11/07/2013 03:10:00,   62.61,   67.81,   56.43,   68.92,   74.34,   64.22
11/07/2013 03:15:00,   69.06,   71.46,   58.48,   74.61,   76.65,   64.95
11/07/2013 03:20:00,   76.53,   81.21,   65.78,   82.00,   86.59,   72.13
11/07/2013 03:25:00,   71.40,   75.31,   58.75,   77.07,   80.74,   66.98
11/07/2013 03:30:00,   67.11,   70.85,   58.91,   72.44,   75.84,   65.85
11/07/2013 03:35:00,   65.52,   69.46,   59.00,   69.59,   72.97,   65.50
11/07/2013 03:40:00,   61.83,   63.17,   60.79,   66.52,   68.19,   65.35
11/07/2013 03:45:00,   70.77,   77.59,   58.30,   75.23,   81.81,   62.65
11/07/2013 03:50:00,   57.55,   60.77,   55.47,   60.87,   63.32,   59.01
11/07/2013 03:55:00,   57.31,   60.71,   55.17,   60.26,   63.02,   58.61
11/07/2013 04:00:00,   57.35,   60.05,   55.11,   60.60,   63.09,   58.70
11/07/2013 04:05:00,   58.59,   62.64,   55.51,   61.39,   65.00,   58.92
11/07/2013 04:10:00,   58.37,   61.59,   55.84,   61.89,   64.76,   59.27
11/07/2013 04:15:00,   70.54,   78.98,   57.58,   75.85,   84.17,   62.43
11/07/2013 04:20:00,   66.14,   71.48,   55.21,   70.57,   75.76,   60.62
11/07/2013 04:25:00,   53.50,   58.45,   47.07,   57.14,   61.01,   53.10
11/07/2013 04:30:00,   55.06,   60.86,   47.56,   59.28,   64.28,   53.21
11/07/2013 04:35:00,   70.88,   78.20,   58.90,   76.07,   82.97,   64.72
11/07/2013 04:40:00,   58.17,   64.89,   48.23,   62.43,   68.95,   53.60
11/07/2013 04:45:00,   54.27,   60.00,   45.32,   57.08,   63.00,   50.54
11/07/2013 04:50:00,   55.44,   62.80,   45.85,   59.06,   65.32,   50.85
11/07/2013 04:55:00,   54.41,   61.24,   45.80,   57.56,   64.16,   51.50
11/07/2013 05:00:00,   56.31,   62.24,   45.36,   60.22,   65.47,   50.46
11/07/2013 05:05:00,   56.23,   63.17,   47.60,   59.95,   67.05,   52.86
11/07/2013 05:10:00,   57.44,   64.48,   49.10,   60.93,   66.93,   53.77
11/07/2013 05:15:00,   57.89,   65.07,   47.07,   61.90,   69.31,   52.48
11/07/2013 05:20:00,   55.68,   62.62,   46.19,   59.01,   65.19,   51.20
11/07/2013 05:25:00,   55.21,   60.53,   47.73,   59.45,   63.54,   52.94
11/07/2013 05:30:00,   53.14,   57.88,   47.54,   58.12,   61.98,   53.03
11/07/2013 05:35:00,   59.33,   66.40,   47.00,   63.64,   70.95,   53.08
11/07/2013 05:40:00,   58.31,   64.54,   48.30,   62.55,   67.22,   54.49
11/07/2013 05:45:00,   59.05,   65.13,   47.19,   62.93,   68.48,   53.10
11/07/2013 05:50:00,   57.92,   63.42,   48.48,   62.13,   67.80,   55.35
11/07/2013 05:55:00,   59.43,   63.06,   51.33,   63.76,   66.60,   57.10
11/07/2013 06:00:00,   57.81,   63.84,   51.55,   61.60,   66.38,   56.02
11/07/2013 06:05:00,   61.09,   66.14,   52.14,   64.93,   69.03,   57.10
11/07/2013 06:10:00,   59.14,   64.04,   51.42,   63.05,   67.36,   55.53
11/07/2013 06:15:00,   56.21,   61.99,   50.90,   59.79,   64.50,   54.84
11/07/2013 06:20:00,   58.22,   64.30,   51.45,   62.09,   67.08,   56.20
11/07/2013 06:25:00,   61.46,   67.29,   52.48,   65.25,   70.45,   56.88
11/07/2013 06:30:00,   59.67,   64.92,   52.24,   63.80,   69.10,   57.01
11/07/2013 06:35:00,   58.41,   64.20,   51.84,   63.13,   67.45,   57.09
11/07/2013 06:40:00,   62.41,   66.39,   53.62,   67.66,   71.65,   59.36
11/07/2013 06:45:00,   60.51,   66.48,   52.04,   65.15,   69.72,   57.60
11/07/2013 06:50:00,   60.33,   65.45,   52.57,   65.11,   69.87,   58.60
11/07/2013 06:55:00,   58.23,   62.97,   52.94,   63.12,   66.06,   58.61
11/07/2013 07:00:00,   61.63,   65.80,   53.76,   66.63,   70.94,   59.22
11/07/2013 07:05:00,   59.38,   64.34,   52.59,   63.58,   67.19,   57.40
11/07/2013 07:10:00,   62.35,   68.82,   52.90,   66.70,   72.66,   58.29
11/07/2013 07:15:00,   61.71,   66.16,   52.16,   66.53,   72.52,   56.44
11/07/2013 07:20:00,   62.15,   66.73,   52.59,   66.32,   71.04,   58.05
11/07/2013 07:25:00,   60.37,   65.68,   51.73,   64.78,   69.17,   56.58
11/07/2013 07:30:00,   61.84,   68.76,   51.88,   66.66,   73.34,   56.94
11/07/2013 07:35:00,   61.99,   66.16,   53.93,   66.66,   71.14,   59.03
11/07/2013 07:40:00,   63.08,   68.61,   53.36,   67.36,   72.77,   58.76
11/07/2013 07:45:00,   61.08,   67.34,   51.49,   65.35,   70.92,   56.67
11/07/2013 07:50:00,   62.02,   67.02,   52.15,   66.10,   70.25,   56.66
11/07/2013 07:55:00,   62.98,   67.34,   52.57,   67.60,   72.73,   58.43
11/07/2013 08:00:00,   61.66,   65.51,   53.14,   65.38,   68.79,   58.10
11/07/2013 08:05:00,   61.11,   67.09,   53.33,   65.62,   70.14,   58.80
11/07/2013 08:10:00,   61.89,   66.53,   53.06,   66.54,   71.34,   58.70
11/07/2013 08:15:00,   60.95,   66.95,   52.13,   65.24,   69.96,   57.61
11/07/2013 08:20:00,   62.80,   67.67,   54.13,   66.88,   71.29,   58.60
11/07/2013 08:25:00,   60.47,   66.66,   51.79,   64.98,   70.87,   57.29
11/07/2013 08:30:00,   60.40,   64.80,   51.75,   64.72,   69.20,   56.88
11/07/2013 08:35:00,   61.89,   67.68,   53.09,   66.48,   71.99,   58.25
11/07/2013 08:40:00,   63.26,   68.80,   53.57,   67.25,   72.77,   58.93
11/07/2013 08:45:00,   62.83,   68.05,   54.81,   67.15,   72.05,   59.66
11/07/2013 08:50:00,   60.57,   66.16,   53.28,   64.91,   70.02,   57.98
11/07/2013 08:55:00,   61.66,   66.91,   53.81,   66.00,   70.17,   58.61
11/07/2013 09:00:00,   62.00,   68.36,   52.79,   66.39,   72.84,   57.82
11/07/2013 09:05:00,   62.27,   67.50,   53.74,   66.27,   71.30,   58.57
11/07/2013 09:10:00,   61.25,   66.71,   53.48,   66.33,   71.43,   58.59
11/07/2013 09:15:00,   64.26,   68.61,   57.30,   68.66,   73.38,   61.89
11/07/2013 09:20:00,   62.60,   68.57,   53.71,   67.10,   72.65,   59.10
11/07/2013 09:25:00,   61.28,   64.68,   52.41,   65.87,   69.80,   57.81
11/07/2013 09:30:00,   62.99,   67.58,   54.86,   67.45,   70.62,   59.67
11/07/2013 09:35:00,   60.17,   66.01,   51.68,   64.71,   69.61,   56.80
11/07/2013 09:40:00,   62.19,   66.82,   53.67,   66.47,   71.49,   59.26
11/07/2013 09:45:00,   61.98,   67.44,   52.23,   66.19,   70.70,   57.74
11/07/2013 09:50:00,   63.32,   68.38,   55.35,   67.35,   71.61,   60.69
11/07/2013 09:55:00,   63.75,   67.21,   56.76,   67.32,   70.50,   61.17
11/07/2013 10:00:00,   65.73,   70.26,   57.26,   69.69,   73.84,   61.21
11/07/2013 10:05:00,   61.68,   66.08,   53.56,   66.80,   71.12,   58.65
11/07/2013 10:10:00,   60.46,   63.78,   54.12,   64.96,   67.92,   58.88
11/07/2013 10:15:00,   61.34,   67.08,   53.57,   66.30,   71.42,   59.03
11/07/2013 10:20:00,   62.18,   66.46,   55.36,   66.92,   71.48,   60.32
11/07/2013 10:25:00,   61.65,   64.66,   55.23,   66.06,   69.45,   59.40
11/07/2013 10:30:00,   63.33,   67.76,   54.40,   68.25,   73.61,   59.59
11/07/2013 10:35:00,   62.55,   67.52,   54.40,   67.36,   71.96,   59.80
11/07/2013 10:40:00,   62.31,   67.74,   52.88,   67.04,   72.71,   58.06
11/07/2013 10:45:00,   60.45,   63.57,   52.85,   64.31,   67.57,   57.42
11/07/2013 10:50:00,   62.02,   66.39,   54.06,   66.80,   70.89,   58.51
11/07/2013 10:55:00,   60.21,   65.12,   53.80,   64.78,   69.40,   58.56
11/07/2013 11:00:00,   61.93,   67.24,   54.82,   66.73,   71.75,   58.87
11/07/2013 11:05:00,   62.62,   68.58,   53.73,   67.26,   72.89,   58.19
11/07/2013 11:10:00,   60.66,   65.04,   53.54,   65.52,   70.30,   58.73
11/07/2013 11:15:00,   60.78,   65.31,   53.47,   65.51,   70.17,   57.70
11/07/2013 11:20:00,   62.07,   67.18,   54.58,   66.16,   71.05,   58.86
11/07/2013 11:25:00,   60.93,   65.87,   54.23,   65.58,   70.18,   58.92
11/07/2013 11:30:00,   63.17,   68.52,   55.23,   67.19,   71.24,   59.52
11/07/2013 11:35:00,   63.33,   69.11,   52.88,   69.04,   75.17,   58.46
11/07/2013 11:40:00,   61.31,   66.29,   52.24,   65.34,   70.13,   56.47
11/07/2013 11:45:00,   61.01,   64.78,   54.23,   65.22,   69.05,   58.59
11/07/2013 11:50:00,   61.88,   65.76,   55.21,   66.89,   71.39,   59.90
11/07/2013 11:55:00,   60.91,   65.62,   52.30,   65.96,   71.62,   56.81
11/07/2013 12:00:00,   61.84,   65.60,   53.55,   66.61,   71.89,   58.15
11/07/2013 12:05:00,   61.72,   66.54,   55.24,   66.31,   71.47,   59.19
11/07/2013 12:10:00,   61.70,   66.07,   52.18,   66.20,   70.29,   56.72
11/07/2013 12:15:00,   63.00,   67.16,   54.55,   68.30,   71.68,   58.73
11/07/2013 12:20:00,   64.41,   68.35,   60.15,   70.03,   73.11,   66.86
11/07/2013 12:25:00,   63.40,   68.21,   54.08,   68.24,   72.19,   58.93
11/07/2013 12:30:00,   60.76,   64.82,   54.24,   64.95,   68.58,   57.91
11/07/2013 12:35:00,   59.65,   63.42,   53.19,   63.78,   67.55,   56.80
11/07/2013 12:40:00,   59.60,   63.39,   53.50,   63.93,   68.21,   57.72
11/07/2013 12:45:00,   59.86,   64.83,   53.82,   64.20,   69.79,   58.26
11/07/2013 12:50:00,   60.78,   65.98,   54.20,   65.24,   69.91,   59.09
11/07/2013 12:55:00,   61.41,   66.21,   53.52,   65.81,   71.27,   58.21
11/07/2013 13:00:00,   62.08,   66.71,   54.26,   66.74,   71.68,   59.36
11/07/2013 13:05:00,   61.73,   68.39,   52.13,   66.18,   72.80,   56.86
11/07/2013 13:10:00,   60.26,   62.99,   55.47,   64.64,   67.02,   59.58
11/07/2013 13:15:00,   61.88,   66.58,   54.53,   66.25,   70.95,   59.14
11/07/2013 13:20:00,   62.67,   67.84,   54.33,   66.91,   71.66,   58.60
11/07/2013 13:25:00,   59.54,   63.87,   53.86,   63.81,   67.75,   58.38
11/07/2013 13:30:00,   61.97,   66.64,   53.96,   66.44,   70.43,   58.31
11/07/2013 13:35:00,   61.08,   65.51,   53.29,   65.53,   70.26,   57.67
11/07/2013 13:40:00,   61.17,   66.05,   54.67,   65.35,   69.38,   59.70
11/07/2013 13:45:00,   59.39,   61.68,   54.60,   63.36,   65.74,   58.24
11/07/2013 13:50:00,   62.58,   67.40,   54.98,   66.99,   71.37,   58.42
11/07/2013 13:55:00,   61.94,   67.08,   53.75,   66.43,   70.91,   58.01
11/07/2013 14:00:00,   61.76,   65.90,   53.78,   66.32,   71.18,   58.58
11/07/2013 14:05:00,   61.53,   64.42,   55.56,   65.32,   67.74,   59.38
11/07/2013 14:10:00,   61.26,   65.89,   53.96,   66.19,   71.08,   58.01
11/07/2013 14:15:00,   63.43,   69.75,   53.47,   68.28,   75.24,   58.33
11/07/2013 14:20:00,   59.87,   63.88,   53.09,   64.24,   68.92,   57.96
11/07/2013 14:25:00,   62.04,   66.75,   54.13,   66.80,   70.92,   60.81
11/07/2013 14:30:00,   60.53,   65.42,   53.26,   65.83,   70.31,   57.97
11/07/2013 14:35:00,   61.38,   65.41,   54.23,   65.77,   69.48,   58.69
11/07/2013 14:40:00,   61.40,   65.42,   53.75,   66.02,   69.57,   58.21
11/07/2013 14:45:00,   63.16,   68.88,   53.37,   67.47,   73.81,   57.80
11/07/2013 14:50:00,   62.95,   67.55,   55.27,   66.44,   71.50,   59.30
11/07/2013 14:55:00,   61.67,   67.29,   54.55,   65.87,   69.96,   58.78
11/07/2013 15:00:00,   61.52,   66.83,   52.48,   65.92,   70.81,   57.22
11/07/2013 15:05:00,   60.76,   65.61,   52.28,   65.06,   69.82,   56.93
11/07/2013 15:10:00,   62.25,   67.48,   53.14,   66.93,   72.17,   58.04
11/07/2013 15:15:00,   61.23,   64.30,   53.17,   65.54,   68.39,   57.76
11/07/2013 15:20:00,   60.38,   66.17,   52.84,   65.56,   71.62,   57.16
11/07/2013 15:25:00,   60.96,   64.36,   53.03,   65.66,   69.57,   57.23
11/07/2013 15:30:00,   61.34,   65.93,   54.02,   65.53,   68.93,   58.79
11/07/2013 15:35:00,   61.35,   66.69,   52.22,   65.68,   70.96,   56.75
11/07/2013 15:40:00,   61.59,   66.99,   51.59,   65.88,   71.07,   56.53
11/07/2013 15:45:00,   62.17,   66.42,   54.84,   65.99,   70.02,   59.17
11/07/2013 15:50:00,   60.45,   65.92,   52.67,   64.84,   70.56,   57.40
11/07/2013 15:55:00,   62.76,   69.07,   54.99,   67.33,   73.76,   60.25
11/07/2013 16:00:00,   61.51,   67.33,   52.19,   65.97,   71.35,   57.60
11/07/2013 16:05:00,   61.81,   67.26,   53.56,   66.08,   72.09,   57.90
11/07/2013 16:10:00,   60.32,   64.53,   53.34,   64.00,   67.58,   57.74
11/07/2013 16:15:00,   62.28,   67.31,   54.84,   67.00,   72.79,   59.97
11/07/2013 16:20:00,   64.51,   69.08,   57.87,   68.84,   73.31,   61.70
11/07/2013 16:25:00,   60.74,   64.22,   53.28,   64.68,   67.97,   57.67
11/07/2013 16:30:00,   62.28,   68.44,   53.09,   66.52,   72.24,   57.40
11/07/2013 16:35:00,   61.54,   66.05,   53.48,   66.37,   71.32,   57.65
11/07/2013 16:40:00,   61.31,   65.10,   55.51,   65.56,   68.33,   59.19
11/07/2013 16:45:00,   62.49,   67.16,   56.38,   67.20,   73.57,   59.08
11/07/2013 16:50:00,   63.54,   68.37,   56.12,   67.07,   70.96,   60.25
11/07/2013 16:55:00,   62.76,   67.51,   54.69,   66.34,   70.84,   59.15
11/07/2013 17:00:00,   63.73,   69.32,   55.66,   68.04,   73.15,   59.52
11/07/2013 17:05:00,   62.25,   66.71,   53.26,   66.43,   70.74,   56.90
11/07/2013 17:10:00,   63.54,   68.97,   54.84,   67.14,   72.55,   59.61
11/07/2013 17:15:00,   62.67,   69.77,   51.96,   67.09,   73.81,   56.22
11/07/2013 17:20:00,   61.72,   64.92,   54.23,   66.39,   70.41,   59.18
11/07/2013 17:25:00,   62.88,   69.29,   53.03,   66.87,   73.10,   57.64
11/07/2013 17:30:00,   65.16,   70.10,   55.05,   67.86,   74.69,   59.45
11/07/2013 17:35:00,   62.90,   68.40,   53.14,   66.21,   70.21,   57.66
11/07/2013 17:40:00,   61.11,   64.87,   53.09,   65.03,   68.85,   57.20
11/07/2013 17:45:00,   62.37,   68.99,   52.76,   66.49,   72.26,   57.62
11/07/2013 17:50:00,   62.42,   68.27,   51.77,   66.42,   72.20,   56.24
11/07/2013 17:55:00,   61.46,   67.76,   51.84,   65.43,   71.89,   55.48
11/07/2013 18:00:00,   61.63,   66.03,   53.58,   65.90,   70.08,   58.38
11/07/2013 18:05:00,   61.49,   64.30,   54.10,   65.34,   68.94,   59.46
11/07/2013 18:10:00,   62.57,   68.29,   53.30,   66.63,   72.41,   57.73
11/07/2013 18:15:00,   60.33,   64.41,   53.21,   64.35,   67.16,   57.89
11/07/2013 18:20:00,   61.21,   65.17,   53.75,   65.48,   69.61,   58.31
11/07/2013 18:25:00,   62.31,   66.99,   53.50,   66.68,   70.72,   58.89
11/07/2013 18:30:00,   63.22,   69.25,   53.54,   67.71,   73.77,   57.44
11/07/2013 18:35:00,   63.97,   68.49,   54.35,   68.71,   73.50,   59.67
11/07/2013 18:40:00,   63.56,   69.56,   53.38,   68.02,   74.81,   57.95
11/07/2013 18:45:00,   65.56,   71.25,   55.50,   69.71,   75.94,   59.68
11/07/2013 18:50:00,   63.38,   68.37,   54.22,   68.06,   73.95,   58.46
11/07/2013 18:55:00,   62.36,   67.01,   53.73,   66.77,   72.53,   58.15
11/07/2013 19:00:00,   60.41,   64.37,   52.43,   64.35,   67.59,   57.32
11/07/2013 19:05:00,   64.44,   69.91,   53.98,   68.21,   73.12,   58.89
11/07/2013 19:10:00,   59.44,   63.84,   51.76,   62.56,   66.61,   55.93
11/07/2013 19:15:00,   64.18,   69.77,   53.20,   68.42,   74.36,   57.23
11/07/2013 19:20:00,   62.49,   67.76,   53.76,   65.98,   71.42,   58.14
11/07/2013 19:25:00,   60.68,   65.60,   52.17,   64.51,   69.38,   57.02
11/07/2013 19:30:00,   60.32,   66.13,   52.71,   63.57,   68.84,   57.15
11/07/2013 19:35:00,   59.59,   65.17,   51.72,   63.86,   68.80,   56.16
11/07/2013 19:40:00,   59.83,   64.79,   51.55,   63.43,   67.85,   56.11
11/07/2013 19:45:00,   61.52,   66.29,   51.98,   65.20,   69.47,   56.08
11/07/2013 19:50:00,   59.12,   63.46,   51.25,   62.66,   66.26,   55.24
11/07/2013 19:55:00,   59.09,   63.76,   51.69,   62.05,   66.42,   54.81
11/07/2013 20:00:00,   62.19,   66.58,   54.65,   65.83,   70.36,   58.46
11/07/2013 20:05:00,   59.57,   63.77,   53.82,   62.64,   66.34,   57.95
11/07/2013 20:10:00,   61.18,   66.29,   53.96,   65.21,   69.43,   58.69
11/07/2013 20:15:00,   59.08,   63.35,   53.52,   62.01,   65.46,   57.81
11/07/2013 20:20:00,   61.79,   66.29,   53.10,   65.48,   69.51,   58.13
11/07/2013 20:25:00,   60.17,   64.44,   51.38,   64.25,   67.67,   58.72
11/07/2013 20:30:00,   61.50,   65.06,   52.83,   65.16,   68.27,   58.42
