# noise_analysis run from DCC-NOISE-001011 at Mon Jul 15 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/07/2013 00:05:00,   61.71,   68.82,   49.79,   65.93,   72.84,   53.98
15/07/2013 00:10:00,   57.96,   63.56,   50.37,   62.68,   68.62,   54.72
15/07/2013 00:15:00,   59.67,   65.89,   49.01,   63.48,   69.40,   53.34
15/07/2013 00:20:00,   58.87,   63.89,   51.15,   62.40,   67.27,   54.90
15/07/2013 00:25:00,   59.37,   65.45,   50.20,   63.08,   69.23,   54.79
15/07/2013 00:30:00,   59.56,   65.60,   49.93,   63.67,   70.40,   53.92
15/07/2013 00:35:00,   60.23,   66.60,   47.93,   63.73,   70.38,   52.21
15/07/2013 00:40:00,   60.35,   66.80,   50.33,   63.96,   70.13,   53.95
15/07/2013 00:45:00,   57.76,   63.79,   48.42,   61.42,   66.42,   52.67
15/07/2013 00:50:00,   55.97,   62.12,   47.61,   58.67,   64.29,   51.54
15/07/2013 00:55:00,   58.02,   65.05,   48.34,   62.01,   68.83,   52.38
15/07/2013 01:00:00,   55.80,   60.72,   46.74,   58.77,   63.28,   51.01
15/07/2013 01:05:00,   54.89,   61.54,   47.32,   57.85,   63.70,   51.45
15/07/2013 01:10:00,   55.29,   62.32,   47.11,   58.75,   65.24,   51.70
15/07/2013 01:15:00,   56.74,   62.54,   48.39,   59.65,   64.64,   52.61
15/07/2013 01:20:00,   54.31,   59.87,   47.54,   57.74,   62.71,   51.77
15/07/2013 01:25:00,   53.04,   57.86,   46.35,   56.30,   61.33,   50.68
15/07/2013 01:30:00,   55.06,   61.30,   47.72,   59.35,   64.53,   52.18
15/07/2013 01:35:00,   52.92,   58.96,   47.09,   56.58,   61.34,   51.81
15/07/2013 01:40:00,   55.00,   60.77,   46.67,   58.42,   63.73,   51.32
15/07/2013 01:45:00,   54.96,   62.80,   46.63,   57.92,   64.74,   51.40
15/07/2013 01:50:00,   53.64,   59.66,   46.80,   56.78,   61.92,   51.06
15/07/2013 01:55:00,   52.98,   58.96,   46.42,   56.19,   60.90,   50.83
15/07/2013 02:00:00,   53.39,   60.41,   46.32,   56.28,   62.41,   50.32
15/07/2013 02:05:00,   53.01,   59.23,   46.08,   56.50,   62.15,   49.81
15/07/2013 02:10:00,   52.51,   58.90,   45.73,   56.11,   61.65,   50.09
15/07/2013 02:15:00,   53.44,   58.99,   47.09,   57.32,   62.18,   51.85
