# noise_analysis run from DCC-NOISE-001011 at Fri Jul 19 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/07/2013 00:05:00,   58.18,   64.35,   46.16,   62.21,   67.46,   51.54
19/07/2013 00:10:00,   54.81,   61.58,   46.52,   58.49,   64.32,   51.66
19/07/2013 00:15:00,   58.09,   63.30,   46.53,   61.79,   66.22,   51.70
19/07/2013 00:20:00,   58.30,   64.13,   46.17,   62.19,   67.22,   51.73
19/07/2013 00:25:00,   56.59,   62.47,   47.10,   60.53,   65.01,   52.31
19/07/2013 00:30:00,   53.52,   59.27,   45.79,   57.70,   62.51,   51.96
19/07/2013 00:35:00,   57.44,   63.17,   45.75,   62.10,   66.40,   55.37
19/07/2013 00:40:00,   57.08,   63.81,   44.91,   61.53,   65.98,   50.49
19/07/2013 00:45:00,   57.40,   63.55,   45.61,   61.43,   66.38,   50.97
19/07/2013 00:50:00,   57.30,   62.80,   45.26,   60.53,   65.40,   50.55
19/07/2013 00:55:00,   53.36,   59.05,   46.23,   57.33,   62.73,   51.76
19/07/2013 01:00:00,   55.80,   62.50,   46.42,   58.74,   64.48,   51.55
19/07/2013 01:05:00,   56.17,   62.24,   44.81,   60.42,   65.02,   50.88
19/07/2013 01:10:00,   52.67,   59.55,   44.48,   57.21,   62.68,   50.83
19/07/2013 01:15:00,   53.87,   60.56,   44.42,   57.46,   63.33,   50.95
19/07/2013 01:20:00,   51.59,   57.90,   44.80,   55.31,   60.49,   50.60
19/07/2013 01:25:00,   51.71,   57.83,   45.04,   55.96,   61.20,   51.41
19/07/2013 01:30:00,   53.21,   60.19,   45.06,   56.92,   62.30,   51.71
19/07/2013 01:35:00,   53.26,   59.62,   45.32,   57.06,   61.99,   51.26
19/07/2013 01:40:00,   52.49,   59.54,   44.78,   56.31,   61.94,   50.76
19/07/2013 01:45:00,   51.81,   58.97,   45.16,   56.02,   62.34,   51.37
19/07/2013 01:50:00,   53.92,   61.14,   45.41,   57.77,   63.46,   51.96
19/07/2013 01:55:00,   52.67,   58.79,   45.12,   56.37,   61.36,   51.16
19/07/2013 02:00:00,   52.58,   58.04,   44.93,   55.84,   59.73,   51.52
19/07/2013 02:05:00,   52.54,   58.45,   44.32,   56.29,   61.18,   50.96
19/07/2013 02:10:00,   52.10,   57.39,   45.51,   58.34,   62.15,   52.28
19/07/2013 02:15:00,   50.77,   57.64,   44.77,   56.57,   61.17,   52.63
19/07/2013 02:20:00,   51.54,   57.17,   45.37,   58.18,   61.17,   55.02
19/07/2013 02:25:00,   51.96,   58.62,   44.88,   56.75,   61.55,   52.32
19/07/2013 02:30:00,   51.37,   59.13,   44.21,   55.53,   61.75,   50.42
19/07/2013 02:35:00,   49.15,   55.53,   43.66,   54.29,   58.22,   50.52
19/07/2013 02:40:00,   50.54,   56.81,   44.07,   55.58,   61.49,   50.39
19/07/2013 02:45:00,   51.98,   59.35,   44.59,   56.12,   62.42,   50.66
19/07/2013 02:50:00,   51.93,   58.37,   44.02,   55.84,   61.46,   50.00
19/07/2013 02:55:00,   54.15,   61.44,   44.49,   57.88,   63.70,   50.61
19/07/2013 03:00:00,   50.58,   55.41,   45.63,   54.57,   58.47,   51.13
19/07/2013 03:05:00,   50.74,   57.53,   44.37,   54.68,   60.78,   50.32
19/07/2013 03:10:00,   53.72,   60.46,   44.39,   57.17,   63.55,   50.26
19/07/2013 03:15:00,   52.57,   60.87,   44.29,   56.17,   63.07,   49.90
19/07/2013 03:20:00,   51.85,   58.36,   44.48,   55.93,   61.99,   50.35
19/07/2013 03:25:00,   52.62,   60.34,   44.89,   56.68,   62.39,   50.94
19/07/2013 03:30:00,   51.38,   57.61,   44.50,   55.09,   60.29,   50.32
19/07/2013 03:35:00,   53.58,   60.49,   45.76,   57.25,   62.43,   51.35
19/07/2013 03:40:00,   53.23,   60.63,   45.78,   57.61,   64.23,   50.79
19/07/2013 03:45:00,   53.28,   59.72,   45.63,   57.11,   62.79,   50.72
19/07/2013 03:50:00,   50.13,   54.96,   44.35,   54.26,   57.62,   50.28
19/07/2013 03:55:00,   52.26,   58.07,   45.00,   56.20,   61.62,   50.43
19/07/2013 04:00:00,   51.16,   56.81,   44.28,   54.65,   58.99,   49.77
19/07/2013 04:05:00,   53.18,   60.96,   44.91,   57.10,   62.92,   51.01
19/07/2013 04:10:00,   52.17,   59.48,   45.00,   57.14,   63.10,   52.12
19/07/2013 04:15:00,   51.57,   58.49,   45.26,   54.82,   61.06,   50.41
19/07/2013 04:20:00,   55.09,   63.12,   46.14,   58.52,   65.54,   51.69
19/07/2013 04:25:00,   53.68,   61.06,   45.80,   57.20,   63.08,   50.94
19/07/2013 04:30:00,   53.53,   59.06,   46.57,   56.90,   62.05,   51.41
19/07/2013 04:35:00,   55.80,   62.77,   46.55,   59.19,   65.62,   51.05
19/07/2013 04:40:00,   55.96,   61.02,   47.76,   59.11,   63.82,   52.04
19/07/2013 04:45:00,   54.84,   60.88,   47.30,   59.63,   64.27,   52.06
19/07/2013 04:50:00,   55.37,   62.01,   46.29,   58.20,   63.95,   51.49
19/07/2013 04:55:00,   56.35,   63.24,   47.34,   59.43,   65.63,   52.31
19/07/2013 05:00:00,   56.79,   64.27,   46.91,   59.90,   66.93,   52.28
19/07/2013 05:05:00,   55.86,   63.21,   46.65,   59.26,   65.21,   51.59
19/07/2013 05:10:00,   59.63,   64.64,   50.18,   63.62,   67.61,   55.92
19/07/2013 05:15:00,   55.57,   62.32,   47.53,   59.38,   64.56,   53.92
19/07/2013 05:20:00,   54.80,   60.16,   48.64,   59.32,   63.42,   55.27
19/07/2013 05:25:00,   56.56,   63.60,   47.49,   60.59,   66.28,   54.73
19/07/2013 05:30:00,   54.75,   60.62,   47.02,   59.29,   63.79,   53.71
19/07/2013 05:35:00,   58.55,   65.42,   48.97,   62.83,   69.08,   54.89
19/07/2013 05:40:00,   58.20,   65.42,   48.37,   63.24,   68.69,   55.35
19/07/2013 05:45:00,   58.52,   63.70,   50.32,   63.56,   67.63,   57.54
19/07/2013 05:50:00,   56.63,   62.00,   48.43,   61.49,   66.17,   55.69
19/07/2013 05:55:00,   58.73,   65.07,   48.69,   63.03,   68.61,   54.99
19/07/2013 06:00:00,   56.96,   62.21,   50.44,   60.62,   64.93,   55.50
19/07/2013 06:05:00,   58.46,   64.95,   50.52,   62.58,   67.69,   55.19
19/07/2013 06:10:00,   60.87,   68.17,   52.01,   65.31,   72.75,   56.82
19/07/2013 06:15:00,   61.22,   67.86,   51.58,   65.78,   72.38,   56.85
19/07/2013 06:20:00,   59.30,   64.10,   53.71,   64.98,   68.91,   60.00
19/07/2013 06:25:00,   59.99,   67.25,   52.02,   64.73,   71.15,   56.70
19/07/2013 06:30:00,   59.29,   64.70,   52.15,   63.61,   68.09,   57.14
19/07/2013 06:35:00,   57.47,   61.23,   52.68,   61.76,   64.93,   58.01
19/07/2013 06:40:00,   58.64,   64.60,   52.38,   62.57,   67.43,   57.83
19/07/2013 06:45:00,   61.24,   66.23,   53.14,   65.63,   70.47,   57.94
19/07/2013 06:50:00,   60.47,   65.76,   53.15,   65.26,   69.63,   58.74
19/07/2013 06:55:00,   59.34,   63.98,   52.49,   66.22,   70.13,   58.58
19/07/2013 07:00:00,   61.27,   67.02,   52.56,   68.98,   71.27,   65.83
19/07/2013 07:05:00,   60.63,   65.45,   52.58,   65.77,   69.39,   57.16
19/07/2013 07:10:00,   61.60,   66.56,   53.93,   65.77,   69.73,   58.75
19/07/2013 07:15:00,   59.97,   65.82,   51.97,   64.22,   69.37,   56.99
19/07/2013 07:20:00,   63.37,   68.45,   53.41,   67.50,   72.80,   58.14
19/07/2013 07:25:00,   61.40,   66.56,   53.43,   65.40,   69.75,   57.70
19/07/2013 07:30:00,   61.06,   66.19,   51.89,   64.97,   68.99,   57.43
19/07/2013 07:35:00,   63.37,   69.12,   53.94,   67.49,   73.22,   59.24
19/07/2013 07:40:00,   62.83,   67.16,   53.28,   67.10,   70.53,   58.98
19/07/2013 07:45:00,   61.23,   66.33,   53.28,   65.22,   70.25,   58.32
19/07/2013 07:50:00,   63.25,   67.37,   54.17,   67.64,   72.13,   60.19
19/07/2013 07:55:00,   61.74,   66.08,   51.91,   65.94,   70.23,   57.42
19/07/2013 08:00:00,   63.80,   68.98,   54.28,   68.19,   73.65,   59.50
19/07/2013 08:05:00,   59.70,   64.59,   53.00,   64.30,   67.98,   57.79
19/07/2013 08:10:00,   63.65,   68.45,   54.51,   68.88,   74.87,   59.49
19/07/2013 08:15:00,   61.08,   65.18,   53.62,   65.70,   69.00,   58.89
19/07/2013 08:20:00,   63.12,   68.77,   53.55,   67.97,   73.39,   58.77
19/07/2013 08:25:00,   62.08,   67.00,   52.90,   66.67,   71.28,   57.69
19/07/2013 08:30:00,   61.92,   66.76,   53.25,   66.64,   71.46,   58.90
19/07/2013 08:35:00,   63.36,   69.07,   55.07,   68.02,   73.47,   59.91
19/07/2013 08:40:00,   62.14,   67.47,   53.34,   67.03,   72.57,   58.39
19/07/2013 08:45:00,   62.83,   67.19,   53.23,   67.30,   72.50,   58.62
19/07/2013 08:50:00,   63.56,   69.60,   53.43,   67.97,   73.80,   58.36
19/07/2013 08:55:00,   60.89,   65.91,   52.86,   65.72,   71.39,   58.33
19/07/2013 09:00:00,   63.02,   68.13,   54.74,   67.82,   72.60,   60.69
19/07/2013 09:05:00,   62.25,   68.33,   53.31,   66.72,   73.01,   58.51
19/07/2013 09:10:00,   62.33,   67.41,   54.10,   67.01,   72.09,   58.86
19/07/2013 09:15:00,   62.58,   68.48,   53.04,   67.43,   72.86,   59.10
19/07/2013 09:20:00,   63.81,   69.36,   54.59,   68.37,   74.24,   60.19
19/07/2013 09:25:00,   62.72,   68.45,   52.92,   67.13,   72.24,   59.62
19/07/2013 09:30:00,   61.34,   66.96,   53.18,   65.33,   70.22,   58.23
19/07/2013 09:35:00,   63.35,   69.61,   53.15,   67.53,   72.97,   58.17
19/07/2013 09:40:00,   62.12,   67.35,   54.62,   66.49,   70.47,   59.64
19/07/2013 09:45:00,   60.44,   65.43,   52.36,   64.71,   69.34,   57.89
19/07/2013 09:50:00,   62.82,   66.53,   56.26,   66.82,   71.52,   60.31
19/07/2013 09:55:00,   63.27,   68.56,   54.10,   67.67,   73.03,   59.27
19/07/2013 10:00:00,   61.78,   65.35,   54.92,   66.48,   69.77,   60.93
19/07/2013 10:05:00,   63.14,   68.65,   53.12,   68.12,   74.46,   58.70
19/07/2013 10:10:00,   61.68,   68.34,   53.31,   65.86,   72.50,   57.86
19/07/2013 10:15:00,   62.51,   67.89,   55.10,   66.69,   70.85,   59.56
19/07/2013 10:20:00,   62.90,   68.29,   56.37,   67.26,   72.16,   61.10
19/07/2013 10:25:00,   60.12,   63.78,   53.33,   64.21,   67.67,   58.34
19/07/2013 10:30:00,   63.84,   68.43,   56.24,   67.95,   73.46,   60.56
19/07/2013 10:35:00,   62.28,   66.64,   53.93,   67.06,   71.08,   59.15
19/07/2013 10:40:00,   63.24,   68.73,   54.24,   67.76,   73.52,   59.33
19/07/2013 10:45:00,   60.12,   62.74,   55.72,   64.36,   67.01,   60.41
19/07/2013 10:50:00,   63.23,   68.10,   55.22,   67.60,   72.57,   60.19
19/07/2013 10:55:00,   62.61,   66.85,   54.71,   67.40,   71.59,   60.32
19/07/2013 11:00:00,   62.31,   66.96,   54.96,   67.56,   72.62,   59.79
19/07/2013 11:05:00,   62.06,   66.20,   54.39,   66.02,   70.07,   58.47
19/07/2013 11:10:00,   62.12,   66.24,   54.66,   66.18,   70.43,   58.79
19/07/2013 11:15:00,   60.19,   63.68,   53.59,   64.20,   66.70,   58.39
19/07/2013 11:20:00,   63.53,   69.29,   55.00,   68.34,   74.08,   59.68
