# noise_analysis run from DCC-NOISE-001011 at Sat Jul 20 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/07/2013 00:05:00,   55.46,   62.25,   47.62,   59.78,   65.31,   53.91
20/07/2013 00:10:00,   57.42,   62.84,   47.40,   61.81,   65.61,   54.18
20/07/2013 00:15:00,   56.14,   61.19,   47.36,   60.21,   64.32,   53.88
20/07/2013 00:20:00,   59.26,   65.46,   47.03,   63.41,   68.81,   53.53
20/07/2013 00:25:00,   58.14,   62.77,   47.60,   62.43,   65.77,   54.19
20/07/2013 00:30:00,   55.78,   62.15,   46.84,   59.38,   65.25,   52.86
20/07/2013 00:35:00,   54.61,   61.10,   46.69,   58.78,   63.75,   53.54
20/07/2013 00:40:00,   57.32,   64.68,   46.99,   61.82,   68.57,   53.90
20/07/2013 00:45:00,   56.28,   62.12,   46.76,   60.12,   65.23,   53.49
20/07/2013 00:50:00,   55.35,   61.67,   47.53,   59.46,   64.60,   54.09
20/07/2013 00:55:00,   57.60,   64.21,   47.67,   62.21,   67.00,   53.98
20/07/2013 01:00:00,   52.44,   57.78,   46.12,   56.74,   60.83,   52.48
20/07/2013 01:05:00,   56.93,   62.94,   46.94,   60.91,   65.58,   52.55
20/07/2013 01:10:00,   55.86,   62.03,   46.18,   59.68,   64.78,   52.74
20/07/2013 01:15:00,   52.57,   58.29,   46.10,   56.39,   60.85,   51.70
20/07/2013 01:20:00,   53.96,   60.40,   46.70,   57.20,   62.27,   52.46
20/07/2013 01:25:00,   53.49,   58.57,   46.49,   57.33,   62.01,   51.95
20/07/2013 01:30:00,   54.81,   62.08,   45.92,   58.59,   64.52,   52.09
20/07/2013 01:35:00,   54.61,   60.93,   45.19,   57.75,   63.11,   50.92
20/07/2013 01:40:00,   56.26,   62.42,   46.68,   59.67,   64.70,   52.58
20/07/2013 01:45:00,   54.27,   61.93,   45.66,   57.95,   64.40,   51.75
20/07/2013 01:50:00,   53.81,   61.23,   45.75,   57.70,   63.86,   51.98
20/07/2013 01:55:00,   53.91,   60.48,   45.48,   58.15,   63.98,   51.69
20/07/2013 02:00:00,   53.48,   59.03,   46.14,   57.97,   62.50,   52.51
20/07/2013 02:05:00,   53.60,   61.06,   44.38,   57.49,   63.69,   50.58
20/07/2013 02:10:00,   54.72,   60.80,   46.19,   58.27,   63.13,   51.77
20/07/2013 02:15:00,   56.90,   62.56,   45.16,   60.61,   65.39,   53.74
