# noise_analysis run from DCC-NOISE-001011 at Sun Jul 21 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/07/2013 00:05:00,   59.09,   64.12,   48.91,   62.96,   67.73,   53.97
21/07/2013 00:10:00,   56.92,   62.14,   48.18,   60.60,   65.17,   53.73
21/07/2013 00:15:00,   59.94,   64.60,   50.30,   64.13,   69.55,   55.39
21/07/2013 00:20:00,   56.63,   62.46,   47.57,   60.50,   65.17,   54.12
21/07/2013 00:25:00,   60.45,   66.52,   49.50,   64.65,   71.19,   55.41
21/07/2013 00:30:00,   56.10,   62.50,   47.99,   59.78,   65.50,   53.43
21/07/2013 00:35:00,   58.71,   64.83,   49.21,   62.83,   68.32,   54.30
21/07/2013 00:40:00,   55.88,   61.60,   48.13,   59.48,   64.03,   53.99
21/07/2013 00:45:00,   60.61,   65.06,   48.95,   64.82,   69.25,   55.23
21/07/2013 00:50:00,   57.76,   63.01,   47.21,   61.84,   66.00,   53.59
21/07/2013 00:55:00,   56.16,   62.64,   48.64,   59.70,   65.15,   53.77
21/07/2013 01:00:00,   57.20,   63.52,   49.34,   60.85,   66.00,   55.38
21/07/2013 01:05:00,   54.18,   60.97,   47.85,   58.32,   64.04,   53.76
21/07/2013 01:10:00,   56.61,   62.12,   48.26,   61.12,   65.15,   54.01
21/07/2013 01:15:00,   56.40,   61.46,   49.28,   60.12,   64.69,   54.31
21/07/2013 01:20:00,   55.48,   61.97,   47.82,   60.68,   65.42,   52.74
21/07/2013 01:25:00,   56.50,   62.46,   47.53,   59.95,   65.15,   52.69
21/07/2013 01:30:00,   54.42,   61.14,   46.24,   58.49,   63.83,   51.53
21/07/2013 01:35:00,   54.86,   60.64,   47.06,   58.04,   63.33,   51.89
21/07/2013 01:40:00,   55.49,   61.96,   46.76,   58.90,   64.18,   51.82
21/07/2013 01:45:00,   54.95,   61.30,   46.64,   58.01,   63.93,   51.37
