# noise_analysis run from DCC-NOISE-001011 at Tue Jul 30 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/07/2013 00:05:00,   54.36,   60.79,   46.17,   57.12,   62.92,   50.41
30/07/2013 00:10:00,   57.44,   63.33,   46.53,   61.10,   66.10,   50.95
30/07/2013 00:15:00,   55.56,   62.66,   45.13,   59.35,   65.23,   50.04
30/07/2013 00:20:00,   54.46,   61.24,   45.35,   58.54,   65.37,   49.58
30/07/2013 00:25:00,   56.28,   61.97,   45.73,   59.92,   64.54,   50.20
30/07/2013 00:30:00,   50.45,   56.36,   44.80,   54.12,   59.28,   49.45
30/07/2013 00:35:00,   56.53,   63.16,   44.36,   59.76,   65.63,   48.58
30/07/2013 00:40:00,   57.15,   65.36,   44.46,   62.22,   70.17,   49.43
30/07/2013 00:45:00,   52.92,   58.76,   44.23,   56.23,   61.67,   48.68
30/07/2013 00:50:00,   58.14,   65.66,   45.95,   60.82,   68.27,   50.34
30/07/2013 00:55:00,   52.51,   58.87,   43.71,   56.89,   62.38,   48.46
30/07/2013 01:00:00,   51.63,   59.09,   44.26,   54.46,   60.97,   48.22
30/07/2013 01:05:00,   54.40,   61.38,   44.07,   58.22,   63.65,   48.30
30/07/2013 01:10:00,   50.11,   55.63,   44.25,   54.28,   59.44,   48.70
30/07/2013 01:15:00,   51.25,   57.47,   44.07,   54.55,   60.02,   48.25
30/07/2013 01:20:00,   52.29,   59.43,   44.63,   55.12,   61.46,   49.02
30/07/2013 01:25:00,   51.86,   57.92,   45.74,   56.43,   61.86,   50.14
30/07/2013 01:30:00,   53.54,   57.83,   47.16,   57.12,   61.42,   51.50
30/07/2013 01:35:00,   52.34,   58.17,   45.21,   56.33,   61.60,   49.94
30/07/2013 01:40:00,   52.26,   58.99,   45.86,   55.25,   61.24,   49.64
30/07/2013 01:45:00,   53.38,   58.30,   46.56,   57.15,   62.12,   50.35
30/07/2013 01:50:00,   51.41,   58.81,   44.01,   55.06,   62.08,   48.49
30/07/2013 01:55:00,   49.38,   55.09,   43.42,   53.12,   58.83,   47.64
30/07/2013 02:00:00,   47.79,   52.15,   43.29,   51.24,   55.30,   47.37
30/07/2013 02:05:00,   50.60,   57.68,   44.11,   54.00,   59.90,   48.53
30/07/2013 02:10:00,   52.90,   61.73,   44.43,   56.08,   64.08,   48.97
30/07/2013 02:15:00,   50.72,   57.57,   45.02,   54.62,   60.63,   49.10
30/07/2013 02:20:00,   49.82,   53.06,   45.00,   53.76,   57.56,   49.04
30/07/2013 02:25:00,   51.75,   57.34,   45.89,   54.93,   60.35,   49.85
30/07/2013 02:30:00,   54.45,   62.24,   45.67,   57.32,   64.21,   49.67
30/07/2013 02:35:00,   50.96,   57.41,   44.52,   54.96,   60.65,   48.71
30/07/2013 02:40:00,   47.83,   49.82,   43.94,   52.00,   55.48,   48.33
30/07/2013 02:45:00,   51.49,   58.27,   44.39,   53.56,   58.43,   48.64
30/07/2013 02:50:00,   49.70,   54.63,   44.54,   53.17,   57.49,   48.89
30/07/2013 02:55:00,   48.93,   53.08,   43.76,   52.13,   55.52,   48.11
30/07/2013 03:00:00,   51.28,   59.17,   44.17,   54.45,   61.91,   48.29
30/07/2013 03:05:00,   53.49,   58.87,   43.89,   57.39,   62.69,   48.38
30/07/2013 03:10:00,   51.03,   57.52,   44.30,   54.34,   60.60,   48.69
30/07/2013 03:15:00,   50.66,   57.83,   44.22,   54.47,   61.63,   48.62
30/07/2013 03:20:00,   52.16,   59.91,   43.88,   55.08,   62.15,   48.51
30/07/2013 03:25:00,   50.44,   58.31,   43.26,   54.39,   61.41,   48.07
30/07/2013 03:30:00,   49.71,   55.43,   43.76,   53.27,   58.43,   48.43
30/07/2013 03:35:00,   55.63,   63.76,   44.54,   60.69,   68.56,   49.40
30/07/2013 03:40:00,   53.43,   61.48,   44.13,   56.46,   63.48,   48.61
30/07/2013 03:45:00,   51.01,   58.40,   43.82,   54.51,   61.16,   48.25
30/07/2013 03:50:00,   52.03,   58.32,   44.31,   55.81,   61.34,   49.12
30/07/2013 03:55:00,   51.92,   59.29,   42.83,   54.77,   61.52,   47.52
30/07/2013 04:00:00,   50.52,   58.02,   43.07,   54.02,   60.70,   47.47
30/07/2013 04:05:00,   53.44,   61.02,   44.04,   56.55,   63.15,   48.82
30/07/2013 04:10:00,   50.92,   57.09,   43.62,   54.58,   60.34,   48.58
30/07/2013 04:15:00,   52.44,   59.24,   44.45,   55.69,   61.85,   48.76
30/07/2013 04:20:00,   52.27,   58.82,   45.13,   56.29,   62.38,   49.71
30/07/2013 04:25:00,   55.36,   62.47,   46.39,   59.17,   65.26,   50.85
30/07/2013 04:30:00,   53.69,   60.02,   45.99,   56.64,   62.72,   49.99
30/07/2013 04:35:00,   54.77,   61.37,   45.68,   57.09,   63.21,   49.59
30/07/2013 04:40:00,   52.55,   58.29,   45.38,   55.45,   61.15,   49.92
30/07/2013 04:45:00,   53.75,   60.07,   45.40,   56.36,   62.49,   49.17
30/07/2013 04:50:00,   52.23,   56.29,   46.00,   55.50,   60.44,   49.89
30/07/2013 04:55:00,   55.48,   60.70,   46.76,   58.24,   63.53,   50.52
30/07/2013 05:00:00,   54.33,   60.58,   46.48,   57.40,   63.38,   50.59
30/07/2013 05:05:00,   57.08,   64.92,   47.42,   60.01,   67.63,   51.50
30/07/2013 05:10:00,   57.28,   63.27,   49.61,   61.05,   65.60,   53.65
30/07/2013 05:15:00,   56.38,   62.29,   47.83,   59.91,   65.32,   52.59
30/07/2013 05:20:00,   53.19,   58.50,   46.82,   57.71,   61.28,   52.80
30/07/2013 05:25:00,   56.33,   62.51,   47.79,   60.38,   65.45,   53.32
30/07/2013 05:30:00,   55.70,   61.08,   49.43,   59.24,   63.67,   54.24
30/07/2013 05:35:00,   60.71,   66.79,   49.63,   65.83,   72.72,   56.10
30/07/2013 05:40:00,   57.30,   63.57,   47.34,   61.96,   66.49,   53.06
30/07/2013 05:45:00,   59.22,   66.42,   46.85,   62.94,   69.15,   52.77
30/07/2013 05:50:00,   57.79,   63.30,   49.47,   62.48,   66.98,   55.06
30/07/2013 05:55:00,   58.74,   63.87,   48.26,   62.51,   66.48,   54.17
30/07/2013 06:00:00,   56.63,   62.16,   50.37,   60.84,   65.64,   54.36
30/07/2013 06:05:00,   61.50,   68.40,   51.47,   65.56,   71.94,   55.74
30/07/2013 06:10:00,   57.64,   64.03,   50.99,   61.00,   65.39,   55.29
30/07/2013 06:15:00,   58.09,   63.78,   50.97,   60.81,   66.01,   54.56
30/07/2013 06:20:00,   58.63,   63.20,   51.78,   62.72,   67.14,   56.04
30/07/2013 06:25:00,   61.05,   66.79,   51.48,   64.55,   69.83,   55.46
30/07/2013 06:30:00,   59.89,   67.12,   52.57,   64.98,   72.46,   56.94
30/07/2013 06:35:00,   59.43,   65.06,   52.90,   63.79,   68.78,   57.13
30/07/2013 06:40:00,   59.36,   64.75,   53.65,   63.30,   68.51,   57.68
30/07/2013 06:45:00,   62.87,   67.40,   53.69,   66.68,   71.07,   57.75
30/07/2013 06:50:00,   59.54,   63.40,   54.53,   63.85,   66.70,   59.32
30/07/2013 06:55:00,   60.53,   65.98,   53.19,   64.61,   69.44,   58.10
30/07/2013 07:00:00,   60.72,   66.89,   53.03,   64.23,   69.51,   57.10
30/07/2013 07:05:00,   61.87,   66.73,   54.36,   66.12,   71.32,   58.71
30/07/2013 07:10:00,   60.53,   66.24,   53.53,   64.30,   68.84,   58.46
30/07/2013 07:15:00,   61.09,   66.21,   53.30,   65.00,   68.80,   58.24
30/07/2013 07:20:00,   60.70,   66.51,   53.44,   64.94,   69.20,   58.30
30/07/2013 07:25:00,   64.36,   69.04,   54.30,   69.41,   75.43,   59.97
30/07/2013 07:30:00,   62.28,   67.25,   52.58,   66.93,   72.43,   57.52
30/07/2013 07:35:00,   63.39,   69.01,   53.04,   67.70,   73.51,   57.73
30/07/2013 07:40:00,   61.14,   67.13,   52.50,   65.04,   70.23,   57.21
30/07/2013 07:45:00,   62.75,   66.83,   53.28,   67.01,   71.33,   58.06
30/07/2013 07:50:00,   61.95,   66.62,   53.56,   65.72,   69.82,   58.02
30/07/2013 07:55:00,   61.34,   66.40,   53.76,   65.40,   69.29,   58.87
30/07/2013 08:00:00,   62.72,   68.55,   54.04,   67.57,   73.35,   60.05
30/07/2013 08:05:00,   61.98,   66.20,   54.35,   66.01,   69.35,   59.81
30/07/2013 08:10:00,   63.74,   68.93,   54.95,   68.02,   73.08,   61.00
30/07/2013 08:15:00,   62.10,   66.94,   53.03,   66.27,   70.66,   58.75
30/07/2013 08:20:00,   60.76,   65.76,   53.05,   64.45,   68.66,   57.94
30/07/2013 08:25:00,   63.17,   67.94,   53.13,   67.49,   72.53,   58.87
30/07/2013 08:30:00,   60.87,   64.67,   53.12,   64.89,   67.77,   58.18
30/07/2013 08:35:00,   64.60,   69.05,   55.38,   69.09,   73.79,   60.33
30/07/2013 08:40:00,   61.79,   66.22,   55.11,   65.89,   70.21,   60.20
30/07/2013 08:45:00,   63.58,   67.90,   55.40,   67.96,   72.62,   60.43
30/07/2013 08:50:00,   60.64,   64.75,   54.99,   64.26,   67.74,   59.04
30/07/2013 08:55:00,   62.96,   67.05,   56.32,   66.93,   71.06,   61.22
30/07/2013 09:00:00,   62.64,   66.59,   55.62,   66.86,   71.21,   60.34
30/07/2013 09:05:00,   62.42,   67.18,   53.02,   66.48,   71.34,   57.78
30/07/2013 09:10:00,   63.22,   67.24,   55.65,   66.84,   70.95,   59.86
30/07/2013 09:15:00,   63.93,   68.87,   56.19,   67.57,   72.28,   60.76
30/07/2013 09:20:00,   61.92,   66.53,   53.59,   65.68,   69.42,   58.45
30/07/2013 09:25:00,   64.61,   69.68,   56.02,   68.91,   73.82,   60.29
30/07/2013 09:30:00,   62.04,   67.34,   52.84,   65.64,   70.45,   57.38
30/07/2013 09:35:00,   61.80,   65.22,   53.57,   65.55,   68.63,   58.07
30/07/2013 09:40:00,   62.29,   67.56,   54.13,   66.41,   71.59,   58.44
30/07/2013 09:45:00,   61.57,   65.96,   53.65,   65.68,   69.83,   58.35
30/07/2013 09:50:00,   62.15,   66.23,   54.96,   66.27,   70.58,   59.36
30/07/2013 09:55:00,   62.06,   67.05,   53.25,   66.06,   69.94,   58.00
30/07/2013 10:00:00,   62.97,   66.44,   57.30,   67.88,   71.97,   62.23
30/07/2013 10:05:00,   64.77,   69.27,   58.13,   68.67,   73.31,   62.56
30/07/2013 10:10:00,   63.58,   68.97,   53.82,   67.31,   72.43,   58.14
30/07/2013 10:15:00,   62.37,   66.90,   56.05,   66.61,   70.27,   60.35
30/07/2013 10:20:00,   63.32,   66.40,   57.57,   67.97,   72.02,   62.50
30/07/2013 10:25:00,   63.74,   68.90,   56.89,   68.05,   72.86,   61.86
30/07/2013 10:30:00,   62.64,   66.85,   56.63,   66.70,   70.45,   60.20
30/07/2013 10:35:00,   61.73,   65.68,   54.81,   66.04,   69.47,   59.22
30/07/2013 10:40:00,   62.69,   67.95,   53.14,   66.82,   71.76,   57.58
30/07/2013 10:45:00,   61.31,   66.05,   53.63,   66.78,   70.18,   57.52
30/07/2013 10:50:00,   62.40,   66.79,   54.46,   66.43,   70.62,   59.26
30/07/2013 10:55:00,   62.25,   65.63,   56.36,   66.55,   69.58,   60.66
30/07/2013 11:00:00,   62.33,   66.12,   57.10,   66.50,   69.98,   61.46
30/07/2013 11:05:00,   60.26,   63.87,   53.16,   64.06,   67.63,   57.54
30/07/2013 11:10:00,   61.77,   66.19,   55.36,   66.34,   70.84,   60.60
30/07/2013 11:15:00,   62.00,   66.03,   54.95,   66.57,   71.06,   58.92
30/07/2013 11:20:00,   62.28,   67.99,   53.84,   67.11,   73.22,   58.74
30/07/2013 11:25:00,   62.02,   66.80,   51.96,   64.66,   68.19,   56.46
30/07/2013 11:30:00,   63.57,   68.50,   55.37,   68.38,   73.85,   59.34
30/07/2013 11:35:00,   60.63,   64.49,   54.23,   65.23,   68.31,   59.38
30/07/2013 11:40:00,   60.44,   64.37,   54.00,   64.30,   67.96,   58.77
30/07/2013 11:45:00,   61.26,   65.93,   53.29,   65.21,   69.34,   57.58
30/07/2013 11:50:00,   61.84,   66.68,   54.69,   65.88,   70.08,   58.94
30/07/2013 11:55:00,   67.93,   70.70,   54.13,   70.00,   72.78,   59.02
30/07/2013 12:00:00,   62.72,   68.14,   55.41,   66.67,   71.13,   60.05
30/07/2013 12:05:00,   61.82,   66.72,   53.83,   65.93,   70.71,   58.17
30/07/2013 12:10:00,   61.80,   66.17,   54.48,   66.18,   70.60,   58.75
30/07/2013 12:15:00,   60.73,   65.27,   52.58,   64.94,   68.69,   57.28
30/07/2013 12:20:00,   61.99,   67.81,   53.59,   66.69,   73.24,   57.67
30/07/2013 12:25:00,   60.86,   63.67,   55.42,   64.93,   68.00,   59.23
30/07/2013 12:30:00,   62.97,   67.30,   54.22,   69.04,   75.29,   57.96
30/07/2013 12:35:00,   64.55,   69.19,   56.86,   68.13,   72.54,   60.31
30/07/2013 12:40:00,   62.07,   66.56,   55.00,   66.41,   70.46,   59.36
30/07/2013 12:45:00,   61.52,   65.89,   55.05,   65.89,   70.61,   59.39
30/07/2013 12:50:00,   61.30,   66.63,   54.24,   65.38,   69.53,   58.52
30/07/2013 12:55:00,   63.21,   67.99,   56.50,   67.39,   72.83,   60.42
30/07/2013 13:00:00,   61.15,   64.68,   54.43,   65.76,   69.65,   58.55
30/07/2013 13:05:00,   62.13,   66.47,   55.52,   66.39,   70.56,   62.05
30/07/2013 13:10:00,   62.52,   67.60,   54.46,   66.59,   71.69,   59.08
30/07/2013 13:15:00,   61.90,   65.44,   55.94,   66.04,   69.79,   60.45
30/07/2013 13:20:00,   61.68,   67.17,   54.82,   65.80,   70.45,   59.22
30/07/2013 13:25:00,   60.83,   64.58,   54.77,   64.72,   68.44,   58.62
30/07/2013 13:30:00,   61.34,   65.55,   54.75,   65.79,   70.59,   58.54
30/07/2013 13:35:00,   63.60,   68.93,   52.90,   66.58,   72.01,   56.83
30/07/2013 13:40:00,   60.88,   67.23,   52.35,   65.42,   71.51,   56.37
30/07/2013 13:45:00,   61.75,   67.68,   55.05,   65.98,   72.02,   59.37
30/07/2013 13:50:00,   59.57,   63.45,   53.44,   64.09,   68.34,   58.00
30/07/2013 13:55:00,   61.83,   67.20,   53.94,   66.37,   72.50,   58.36
30/07/2013 14:00:00,   62.86,   67.28,   55.50,   66.48,   70.44,   59.05
30/07/2013 14:05:00,   64.28,   67.93,   59.63,   68.63,   72.30,   63.71
30/07/2013 14:10:00,   63.57,   66.52,   58.21,   67.26,   69.79,   61.21
30/07/2013 14:15:00,   64.06,   67.39,   59.07,   68.09,   71.54,   62.83
30/07/2013 14:20:00,   61.91,   65.86,   55.59,   66.05,   70.28,   59.76
30/07/2013 14:25:00,   63.02,   67.79,   56.93,   66.30,   71.06,   60.31
30/07/2013 14:30:00,   62.64,   66.61,   55.71,   66.24,   70.17,   59.75
30/07/2013 14:35:00,   62.27,   66.02,   53.74,   65.65,   69.20,   57.93
30/07/2013 14:40:00,   65.17,   69.44,   58.06,   69.72,   74.51,   62.57
30/07/2013 14:45:00,   64.84,   68.45,   60.45,   68.60,   71.24,   64.56
30/07/2013 14:50:00,   66.62,   69.67,   62.79,   70.37,   73.74,   66.81
30/07/2013 14:55:00,   66.52,   70.18,   63.11,   70.57,   74.22,   67.26
30/07/2013 15:00:00,   67.17,   69.96,   63.13,   71.09,   73.71,   67.28
30/07/2013 15:05:00,   67.46,   69.15,   64.84,   71.54,   73.05,   68.96
30/07/2013 15:10:00,   63.68,   69.02,   53.37,   67.28,   72.84,   57.31
30/07/2013 15:15:00,   61.97,   65.39,   54.45,   66.33,   71.01,   58.61
30/07/2013 15:20:00,   62.44,   66.87,   54.93,   66.36,   70.62,   59.56
30/07/2013 15:25:00,   60.53,   64.66,   54.25,   64.21,   68.08,   58.06
30/07/2013 15:30:00,   62.86,   67.98,   52.08,   66.71,   72.26,   56.98
30/07/2013 15:35:00,   63.10,   67.65,   55.05,   67.25,   71.79,   60.85
30/07/2013 15:40:00,   62.05,   68.18,   54.29,   66.52,   72.15,   58.67
30/07/2013 15:45:00,   65.71,   69.34,   59.11,   69.36,   72.80,   63.48
30/07/2013 15:50:00,   64.03,   68.52,   57.54,   67.79,   71.88,   61.80
30/07/2013 15:55:00,   64.29,   68.83,   55.09,   67.84,   72.70,   58.99
30/07/2013 16:00:00,   62.36,   66.30,   55.67,   65.96,   69.31,   59.79
30/07/2013 16:05:00,   63.50,   67.61,   56.40,   67.03,   71.22,   59.93
30/07/2013 16:10:00,   61.94,   66.72,   53.33,   65.74,   70.94,   57.58
30/07/2013 16:15:00,   63.46,   67.37,   57.60,   66.90,   70.83,   60.85
