# noise_analysis run from DCC-NOISE-001011 at Sat Jun  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/06/2013 00:05:00,   57.63,   63.04,   49.46,   60.25,   65.00,   53.71
01/06/2013 00:10:00,   58.67,   64.45,   49.55,   61.86,   66.63,   53.58
01/06/2013 00:15:00,   57.19,   62.95,   49.52,   60.84,   66.35,   53.16
01/06/2013 00:20:00,   60.12,   66.31,   50.44,   63.49,   69.09,   54.38
01/06/2013 00:25:00,   58.42,   64.94,   49.43,   61.92,   67.45,   53.25
01/06/2013 00:30:00,   56.99,   61.30,   49.89,   59.83,   64.06,   53.45
01/06/2013 00:35:00,   59.70,   66.49,   51.48,   63.05,   68.94,   55.13
01/06/2013 00:40:00,   57.29,   62.60,   49.77,   59.90,   64.70,   53.07
01/06/2013 00:45:00,   56.90,   62.98,   49.14,   60.43,   66.49,   52.84
01/06/2013 00:50:00,   58.71,   64.11,   49.88,   61.95,   66.69,   53.82
01/06/2013 00:55:00,   55.46,   60.97,   47.62,   58.66,   64.43,   51.63
01/06/2013 01:00:00,   54.65,   60.71,   47.37,   57.58,   62.78,   50.91
01/06/2013 01:05:00,   58.52,   63.32,   49.75,   62.23,   66.13,   54.27
01/06/2013 01:10:00,   57.31,   61.92,   50.22,   60.15,   64.39,   53.77
01/06/2013 01:15:00,   55.07,   62.59,   47.33,   57.77,   64.38,   51.21
01/06/2013 01:20:00,   56.79,   63.84,   47.62,   59.24,   66.04,   51.57
01/06/2013 01:25:00,   58.66,   62.54,   47.06,   60.52,   64.72,   50.79
01/06/2013 01:30:00,   55.75,   61.72,   47.67,   58.84,   63.95,   51.28
01/06/2013 01:35:00,   56.67,   63.09,   48.32,   59.90,   65.72,   52.12
01/06/2013 01:40:00,   55.16,   61.52,   47.21,   57.91,   63.96,   51.14
01/06/2013 01:45:00,   53.54,   60.85,   46.81,   56.43,   63.02,   50.71
01/06/2013 01:50:00,   55.47,   61.52,   47.68,   58.34,   63.86,   51.99
01/06/2013 01:55:00,   54.94,   60.22,   47.00,   58.09,   63.27,   51.32
01/06/2013 02:00:00,   55.31,   62.42,   47.34,   58.02,   64.26,   51.00
01/06/2013 02:05:00,   56.33,   63.60,   48.44,   59.50,   65.81,   52.98
01/06/2013 02:10:00,   55.05,   61.54,   47.34,   57.76,   63.63,   51.14
01/06/2013 02:15:00,   55.22,   60.59,   47.20,   59.05,   64.17,   51.05
