# noise_analysis run from DCC-NOISE-001011 at Sun Jun  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/06/2013 00:05:00,   56.18,   62.12,   47.90,   59.34,   64.49,   51.80
02/06/2013 00:10:00,   59.03,   64.93,   48.71,   62.38,   67.26,   52.88
02/06/2013 00:15:00,   57.39,   62.84,   48.57,   60.07,   64.78,   53.00
02/06/2013 00:20:00,   57.29,   64.49,   48.35,   60.62,   67.62,   52.41
02/06/2013 00:25:00,   61.49,   67.47,   49.51,   64.91,   70.74,   53.61
02/06/2013 00:30:00,   58.72,   65.10,   48.50,   62.09,   67.31,   53.74
02/06/2013 00:35:00,   55.95,   62.00,   47.90,   59.19,   64.49,   53.08
02/06/2013 00:40:00,   55.48,   61.73,   47.58,   58.74,   64.27,   52.62
02/06/2013 00:45:00,   59.24,   65.09,   48.08,   63.10,   68.40,   53.18
02/06/2013 00:50:00,   59.46,   64.92,   48.27,   62.85,   67.28,   53.26
02/06/2013 00:55:00,   56.86,   64.20,   48.06,   59.65,   65.80,   52.74
02/06/2013 01:00:00,   57.70,   64.07,   48.08,   60.68,   66.25,   53.05
02/06/2013 01:05:00,   57.21,   64.42,   48.58,   60.12,   66.59,   53.17
02/06/2013 01:10:00,   58.66,   64.14,   50.22,   61.42,   66.51,   53.52
02/06/2013 01:15:00,   55.76,   60.39,   48.37,   58.37,   62.93,   51.93
02/06/2013 01:20:00,   55.83,   62.36,   47.20,   58.42,   64.65,   50.82
02/06/2013 01:25:00,   57.85,   63.56,   50.06,   60.59,   65.98,   53.59
02/06/2013 01:30:00,   55.87,   61.55,   46.96,   58.61,   64.12,   51.16
02/06/2013 01:35:00,   55.61,   62.17,   46.15,   58.09,   64.19,   49.87
02/06/2013 01:40:00,   56.06,   63.01,   46.03,   58.57,   64.84,   49.87
02/06/2013 01:45:00,   54.33,   60.44,   47.49,   57.18,   62.71,   51.19
02/06/2013 01:50:00,   56.21,   62.49,   45.92,   58.94,   64.71,   49.74
02/06/2013 01:55:00,   54.57,   61.68,   45.98,   57.46,   63.87,   50.29
02/06/2013 02:00:00,   56.93,   63.35,   46.51,   59.53,   65.26,   50.77
02/06/2013 02:05:00,   53.85,   60.69,   45.71,   57.07,   63.00,   50.20
02/06/2013 02:10:00,   55.22,   61.33,   44.96,   58.07,   63.60,   49.39
02/06/2013 02:15:00,   54.62,   62.94,   44.97,   57.35,   64.84,   49.43
02/06/2013 02:20:00,   55.69,   62.77,   46.75,   58.36,   64.80,   50.52
02/06/2013 02:25:00,   55.43,   61.91,   45.76,   57.77,   64.12,   49.45
02/06/2013 02:30:00,   57.17,   63.64,   47.02,   59.50,   65.84,   50.73
02/06/2013 02:35:00,   67.86,   70.81,   45.39,   69.07,   71.19,   49.64
02/06/2013 02:40:00,   54.47,   62.23,   45.44,   57.38,   64.74,   50.34
02/06/2013 02:45:00,   54.11,   62.92,   44.29,   57.50,   64.84,   50.66
02/06/2013 02:50:00,   53.88,   58.56,   46.02,   57.27,   60.99,   51.59
02/06/2013 02:55:00,   55.58,   62.61,   45.83,   58.71,   64.99,   51.97
02/06/2013 03:00:00,   55.35,   63.35,   46.63,   58.46,   65.38,   51.80
02/06/2013 03:05:00,   55.28,   62.62,   46.71,   58.17,   64.54,   52.12
02/06/2013 03:10:00,   56.49,   64.14,   46.70,   59.21,   66.19,   52.09
02/06/2013 03:15:00,   55.66,   62.82,   46.67,   58.47,   65.09,   50.06
02/06/2013 03:20:00,   55.07,   62.51,   45.53,   57.89,   64.79,   49.60
02/06/2013 03:25:00,   55.70,   62.31,   47.54,   58.13,   64.33,   50.92
02/06/2013 03:30:00,   55.41,   61.70,   46.03,   58.04,   63.88,   49.59
02/06/2013 03:35:00,   53.34,   58.10,   45.66,   56.14,   60.46,   49.15
02/06/2013 03:40:00,   58.05,   63.90,   48.16,   61.15,   67.01,   51.87
02/06/2013 03:45:00,   55.60,   62.57,   46.50,   58.33,   64.94,   49.90
02/06/2013 03:50:00,   55.06,   62.48,   46.28,   57.85,   64.02,   49.98
02/06/2013 03:55:00,   56.83,   64.44,   46.41,   59.27,   66.55,   50.23
02/06/2013 04:00:00,   54.45,   61.38,   46.24,   56.82,   62.60,   49.86
