# noise_analysis run from DCC-NOISE-001011 at Mon Jun  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/06/2013 00:05:00,   55.36,   61.27,   46.19,   58.64,   63.73,   51.27
03/06/2013 00:10:00,   56.96,   64.13,   45.79,   61.26,   67.50,   52.33
03/06/2013 00:15:00,   55.54,   62.44,   44.53,   58.90,   65.87,   50.01
03/06/2013 00:20:00,   53.50,   59.69,   45.71,   56.88,   62.16,   50.40
03/06/2013 00:25:00,   55.72,   62.46,   45.41,   58.73,   64.81,   49.68
03/06/2013 00:30:00,   54.06,   58.95,   46.90,   57.28,   61.46,   50.50
03/06/2013 00:35:00,   54.49,   62.22,   43.98,   57.50,   64.46,   49.32
03/06/2013 00:40:00,   51.52,   57.47,   45.04,   54.68,   59.88,   49.47
03/06/2013 00:45:00,   55.08,   62.57,   45.68,   58.13,   64.91,   49.89
03/06/2013 00:50:00,   52.33,   58.26,   44.11,   55.61,   61.20,   49.51
03/06/2013 00:55:00,   54.08,   59.77,   46.36,   57.53,   62.72,   50.59
03/06/2013 01:00:00,   55.13,   62.20,   45.50,   57.81,   63.89,   49.84
03/06/2013 01:05:00,   55.07,   61.98,   42.93,   58.05,   64.26,   47.94
03/06/2013 01:10:00,   53.94,   61.15,   44.25,   56.97,   63.37,   49.46
03/06/2013 01:15:00,   54.45,   59.68,   44.92,   56.98,   61.20,   49.55
03/06/2013 01:20:00,   53.32,   59.93,   45.30,   56.48,   62.40,   50.32
03/06/2013 01:25:00,   52.97,   59.17,   45.45,   56.09,   61.32,   50.26
03/06/2013 01:30:00,   53.29,   60.70,   43.84,   56.44,   63.21,   48.62
03/06/2013 01:35:00,   53.05,   60.08,   44.66,   55.86,   61.91,   48.87
03/06/2013 01:40:00,   51.37,   57.42,   44.05,   54.58,   60.27,   48.30
03/06/2013 01:45:00,   52.43,   57.96,   45.36,   55.48,   60.41,   49.23
03/06/2013 01:50:00,   62.71,   73.60,   43.52,   66.95,   78.41,   48.13
03/06/2013 01:55:00,   55.97,   62.04,   45.96,   59.00,   64.55,   50.10
03/06/2013 02:00:00,   54.19,   60.29,   45.04,   57.04,   62.72,   49.51
03/06/2013 02:05:00,   56.64,   62.10,   45.68,   58.88,   64.23,   49.39
03/06/2013 02:10:00,   54.41,   60.99,   44.55,   56.90,   62.95,   48.34
03/06/2013 02:15:00,   51.90,   59.57,   43.14,   55.26,   61.54,   49.00
03/06/2013 02:20:00,   55.79,   62.06,   45.37,   58.80,   65.13,   49.89
03/06/2013 02:25:00,   55.11,   61.02,   44.76,   58.29,   63.80,   49.35
03/06/2013 02:30:00,   52.96,   59.58,   45.07,   56.63,   62.43,   50.13
03/06/2013 02:35:00,   52.27,   59.49,   44.01,   55.33,   62.20,   48.58
03/06/2013 02:40:00,   53.79,   59.02,   44.77,   56.47,   61.05,   49.11
03/06/2013 02:45:00,   56.51,   62.35,   45.61,   59.58,   64.95,   49.63
03/06/2013 02:50:00,   53.77,   61.41,   44.63,   56.70,   63.62,   49.63
03/06/2013 02:55:00,   52.07,   59.64,   43.59,   55.35,   62.33,   48.21
03/06/2013 03:00:00,   52.28,   59.77,   43.93,   55.61,   62.19,   48.79
03/06/2013 03:05:00,   54.34,   62.43,   45.39,   57.18,   64.56,   49.72
03/06/2013 03:10:00,   53.18,   60.38,   43.96,   55.91,   62.59,   48.52
03/06/2013 03:15:00,   55.78,   62.52,   46.60,   58.87,   65.46,   50.35
03/06/2013 03:20:00,   54.88,   61.68,   47.13,   57.62,   63.76,   51.27
03/06/2013 03:25:00,   55.48,   63.49,   45.12,   58.54,   66.54,   49.70
03/06/2013 03:30:00,   55.02,   62.47,   45.52,   57.90,   65.22,   50.00
03/06/2013 03:35:00,   53.95,   61.26,   45.79,   56.92,   63.57,   49.55
03/06/2013 03:40:00,   55.08,   61.32,   46.32,   57.77,   63.72,   50.02
03/06/2013 03:45:00,   55.81,   63.46,   46.33,   58.70,   65.67,   50.82
03/06/2013 03:50:00,   55.56,   62.63,   45.15,   58.07,   64.78,   49.33
03/06/2013 03:55:00,   54.07,   60.94,   46.05,   57.26,   63.06,   50.55
03/06/2013 04:00:00,   55.40,   62.25,   45.18,   58.34,   64.49,   50.37
03/06/2013 04:05:00,   51.99,   57.20,   44.88,   55.46,   59.74,   50.19
03/06/2013 04:10:00,   54.71,   61.22,   44.60,   57.44,   63.99,   49.48
03/06/2013 04:15:00,   55.32,   62.28,   44.94,   57.88,   64.18,   49.63
03/06/2013 04:20:00,   55.39,   63.68,   43.77,   58.73,   66.34,   48.70
03/06/2013 04:25:00,   52.45,   59.34,   43.17,   55.30,   61.85,   47.57
03/06/2013 04:30:00,   54.32,   62.09,   44.51,   57.09,   64.49,   48.70
03/06/2013 04:35:00,   54.17,   62.30,   44.61,   57.13,   65.02,   49.55
03/06/2013 04:40:00,   54.21,   62.44,   43.17,   57.10,   64.61,   48.30
03/06/2013 04:45:00,   51.54,   58.92,   44.08,   54.91,   61.39,   48.51
03/06/2013 04:50:00,   54.68,   63.01,   43.29,   57.57,   65.17,   47.69
03/06/2013 04:55:00,   54.65,   63.30,   42.49,   57.09,   65.24,   47.22
03/06/2013 05:00:00,   52.85,   62.34,   41.75,   55.61,   64.68,   46.55
03/06/2013 05:05:00,   52.00,   60.16,   41.26,   54.90,   62.53,   45.88
03/06/2013 05:10:00,   55.29,   63.29,   44.21,   59.61,   65.60,   48.91
03/06/2013 05:15:00,   54.92,   62.59,   44.21,   58.25,   64.67,   48.47
03/06/2013 05:20:00,   49.43,   54.60,   42.60,   52.90,   57.39,   48.04
03/06/2013 05:25:00,   53.00,   60.49,   42.82,   56.24,   63.80,   47.22
03/06/2013 05:30:00,   56.35,   65.61,   42.48,   59.92,   67.82,   47.15
03/06/2013 05:35:00,   55.47,   64.29,   41.68,   57.98,   65.71,   46.10
03/06/2013 05:40:00,   54.04,   62.19,   43.10,   56.77,   64.54,   47.81
03/06/2013 05:45:00,   53.74,   62.01,   44.27,   58.17,   64.76,   48.98
