# noise_analysis run from DCC-NOISE-001011 at Tue Jun  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/06/2013 00:05:00,   55.89,   63.45,   42.99,   59.54,   65.86,   47.78
04/06/2013 00:10:00,   55.99,   62.20,   43.85,   58.51,   64.05,   48.50
04/06/2013 00:15:00,   55.82,   63.72,   45.68,   58.62,   65.89,   49.74
04/06/2013 00:20:00,   54.61,   61.48,   43.21,   59.15,   64.04,   48.38
04/06/2013 00:25:00,   54.97,   62.35,   43.15,   58.00,   64.69,   48.65
04/06/2013 00:30:00,   54.28,   59.78,   44.36,   58.29,   63.34,   49.14
04/06/2013 00:35:00,   53.31,   61.01,   42.93,   56.24,   63.09,   47.61
04/06/2013 00:40:00,   55.52,   61.64,   43.92,   58.00,   63.55,   48.68
04/06/2013 00:45:00,   52.85,   61.64,   44.17,   56.02,   63.61,   49.16
04/06/2013 00:50:00,   50.46,   57.11,   42.62,   54.05,   59.94,   48.36
04/06/2013 00:55:00,   53.51,   58.78,   45.74,   57.85,   61.62,   50.74
04/06/2013 01:00:00,   52.16,   59.90,   43.59,   56.48,   62.55,   48.82
04/06/2013 01:05:00,   51.84,   59.40,   42.33,   55.06,   61.78,   47.66
04/06/2013 01:10:00,   50.16,   57.64,   42.43,   53.64,   60.30,   47.88
04/06/2013 01:15:00,   51.86,   60.63,   43.29,   54.71,   62.70,   48.03
04/06/2013 01:20:00,   47.80,   50.86,   41.86,   51.22,   53.44,   46.56
04/06/2013 01:25:00,   51.69,   58.25,   42.23,   54.70,   61.04,   46.88
04/06/2013 01:30:00,   50.80,   57.91,   43.02,   54.50,   59.86,   48.45
04/06/2013 01:35:00,   52.23,   59.51,   43.40,   56.47,   61.85,   49.64
04/06/2013 01:40:00,   47.47,   52.68,   41.35,   51.38,   55.49,   46.68
04/06/2013 01:45:00,   49.27,   55.99,   41.43,   53.30,   58.51,   47.35
04/06/2013 01:50:00,   51.18,   57.24,   42.82,   55.54,   60.98,   49.17
04/06/2013 01:55:00,   50.69,   58.23,   41.38,   55.15,   61.77,   48.45
04/06/2013 02:00:00,   51.32,   59.79,   41.84,   55.80,   62.46,   48.26
04/06/2013 02:05:00,   50.71,   59.58,   41.67,   54.11,   61.55,   47.74
04/06/2013 02:10:00,   49.49,   56.31,   42.21,   54.00,   58.53,   49.96
04/06/2013 02:15:00,   47.38,   50.93,   41.23,   52.47,   55.67,   48.84
04/06/2013 02:20:00,   53.35,   60.41,   43.66,   57.72,   63.42,   52.06
04/06/2013 02:25:00,   44.89,   46.88,   41.46,   50.29,   52.32,   47.66
04/06/2013 02:30:00,   47.45,   52.98,   41.09,   51.30,   55.08,   46.76
04/06/2013 02:35:00,   48.96,   56.79,   41.66,   52.76,   59.19,   47.25
04/06/2013 02:40:00,   48.37,   54.06,   41.99,   52.09,   56.37,   47.17
04/06/2013 02:45:00,   50.00,   57.56,   41.45,   53.84,   60.44,   47.67
04/06/2013 02:50:00,   48.67,   56.97,   42.03,   52.41,   58.68,   48.06
04/06/2013 02:55:00,   49.98,   56.38,   41.10,   52.86,   58.13,   47.03
04/06/2013 03:00:00,   50.28,   57.80,   40.74,   53.32,   59.80,   45.52
04/06/2013 03:05:00,   49.04,   58.09,   40.92,   52.21,   60.19,   45.81
04/06/2013 03:10:00,   52.47,   60.88,   43.20,   55.40,   63.12,   47.90
04/06/2013 03:15:00,   48.66,   55.48,   41.60,   51.75,   57.73,   46.32
04/06/2013 03:20:00,   50.58,   58.39,   42.23,   53.82,   61.00,   47.00
04/06/2013 03:25:00,   48.62,   54.27,   41.70,   52.18,   57.78,   46.74
04/06/2013 03:30:00,   50.64,   58.51,   41.69,   53.44,   60.70,   46.06
04/06/2013 03:35:00,   50.04,   57.67,   42.39,   53.54,   59.59,   46.41
04/06/2013 03:40:00,   49.27,   55.84,   41.95,   52.50,   58.78,   46.64
04/06/2013 03:45:00,   52.41,   60.26,   42.00,   55.00,   62.17,   46.62
04/06/2013 03:50:00,   48.41,   53.28,   41.29,   51.55,   56.22,   45.62
04/06/2013 03:55:00,   51.48,   58.54,   42.30,   54.42,   60.75,   47.12
04/06/2013 04:00:00,   54.33,   61.91,   43.76,   57.23,   64.01,   48.05
04/06/2013 04:05:00,   53.69,   62.68,   43.10,   57.42,   66.03,   48.16
04/06/2013 04:10:00,   51.60,   59.72,   42.42,   55.41,   62.33,   47.09
04/06/2013 04:15:00,   50.09,   56.36,   42.69,   53.54,   59.78,   47.22
04/06/2013 04:20:00,   52.73,   60.50,   43.17,   56.16,   62.69,   48.32
04/06/2013 04:25:00,   54.14,   62.07,   43.09,   57.22,   63.99,   48.19
04/06/2013 04:30:00,   53.07,   59.97,   43.08,   56.11,   62.78,   48.02
04/06/2013 04:35:00,   53.82,   61.30,   42.52,   56.33,   63.23,   47.04
04/06/2013 04:40:00,   55.31,   62.37,   43.78,   57.85,   64.61,   48.26
04/06/2013 04:45:00,   52.16,   58.42,   42.90,   55.54,   61.97,   47.42
04/06/2013 04:50:00,   54.63,   62.92,   43.62,   58.36,   65.89,   48.26
04/06/2013 04:55:00,   57.50,   63.90,   45.84,   61.33,   66.66,   51.36
04/06/2013 05:00:00,   56.47,   63.25,   45.67,   59.98,   66.12,   51.56
04/06/2013 05:05:00,   59.64,   66.32,   46.96,   63.03,   68.92,   53.31
04/06/2013 05:10:00,   57.18,   65.23,   46.68,   60.40,   67.18,   52.30
04/06/2013 05:15:00,   55.16,   61.73,   45.67,   58.88,   64.53,   51.87
04/06/2013 05:20:00,   56.26,   62.44,   48.27,   60.71,   66.05,   54.94
04/06/2013 05:25:00,   56.44,   64.18,   48.14,   59.88,   66.58,   53.42
04/06/2013 05:30:00,   56.32,   63.66,   46.05,   61.19,   68.02,   52.27
04/06/2013 05:35:00,   59.62,   66.54,   48.79,   63.38,   68.77,   54.62
04/06/2013 05:40:00,   58.08,   64.36,   47.69,   61.48,   66.39,   54.17
04/06/2013 05:45:00,   61.01,   66.58,   49.71,   64.79,   69.70,   55.63
04/06/2013 05:50:00,   57.80,   63.07,   50.23,   62.31,   66.29,   56.02
04/06/2013 05:55:00,   59.39,   64.33,   51.54,   62.85,   66.80,   54.33
04/06/2013 06:00:00,   58.36,   63.44,   52.19,   62.21,   67.32,   55.78
04/06/2013 06:05:00,   60.30,   67.85,   51.19,   64.09,   71.23,   54.03
04/06/2013 06:10:00,   57.97,   63.87,   51.51,   61.79,   67.70,   53.95
04/06/2013 06:15:00,   56.79,   60.51,   51.86,   60.07,   62.98,   54.98
04/06/2013 06:20:00,   58.42,   65.49,   51.83,   61.19,   67.79,   55.14
