# noise_analysis run from DCC-NOISE-001011 at Wed Jun  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/06/2013 00:05:00,   56.03,   62.09,   45.52,   59.74,   64.18,   51.08
05/06/2013 00:10:00,   54.27,   60.35,   45.14,   57.63,   63.24,   50.42
05/06/2013 00:15:00,   56.92,   64.89,   45.07,   60.95,   67.93,   50.78
05/06/2013 00:20:00,   59.27,   67.76,   46.29,   63.06,   69.76,   52.69
05/06/2013 00:25:00,   55.71,   63.24,   44.09,   59.49,   65.66,   50.14
05/06/2013 00:30:00,   57.21,   64.60,   44.94,   61.74,   68.49,   51.64
05/06/2013 00:35:00,   53.37,   60.38,   43.75,   57.10,   62.52,   50.31
05/06/2013 00:40:00,   56.01,   62.13,   43.62,   60.38,   65.26,   51.42
05/06/2013 00:45:00,   56.52,   62.64,   45.79,   60.91,   65.56,   53.24
05/06/2013 00:50:00,   56.25,   62.60,   46.06,   61.88,   67.04,   52.52
05/06/2013 00:55:00,   51.20,   57.55,   43.25,   56.24,   60.71,   51.65
05/06/2013 01:00:00,   51.35,   59.63,   42.94,   55.70,   62.66,   50.01
05/06/2013 01:05:00,   55.52,   62.60,   43.78,   59.69,   66.02,   49.61
05/06/2013 01:10:00,   52.42,   60.46,   43.67,   56.64,   63.21,   50.19
05/06/2013 01:15:00,   53.69,   60.42,   43.36,   57.34,   62.81,   50.39
05/06/2013 01:20:00,   49.90,   56.92,   42.19,   53.78,   59.36,   48.10
05/06/2013 01:25:00,   47.07,   52.11,   40.88,   51.86,   55.57,   47.04
05/06/2013 01:30:00,   49.88,   54.97,   42.89,   54.08,   58.82,   48.26
05/06/2013 01:35:00,   49.74,   58.90,   41.06,   53.15,   61.27,   47.08
05/06/2013 01:40:00,   48.31,   53.16,   41.33,   52.28,   56.52,   47.33
05/06/2013 01:45:00,   51.03,   57.96,   42.31,   55.24,   61.83,   48.25
05/06/2013 01:50:00,   47.13,   51.95,   40.42,   53.77,   56.67,   48.14
05/06/2013 01:55:00,   47.49,   54.13,   40.94,   51.53,   57.18,   46.96
05/06/2013 02:00:00,   49.09,   56.03,   41.01,   53.30,   58.81,   47.60
05/06/2013 02:05:00,   50.83,   59.80,   41.57,   54.91,   62.31,   47.72
05/06/2013 02:10:00,   49.86,   56.30,   41.90,   54.56,   59.47,   48.38
05/06/2013 02:15:00,   49.95,   58.04,   40.50,   53.05,   60.23,   45.97
05/06/2013 02:20:00,   44.64,   47.93,   39.75,   48.93,   51.32,   45.55
05/06/2013 02:25:00,   45.72,   47.50,   39.80,   49.62,   51.80,   45.56
05/06/2013 02:30:00,   49.91,   57.75,   40.26,   53.49,   60.53,   46.28
05/06/2013 02:35:00,   48.36,   55.22,   39.97,   52.13,   58.57,   45.12
05/06/2013 02:40:00,   47.66,   52.22,   41.67,   51.82,   55.71,   47.16
05/06/2013 02:45:00,   49.81,   55.54,   41.09,   53.80,   59.46,   46.45
05/06/2013 02:50:00,   46.24,   51.26,   38.79,   51.24,   54.65,   44.23
05/06/2013 02:55:00,   46.88,   48.35,   40.40,   51.64,   53.43,   45.62
05/06/2013 03:00:00,   48.55,   56.09,   40.89,   51.86,   58.83,   45.36
05/06/2013 03:05:00,   47.03,   53.79,   40.19,   50.48,   56.36,   44.93
05/06/2013 03:10:00,   46.65,   53.13,   39.23,   50.74,   56.87,   44.72
05/06/2013 03:15:00,   50.16,   57.96,   41.69,   53.91,   61.20,   46.54
05/06/2013 03:20:00,   49.39,   56.28,   41.05,   52.67,   59.02,   45.59
05/06/2013 03:25:00,   47.87,   53.34,   40.55,   51.47,   56.44,   45.47
05/06/2013 03:30:00,   50.06,   56.76,   41.84,   54.08,   59.14,   47.69
05/06/2013 03:35:00,   50.82,   59.42,   41.29,   54.19,   61.90,   46.17
05/06/2013 03:40:00,   52.44,   59.96,   41.47,   55.33,   62.16,   46.58
05/06/2013 03:45:00,   50.27,   56.07,   42.49,   52.95,   58.65,   47.15
05/06/2013 03:50:00,   49.81,   56.23,   42.35,   52.98,   58.79,   47.28
05/06/2013 03:55:00,   50.67,   58.49,   41.28,   53.41,   60.99,   46.27
05/06/2013 04:00:00,   51.91,   59.96,   42.75,   55.50,   61.97,   48.22
05/06/2013 04:05:00,   52.64,   60.59,   41.62,   56.91,   62.57,   46.52
05/06/2013 04:10:00,   51.05,   57.53,   42.13,   54.02,   59.45,   46.88
05/06/2013 04:15:00,   51.34,   58.64,   43.09,   54.76,   61.58,   47.87
05/06/2013 04:20:00,   51.71,   58.74,   42.25,   53.94,   60.60,   47.04
05/06/2013 04:25:00,   53.12,   59.94,   43.57,   56.07,   61.98,   48.92
05/06/2013 04:30:00,   55.04,   63.89,   44.57,   58.56,   66.53,   49.08
05/06/2013 04:35:00,   54.14,   62.04,   42.07,   57.27,   64.20,   47.16
05/06/2013 04:40:00,   54.92,   63.18,   42.58,   57.51,   65.50,   47.13
05/06/2013 04:45:00,   51.58,   60.10,   41.14,   55.09,   62.64,   46.35
05/06/2013 04:50:00,   57.31,   64.89,   47.00,   60.29,   66.66,   51.76
05/06/2013 04:55:00,   54.41,   61.53,   44.29,   58.12,   64.23,   49.27
05/06/2013 05:00:00,   58.60,   65.20,   44.35,   62.77,   69.23,   49.48
05/06/2013 05:05:00,   55.31,   62.06,   45.10,   58.82,   64.73,   51.41
05/06/2013 05:10:00,   56.07,   63.56,   47.01,   60.01,   66.26,   52.42
05/06/2013 05:15:00,   57.35,   65.02,   47.50,   61.33,   67.11,   53.83
05/06/2013 05:20:00,   55.76,   61.59,   46.39,   59.74,   64.22,   52.59
05/06/2013 05:25:00,   56.08,   62.24,   47.04,   60.79,   65.82,   51.61
05/06/2013 05:30:00,   58.11,   63.56,   48.30,   62.50,   66.38,   54.06
05/06/2013 05:35:00,   56.93,   63.69,   46.67,   61.36,   67.18,   51.69
05/06/2013 05:40:00,   57.97,   64.48,   48.71,   62.31,   68.14,   55.02
05/06/2013 05:45:00,   59.80,   66.29,   49.05,   64.35,   69.28,   55.67
05/06/2013 05:50:00,   57.74,   62.78,   47.85,   61.75,   66.76,   53.08
05/06/2013 05:55:00,   58.96,   65.58,   47.97,   62.45,   68.19,   53.66
05/06/2013 06:00:00,   58.33,   63.63,   51.46,   61.99,   66.40,   54.29
05/06/2013 06:05:00,   60.93,   66.82,   51.50,   64.90,   70.93,   54.77
05/06/2013 06:10:00,   58.78,   64.99,   51.07,   62.42,   67.48,   53.65
05/06/2013 06:15:00,   58.08,   64.32,   51.54,   62.01,   67.92,   54.76
05/06/2013 06:20:00,   57.33,   63.95,   51.06,   61.06,   67.25,   54.08
05/06/2013 06:25:00,   60.59,   66.08,   52.00,   64.56,   69.97,   54.78
05/06/2013 06:30:00,   57.91,   62.91,   52.01,   61.35,   65.48,   55.77
05/06/2013 06:35:00,   59.83,   65.60,   51.89,   63.15,   68.25,   55.61
05/06/2013 06:40:00,   60.36,   66.08,   52.45,   64.84,   69.40,   57.30
05/06/2013 06:45:00,   60.77,   66.50,   52.48,   64.57,   69.33,   56.65
05/06/2013 06:50:00,   56.74,   61.36,   51.53,   60.36,   64.33,   55.58
05/06/2013 06:55:00,   60.86,   65.95,   52.70,   64.85,   69.86,   57.63
05/06/2013 07:00:00,   62.59,   67.03,   54.24,   66.61,   70.57,   57.83
05/06/2013 07:05:00,   61.75,   66.85,   53.96,   67.15,   71.40,   60.07
05/06/2013 07:10:00,   61.41,   66.52,   53.91,   64.38,   69.36,   57.47
05/06/2013 07:15:00,   63.87,   68.01,   56.81,   67.26,   71.12,   60.01
