# noise_analysis run from DCC-NOISE-001011 at Thu Jun  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/06/2013 00:05:00,   59.30,   67.05,   47.11,   63.83,   71.77,   54.56
06/06/2013 00:10:00,   53.37,   58.56,   46.65,   57.54,   61.42,   52.20
06/06/2013 00:15:00,   56.64,   63.33,   45.39,   60.48,   66.42,   50.04
06/06/2013 00:20:00,   56.84,   62.16,   46.31,   61.41,   65.59,   51.00
06/06/2013 00:25:00,   56.06,   63.14,   44.52,   60.27,   65.49,   49.22
06/06/2013 00:30:00,   56.87,   61.96,   45.04,   60.68,   64.29,   49.17
06/06/2013 00:35:00,   53.34,   60.21,   45.04,   56.50,   62.51,   49.54
06/06/2013 00:40:00,   57.32,   62.02,   47.69,   61.09,   65.36,   52.10
06/06/2013 00:45:00,   56.24,   61.54,   46.83,   60.00,   64.26,   51.29
06/06/2013 00:50:00,   54.72,   61.04,   45.70,   59.01,   63.69,   50.51
06/06/2013 00:55:00,   52.71,   59.06,   44.91,   56.37,   61.99,   49.18
06/06/2013 01:00:00,   52.57,   60.02,   44.60,   55.71,   62.31,   48.93
06/06/2013 01:05:00,   53.50,   60.86,   44.14,   57.67,   63.97,   48.65
06/06/2013 01:10:00,   53.48,   60.41,   44.96,   57.44,   63.26,   49.30
06/06/2013 01:15:00,   52.85,   59.61,   44.11,   55.96,   61.72,   48.52
06/06/2013 01:20:00,   51.24,   58.71,   43.47,   54.85,   62.46,   48.13
06/06/2013 01:25:00,   49.53,   54.80,   43.67,   54.22,   60.06,   48.43
06/06/2013 01:30:00,   50.41,   55.39,   44.05,   55.25,   59.98,   47.95
06/06/2013 01:35:00,   53.35,   60.93,   43.04,   56.22,   63.28,   47.37
06/06/2013 01:40:00,   53.64,   60.18,   45.10,   57.35,   62.99,   49.16
06/06/2013 01:45:00,   52.82,   61.97,   43.66,   55.97,   63.89,   48.14
06/06/2013 01:50:00,   51.62,   59.56,   43.23,   57.24,   62.57,   48.52
06/06/2013 01:55:00,   49.15,   55.04,   42.98,   53.93,   59.80,   47.75
06/06/2013 02:00:00,   48.69,   55.85,   42.29,   52.11,   57.99,   47.32
06/06/2013 02:05:00,   51.34,   59.00,   42.75,   55.07,   61.89,   47.35
06/06/2013 02:10:00,   48.95,   51.79,   42.14,   52.81,   56.48,   46.35
06/06/2013 02:15:00,   45.20,   47.78,   41.62,   49.47,   52.11,   46.32
06/06/2013 02:20:00,   50.64,   58.45,   41.98,   53.85,   60.76,   47.10
06/06/2013 02:25:00,   49.19,   56.40,   42.04,   53.04,   60.01,   47.27
06/06/2013 02:30:00,   46.08,   49.08,   41.64,   50.35,   53.15,   46.83
06/06/2013 02:35:00,   49.66,   55.90,   42.85,   53.33,   59.17,   48.29
06/06/2013 02:40:00,   48.17,   52.80,   42.22,   52.01,   56.88,   47.15
06/06/2013 02:45:00,   48.13,   54.77,   41.56,   51.71,   57.93,   45.98
06/06/2013 02:50:00,   50.05,   58.03,   42.15,   53.07,   60.16,   46.52
06/06/2013 02:55:00,   49.16,   56.05,   42.15,   52.63,   58.90,   46.27
06/06/2013 03:00:00,   53.71,   60.92,   42.04,   57.86,   63.63,   46.32
06/06/2013 03:05:00,   53.08,   59.94,   42.10,   55.38,   62.34,   46.55
06/06/2013 03:10:00,   48.61,   54.32,   42.23,   52.86,   57.80,   47.15
06/06/2013 03:15:00,   49.40,   55.02,   43.07,   53.20,   58.52,   48.20
06/06/2013 03:20:00,   50.87,   57.99,   42.56,   54.51,   61.00,   47.28
06/06/2013 03:25:00,   51.39,   57.45,   43.68,   54.51,   60.05,   47.73
06/06/2013 03:30:00,   52.81,   59.04,   43.56,   56.26,   62.45,   48.34
06/06/2013 03:35:00,   51.12,   58.31,   44.36,   54.43,   61.29,   48.44
06/06/2013 03:40:00,   50.93,   57.10,   42.58,   54.17,   59.41,   47.14
