# noise_analysis run from DCC-NOISE-001011 at Fri Jun  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/06/2013 00:05:00,   54.81,   62.44,   45.56,   58.60,   64.75,   52.21
07/06/2013 00:10:00,   58.10,   63.85,   46.65,   61.96,   66.94,   52.64
07/06/2013 00:15:00,   57.72,   63.44,   45.46,   61.70,   65.93,   53.22
07/06/2013 00:20:00,   57.64,   65.36,   45.94,   62.66,   69.36,   53.43
07/06/2013 00:25:00,   56.89,   63.03,   46.89,   61.51,   66.75,   54.33
07/06/2013 00:30:00,   57.84,   64.79,   47.39,   62.02,   67.17,   54.40
07/06/2013 00:35:00,   53.31,   58.75,   45.83,   58.04,   62.21,   53.48
07/06/2013 00:40:00,   58.33,   64.08,   47.39,   62.27,   66.60,   54.57
07/06/2013 00:45:00,   55.76,   62.41,   45.53,   60.90,   65.28,   54.46
07/06/2013 00:50:00,   50.44,   55.36,   44.49,   56.06,   59.53,   52.70
07/06/2013 00:55:00,   54.23,   62.33,   45.67,   58.97,   65.11,   53.76
07/06/2013 01:00:00,   55.81,   62.69,   45.70,   59.94,   64.61,   52.32
07/06/2013 01:05:00,   56.60,   63.90,   45.28,   60.37,   66.50,   53.08
07/06/2013 01:10:00,   55.36,   62.73,   45.70,   58.64,   64.32,   52.77
07/06/2013 01:15:00,   54.70,   62.09,   44.02,   58.69,   64.38,   53.14
07/06/2013 01:20:00,   51.25,   57.13,   44.87,   56.30,   59.89,   52.65
07/06/2013 01:25:00,   52.68,   60.59,   44.44,   57.01,   63.07,   51.52
07/06/2013 01:30:00,   50.91,   57.85,   42.94,   54.54,   60.37,   49.09
07/06/2013 01:35:00,   52.08,   59.32,   43.06,   55.91,   61.90,   50.16
07/06/2013 01:40:00,   52.41,   60.05,   42.99,   56.51,   62.36,   50.30
07/06/2013 01:45:00,   53.63,   61.06,   43.47,   58.22,   64.01,   52.54
07/06/2013 01:50:00,   51.06,   56.97,   44.86,   56.29,   60.52,   52.72
07/06/2013 01:55:00,   51.93,   58.22,   43.78,   56.92,   61.84,   51.38
07/06/2013 02:00:00,   52.28,   60.87,   43.01,   55.94,   63.23,   50.03
