# noise_analysis run from DCC-NOISE-001011 at Tue Jun 11 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/06/2013 00:05:00,   60.28,   65.90,   48.34,   64.93,   70.05,   53.36
11/06/2013 00:10:00,   57.32,   64.69,   46.74,   62.90,   70.67,   50.53
11/06/2013 00:15:00,   57.53,   65.09,   47.27,   63.22,   69.86,   51.46
11/06/2013 00:20:00,   58.24,   64.75,   47.15,   61.93,   67.64,   51.83
11/06/2013 00:25:00,   62.23,   68.22,   47.62,   67.42,   74.35,   51.84
11/06/2013 00:30:00,   58.07,   64.69,   47.24,   62.24,   67.56,   51.08
11/06/2013 00:35:00,   59.37,   65.52,   49.12,   62.78,   68.07,   52.72
11/06/2013 00:40:00,   56.49,   59.30,   48.24,   60.82,   62.72,   52.28
11/06/2013 00:45:00,   58.81,   65.58,   48.36,   63.70,   69.67,   52.22
11/06/2013 00:50:00,   57.23,   62.79,   49.46,   62.76,   68.32,   52.86
11/06/2013 00:55:00,   51.65,   55.33,   47.58,   57.08,   61.22,   51.73
11/06/2013 01:00:00,   53.40,   57.39,   47.36,   58.14,   60.80,   51.40
11/06/2013 01:05:00,   54.97,   60.28,   47.62,   60.18,   65.00,   51.61
11/06/2013 01:10:00,   50.25,   53.64,   46.46,   54.88,   59.12,   50.56
11/06/2013 01:15:00,   59.73,   63.25,   46.57,   64.18,   67.94,   50.66
11/06/2013 01:20:00,   51.03,   55.09,   46.95,   55.22,   59.24,   50.90
11/06/2013 01:25:00,   51.63,   56.44,   47.08,   55.76,   61.27,   50.86
11/06/2013 01:30:00,   53.29,   59.10,   47.64,   56.92,   61.92,   51.76
11/06/2013 01:35:00,   53.50,   57.61,   47.66,   59.85,   63.58,   53.04
11/06/2013 01:40:00,   52.94,   57.57,   47.13,   57.44,   61.63,   50.92
11/06/2013 01:45:00,   50.29,   55.49,   45.30,   54.58,   59.85,   49.35
11/06/2013 01:50:00,   51.88,   56.84,   45.69,   56.99,   61.94,   49.82
11/06/2013 01:55:00,   54.38,   60.64,   47.81,   59.11,   64.18,   51.59
11/06/2013 02:00:00,   49.73,   53.85,   44.66,   54.63,   59.66,   48.74
11/06/2013 02:05:00,   50.81,   57.93,   44.96,   55.18,   60.93,   49.79
11/06/2013 02:10:00,   47.55,   49.16,   45.03,   53.17,   55.96,   48.81
11/06/2013 02:15:00,   51.82,   59.16,   44.93,   55.58,   61.91,   48.80
11/06/2013 02:20:00,   49.30,   54.07,   44.59,   53.09,   58.20,   48.53
11/06/2013 02:25:00,   49.71,   56.05,   44.35,   53.87,   59.97,   48.41
11/06/2013 02:30:00,   50.97,   59.43,   43.79,   55.09,   61.72,   47.91
11/06/2013 02:35:00,   54.50,   60.47,   44.51,   59.66,   65.26,   49.14
11/06/2013 02:40:00,   49.18,   52.58,   44.39,   54.43,   59.69,   48.76
11/06/2013 02:45:00,   51.55,   56.45,   44.76,   57.36,   64.44,   48.64
11/06/2013 02:50:00,   51.74,   59.57,   44.78,   55.58,   62.08,   48.88
11/06/2013 02:55:00,   52.79,   60.49,   45.08,   57.30,   63.04,   49.16
11/06/2013 03:00:00,   50.46,   55.71,   44.64,   54.76,   59.60,   48.54
11/06/2013 03:05:00,   49.46,   52.81,   43.92,   54.37,   59.65,   47.42
11/06/2013 03:10:00,   48.97,   54.93,   44.18,   52.75,   58.05,   48.16
11/06/2013 03:15:00,   53.30,   60.97,   45.32,   56.48,   63.53,   49.24
11/06/2013 03:20:00,   50.41,   54.81,   44.18,   55.32,   61.25,   47.77
11/06/2013 03:25:00,   51.04,   57.75,   44.88,   54.81,   60.56,   49.15
11/06/2013 03:30:00,   51.20,   57.19,   44.77,   54.50,   60.85,   48.43
11/06/2013 03:35:00,   50.02,   55.42,   45.13,   53.33,   58.91,   49.01
11/06/2013 03:40:00,   51.01,   54.37,   45.39,   54.01,   57.32,   49.56
11/06/2013 03:45:00,   54.43,   59.21,   47.79,   58.69,   62.67,   52.90
11/06/2013 03:50:00,   52.46,   59.04,   44.52,   55.52,   61.06,   48.92
11/06/2013 03:55:00,   49.97,   55.93,   44.54,   54.15,   60.31,   48.45
11/06/2013 04:00:00,   56.51,   63.48,   45.20,   60.85,   66.45,   49.43
11/06/2013 04:05:00,   53.72,   59.14,   44.77,   58.30,   63.11,   47.85
11/06/2013 04:10:00,   52.37,   58.66,   44.66,   56.99,   63.65,   48.75
11/06/2013 04:15:00,   53.64,   58.01,   46.18,   59.97,   63.85,   50.57
11/06/2013 04:20:00,   53.11,   59.30,   45.79,   59.28,   64.37,   49.99
11/06/2013 04:25:00,   56.00,   62.48,   46.54,   60.01,   65.47,   50.78
11/06/2013 04:30:00,   50.86,   55.12,   45.29,   55.89,   61.27,   48.99
11/06/2013 04:35:00,   54.02,   60.83,   45.87,   58.15,   64.12,   50.74
11/06/2013 04:40:00,   52.91,   57.91,   46.47,   57.56,   63.65,   50.40
