# noise_analysis run from DCC-NOISE-001011 at Sat Jun 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/06/2013 00:05:00,   60.91,   65.42,   52.60,   63.93,   67.53,   56.29
22/06/2013 00:10:00,   59.45,   64.31,   52.30,   62.75,   66.80,   55.85
22/06/2013 00:15:00,   59.66,   64.51,   52.56,   62.43,   67.00,   55.78
22/06/2013 00:20:00,   62.53,   68.92,   51.19,   66.73,   73.52,   55.24
22/06/2013 00:25:00,   60.68,   66.33,   50.78,   64.32,   69.84,   54.29
22/06/2013 00:30:00,   58.53,   64.65,   50.51,   61.90,   67.17,   53.94
22/06/2013 00:35:00,   59.35,   65.05,   50.66,   62.93,   67.38,   54.20
22/06/2013 00:40:00,   57.30,   63.75,   50.82,   60.36,   65.77,   54.38
22/06/2013 00:45:00,   59.10,   65.05,   49.30,   62.46,   67.38,   53.19
22/06/2013 00:50:00,   56.59,   63.28,   49.76,   59.48,   65.49,   53.47
22/06/2013 00:55:00,   58.57,   65.21,   49.82,   61.75,   68.24,   53.58
22/06/2013 01:00:00,   58.06,   64.55,   49.50,   61.58,   66.90,   53.18
22/06/2013 01:05:00,   55.75,   62.44,   49.66,   58.41,   64.72,   53.28
22/06/2013 01:10:00,   56.93,   63.55,   50.15,   59.56,   65.43,   53.54
22/06/2013 01:15:00,   56.09,   62.31,   48.77,   59.03,   64.66,   52.52
22/06/2013 01:20:00,   56.41,   62.20,   50.13,   59.15,   64.25,   53.62
22/06/2013 01:25:00,   57.11,   62.61,   50.40,   59.98,   64.75,   54.24
22/06/2013 01:30:00,   56.08,   61.99,   49.02,   59.17,   64.40,   53.51
22/06/2013 01:35:00,   54.61,   60.66,   48.59,   57.90,   63.27,   52.09
22/06/2013 01:40:00,   56.76,   62.64,   49.81,   60.16,   65.39,   53.39
22/06/2013 01:45:00,   57.12,   63.27,   49.91,   59.68,   65.19,   53.06
22/06/2013 01:50:00,   56.21,   62.65,   49.19,   59.42,   65.05,   52.24
22/06/2013 01:55:00,   56.60,   62.45,   49.77,   59.98,   65.71,   53.34
22/06/2013 02:00:00,   56.48,   62.79,   49.01,   59.37,   64.89,   53.12
22/06/2013 02:05:00,   55.13,   62.60,   48.59,   57.98,   65.02,   52.08
22/06/2013 02:10:00,   57.58,   62.68,   48.96,   59.85,   64.46,   52.22
22/06/2013 02:15:00,   56.09,   62.11,   49.58,   58.76,   64.17,   53.34
22/06/2013 02:20:00,   55.47,   61.68,   48.35,   58.35,   63.99,   52.41
22/06/2013 02:25:00,   54.91,   61.32,   48.51,   57.86,   63.89,   52.66
22/06/2013 02:30:00,   56.27,   63.17,   47.51,   59.96,   65.93,   51.61
22/06/2013 02:35:00,   55.42,   62.73,   47.66,   58.07,   65.24,   51.30
22/06/2013 02:40:00,   54.16,   61.84,   47.52,   57.15,   64.09,   51.35
22/06/2013 02:45:00,   54.65,   60.66,   47.80,   57.55,   62.67,   52.00
22/06/2013 02:50:00,   55.50,   61.52,   47.22,   58.27,   64.33,   50.93
22/06/2013 02:55:00,   55.92,   63.29,   48.36,   58.64,   65.37,   51.97
22/06/2013 03:00:00,   54.78,   60.77,   47.28,   57.62,   62.90,   51.07
22/06/2013 03:05:00,   54.44,   60.63,   48.42,   57.99,   64.49,   51.89
22/06/2013 03:10:00,   56.44,   62.97,   48.32,   59.04,   65.53,   51.88
22/06/2013 03:15:00,   55.99,   62.64,   49.01,   58.96,   65.31,   52.22
22/06/2013 03:20:00,   55.88,   61.13,   49.25,   58.72,   63.28,   52.86
