# noise_analysis run from DCC-NOISE-001011 at Mon Jun 24 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/06/2013 00:05:00,   54.80,   58.68,   48.97,   59.17,   63.25,   53.57
24/06/2013 00:10:00,   56.60,   62.24,   48.66,   60.04,   64.94,   53.30
24/06/2013 00:15:00,   55.11,   60.87,   49.02,   57.92,   63.12,   52.33
24/06/2013 00:20:00,   54.86,   62.52,   47.76,   58.00,   64.50,   51.40
24/06/2013 00:25:00,   57.13,   62.13,   48.35,   60.56,   65.61,   52.03
24/06/2013 00:30:00,   56.76,   62.49,   47.82,   59.80,   64.95,   52.01
24/06/2013 00:35:00,   55.03,   60.95,   47.64,   58.18,   63.63,   52.24
24/06/2013 00:40:00,   54.04,   58.59,   47.44,   57.74,   61.60,   51.49
24/06/2013 00:45:00,   54.95,   61.73,   46.73,   58.47,   63.73,   51.48
24/06/2013 00:50:00,   54.19,   60.84,   46.34,   57.34,   62.98,   51.11
24/06/2013 00:55:00,   55.05,   60.44,   47.01,   58.57,   63.46,   51.34
24/06/2013 01:00:00,   52.57,   57.87,   46.91,   56.43,   61.91,   50.63
24/06/2013 01:05:00,   56.33,   62.11,   48.27,   59.44,   64.48,   52.59
24/06/2013 01:10:00,   54.79,   60.92,   47.69,   59.52,   64.09,   52.06
24/06/2013 01:15:00,   52.89,   58.29,   46.23,   56.16,   60.77,   50.30
24/06/2013 01:20:00,   51.75,   57.30,   46.27,   55.79,   60.91,   50.20
24/06/2013 01:25:00,   51.32,   57.67,   45.03,   55.06,   59.78,   49.63
24/06/2013 01:30:00,   52.67,   59.23,   46.21,   56.12,   61.89,   50.32
24/06/2013 01:35:00,   53.07,   59.99,   45.57,   56.41,   62.33,   49.73
24/06/2013 01:40:00,   51.66,   58.89,   45.29,   55.41,   61.47,   49.67
24/06/2013 01:45:00,   51.87,   59.45,   45.24,   55.14,   61.60,   49.59
24/06/2013 01:50:00,   53.31,   59.58,   45.67,   57.20,   62.10,   50.52
24/06/2013 01:55:00,   53.34,   60.11,   45.38,   56.46,   62.70,   49.32
24/06/2013 02:00:00,   49.16,   53.61,   44.84,   53.41,   56.87,   48.64
24/06/2013 02:05:00,   51.45,   57.85,   45.03,   54.91,   60.43,   49.15
24/06/2013 02:10:00,   51.06,   55.39,   45.71,   55.34,   59.16,   50.23
24/06/2013 02:15:00,   50.41,   56.43,   45.01,   54.33,   58.93,   49.85
24/06/2013 02:20:00,   51.26,   57.76,   45.08,   55.46,   61.21,   49.26
24/06/2013 02:25:00,   51.07,   57.08,   43.97,   54.12,   59.54,   48.57
24/06/2013 02:30:00,   53.36,   58.56,   44.52,   55.70,   60.15,   48.85
24/06/2013 02:35:00,   49.07,   53.74,   44.31,   52.72,   57.29,   48.49
24/06/2013 02:40:00,   50.52,   55.39,   45.25,   54.39,   59.18,   49.57
24/06/2013 02:45:00,   51.59,   58.18,   43.46,   54.63,   60.24,   48.08
24/06/2013 02:50:00,   48.12,   51.46,   43.48,   51.50,   55.48,   47.87
24/06/2013 02:55:00,   50.87,   58.56,   43.19,   54.14,   60.84,   47.67
24/06/2013 03:00:00,   48.99,   54.47,   43.47,   53.66,   58.21,   48.14
24/06/2013 03:05:00,   51.12,   57.76,   43.88,   54.24,   60.42,   48.03
24/06/2013 03:10:00,   49.82,   54.17,   44.29,   53.36,   57.20,   48.41
24/06/2013 03:15:00,   52.56,   60.06,   44.75,   56.59,   63.18,   49.19
24/06/2013 03:20:00,   49.64,   54.73,   44.28,   54.19,   58.50,   48.39
24/06/2013 03:25:00,   51.65,   59.18,   44.20,   54.77,   61.27,   48.20
24/06/2013 03:30:00,   51.48,   57.64,   44.83,   55.04,   60.23,   49.02
24/06/2013 03:35:00,   53.02,   59.92,   45.24,   56.94,   63.35,   49.41
24/06/2013 03:40:00,   54.89,   62.66,   45.65,   57.73,   64.73,   49.90
24/06/2013 03:45:00,   53.22,   60.07,   45.56,   56.76,   63.01,   49.94
24/06/2013 03:50:00,   53.41,   60.50,   44.79,   56.72,   63.14,   49.32
24/06/2013 03:55:00,   53.87,   60.21,   45.49,   57.01,   62.11,   50.12
24/06/2013 04:00:00,   52.74,   57.94,   46.52,   56.48,   61.53,   51.31
