# noise_analysis run from DCC-NOISE-001011 at Wed Jun 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/06/2013 00:05:00,   55.53,   61.35,   46.90,   58.45,   63.88,   51.31
26/06/2013 00:10:00,   56.07,   62.19,   46.19,   60.05,   65.74,   50.19
26/06/2013 00:15:00,   55.90,   61.09,   45.36,   59.88,   63.59,   50.95
26/06/2013 00:20:00,   56.47,   62.49,   45.71,   60.17,   65.67,   50.25
26/06/2013 00:25:00,   58.02,   63.20,   47.33,   61.55,   66.04,   51.36
26/06/2013 00:30:00,   56.07,   63.08,   44.79,   59.83,   65.89,   48.86
26/06/2013 00:35:00,   53.11,   59.01,   44.53,   56.19,   61.11,   48.75
26/06/2013 00:40:00,   58.68,   64.85,   46.10,   62.87,   68.71,   49.90
26/06/2013 00:45:00,   54.43,   61.13,   44.86,   58.72,   63.99,   49.39
26/06/2013 00:50:00,   54.67,   61.88,   44.50,   58.46,   65.98,   48.61
26/06/2013 00:55:00,   50.20,   56.45,   43.13,   54.09,   59.36,   47.35
26/06/2013 01:00:00,   61.95,   72.84,   44.43,   67.01,   78.21,   49.64
26/06/2013 01:05:00,   54.26,   61.84,   43.69,   58.14,   64.22,   48.53
26/06/2013 01:10:00,   50.39,   57.55,   42.78,   53.75,   60.04,   47.46
26/06/2013 01:15:00,   53.06,   61.32,   43.11,   56.00,   63.40,   47.68
26/06/2013 01:20:00,   50.47,   58.92,   42.67,   53.18,   61.02,   46.64
26/06/2013 01:25:00,   50.11,   56.28,   43.20,   53.27,   58.48,   47.42
26/06/2013 01:30:00,   49.75,   55.84,   42.37,   53.48,   58.40,   47.12
26/06/2013 01:35:00,   54.65,   61.47,   43.22,   57.48,   63.99,   47.31
26/06/2013 01:40:00,   50.75,   57.72,   42.18,   53.95,   60.24,   46.46
26/06/2013 01:45:00,   52.61,   59.67,   43.98,   55.84,   62.65,   48.19
26/06/2013 01:50:00,   55.24,   61.44,   44.44,   59.86,   65.12,   49.20
26/06/2013 01:55:00,   54.53,   62.95,   44.47,   58.05,   64.83,   50.12
26/06/2013 02:00:00,   49.33,   53.11,   43.25,   53.77,   58.17,   47.74
26/06/2013 02:05:00,   51.04,   56.22,   44.36,   54.25,   58.85,   48.53
26/06/2013 02:10:00,   50.19,   57.83,   43.05,   53.20,   60.32,   47.08
26/06/2013 02:15:00,   47.93,   51.64,   42.17,   51.85,   56.22,   46.99
26/06/2013 02:20:00,   50.23,   55.11,   42.95,   53.77,   58.53,   47.47
26/06/2013 02:25:00,   45.57,   47.94,   41.59,   49.23,   51.53,   45.92
26/06/2013 02:30:00,   50.98,   58.23,   42.48,   54.29,   60.93,   46.90
26/06/2013 02:35:00,   61.61,   72.13,   43.83,   66.21,   76.62,   49.03
26/06/2013 02:40:00,   50.09,   56.87,   41.19,   53.17,   59.58,   45.47
26/06/2013 02:45:00,   50.72,   58.40,   42.38,   53.79,   61.01,   46.69
26/06/2013 02:50:00,   50.11,   56.88,   42.43,   52.97,   59.47,   46.33
26/06/2013 02:55:00,   48.98,   57.06,   41.29,   52.14,   59.36,   45.41
26/06/2013 03:00:00,   49.80,   56.96,   42.39,   53.15,   59.38,   46.57
26/06/2013 03:05:00,   48.59,   55.21,   41.46,   52.15,   58.19,   45.84
26/06/2013 03:10:00,   50.67,   58.55,   41.59,   54.26,   61.16,   46.36
26/06/2013 03:15:00,   49.90,   55.54,   42.05,   53.27,   57.84,   46.75
26/06/2013 03:20:00,   50.54,   57.22,   42.16,   53.42,   59.93,   46.44
26/06/2013 03:25:00,   51.48,   60.17,   41.33,   54.24,   62.19,   45.34
26/06/2013 03:30:00,   53.49,   61.21,   41.75,   55.79,   63.37,   46.04
26/06/2013 03:35:00,   51.43,   59.33,   41.17,   54.27,   61.61,   45.57
26/06/2013 03:40:00,   52.73,   61.13,   41.85,   56.46,   63.60,   46.11
26/06/2013 03:45:00,   54.07,   61.81,   43.48,   57.79,   64.18,   46.59
26/06/2013 03:50:00,   52.68,   59.00,   44.49,   56.46,   60.89,   48.97
26/06/2013 03:55:00,   46.67,   50.82,   41.18,   50.90,   54.78,   46.36
26/06/2013 04:00:00,   54.23,   60.96,   43.59,   57.03,   63.22,   47.41
26/06/2013 04:05:00,   49.59,   55.69,   41.77,   52.92,   58.10,   46.52
26/06/2013 04:10:00,   52.09,   60.54,   42.51,   56.01,   63.70,   47.57
26/06/2013 04:15:00,   52.53,   59.97,   42.58,   55.56,   62.11,   46.74
26/06/2013 04:20:00,   53.09,   61.24,   41.97,   56.06,   63.70,   46.29
26/06/2013 04:25:00,   52.14,   59.06,   43.51,   54.41,   61.11,   47.01
26/06/2013 04:30:00,   55.02,   61.80,   44.62,   57.39,   63.61,   48.16
26/06/2013 04:35:00,   52.73,   59.55,   45.24,   57.30,   63.62,   49.54
26/06/2013 04:40:00,   55.04,   61.62,   45.77,   58.32,   64.96,   50.49
26/06/2013 04:45:00,   54.81,   62.18,   44.03,   57.83,   64.54,   48.64
26/06/2013 04:50:00,   54.11,   60.86,   45.17,   57.17,   63.10,   49.51
26/06/2013 04:55:00,   56.22,   64.15,   43.93,   59.30,   66.55,   48.58
26/06/2013 05:00:00,   55.95,   65.14,   46.06,   58.77,   66.71,   49.94
26/06/2013 05:05:00,   56.84,   63.37,   44.96,   60.34,   65.89,   49.86
26/06/2013 05:10:00,   57.35,   64.86,   47.14,   60.98,   67.58,   51.75
26/06/2013 05:15:00,   55.73,   62.49,   47.65,   59.64,   65.21,   52.66
26/06/2013 05:20:00,   55.06,   61.07,   47.38,   58.64,   63.70,   52.20
26/06/2013 05:25:00,   57.10,   62.71,   48.02,   60.77,   65.48,   53.31
26/06/2013 05:30:00,   55.40,   60.67,   48.00,   59.44,   63.98,   52.44
26/06/2013 05:35:00,   58.52,   64.71,   48.27,   63.02,   69.03,   53.81
26/06/2013 05:40:00,   56.26,   62.41,   47.96,   59.70,   65.00,   53.46
26/06/2013 05:45:00,   59.21,   65.04,   48.95,   63.71,   68.51,   54.27
26/06/2013 05:50:00,   57.45,   63.48,   48.77,   61.02,   66.24,   53.72
26/06/2013 05:55:00,   61.02,   67.51,   50.60,   64.62,   69.63,   54.74
26/06/2013 06:00:00,   57.22,   63.13,   50.51,   60.99,   66.61,   54.67
26/06/2013 06:05:00,   61.57,   66.99,   51.92,   66.09,   70.46,   56.46
26/06/2013 06:10:00,   59.20,   65.24,   50.96,   62.79,   67.58,   55.22
26/06/2013 06:15:00,   58.29,   63.72,   51.12,   62.03,   65.73,   55.05
26/06/2013 06:20:00,   59.03,   64.02,   51.14,   63.08,   66.67,   55.80
26/06/2013 06:25:00,   62.73,   68.20,   53.61,   66.76,   71.87,   58.17
26/06/2013 06:30:00,   58.63,   65.03,   51.68,   62.58,   67.65,   56.65
26/06/2013 06:35:00,   58.05,   63.52,   51.40,   61.51,   66.47,   55.80
26/06/2013 06:40:00,   57.85,   62.92,   51.00,   62.06,   66.45,   55.24
26/06/2013 06:45:00,   62.02,   67.07,   52.20,   65.58,   70.92,   55.87
26/06/2013 06:50:00,   59.68,   64.49,   52.24,   63.98,   67.81,   57.57
26/06/2013 06:55:00,   60.51,   66.28,   52.37,   64.31,   68.86,   57.08
26/06/2013 07:00:00,   60.79,   65.55,   52.35,   64.40,   68.90,   56.98
26/06/2013 07:05:00,   61.26,   68.18,   53.03,   65.67,   72.58,   57.52
26/06/2013 07:10:00,   61.85,   68.27,   51.80,   65.97,   72.50,   56.21
26/06/2013 07:15:00,   60.22,   65.49,   51.76,   64.07,   68.33,   56.17
26/06/2013 07:20:00,   61.97,   67.84,   52.72,   66.03,   71.46,   57.14
26/06/2013 07:25:00,   61.55,   66.67,   52.34,   65.07,   69.22,   57.29
