# noise_analysis run from DCC-NOISE-001011 at Thu Jun 27 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
27/06/2013 00:05:00,   55.00,   60.48,   46.58,   58.06,   63.46,   50.29
27/06/2013 00:10:00,   56.43,   63.13,   45.99,   59.91,   65.46,   50.50
27/06/2013 00:15:00,   53.46,   59.15,   44.64,   56.55,   61.64,   49.38
27/06/2013 00:20:00,   60.55,   65.43,   51.34,   63.85,   68.95,   55.09
27/06/2013 00:25:00,   57.27,   64.43,   45.43,   61.76,   68.76,   50.05
27/06/2013 00:30:00,   57.11,   64.51,   44.83,   60.90,   67.36,   49.51
27/06/2013 00:35:00,   56.91,   61.80,   44.71,   60.54,   64.81,   49.87
27/06/2013 00:40:00,   53.84,   61.31,   44.55,   56.85,   63.55,   49.56
27/06/2013 00:45:00,   55.29,   62.18,   43.81,   59.04,   65.74,   48.72
27/06/2013 00:50:00,   53.46,   58.27,   45.05,   56.85,   61.10,   49.52
27/06/2013 00:55:00,   53.59,   59.74,   42.35,   58.40,   65.12,   47.97
27/06/2013 01:00:00,   62.08,   72.76,   45.69,   66.51,   77.86,   50.09
27/06/2013 01:05:00,   55.01,   61.86,   45.45,   58.80,   65.45,   50.16
27/06/2013 01:10:00,   53.58,   61.27,   42.10,   57.30,   64.25,   47.34
27/06/2013 01:15:00,   52.73,   60.06,   42.24,   55.34,   61.75,   47.05
27/06/2013 01:20:00,   52.76,   60.29,   43.19,   55.92,   62.52,   47.69
27/06/2013 01:25:00,   51.09,   58.65,   43.01,   54.34,   61.09,   47.73
27/06/2013 01:30:00,   53.24,   62.76,   42.48,   58.21,   64.48,   47.30
27/06/2013 01:35:00,   50.63,   56.98,   42.38,   54.49,   59.10,   47.25
27/06/2013 01:40:00,   50.27,   56.25,   42.29,   55.53,   61.24,   47.91
27/06/2013 01:45:00,   49.88,   57.55,   41.05,   53.73,   61.26,   45.87
27/06/2013 01:50:00,   49.18,   55.96,   41.34,   52.47,   58.51,   45.46
27/06/2013 01:55:00,   52.31,   59.29,   42.86,   55.40,   62.01,   47.54
27/06/2013 02:00:00,   46.83,   53.40,   40.91,   50.84,   55.74,   46.28
27/06/2013 02:05:00,   48.31,   54.69,   40.59,   51.66,   56.29,   45.07
27/06/2013 02:10:00,   48.32,   55.44,   41.08,   51.80,   57.94,   46.08
27/06/2013 02:15:00,   49.70,   57.49,   41.49,   53.34,   60.73,   45.69
27/06/2013 02:20:00,   49.72,   57.33,   41.78,   52.99,   60.13,   46.30
27/06/2013 02:25:00,   49.45,   56.54,   41.72,   53.24,   59.40,   46.25
27/06/2013 02:30:00,   55.43,   62.61,   44.02,   58.40,   64.75,   48.98
27/06/2013 02:35:00,   53.58,   60.29,   43.89,   56.22,   62.57,   48.08
27/06/2013 02:40:00,   51.64,   58.89,   43.94,   55.08,   60.92,   48.51
27/06/2013 02:45:00,   48.91,   54.55,   41.89,   52.39,   57.91,   46.55
27/06/2013 02:50:00,   47.02,   52.04,   40.90,   50.75,   54.65,   44.99
27/06/2013 02:55:00,   51.34,   58.02,   41.51,   54.08,   60.54,   45.31
27/06/2013 03:00:00,   52.44,   60.64,   42.07,   55.36,   62.84,   46.01
27/06/2013 03:05:00,   50.73,   57.60,   42.30,   54.00,   59.80,   46.69
27/06/2013 03:10:00,   51.52,   60.21,   41.64,   54.51,   62.61,   46.19
27/06/2013 03:15:00,   53.60,   61.07,   42.29,   58.30,   64.02,   46.23
27/06/2013 03:20:00,   62.62,   72.51,   42.01,   67.24,   77.44,   46.90
27/06/2013 03:25:00,   52.56,   61.06,   44.17,   56.56,   63.92,   48.97
27/06/2013 03:30:00,   50.61,   57.13,   42.72,   53.80,   59.32,   47.30
27/06/2013 03:35:00,   52.41,   58.30,   44.21,   55.99,   61.87,   47.83
27/06/2013 03:40:00,   54.27,   61.96,   45.09,   58.48,   65.31,   48.78
27/06/2013 03:45:00,   51.59,   57.45,   44.26,   54.72,   60.12,   47.86
27/06/2013 03:50:00,   52.07,   59.52,   43.85,   54.65,   61.75,   47.50
27/06/2013 03:55:00,   54.11,   60.34,   44.83,   57.26,   62.62,   49.47
27/06/2013 04:00:00,   52.68,   59.36,   43.64,   55.96,   61.93,   48.22
27/06/2013 04:05:00,   54.92,   62.34,   45.70,   57.56,   64.67,   50.02
27/06/2013 04:10:00,   54.57,   60.83,   46.32,   57.56,   63.33,   50.60
27/06/2013 04:15:00,   52.78,   58.69,   43.30,   55.76,   61.32,   47.65
27/06/2013 04:20:00,   53.94,   59.74,   46.54,   56.63,   62.15,   49.47
27/06/2013 04:25:00,   55.27,   62.08,   45.09,   57.87,   64.04,   49.67
27/06/2013 04:30:00,   56.28,   62.74,   44.80,   58.96,   65.36,   49.06
27/06/2013 04:35:00,   54.49,   60.52,   45.50,   58.20,   63.07,   51.65
27/06/2013 04:40:00,   54.53,   61.05,   45.11,   57.77,   63.48,   49.95
27/06/2013 04:45:00,   53.11,   58.80,   45.86,   57.35,   62.47,   51.02
27/06/2013 04:50:00,   53.72,   62.76,   45.24,   56.86,   64.70,   50.40
27/06/2013 04:55:00,   56.58,   63.58,   45.39,   60.03,   66.37,   50.51
27/06/2013 05:00:00,   55.03,   63.08,   45.67,   58.07,   66.29,   50.28
27/06/2013 05:05:00,   54.50,   61.46,   46.77,   57.41,   63.55,   50.47
27/06/2013 05:10:00,   54.98,   61.29,   46.59,   59.26,   63.94,   53.59
27/06/2013 05:15:00,   58.37,   65.37,   49.27,   62.87,   67.99,   55.66
27/06/2013 05:20:00,   57.14,   62.74,   48.59,   62.21,   66.41,   54.55
27/06/2013 05:25:00,   54.83,   61.87,   46.22,   58.05,   64.26,   51.68
27/06/2013 05:30:00,   57.01,   62.87,   47.87,   61.14,   67.86,   53.12
27/06/2013 05:35:00,   59.13,   66.84,   49.37,   65.40,   72.29,   54.81
27/06/2013 05:40:00,   57.18,   63.05,   48.87,   62.31,   67.21,   55.60
27/06/2013 05:45:00,   61.26,   68.21,   49.84,   65.93,   71.87,   55.67
27/06/2013 05:50:00,   57.46,   63.21,   49.38,   61.85,   66.76,   54.91
27/06/2013 05:55:00,   59.39,   64.64,   50.21,   63.70,   67.88,   54.57
27/06/2013 06:00:00,   58.10,   63.81,   50.11,   62.76,   69.28,   55.43
27/06/2013 06:05:00,   61.92,   68.19,   51.87,   66.44,   72.28,   56.05
27/06/2013 06:10:00,   58.58,   62.94,   54.05,   61.89,   65.46,   57.92
27/06/2013 06:15:00,   59.19,   66.24,   51.37,   63.21,   69.51,   55.91
27/06/2013 06:20:00,   57.63,   63.45,   51.76,   61.23,   66.47,   55.90
27/06/2013 06:25:00,   59.90,   65.07,   52.65,   63.93,   67.63,   56.79
27/06/2013 06:30:00,   59.34,   64.56,   52.54,   63.81,   67.92,   58.29
27/06/2013 06:35:00,   58.01,   62.94,   52.46,   62.52,   66.71,   58.08
