# noise_analysis run from DCC-NOISE-001011 at Fri Jun 28 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/06/2013 00:05:00,   57.32,   63.71,   49.48,   60.16,   65.61,   53.53
28/06/2013 00:10:00,   59.59,   66.07,   47.89,   63.15,   68.24,   52.67
28/06/2013 00:15:00,   58.17,   64.73,   48.57,   61.62,   67.10,   52.91
28/06/2013 00:20:00,   58.46,   64.32,   48.73,   61.93,   66.93,   52.47
28/06/2013 00:25:00,   60.09,   65.93,   48.97,   64.44,   70.27,   53.60
28/06/2013 00:30:00,   58.67,   64.29,   49.78,   62.45,   66.68,   53.39
28/06/2013 00:35:00,   54.69,   60.71,   47.92,   59.22,   64.67,   51.85
28/06/2013 00:40:00,   59.27,   65.30,   50.44,   63.06,   67.90,   54.20
28/06/2013 00:45:00,   56.55,   62.58,   48.46,   59.69,   64.85,   52.45
28/06/2013 00:50:00,   56.91,   63.67,   47.58,   60.60,   66.57,   51.61
28/06/2013 00:55:00,   57.24,   62.84,   48.02,   60.31,   65.84,   50.91
28/06/2013 01:00:00,   53.99,   59.10,   47.93,   57.50,   61.80,   52.33
28/06/2013 01:05:00,   59.15,   65.54,   48.93,   62.13,   67.56,   53.34
28/06/2013 01:10:00,   53.44,   59.66,   46.59,   56.86,   62.55,   50.73
28/06/2013 01:15:00,   51.96,   57.39,   46.40,   55.15,   59.58,   50.50
28/06/2013 01:20:00,   54.66,   60.45,   46.38,   57.81,   63.06,   50.24
28/06/2013 01:25:00,   54.10,   59.94,   47.03,   58.22,   63.71,   51.55
28/06/2013 01:30:00,   52.06,   57.68,   45.79,   55.64,   60.87,   50.08
28/06/2013 01:35:00,   54.69,   61.05,   46.67,   58.15,   64.18,   50.66
28/06/2013 01:40:00,   55.77,   61.17,   48.62,   58.52,   63.41,   52.79
28/06/2013 01:45:00,   55.54,   61.58,   50.89,   58.77,   64.10,   53.80
28/06/2013 01:50:00,   56.05,   60.55,   50.30,   58.72,   62.57,   54.32
28/06/2013 01:55:00,   55.40,   62.52,   47.11,   58.83,   64.75,   51.50
28/06/2013 02:00:00,   53.89,   59.17,   45.82,   57.02,   62.50,   50.84
28/06/2013 02:05:00,   54.44,   61.67,   46.92,   57.19,   63.39,   50.69
28/06/2013 02:10:00,   61.43,   72.69,   45.36,   66.18,   77.46,   49.75
28/06/2013 02:15:00,   54.45,   62.42,   45.33,   57.56,   64.30,   49.90
28/06/2013 02:20:00,   51.23,   56.34,   45.49,   54.62,   59.14,   49.50
28/06/2013 02:25:00,   52.28,   58.13,   44.89,   54.98,   61.02,   48.85
28/06/2013 02:30:00,   52.40,   59.05,   45.15,   55.17,   61.42,   49.29
28/06/2013 02:35:00,   50.55,   55.15,   44.57,   54.15,   58.28,   48.48
28/06/2013 02:40:00,   49.59,   53.62,   44.99,   53.74,   57.36,   49.51
28/06/2013 02:45:00,   51.38,   56.92,   46.00,   55.30,   60.18,   50.25
28/06/2013 02:50:00,   53.95,   59.93,   46.45,   57.96,   63.44,   50.39
28/06/2013 02:55:00,   52.13,   57.91,   45.78,   55.71,   60.65,   49.39
28/06/2013 03:00:00,   54.30,   60.33,   46.51,   57.66,   63.72,   50.36
28/06/2013 03:05:00,   54.33,   61.09,   46.60,   57.79,   63.24,   50.62
28/06/2013 03:10:00,   54.84,   61.48,   46.40,   58.23,   64.60,   50.37
28/06/2013 03:15:00,   53.03,   59.42,   46.23,   56.55,   62.18,   50.08
28/06/2013 03:20:00,   54.91,   62.00,   46.34,   58.20,   64.33,   50.45
28/06/2013 03:25:00,   52.76,   59.17,   45.43,   55.66,   60.81,   49.75
28/06/2013 03:30:00,   54.60,   61.93,   45.87,   58.05,   64.28,   49.64
28/06/2013 03:35:00,   54.69,   60.36,   46.76,   58.73,   64.41,   50.97
28/06/2013 03:40:00,   54.56,   61.81,   46.80,   58.80,   65.09,   50.58
28/06/2013 03:45:00,   55.70,   62.89,   47.44,   59.27,   65.56,   51.20
28/06/2013 03:50:00,   54.14,   59.84,   46.85,   57.77,   62.85,   51.28
28/06/2013 03:55:00,   52.56,   58.93,   46.06,   58.23,   64.62,   50.11
28/06/2013 04:00:00,   54.75,   60.80,   46.33,   59.77,   64.39,   50.95
28/06/2013 04:05:00,   55.37,   61.58,   48.42,   58.66,   64.32,   52.36
28/06/2013 04:10:00,   55.53,   62.55,   46.55,   59.09,   65.32,   51.45
28/06/2013 04:15:00,   55.28,   61.71,   47.04,   60.00,   66.02,   51.92
28/06/2013 04:20:00,   54.09,   59.92,   46.58,   58.02,   62.84,   50.81
28/06/2013 04:25:00,   55.38,   62.97,   47.73,   58.88,   64.87,   51.99
28/06/2013 04:30:00,   56.49,   63.60,   47.23,   60.78,   66.06,   52.33
28/06/2013 04:35:00,   56.32,   62.71,   47.24,   61.03,   66.29,   51.40
28/06/2013 04:40:00,   56.70,   62.46,   48.83,   60.47,   66.72,   52.99
28/06/2013 04:45:00,   59.20,   66.40,   48.39,   62.28,   69.14,   52.85
28/06/2013 04:50:00,   57.59,   62.97,   49.86,   60.73,   65.76,   53.30
28/06/2013 04:55:00,   55.38,   61.88,   47.69,   59.22,   64.65,   53.14
28/06/2013 05:00:00,   58.17,   64.87,   49.22,   62.54,   67.59,   54.25
28/06/2013 05:05:00,   58.88,   64.40,   49.06,   63.11,   67.44,   54.29
28/06/2013 05:10:00,   58.53,   64.55,   49.19,   62.87,   67.25,   54.31
28/06/2013 05:15:00,   57.36,   63.27,   49.11,   61.96,   67.69,   53.65
28/06/2013 05:20:00,   58.30,   63.38,   51.80,   61.98,   65.99,   56.00
28/06/2013 05:25:00,   58.32,   64.67,   50.99,   63.17,   68.59,   56.99
28/06/2013 05:30:00,   57.56,   64.18,   49.66,   62.06,   68.08,   54.59
28/06/2013 05:35:00,   60.23,   65.29,   52.64,   64.15,   68.99,   57.91
28/06/2013 05:40:00,   59.85,   65.68,   50.52,   64.53,   70.65,   55.11
28/06/2013 05:45:00,   59.77,   65.03,   51.96,   63.35,   67.54,   56.68
28/06/2013 05:50:00,   58.36,   64.75,   50.33,   62.47,   67.09,   55.23
28/06/2013 05:55:00,   61.40,   67.08,   52.92,   65.77,   71.04,   57.29
28/06/2013 06:00:00,   58.13,   63.77,   52.39,   62.75,   67.90,   56.45
28/06/2013 06:05:00,   62.11,   67.92,   53.60,   65.77,   71.00,   57.88
28/06/2013 06:10:00,   60.76,   65.01,   54.10,   64.67,   68.19,   58.00
28/06/2013 06:15:00,   58.94,   64.28,   52.64,   63.51,   68.47,   56.60
28/06/2013 06:20:00,   61.02,   66.77,   53.65,   65.61,   70.70,   58.42
