# noise_analysis run from DCC-NOISE-001011 at Sun Jun 30 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/06/2013 00:05:00,   59.08,   63.56,   49.85,   62.60,   67.20,   53.36
30/06/2013 00:10:00,   57.79,   63.17,   49.76,   61.36,   66.61,   53.73
30/06/2013 00:15:00,   59.96,   63.89,   52.28,   63.51,   66.54,   55.80
30/06/2013 00:20:00,   57.38,   63.16,   49.02,   60.72,   65.74,   52.94
30/06/2013 00:25:00,   61.50,   67.84,   51.60,   65.39,   71.11,   55.63
30/06/2013 00:30:00,   57.33,   63.39,   49.24,   61.05,   66.38,   53.29
30/06/2013 00:35:00,   58.66,   63.98,   50.91,   61.48,   66.37,   54.72
30/06/2013 00:40:00,   58.24,   63.61,   48.82,   61.36,   66.66,   52.26
30/06/2013 00:45:00,   59.76,   65.88,   50.28,   62.87,   67.91,   53.71
30/06/2013 00:50:00,   56.03,   61.46,   49.63,   59.26,   63.83,   53.30
30/06/2013 00:55:00,   58.97,   64.44,   48.58,   62.14,   67.16,   52.60
30/06/2013 01:00:00,   56.41,   63.19,   49.05,   59.57,   65.81,   53.10
30/06/2013 01:05:00,   58.74,   62.64,   51.25,   62.34,   65.99,   55.12
30/06/2013 01:10:00,   57.23,   61.94,   51.31,   60.66,   65.46,   55.15
30/06/2013 01:15:00,   57.13,   62.87,   50.47,   60.26,   65.88,   53.97
30/06/2013 01:20:00,   57.45,   62.52,   50.66,   60.69,   65.38,   54.43
30/06/2013 01:25:00,   56.86,   63.38,   50.13,   60.92,   66.07,   53.82
30/06/2013 01:30:00,   56.13,   62.10,   49.46,   59.61,   64.85,   52.82
30/06/2013 01:35:00,   57.56,   63.05,   49.43,   62.25,   66.83,   53.70
30/06/2013 01:40:00,   58.72,   64.69,   49.35,   61.45,   67.05,   52.89
30/06/2013 01:45:00,   57.52,   63.44,   49.41,   60.11,   65.17,   52.77
30/06/2013 01:50:00,   56.48,   62.44,   49.40,   59.47,   64.73,   53.06
30/06/2013 01:55:00,   55.53,   61.62,   48.80,   58.51,   64.24,   52.03
30/06/2013 02:00:00,   56.55,   62.99,   49.18,   59.34,   65.58,   52.66
30/06/2013 02:05:00,   56.11,   62.37,   47.23,   58.73,   64.46,   51.76
30/06/2013 02:10:00,   57.38,   63.64,   49.28,   61.05,   66.41,   53.18
30/06/2013 02:15:00,   55.21,   61.31,   48.28,   58.05,   63.51,   51.61
30/06/2013 02:20:00,   57.40,   63.16,   48.39,   60.35,   65.81,   52.31
30/06/2013 02:25:00,   57.60,   63.18,   48.87,   59.89,   64.42,   53.10
30/06/2013 02:30:00,   56.62,   63.54,   48.80,   59.49,   65.90,   52.40
30/06/2013 02:35:00,   57.29,   63.53,   48.75,   60.18,   65.84,   52.52
30/06/2013 02:40:00,   56.51,   63.02,   49.63,   59.04,   64.85,   53.02
30/06/2013 02:45:00,   56.66,   63.68,   48.38,   59.34,   65.88,   51.98
30/06/2013 02:50:00,   55.94,   63.63,   49.39,   59.57,   66.75,   52.83
30/06/2013 02:55:00,   58.75,   64.85,   49.67,   61.17,   67.18,   52.96
30/06/2013 03:00:00,   55.94,   62.57,   49.28,   58.81,   64.76,   53.01
30/06/2013 03:05:00,   56.71,   62.71,   49.62,   59.53,   65.14,   52.93
30/06/2013 03:10:00,   56.27,   62.74,   49.33,   59.29,   64.93,   53.01
30/06/2013 03:15:00,   56.94,   62.87,   49.97,   59.96,   64.99,   53.47
30/06/2013 03:20:00,   57.61,   64.30,   50.14,   60.65,   66.65,   53.33
30/06/2013 03:25:00,   56.75,   62.91,   49.01,   59.40,   64.97,   52.39
30/06/2013 03:30:00,   56.21,   62.79,   48.09,   59.81,   66.74,   51.06
30/06/2013 03:35:00,   56.27,   63.86,   49.42,   59.34,   66.57,   52.84
30/06/2013 03:40:00,   56.98,   64.35,   49.16,   59.62,   66.79,   52.53
30/06/2013 03:45:00,   55.77,   61.38,   49.07,   58.45,   63.91,   52.10
30/06/2013 03:50:00,   56.68,   63.24,   49.68,   59.48,   65.83,   52.78
30/06/2013 03:55:00,   55.60,   61.73,   49.36,   58.46,   63.54,   52.68
30/06/2013 04:00:00,   57.39,   62.65,   49.80,   60.06,   64.90,   53.29
30/06/2013 04:05:00,   57.09,   63.56,   48.25,   59.70,   65.60,   51.95
30/06/2013 04:10:00,   58.31,   64.46,   49.80,   61.84,   67.11,   52.66
30/06/2013 04:15:00,   55.83,   62.76,   49.43,   58.48,   64.65,   52.74
30/06/2013 04:20:00,   55.50,   61.77,   48.03,   58.09,   63.72,   51.77
30/06/2013 04:25:00,   56.19,   62.62,   49.38,   59.67,   64.96,   53.36
30/06/2013 04:30:00,   56.43,   63.70,   47.69,   58.74,   65.81,   50.31
30/06/2013 04:35:00,   56.59,   64.09,   47.59,   59.31,   66.25,   50.81
