# noise_analysis run from DCC-NOISE-001017 at Mon Mar 11 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/03/2013 00:05:00,   61.01,   65.98,   52.05,   69.59,   76.18,   58.45
11/03/2013 00:10:00,   59.07,   63.00,   52.26,   67.63,   72.89,   57.63
11/03/2013 00:15:00,   63.56,   70.74,   52.42,   72.88,   79.11,   59.24
11/03/2013 00:20:00,   64.51,   72.56,   52.24,   73.49,   80.26,   58.35
11/03/2013 00:25:00,   63.73,   69.95,   53.21,   71.90,   77.85,   61.47
11/03/2013 00:30:00,   60.45,   67.08,   51.32,   68.95,   76.53,   56.98
11/03/2013 00:35:00,   58.64,   63.62,   51.22,   66.15,   72.31,   56.28
11/03/2013 00:40:00,   59.16,   64.22,   51.44,   66.40,   72.16,   56.78
11/03/2013 00:45:00,   64.37,   70.97,   51.89,   72.85,   80.24,   58.27
11/03/2013 00:50:00,   63.39,   70.09,   53.13,   72.74,   79.22,   60.69
11/03/2013 00:55:00,   57.23,   62.16,   51.59,   65.57,   70.03,   57.68
11/03/2013 01:00:00,   60.84,   66.28,   51.50,   68.68,   74.93,   57.13
11/03/2013 01:05:00,   58.02,   63.47,   51.37,   65.90,   71.95,   57.01
11/03/2013 01:10:00,   60.04,   65.93,   51.23,   69.13,   75.60,   56.95
11/03/2013 01:15:00,   62.96,   70.01,   51.65,   71.87,   78.83,   57.20
11/03/2013 01:20:00,   64.41,   72.87,   51.76,   72.96,   81.28,   58.10
11/03/2013 01:25:00,   60.63,   65.74,   51.78,   69.62,   75.79,   58.35
11/03/2013 01:30:00,   63.28,   70.14,   52.67,   72.50,   79.64,   58.52
11/03/2013 01:35:00,   61.69,   67.66,   51.54,   70.46,   77.22,   57.77
11/03/2013 01:40:00,   58.16,   63.75,   50.99,   67.92,   74.21,   57.37
11/03/2013 01:45:00,   59.15,   64.47,   51.53,   68.55,   74.15,   57.65
11/03/2013 01:50:00,   65.91,   74.05,   51.89,   74.62,   81.42,   59.41
11/03/2013 01:55:00,   62.59,   68.45,   52.21,   71.29,   77.33,   59.07
11/03/2013 02:00:00,   66.69,   76.11,   54.01,   72.92,   80.75,   59.94
11/03/2013 02:05:00,   58.73,   62.94,   51.78,   68.27,   72.85,   57.59
11/03/2013 02:10:00,   59.81,   65.55,   52.05,   68.64,   74.59,   57.39
11/03/2013 02:15:00,   57.61,   64.09,   50.35,   66.68,   73.92,   55.16
11/03/2013 02:20:00,   60.31,   65.14,   50.40,   69.78,   75.51,   56.61
11/03/2013 02:25:00,   61.55,   68.12,   51.13,   70.32,   77.37,   56.94
11/03/2013 02:30:00,   60.48,   66.29,   50.80,   69.74,   76.53,   57.88
11/03/2013 02:35:00,   62.14,   70.06,   50.29,   71.02,   78.65,   56.05
11/03/2013 02:40:00,   62.57,   69.72,   51.37,   72.76,   78.92,   59.04
11/03/2013 02:45:00,   62.79,   70.35,   51.29,   72.47,   78.88,   59.59
11/03/2013 02:50:00,   59.71,   66.22,   50.25,   69.37,   76.41,   55.56
11/03/2013 02:55:00,   63.80,   71.34,   50.98,   73.05,   79.69,   58.72
11/03/2013 03:00:00,   59.25,   65.39,   50.73,   68.92,   75.46,   57.80
11/03/2013 03:05:00,   59.91,   66.52,   50.66,   69.07,   76.42,   56.16
11/03/2013 03:10:00,   64.88,   72.74,   51.28,   73.85,   81.41,   59.25
