# noise_analysis run from DCC-NOISE-001011 at Sat Mar 16 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/03/2013 00:05:00,   60.09,   65.26,   50.58,   63.03,   67.00,   54.72
16/03/2013 00:10:00,   58.94,   65.02,   50.86,   61.50,   67.11,   54.84
16/03/2013 00:15:00,   58.15,   63.51,   50.38,   61.43,   66.48,   54.35
16/03/2013 00:20:00,   60.51,   66.09,   51.05,   63.68,   69.08,   55.11
16/03/2013 00:25:00,   57.37,   64.01,   50.61,   59.98,   65.63,   54.30
16/03/2013 00:30:00,   58.97,   65.01,   50.81,   61.84,   67.15,   54.50
16/03/2013 00:35:00,   57.48,   63.20,   50.51,   60.01,   64.95,   54.25
16/03/2013 00:40:00,   59.90,   63.97,   51.63,   62.77,   65.88,   55.40
16/03/2013 00:45:00,   59.56,   65.03,   52.31,   62.60,   66.94,   56.01
16/03/2013 00:50:00,   59.38,   65.00,   49.92,   62.76,   67.60,   53.92
16/03/2013 00:55:00,   58.39,   63.49,   50.35,   61.05,   65.75,   54.17
16/03/2013 01:00:00,   57.16,   63.14,   50.75,   59.89,   65.34,   54.38
16/03/2013 01:05:00,   60.09,   65.85,   50.48,   62.97,   68.32,   54.51
16/03/2013 01:10:00,   55.65,   61.45,   50.29,   58.62,   63.37,   54.15
16/03/2013 01:15:00,   58.67,   65.42,   50.31,   60.87,   66.64,   54.05
16/03/2013 01:20:00,   56.55,   64.07,   50.03,   59.14,   65.22,   53.71
16/03/2013 01:25:00,   57.74,   64.26,   49.77,   60.44,   66.31,   53.56
16/03/2013 01:30:00,   55.94,   61.87,   49.99,   58.51,   63.67,   53.68
16/03/2013 01:35:00,   59.20,   66.14,   50.86,   61.83,   67.78,   54.69
16/03/2013 01:40:00,   56.10,   62.43,   49.77,   58.94,   64.09,   54.03
16/03/2013 01:45:00,   57.46,   64.69,   49.35,   60.75,   67.45,   53.76
16/03/2013 01:50:00,   56.16,   61.95,   49.66,   59.25,   63.81,   53.81
16/03/2013 01:55:00,   58.42,   65.43,   49.31,   60.66,   66.87,   53.32
16/03/2013 02:00:00,   57.38,   63.06,   49.84,   59.91,   64.82,   53.98
16/03/2013 02:05:00,   56.79,   63.76,   49.15,   59.64,   65.92,   53.59
16/03/2013 02:10:00,   58.48,   66.01,   49.40,   61.12,   67.86,   53.49
16/03/2013 02:15:00,   57.11,   64.86,   49.82,   59.62,   66.27,   53.89
16/03/2013 02:20:00,   56.06,   63.04,   49.34,   58.89,   65.00,   53.64
16/03/2013 02:25:00,   57.51,   64.28,   49.48,   60.00,   65.58,   53.77
16/03/2013 02:30:00,   58.23,   64.53,   49.22,   60.64,   67.01,   53.31
16/03/2013 02:35:00,   57.48,   63.99,   49.01,   59.96,   65.37,   53.28
16/03/2013 02:40:00,   56.64,   61.42,   49.94,   59.61,   64.15,   54.16
16/03/2013 02:45:00,   58.23,   64.87,   49.98,   60.79,   66.64,   54.18
16/03/2013 02:50:00,   56.65,   62.11,   50.41,   59.51,   64.38,   54.64
16/03/2013 02:55:00,   59.09,   64.92,   50.35,   61.48,   66.41,   54.42
16/03/2013 03:00:00,   56.85,   62.95,   50.27,   59.48,   64.55,   54.03
16/03/2013 03:05:00,   55.47,   61.12,   49.86,   59.23,   64.64,   53.82
16/03/2013 03:10:00,   58.81,   64.69,   50.54,   61.87,   67.21,   54.82
16/03/2013 03:15:00,   58.42,   66.30,   50.01,   60.94,   67.76,   54.27
16/03/2013 03:20:00,   58.56,   65.36,   50.94,   60.98,   67.13,   54.70
16/03/2013 03:25:00,   57.80,   64.82,   50.48,   60.30,   66.37,   54.40
16/03/2013 03:30:00,   59.80,   64.81,   50.74,   62.35,   66.46,   54.58
16/03/2013 03:35:00,   55.87,   61.23,   50.20,   59.09,   63.71,   54.63
16/03/2013 03:40:00,   57.95,   65.58,   50.47,   60.54,   67.33,   54.29
16/03/2013 03:45:00,   57.82,   63.99,   50.38,   60.34,   65.91,   54.29
16/03/2013 03:50:00,   57.97,   65.32,   49.90,   60.54,   66.71,   53.92
16/03/2013 03:55:00,   58.23,   63.34,   50.22,   61.56,   66.46,   54.28
16/03/2013 04:00:00,   56.96,   63.79,   49.65,   59.46,   65.12,   53.87
16/03/2013 04:05:00,   56.78,   63.70,   50.15,   59.33,   65.23,   54.19
16/03/2013 04:10:00,   59.07,   65.24,   50.83,   61.66,   67.08,   55.25
16/03/2013 04:15:00,   57.16,   64.43,   49.98,   59.97,   66.52,   54.22
16/03/2013 04:20:00,   58.08,   64.69,   51.11,   60.64,   66.29,   54.98
16/03/2013 04:25:00,   57.57,   65.57,   50.23,   60.19,   66.87,   54.29
16/03/2013 04:30:00,   58.48,   62.69,   50.72,   61.48,   64.89,   54.79
16/03/2013 04:35:00,   58.01,   66.14,   50.79,   60.38,   67.46,   54.58
16/03/2013 04:40:00,   57.14,   63.54,   50.95,   60.20,   65.79,   54.95
16/03/2013 04:45:00,   56.83,   62.05,   50.63,   59.18,   63.78,   54.14
16/03/2013 04:50:00,   58.63,   65.45,   50.32,   61.21,   66.92,   54.02
16/03/2013 04:55:00,   58.47,   65.00,   50.55,   60.25,   66.24,   54.12
16/03/2013 05:00:00,   58.08,   64.82,   50.64,   60.48,   66.96,   54.20
16/03/2013 05:05:00,   56.67,   64.63,   50.27,   59.11,   66.32,   53.65
16/03/2013 05:10:00,   58.58,   65.42,   50.91,   60.81,   67.11,   54.17
16/03/2013 05:15:00,   56.39,   61.10,   51.08,   58.91,   63.33,   54.08
16/03/2013 05:20:00,   57.53,   63.59,   51.29,   59.72,   65.78,   54.41
16/03/2013 05:25:00,   58.74,   65.05,   51.77,   62.42,   67.23,   54.96
16/03/2013 05:30:00,   54.14,   57.69,   50.94,   56.67,   59.92,   53.90
16/03/2013 05:35:00,   57.59,   64.40,   51.60,   59.87,   66.81,   54.53
16/03/2013 05:40:00,   57.85,   63.99,   51.93,   60.52,   65.98,   54.84
16/03/2013 05:45:00,   57.21,   63.66,   51.94,   59.88,   66.02,   54.83
16/03/2013 05:50:00,   56.20,   60.33,   52.34,   58.78,   63.07,   55.08
16/03/2013 05:55:00,   59.30,   64.89,   52.85,   61.84,   67.06,   55.40
16/03/2013 06:00:00,   59.33,   64.94,   53.86,   62.71,   68.39,   56.22
16/03/2013 06:05:00,   59.16,   64.36,   53.89,   61.98,   66.93,   56.47
16/03/2013 06:10:00,   61.32,   66.22,   54.38,   64.68,   70.51,   56.34
16/03/2013 06:15:00,   58.97,   63.46,   54.14,   61.35,   65.58,   56.41
16/03/2013 06:20:00,   60.85,   65.00,   54.99,   63.35,   66.84,   57.29
16/03/2013 06:25:00,   59.93,   66.29,   54.67,   63.15,   69.41,   57.31
16/03/2013 06:30:00,   59.82,   64.84,   55.09,   62.59,   66.95,   58.02
16/03/2013 06:35:00,   61.59,   68.22,   54.87,   64.45,   70.74,   57.32
16/03/2013 06:40:00,   59.06,   64.20,   54.52,   61.50,   65.72,   56.46
16/03/2013 06:45:00,   60.76,   66.03,   54.93,   63.67,   68.21,   57.92
16/03/2013 06:50:00,   61.65,   67.11,   55.83,   65.79,   70.51,   59.00
16/03/2013 06:55:00,   60.96,   66.40,   55.17,   64.82,   69.90,   57.98
16/03/2013 07:00:00,   59.25,   63.38,   55.42,   63.17,   66.56,   58.48
16/03/2013 07:05:00,   60.83,   65.73,   54.85,   64.50,   70.24,   57.41
16/03/2013 07:10:00,   61.35,   66.82,   55.10,   64.22,   69.44,   58.00
16/03/2013 07:15:00,   58.95,   63.73,   54.94,   61.86,   66.69,   57.45
16/03/2013 07:20:00,   60.73,   66.12,   54.80,   63.90,   68.86,   57.35
16/03/2013 07:25:00,   60.73,   65.75,   55.78,   63.60,   67.75,   58.47
16/03/2013 07:30:00,   61.28,   66.40,   55.23,   64.17,   68.48,   57.63
16/03/2013 07:35:00,   61.49,   66.43,   54.80,   64.75,   69.42,   57.03
16/03/2013 07:40:00,   60.24,   65.12,   55.15,   62.73,   67.32,   57.37
16/03/2013 07:45:00,   62.21,   67.23,   56.42,   65.29,   69.83,   59.15
16/03/2013 07:50:00,   61.11,   67.16,   55.22,   63.89,   69.38,   57.79
16/03/2013 07:55:00,   61.14,   65.89,   55.54,   63.71,   67.56,   58.54
16/03/2013 08:00:00,   61.56,   66.18,   55.58,   64.61,   68.25,   58.42
16/03/2013 08:05:00,   62.53,   68.11,   55.60,   65.03,   69.93,   58.23
16/03/2013 08:10:00,   60.91,   66.49,   55.49,   63.14,   68.22,   58.10
16/03/2013 08:15:00,   61.40,   66.50,   55.23,   64.20,   68.86,   58.05
16/03/2013 08:20:00,   61.44,   65.62,   55.38,   64.07,   67.66,   58.00
16/03/2013 08:25:00,   60.29,   64.61,   55.55,   63.42,   67.66,   58.57
16/03/2013 08:30:00,   60.61,   65.11,   55.68,   63.98,   67.76,   59.00
16/03/2013 08:35:00,   61.68,   67.59,   55.02,   64.65,   69.81,   58.36
16/03/2013 08:40:00,   60.20,   64.65,   54.39,   62.65,   67.02,   56.60
16/03/2013 08:45:00,   61.59,   66.92,   54.88,   64.53,   69.90,   57.36
16/03/2013 08:50:00,   60.84,   65.89,   55.20,   63.55,   67.47,   57.61
16/03/2013 08:55:00,   63.12,   68.09,   55.32,   66.06,   70.87,   58.24
16/03/2013 09:00:00,   63.46,   68.18,   56.07,   67.48,   72.18,   60.04
16/03/2013 09:05:00,   61.11,   65.92,   55.12,   63.99,   68.45,   57.60
