# noise_analysis run from DCC-NOISE-001011 at Sun Mar 17 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/03/2013 00:05:00,   61.64,   66.29,   53.50,   63.82,   68.57,   56.71
17/03/2013 00:10:00,   60.77,   66.47,   52.00,   63.51,   68.24,   55.71
17/03/2013 00:15:00,   61.00,   66.66,   52.27,   63.78,   68.98,   55.82
17/03/2013 00:20:00,   61.02,   65.96,   52.21,   62.98,   67.75,   55.83
17/03/2013 00:25:00,   64.08,   68.91,   52.77,   66.56,   70.96,   56.77
17/03/2013 00:30:00,   58.85,   63.91,   51.88,   61.67,   66.02,   55.73
17/03/2013 00:35:00,   60.80,   66.20,   51.88,   63.54,   68.19,   55.45
17/03/2013 00:40:00,   57.85,   64.82,   51.87,   60.51,   67.11,   55.67
17/03/2013 00:45:00,   61.22,   67.17,   52.54,   64.30,   69.02,   56.32
17/03/2013 00:50:00,   58.20,   63.57,   52.09,   61.33,   66.23,   55.57
17/03/2013 00:55:00,   65.61,   71.82,   55.48,   69.42,   75.69,   58.94
17/03/2013 01:00:00,   60.48,   65.45,   52.07,   63.19,   67.81,   55.80
17/03/2013 01:05:00,   59.90,   64.82,   52.32,   62.65,   66.93,   55.62
17/03/2013 01:10:00,   58.88,   64.86,   51.74,   61.28,   66.76,   55.55
17/03/2013 01:15:00,   58.27,   64.02,   52.02,   60.70,   65.50,   55.83
17/03/2013 01:20:00,   58.05,   63.31,   51.98,   60.74,   65.28,   55.73
17/03/2013 01:25:00,   58.87,   64.97,   52.48,   61.49,   66.55,   56.25
17/03/2013 01:30:00,   59.76,   65.94,   51.18,   62.62,   67.46,   55.72
17/03/2013 01:35:00,   59.16,   65.38,   51.95,   61.79,   67.45,   55.83
17/03/2013 01:40:00,   58.76,   64.44,   51.76,   61.08,   66.06,   55.34
17/03/2013 01:45:00,   59.88,   65.32,   52.45,   62.17,   66.78,   55.92
17/03/2013 01:50:00,   59.51,   65.20,   53.20,   62.04,   67.23,   56.42
17/03/2013 01:55:00,   59.87,   65.18,   52.57,   62.10,   67.52,   55.79
17/03/2013 02:00:00,   58.85,   65.04,   52.07,   60.93,   66.41,   55.37
17/03/2013 02:05:00,   57.46,   63.26,   51.64,   59.88,   64.65,   55.17
17/03/2013 02:10:00,   58.67,   66.36,   50.81,   61.08,   67.96,   54.29
17/03/2013 02:15:00,   59.85,   65.78,   52.00,   62.06,   67.50,   55.60
17/03/2013 02:20:00,   59.27,   65.79,   52.11,   61.34,   67.56,   55.43
17/03/2013 02:25:00,   67.31,   68.46,   52.82,   68.53,   69.52,   56.24
17/03/2013 02:30:00,   60.16,   66.04,   52.45,   62.57,   68.00,   55.88
17/03/2013 02:35:00,   58.66,   64.88,   52.34,   61.02,   66.31,   55.96
17/03/2013 02:40:00,   59.07,   65.31,   51.87,   61.25,   67.01,   55.42
17/03/2013 02:45:00,   58.39,   64.34,   52.45,   60.71,   65.90,   55.63
17/03/2013 02:50:00,   60.61,   66.61,   52.36,   62.90,   68.31,   55.83
17/03/2013 02:55:00,   59.94,   65.81,   51.50,   62.19,   67.63,   55.09
17/03/2013 03:00:00,   59.30,   65.40,   51.87,   61.56,   66.97,   55.28
17/03/2013 03:05:00,   58.29,   63.87,   51.93,   60.88,   65.81,   55.40
17/03/2013 03:10:00,   58.95,   65.78,   51.41,   61.39,   67.36,   55.13
17/03/2013 03:15:00,   59.21,   65.99,   52.02,   61.50,   68.08,   55.39
17/03/2013 03:20:00,   60.40,   66.55,   52.24,   62.53,   68.10,   55.59
17/03/2013 03:25:00,   59.16,   63.98,   52.85,   61.27,   65.70,   55.79
17/03/2013 03:30:00,   59.80,   66.38,   52.32,   61.90,   67.95,   55.74
17/03/2013 03:35:00,   60.74,   66.03,   53.33,   63.40,   68.05,   56.26
17/03/2013 03:40:00,   60.79,   65.34,   53.83,   63.09,   67.48,   57.24
17/03/2013 03:45:00,   58.99,   65.61,   52.07,   60.81,   66.99,   55.25
17/03/2013 03:50:00,   59.69,   66.16,   51.88,   61.77,   67.74,   55.26
17/03/2013 03:55:00,   58.48,   65.18,   51.86,   60.97,   66.98,   55.25
17/03/2013 04:00:00,   59.31,   64.05,   51.86,   61.65,   65.88,   55.61
17/03/2013 04:05:00,   60.92,   67.51,   52.64,   63.15,   68.94,   56.14
17/03/2013 04:10:00,   59.86,   66.57,   52.18,   62.20,   68.50,   55.63
17/03/2013 04:15:00,   59.33,   66.73,   51.99,   61.63,   68.67,   55.25
17/03/2013 04:20:00,   57.19,   62.10,   51.55,   59.84,   64.12,   55.09
17/03/2013 04:25:00,   60.38,   66.46,   52.39,   62.63,   68.05,   55.65
17/03/2013 04:30:00,   60.36,   67.28,   51.73,   63.06,   69.56,   54.98
17/03/2013 04:35:00,   58.48,   65.46,   51.19,   60.89,   67.23,   54.39
17/03/2013 04:40:00,   58.38,   64.56,   51.66,   60.61,   66.47,   54.80
17/03/2013 04:45:00,   58.12,   64.87,   51.25,   60.71,   66.72,   54.70
17/03/2013 04:50:00,   58.78,   65.36,   51.40,   60.83,   66.79,   54.67
17/03/2013 04:55:00,   59.12,   66.27,   52.03,   60.95,   68.10,   55.05
17/03/2013 05:00:00,   58.73,   64.98,   51.84,   60.69,   66.31,   54.80
17/03/2013 05:05:00,   58.66,   65.07,   51.35,   60.86,   66.79,   54.53
17/03/2013 05:10:00,   57.69,   62.67,   51.46,   60.16,   64.60,   54.54
17/03/2013 05:15:00,   56.55,   62.53,   51.38,   58.76,   63.88,   54.46
17/03/2013 05:20:00,   56.83,   63.81,   51.27,   58.91,   65.19,   54.14
17/03/2013 05:25:00,   57.42,   63.35,   51.48,   59.83,   65.91,   54.30
17/03/2013 05:30:00,   57.02,   62.85,   51.51,   59.57,   64.82,   54.36
17/03/2013 05:35:00,   56.75,   62.69,   51.79,   58.69,   63.88,   54.43
17/03/2013 05:40:00,   56.71,   62.05,   52.27,   58.78,   63.39,   54.88
17/03/2013 05:45:00,   58.04,   64.18,   52.66,   59.88,   65.63,   55.07
17/03/2013 05:50:00,   56.91,   62.49,   52.47,   58.56,   63.97,   54.58
17/03/2013 05:55:00,   57.15,   63.01,   52.31,   58.91,   64.24,   54.62
17/03/2013 06:00:00,   59.42,   64.50,   54.36,   61.67,   66.70,   56.34
17/03/2013 06:05:00,   58.78,   63.02,   54.80,   60.25,   64.26,   56.42
17/03/2013 06:10:00,   58.29,   62.60,   53.92,   59.75,   64.01,   55.54
17/03/2013 06:15:00,   57.46,   61.84,   53.75,   58.99,   63.46,   55.43
17/03/2013 06:20:00,   57.72,   62.40,   53.85,   59.19,   63.93,   55.56
17/03/2013 06:25:00,   59.18,   63.99,   53.88,   62.10,   66.38,   56.05
17/03/2013 06:30:00,   58.34,   63.71,   54.28,   60.93,   65.89,   56.00
17/03/2013 06:35:00,   57.58,   61.84,   54.33,   59.21,   62.78,   56.20
17/03/2013 06:40:00,   61.35,   66.58,   55.17,   62.54,   67.67,   56.74
17/03/2013 06:45:00,   61.14,   66.20,   54.98,   62.84,   67.54,   56.96
17/03/2013 06:50:00,   60.35,   64.67,   54.93,   63.98,   68.89,   58.14
17/03/2013 06:55:00,   59.59,   64.68,   54.63,   61.61,   66.35,   56.87
17/03/2013 07:00:00,   59.80,   65.52,   54.30,   61.55,   67.13,   56.03
17/03/2013 07:05:00,   57.92,   61.84,   54.53,   60.22,   64.07,   56.35
17/03/2013 07:10:00,   60.14,   66.09,   54.76,   62.50,   68.64,   56.54
17/03/2013 07:15:00,   59.95,   64.42,   55.08,   62.73,   66.55,   57.12
17/03/2013 07:20:00,   57.90,   62.09,   54.88,   60.39,   64.23,   56.98
17/03/2013 07:25:00,   58.89,   63.84,   54.71,   61.17,   65.91,   56.63
17/03/2013 07:30:00,   59.61,   64.72,   55.19,   62.13,   66.33,   57.28
17/03/2013 07:35:00,   59.19,   64.66,   54.98,   61.19,   66.55,   56.82
17/03/2013 07:40:00,   58.50,   61.83,   55.00,   60.93,   64.33,   56.99
17/03/2013 07:45:00,   59.22,   64.19,   55.12,   61.63,   65.40,   57.18
17/03/2013 07:50:00,   58.69,   63.41,   54.46,   60.49,   64.67,   56.36
17/03/2013 07:55:00,   59.83,   64.67,   55.32,   61.58,   66.10,   57.08
17/03/2013 08:00:00,   61.84,   66.65,   55.18,   63.94,   68.23,   56.70
17/03/2013 08:05:00,   57.70,   61.90,   54.52,   59.30,   63.22,   56.24
17/03/2013 08:10:00,   57.35,   59.92,   54.83,   59.42,   61.87,   56.64
17/03/2013 08:15:00,   57.99,   62.63,   54.55,   59.30,   63.18,   56.33
17/03/2013 08:20:00,   57.75,   62.14,   54.47,   59.62,   63.13,   56.48
17/03/2013 08:25:00,   57.19,   61.41,   54.45,   59.11,   63.26,   56.39
17/03/2013 08:30:00,   57.49,   61.31,   54.60,   59.22,   62.87,   56.32
17/03/2013 08:35:00,   58.35,   62.06,   54.81,   60.50,   63.92,   57.24
17/03/2013 08:40:00,   60.02,   65.32,   54.99,   61.91,   66.67,   57.14
17/03/2013 08:45:00,   59.56,   64.11,   55.33,   62.07,   65.65,   57.63
17/03/2013 08:50:00,   59.74,   65.01,   55.58,   61.88,   65.94,   58.11
17/03/2013 08:55:00,   58.96,   63.68,   55.44,   61.00,   64.45,   57.74
17/03/2013 09:00:00,   59.76,   64.96,   55.66,   61.29,   65.57,   57.60
17/03/2013 09:05:00,   59.66,   64.78,   55.97,   61.30,   65.43,   57.93
17/03/2013 09:10:00,   58.78,   61.81,   55.66,   61.06,   63.72,   57.75
17/03/2013 09:15:00,   61.01,   65.87,   55.84,   62.71,   67.07,   57.81
17/03/2013 09:20:00,   59.86,   63.67,   56.23,   61.40,   64.73,   58.08
17/03/2013 09:25:00,   60.71,   65.87,   56.14,   62.28,   67.19,   58.11
17/03/2013 09:30:00,   60.47,   65.53,   55.55,   62.17,   67.31,   57.28
17/03/2013 09:35:00,   61.07,   65.99,   56.57,   62.96,   67.14,   58.63
17/03/2013 09:40:00,   61.25,   65.44,   56.28,   62.58,   66.19,   58.37
17/03/2013 09:45:00,   63.32,   66.15,   57.29,   64.86,   67.11,   60.12
17/03/2013 09:50:00,   63.43,   66.29,   57.73,   64.78,   67.43,   60.32
17/03/2013 09:55:00,   63.39,   66.73,   58.58,   65.00,   67.59,   60.82
17/03/2013 10:00:00,   61.69,   64.69,   57.93,   63.73,   66.33,   59.94
17/03/2013 10:05:00,   62.70,   67.24,   56.80,   64.55,   68.59,   59.05
17/03/2013 10:10:00,   62.34,   67.17,   57.43,   64.02,   68.13,   59.35
17/03/2013 10:15:00,   60.76,   63.86,   57.09,   63.08,   65.52,   59.61
17/03/2013 10:20:00,   61.13,   64.88,   56.22,   63.08,   66.81,   58.16
17/03/2013 10:25:00,   62.78,   66.61,   57.22,   64.38,   67.55,   59.39
17/03/2013 10:30:00,   60.85,   64.12,   57.33,   62.95,   65.67,   59.52
17/03/2013 10:35:00,   62.69,   66.06,   56.11,   64.25,   67.25,   58.97
17/03/2013 10:40:00,   61.40,   65.56,   57.96,   63.80,   67.74,   60.25
17/03/2013 10:45:00,   59.75,   62.33,   56.04,   62.31,   65.03,   58.09
17/03/2013 10:50:00,   61.74,   65.12,   57.37,   63.06,   65.94,   59.48
17/03/2013 10:55:00,   61.39,   65.88,   56.18,   62.71,   66.49,   58.53
17/03/2013 11:00:00,   64.58,   69.04,   56.63,   66.22,   69.99,   58.66
17/03/2013 11:05:00,   62.39,   66.30,   57.66,   63.86,   66.94,   59.99
17/03/2013 11:10:00,   61.48,   64.11,   57.12,   63.84,   67.04,   59.67
17/03/2013 11:15:00,   62.43,   64.85,   58.33,   64.16,   66.17,   60.64
17/03/2013 11:20:00,   61.99,   64.85,   58.00,   63.98,   66.39,   60.22
17/03/2013 11:25:00,   61.92,   66.62,   57.20,   63.55,   67.33,   59.33
17/03/2013 11:30:00,   60.48,   63.16,   56.10,   62.42,   65.02,   58.36
17/03/2013 11:35:00,   61.24,   64.07,   57.19,   63.11,   65.97,   59.39
17/03/2013 11:40:00,   64.52,   69.03,   56.64,   65.76,   69.65,   58.71
17/03/2013 11:45:00,   63.04,   66.25,   58.51,   64.72,   68.00,   60.40
17/03/2013 11:50:00,   61.54,   63.65,   56.55,   63.52,   66.58,   58.55
17/03/2013 11:55:00,   62.89,   65.94,   58.06,   64.95,   68.01,   60.51
17/03/2013 12:00:00,   61.77,   64.58,   57.97,   63.92,   66.33,   60.54
