# noise_analysis run from DCC-NOISE-001011 at Fri Mar 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/03/2013 00:05:00,   62.55,   67.79,   56.84,   68.44,   72.98,   60.78
22/03/2013 00:10:00,   63.08,   66.96,   57.30,   68.07,   72.99,   60.87
22/03/2013 00:15:00,   61.70,   67.77,   55.72,   67.06,   72.43,   59.06
22/03/2013 00:20:00,   62.42,   67.82,   56.21,   68.83,   74.63,   59.93
22/03/2013 00:25:00,   59.20,   63.04,   55.17,   63.93,   68.23,   58.59
22/03/2013 00:30:00,   62.23,   67.68,   56.09,   69.01,   75.14,   59.53
22/03/2013 00:35:00,   63.40,   69.39,   57.25,   71.67,   77.53,   61.13
22/03/2013 00:40:00,   61.10,   66.19,   55.76,   66.40,   70.73,   59.04
22/03/2013 00:45:00,   62.57,   66.80,   57.85,   68.42,   73.40,   61.02
22/03/2013 00:50:00,   62.94,   69.07,   56.19,   66.97,   72.22,   59.48
22/03/2013 00:55:00,   62.12,   67.86,   55.87,   66.38,   70.91,   59.57
22/03/2013 01:00:00,   63.32,   68.30,   57.22,   69.43,   75.14,   60.17
22/03/2013 01:05:00,   59.15,   61.93,   55.65,   64.91,   70.35,   59.19
22/03/2013 01:10:00,   60.48,   65.93,   55.15,   66.67,   71.03,   58.49
22/03/2013 01:15:00,   59.54,   64.14,   54.94,   64.95,   69.92,   58.09
22/03/2013 01:20:00,   61.21,   67.29,   55.25,   66.32,   72.38,   57.98
22/03/2013 01:25:00,   62.20,   66.48,   54.49,   64.95,   69.75,   57.91
22/03/2013 01:30:00,   58.71,   64.16,   54.24,   61.04,   65.47,   57.38
22/03/2013 01:35:00,   59.37,   64.53,   54.42,   65.52,   70.97,   58.14
22/03/2013 01:40:00,   59.11,   63.99,   54.04,   63.44,   68.27,   57.63
22/03/2013 01:45:00,   58.94,   64.13,   55.16,   63.88,   67.33,   58.45
22/03/2013 01:50:00,   59.85,   64.46,   55.38,   65.80,   69.75,   58.47
22/03/2013 01:55:00,   59.24,   64.78,   54.40,   64.13,   68.82,   58.06
22/03/2013 02:00:00,   60.19,   64.61,   55.23,   67.39,   73.55,   58.79
22/03/2013 02:05:00,   59.54,   65.51,   53.85,   63.13,   67.81,   56.99
22/03/2013 02:10:00,   58.80,   63.31,   54.95,   64.54,   69.24,   58.29
22/03/2013 02:15:00,   57.91,   62.02,   53.70,   63.53,   68.53,   57.31
22/03/2013 02:20:00,   58.80,   63.71,   54.04,   66.05,   71.12,   58.25
22/03/2013 02:25:00,   59.12,   63.81,   54.47,   67.86,   73.71,   58.54
22/03/2013 02:30:00,   58.15,   61.97,   54.67,   64.85,   69.95,   58.24
22/03/2013 02:35:00,   59.16,   64.62,   54.26,   64.58,   69.27,   57.68
22/03/2013 02:40:00,   59.84,   65.42,   54.12,   65.43,   70.41,   57.74
22/03/2013 02:45:00,   57.85,   62.68,   53.68,   62.82,   68.06,   57.21
22/03/2013 02:50:00,   58.34,   61.76,   54.83,   65.30,   71.95,   57.94
22/03/2013 02:55:00,   61.91,   66.47,   55.37,   69.05,   74.27,   58.58
22/03/2013 03:00:00,   58.89,   63.53,   54.48,   64.53,   70.02,   57.93
22/03/2013 03:05:00,   57.93,   61.70,   54.41,   63.35,   67.68,   57.81
22/03/2013 03:10:00,   58.13,   62.29,   54.01,   63.67,   68.20,   57.51
22/03/2013 03:15:00,   57.73,   60.92,   53.31,   63.55,   69.70,   56.73
22/03/2013 03:20:00,   59.19,   65.07,   54.09,   64.26,   68.70,   57.58
22/03/2013 03:25:00,   57.64,   62.54,   53.17,   63.65,   68.61,   56.67
22/03/2013 03:30:00,   57.69,   62.32,   53.45,   62.29,   66.83,   57.03
22/03/2013 03:35:00,   59.01,   64.24,   53.81,   63.87,   68.19,   57.45
22/03/2013 03:40:00,   59.42,   65.32,   53.60,   65.55,   71.25,   57.62
22/03/2013 03:45:00,   60.94,   66.48,   54.11,   67.34,   72.69,   57.88
22/03/2013 03:50:00,   60.00,   64.43,   54.60,   67.96,   74.12,   59.06
22/03/2013 03:55:00,   59.62,   65.48,   53.24,   63.49,   68.28,   56.99
22/03/2013 04:00:00,   59.06,   64.40,   53.50,   64.01,   68.89,   56.81
22/03/2013 04:05:00,   61.62,   68.41,   53.04,   65.53,   70.63,   56.85
22/03/2013 04:10:00,   57.43,   61.76,   53.08,   64.78,   70.12,   56.74
22/03/2013 04:15:00,   61.28,   68.78,   54.05,   67.90,   73.90,   58.71
22/03/2013 04:20:00,   60.71,   66.26,   54.46,   64.47,   68.78,   57.68
22/03/2013 04:25:00,   62.43,   68.16,   56.09,   66.52,   71.31,   60.04
22/03/2013 04:30:00,   59.29,   65.63,   52.27,   62.92,   67.89,   56.54
22/03/2013 04:35:00,   62.25,   69.28,   53.88,   66.37,   71.29,   57.42
22/03/2013 04:40:00,   59.32,   64.99,   52.62,   65.36,   69.80,   56.65
22/03/2013 04:45:00,   60.63,   66.30,   53.79,   64.82,   69.88,   57.50
22/03/2013 04:50:00,   65.62,   70.05,   60.60,   70.96,   74.74,   64.58
22/03/2013 04:55:00,   68.19,   71.17,   60.89,   73.43,   76.52,   64.26
22/03/2013 05:00:00,   67.55,   70.84,   64.55,   72.72,   75.37,   69.78
22/03/2013 05:05:00,   66.33,   70.03,   59.40,   71.27,   74.32,   63.49
