# noise_analysis run from DCC-NOISE-001011 at Tue Mar 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/03/2013 00:05:00,   58.61,   63.15,   51.59,   64.55,   71.28,   56.29
26/03/2013 00:10:00,   56.90,   62.11,   51.69,   62.33,   66.62,   55.99
26/03/2013 00:15:00,   60.78,   65.14,   53.13,   65.51,   69.84,   58.27
26/03/2013 00:20:00,   61.85,   67.94,   51.75,   65.90,   71.73,   57.08
26/03/2013 00:25:00,   54.40,   58.41,   50.51,   60.82,   65.03,   54.81
26/03/2013 00:30:00,   61.12,   66.48,   51.65,   66.45,   71.28,   56.30
26/03/2013 00:35:00,   58.44,   63.44,   51.69,   64.71,   70.63,   56.32
26/03/2013 00:40:00,   52.96,   55.63,   50.03,   58.61,   62.68,   54.32
26/03/2013 00:45:00,   58.13,   64.93,   51.08,   63.83,   70.43,   55.93
26/03/2013 00:50:00,   55.61,   60.59,   50.85,   60.87,   65.49,   54.94
26/03/2013 00:55:00,   55.54,   61.37,   50.79,   59.17,   63.76,   55.13
26/03/2013 01:00:00,   57.70,   63.31,   50.98,   61.52,   66.30,   55.13
26/03/2013 01:05:00,   55.43,   62.44,   50.43,   59.81,   65.37,   54.59
26/03/2013 01:10:00,   54.19,   58.25,   50.53,   58.93,   62.84,   54.76
26/03/2013 01:15:00,   56.88,   62.43,   50.90,   60.67,   65.06,   55.05
26/03/2013 01:20:00,   53.33,   56.73,   49.86,   56.91,   60.09,   53.81
26/03/2013 01:25:00,   53.00,   54.74,   50.22,   57.99,   61.82,   54.19
26/03/2013 01:30:00,   54.53,   59.51,   50.56,   59.83,   63.56,   54.71
26/03/2013 01:35:00,   57.02,   62.95,   51.46,   62.54,   67.23,   55.85
26/03/2013 01:40:00,   55.07,   57.91,   51.28,   61.89,   67.69,   55.41
26/03/2013 01:45:00,   53.86,   57.85,   50.39,   57.73,   62.69,   54.30
26/03/2013 01:50:00,   56.78,   61.79,   51.31,   62.22,   66.94,   55.54
26/03/2013 01:55:00,   54.55,   59.88,   50.65,   59.18,   63.82,   54.67
26/03/2013 02:00:00,   56.61,   61.61,   50.70,   63.22,   66.94,   55.00
26/03/2013 02:05:00,   54.23,   58.79,   50.52,   59.73,   64.38,   54.55
26/03/2013 02:10:00,   52.58,   54.71,   50.45,   58.33,   62.60,   54.59
26/03/2013 02:15:00,   54.40,   57.58,   50.51,   59.86,   65.32,   54.67
26/03/2013 02:20:00,   54.51,   57.64,   50.98,   63.87,   69.65,   55.42
26/03/2013 02:25:00,   54.23,   55.36,   50.08,   59.62,   63.58,   54.13
26/03/2013 02:30:00,   53.19,   56.32,   49.69,   58.71,   63.11,   53.93
26/03/2013 02:35:00,   52.46,   56.62,   49.63,   56.65,   60.53,   53.69
