# noise_analysis run from DCC-NOISE-001011 at Wed Mar 27 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
27/03/2013 00:05:00,   59.16,   64.63,   51.75,   62.62,   67.31,   55.20
27/03/2013 00:10:00,   58.17,   63.21,   53.07,   63.94,   68.33,   56.85
27/03/2013 00:15:00,   58.83,   64.42,   52.37,   62.43,   67.06,   56.44
27/03/2013 00:20:00,   60.76,   67.04,   52.10,   63.88,   69.79,   55.77
27/03/2013 00:25:00,   57.68,   63.17,   51.72,   60.53,   65.18,   55.36
27/03/2013 00:30:00,   59.08,   65.48,   51.81,   62.98,   69.14,   55.57
27/03/2013 00:35:00,   59.01,   64.34,   51.07,   62.70,   66.52,   54.91
27/03/2013 00:40:00,   54.74,   58.41,   51.08,   58.76,   62.34,   55.08
27/03/2013 00:45:00,   60.14,   67.15,   51.97,   63.45,   69.35,   56.29
27/03/2013 00:50:00,   56.32,   61.11,   51.64,   60.08,   63.97,   55.87
27/03/2013 00:55:00,   56.00,   60.57,   51.37,   59.46,   63.59,   55.56
27/03/2013 01:00:00,   58.68,   65.28,   50.48,   61.91,   67.69,   54.59
27/03/2013 01:05:00,   54.47,   58.56,   50.54,   58.71,   62.23,   54.40
27/03/2013 01:10:00,   56.03,   61.38,   50.96,   59.56,   63.45,   55.39
27/03/2013 01:15:00,   54.72,   59.23,   50.71,   58.89,   63.38,   54.69
27/03/2013 01:20:00,   56.50,   61.91,   50.38,   59.94,   64.57,   54.23
27/03/2013 01:25:00,   62.53,   72.52,   51.32,   67.10,   77.01,   55.48
27/03/2013 01:30:00,   56.80,   62.35,   50.75,   59.94,   63.97,   54.95
27/03/2013 01:35:00,   55.08,   60.47,   50.27,   58.46,   63.06,   54.00
27/03/2013 01:40:00,   54.07,   57.71,   49.89,   58.29,   62.02,   53.90
27/03/2013 01:45:00,   54.10,   57.94,   50.34,   58.49,   63.29,   54.73
27/03/2013 01:50:00,   55.31,   62.74,   50.23,   58.23,   64.14,   54.06
27/03/2013 01:55:00,   66.56,   77.49,   51.83,   70.28,   81.30,   55.85
27/03/2013 02:00:00,   56.90,   64.02,   50.90,   59.57,   65.98,   54.57
27/03/2013 02:05:00,   53.98,   56.36,   50.92,   57.72,   61.43,   54.54
27/03/2013 02:10:00,   55.95,   62.20,   51.25,   58.43,   63.76,   54.54
27/03/2013 02:15:00,   54.26,   56.53,   50.37,   56.87,   58.80,   53.81
27/03/2013 02:20:00,   53.92,   58.59,   49.92,   56.64,   60.38,   53.56
27/03/2013 02:25:00,   54.92,   59.98,   50.13,   58.09,   62.85,   53.68
27/03/2013 02:30:00,   55.40,   60.10,   50.71,   58.21,   62.04,   54.84
27/03/2013 02:35:00,   54.66,   59.67,   50.74,   57.77,   61.73,   54.82
27/03/2013 02:40:00,   53.13,   55.57,   50.74,   57.23,   59.55,   54.90
27/03/2013 02:45:00,   55.28,   59.90,   50.30,   58.21,   61.73,   53.91
27/03/2013 02:50:00,   54.13,   57.78,   50.10,   56.92,   60.11,   53.78
27/03/2013 02:55:00,   54.41,   59.57,   50.23,   57.51,   62.03,   53.97
27/03/2013 03:00:00,   56.09,   62.92,   49.97,   58.38,   64.17,   53.47
27/03/2013 03:05:00,   54.68,   59.33,   49.67,   57.32,   61.34,   53.26
27/03/2013 03:10:00,   55.20,   58.31,   51.14,   58.57,   62.91,   54.52
27/03/2013 03:15:00,   56.12,   60.67,   51.55,   59.82,   63.34,   55.47
27/03/2013 03:20:00,   52.51,   53.63,   51.11,   56.58,   58.21,   54.69
27/03/2013 03:25:00,   55.08,   59.59,   51.18,   58.24,   62.29,   54.87
27/03/2013 03:30:00,   52.36,   53.77,   50.69,   56.23,   58.11,   54.33
27/03/2013 03:35:00,   55.48,   58.00,   51.22,   58.53,   61.59,   54.67
27/03/2013 03:40:00,   56.55,   62.56,   50.98,   59.25,   65.05,   54.68
27/03/2013 03:45:00,   56.52,   59.67,   51.67,   59.98,   62.80,   55.34
27/03/2013 03:50:00,   60.07,   66.60,   51.12,   62.34,   68.14,   54.91
27/03/2013 03:55:00,   55.47,   60.55,   51.40,   58.37,   62.64,   54.89
27/03/2013 04:00:00,   56.49,   62.52,   51.36,   59.88,   64.88,   55.16
27/03/2013 04:05:00,   56.48,   61.52,   50.72,   59.59,   63.93,   54.54
27/03/2013 04:10:00,   56.44,   63.07,   50.99,   59.79,   65.12,   54.88
27/03/2013 04:15:00,   54.02,   57.50,   50.57,   57.25,   60.11,   54.55
27/03/2013 04:20:00,   55.76,   62.96,   50.45,   58.43,   64.62,   54.26
27/03/2013 04:25:00,   57.41,   64.06,   50.63,   59.83,   66.06,   54.30
27/03/2013 04:30:00,   55.83,   61.65,   50.73,   59.25,   63.87,   55.02
27/03/2013 04:35:00,   57.96,   65.30,   51.35,   60.58,   66.65,   55.17
27/03/2013 04:40:00,   55.95,   61.91,   51.19,   59.08,   64.31,   54.87
27/03/2013 04:45:00,   56.70,   61.71,   51.45,   59.99,   63.68,   55.50
27/03/2013 04:50:00,   56.73,   62.49,   51.18,   60.11,   64.45,   54.89
27/03/2013 04:55:00,   59.68,   64.51,   53.12,   62.27,   66.22,   56.54
27/03/2013 05:00:00,   58.38,   64.41,   52.46,   61.57,   66.70,   55.74
27/03/2013 05:05:00,   59.12,   64.72,   52.71,   63.60,   69.18,   57.09
27/03/2013 05:10:00,   61.81,   67.66,   53.11,   65.64,   70.67,   57.08
27/03/2013 05:15:00,   59.34,   65.70,   52.35,   62.18,   67.57,   56.19
27/03/2013 05:20:00,   57.32,   63.07,   52.58,   60.40,   64.97,   56.48
27/03/2013 05:25:00,   59.15,   65.84,   51.76,   62.08,   67.72,   55.85
27/03/2013 05:30:00,   56.84,   62.44,   51.97,   60.30,   64.49,   56.52
27/03/2013 05:35:00,   61.51,   67.42,   52.82,   63.95,   69.03,   57.14
27/03/2013 05:40:00,   58.87,   63.92,   52.12,   61.46,   65.90,   56.30
27/03/2013 05:45:00,   59.52,   65.43,   53.36,   62.75,   67.61,   58.12
27/03/2013 05:50:00,   60.76,   66.62,   53.73,   64.67,   69.29,   58.79
27/03/2013 05:55:00,   60.82,   66.38,   55.04,   65.18,   69.46,   59.69
27/03/2013 06:00:00,   59.37,   64.14,   54.43,   63.70,   66.68,   58.66
27/03/2013 06:05:00,   63.65,   68.60,   55.07,   66.71,   70.90,   60.54
27/03/2013 06:10:00,   62.60,   68.09,   54.74,   65.66,   70.78,   58.83
27/03/2013 06:15:00,   62.98,   68.03,   55.64,   65.10,   69.20,   59.60
27/03/2013 06:20:00,   61.43,   67.35,   55.17,   64.65,   69.36,   59.74
27/03/2013 06:25:00,   62.25,   68.85,   54.68,   65.33,   70.17,   58.87
27/03/2013 06:30:00,   60.18,   67.07,   53.49,   62.69,   68.61,   57.82
27/03/2013 06:35:00,   62.04,   68.93,   54.05,   64.86,   70.74,   58.53
27/03/2013 06:40:00,   63.27,   68.37,   54.86,   66.14,   70.30,   59.00
27/03/2013 06:45:00,   62.88,   69.12,   55.71,   65.83,   71.10,   59.40
27/03/2013 06:50:00,   61.99,   67.52,   56.41,   65.18,   69.62,   60.20
27/03/2013 06:55:00,   63.27,   69.09,   56.86,   66.72,   71.63,   61.06
27/03/2013 07:00:00,   62.26,   67.27,   55.69,   65.10,   69.13,   59.81
27/03/2013 07:05:00,   63.06,   69.02,   56.34,   66.13,   70.65,   60.59
27/03/2013 07:10:00,   63.78,   70.29,   56.16,   66.73,   72.85,   60.55
