# noise_analysis run from DCC-NOISE-001011 at Thu Mar 28 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/03/2013 00:05:00,   61.64,   67.32,   53.38,   64.13,   68.33,   56.83
28/03/2013 00:10:00,   59.70,   65.17,   52.48,   61.91,   66.77,   55.89
28/03/2013 00:15:00,   60.34,   66.16,   52.53,   63.05,   68.01,   56.16
28/03/2013 00:20:00,   59.79,   65.69,   52.55,   62.55,   67.83,   56.18
28/03/2013 00:25:00,   57.20,   62.88,   52.37,   59.89,   64.38,   55.98
28/03/2013 00:30:00,   59.68,   66.69,   52.75,   62.29,   68.21,   56.10
28/03/2013 00:35:00,   58.53,   64.13,   51.63,   60.82,   65.55,   55.43
28/03/2013 00:40:00,   60.25,   64.89,   51.91,   63.00,   66.96,   55.79
28/03/2013 00:45:00,   58.51,   66.43,   51.29,   61.56,   68.39,   55.52
28/03/2013 00:50:00,   58.89,   65.53,   51.81,   61.13,   66.53,   55.37
28/03/2013 00:55:00,   56.46,   63.12,   51.36,   58.87,   64.34,   55.07
28/03/2013 01:00:00,   68.83,   80.01,   53.27,   72.12,   83.20,   56.83
28/03/2013 01:05:00,   59.00,   66.17,   51.99,   62.36,   68.43,   56.15
28/03/2013 01:10:00,   57.04,   63.24,   50.73,   59.52,   65.35,   54.52
28/03/2013 01:15:00,   55.60,   60.40,   51.03,   58.47,   61.87,   55.04
28/03/2013 01:20:00,   56.37,   62.37,   50.57,   59.17,   64.63,   54.62
28/03/2013 01:25:00,   55.59,   59.84,   50.94,   58.71,   61.72,   55.35
28/03/2013 01:30:00,   55.10,   60.35,   50.83,   58.02,   62.37,   54.65
28/03/2013 01:35:00,   56.74,   63.82,   50.64,   59.50,   65.27,   54.80
28/03/2013 01:40:00,   54.48,   61.51,   50.24,   57.44,   63.16,   54.24
28/03/2013 01:45:00,   56.18,   61.66,   50.04,   59.02,   63.72,   54.34
28/03/2013 01:50:00,   56.64,   62.81,   50.31,   59.23,   64.31,   54.13
28/03/2013 01:55:00,   53.63,   55.84,   50.36,   57.49,   60.14,   54.60
28/03/2013 02:00:00,   56.87,   63.80,   50.55,   59.56,   65.20,   54.78
28/03/2013 02:05:00,   56.48,   63.86,   50.10,   59.35,   65.50,   54.17
28/03/2013 02:10:00,   53.60,   57.07,   49.81,   56.89,   60.14,   54.01
28/03/2013 02:15:00,   53.88,   59.03,   49.85,   57.94,   61.92,   54.23
28/03/2013 02:20:00,   54.97,   60.46,   49.88,   58.64,   64.46,   54.38
28/03/2013 02:25:00,   53.46,   57.53,   49.66,   56.66,   60.13,   53.88
28/03/2013 02:30:00,   56.29,   63.90,   49.49,   59.10,   65.14,   53.71
28/03/2013 02:35:00,   54.58,   60.31,   49.96,   58.15,   63.05,   54.03
28/03/2013 02:40:00,   55.28,   60.83,   49.58,   58.20,   62.43,   54.06
28/03/2013 02:45:00,   55.38,   60.01,   50.74,   59.15,   63.35,   54.65
28/03/2013 02:50:00,   56.51,   62.24,   50.69,   59.70,   64.62,   54.69
28/03/2013 02:55:00,   56.25,   62.51,   50.21,   59.18,   64.29,   54.36
28/03/2013 03:00:00,   57.30,   63.62,   50.34,   61.19,   66.33,   54.61
28/03/2013 03:05:00,   54.12,   59.63,   49.14,   57.04,   61.26,   53.18
28/03/2013 03:10:00,   55.17,   60.51,   48.96,   57.85,   62.44,   53.11
28/03/2013 03:15:00,   55.28,   62.17,   49.25,   58.20,   64.17,   53.30
28/03/2013 03:20:00,   54.88,   61.86,   48.62,   57.43,   63.13,   52.88
28/03/2013 03:25:00,   54.26,   61.42,   48.89,   57.23,   63.70,   53.03
28/03/2013 03:30:00,   55.48,   61.41,   49.53,   58.15,   63.01,   53.55
28/03/2013 03:35:00,   55.87,   61.38,   50.05,   58.68,   63.63,   53.95
28/03/2013 03:40:00,   56.51,   62.82,   50.59,   59.48,   64.51,   54.54
28/03/2013 03:45:00,   57.73,   65.27,   50.67,   61.57,   67.84,   54.59
28/03/2013 03:50:00,   56.98,   63.20,   50.23,   59.24,   64.61,   54.09
28/03/2013 03:55:00,   56.55,   61.88,   50.22,   58.93,   63.34,   54.06
28/03/2013 04:00:00,   54.15,   59.08,   49.80,   57.33,   62.02,   53.69
28/03/2013 04:05:00,   57.43,   64.37,   50.23,   59.68,   65.43,   54.18
28/03/2013 04:10:00,   55.70,   61.18,   50.18,   58.28,   62.84,   54.00
28/03/2013 04:15:00,   58.20,   64.61,   50.57,   61.16,   66.76,   54.50
28/03/2013 04:20:00,   57.51,   64.45,   50.06,   60.02,   65.93,   54.20
28/03/2013 04:25:00,   56.77,   63.41,   50.15,   59.40,   65.31,   54.23
28/03/2013 04:30:00,   57.94,   64.37,   50.24,   62.13,   66.75,   55.23
28/03/2013 04:35:00,   57.53,   64.90,   49.87,   60.25,   66.65,   54.10
28/03/2013 04:40:00,   59.80,   67.64,   50.42,   62.19,   69.00,   54.53
28/03/2013 04:45:00,   57.99,   64.93,   50.56,   60.38,   66.30,   54.29
28/03/2013 04:50:00,   55.44,   60.81,   50.01,   58.38,   62.88,   54.05
28/03/2013 04:55:00,   56.85,   62.73,   50.46,   59.26,   64.47,   54.50
28/03/2013 05:00:00,   60.01,   65.96,   52.17,   62.47,   67.42,   55.65
28/03/2013 05:05:00,   60.89,   67.97,   51.12,   63.50,   69.64,   55.37
28/03/2013 05:10:00,   59.20,   64.88,   50.90,   62.93,   68.44,   55.48
28/03/2013 05:15:00,   57.81,   64.68,   50.97,   60.72,   65.84,   55.92
28/03/2013 05:20:00,   59.01,   65.08,   51.66,   62.30,   67.52,   55.80
28/03/2013 05:25:00,   58.07,   61.40,   51.76,   62.72,   66.02,   57.26
28/03/2013 05:30:00,   56.51,   61.70,   50.61,   60.71,   64.90,   55.80
28/03/2013 05:35:00,   58.52,   62.87,   51.98,   62.38,   65.64,   56.59
28/03/2013 05:40:00,   59.56,   64.60,   52.22,   62.74,   66.77,   56.84
28/03/2013 05:45:00,   58.61,   65.03,   52.65,   61.93,   66.82,   56.73
28/03/2013 05:50:00,   59.08,   64.65,   52.16,   61.65,   66.27,   56.45
28/03/2013 05:55:00,   59.70,   65.50,   53.18,   62.86,   67.03,   57.30
28/03/2013 06:00:00,   60.53,   66.09,   53.11,   63.23,   67.79,   57.28
28/03/2013 06:05:00,   63.95,   68.76,   54.02,   66.59,   71.16,   57.94
28/03/2013 06:10:00,   61.82,   68.79,   53.96,   64.21,   69.80,   57.81
28/03/2013 06:15:00,   61.73,   68.14,   54.87,   64.35,   69.93,   58.66
28/03/2013 06:20:00,   62.38,   67.38,   55.09,   66.29,   70.06,   60.00
28/03/2013 06:25:00,   62.75,   68.66,   56.30,   65.57,   70.93,   59.91
28/03/2013 06:30:00,   61.31,   66.40,   54.37,   64.36,   67.68,   59.18
28/03/2013 06:35:00,   60.57,   67.75,   54.46,   63.85,   69.35,   59.89
28/03/2013 06:40:00,   62.02,   68.40,   54.35,   65.03,   70.00,   57.85
28/03/2013 06:45:00,   64.03,   69.77,   54.71,   67.52,   73.54,   59.08
28/03/2013 06:50:00,   62.27,   68.65,   55.14,   65.12,   70.42,   58.97
28/03/2013 06:55:00,   62.73,   68.39,   55.56,   65.04,   69.71,   58.93
28/03/2013 07:00:00,   65.01,   71.54,   55.36,   68.46,   74.87,   59.23
28/03/2013 07:05:00,   64.98,   69.63,   57.74,   68.45,   72.37,   61.69
28/03/2013 07:10:00,   62.82,   68.76,   56.10,   65.82,   70.40,   60.10
28/03/2013 07:15:00,   64.32,   69.52,   56.09,   66.98,   71.47,   60.27
28/03/2013 07:20:00,   63.68,   69.54,   55.77,   66.56,   72.18,   59.78
28/03/2013 07:25:00,   64.14,   69.53,   54.33,   67.30,   71.91,   58.95
28/03/2013 07:30:00,   64.45,   69.99,   55.66,   67.44,   72.16,   59.78
28/03/2013 07:35:00,   64.18,   69.61,   54.97,   67.22,   71.59,   59.45
28/03/2013 07:40:00,   63.69,   69.42,   55.17,   66.67,   71.76,   58.80
28/03/2013 07:45:00,   64.95,   69.98,   55.33,   67.56,   72.06,   59.09
28/03/2013 07:50:00,   63.51,   68.86,   55.72,   66.41,   70.88,   60.03
28/03/2013 07:55:00,   64.22,   68.39,   55.87,   67.27,   70.53,   59.97
28/03/2013 08:00:00,   64.96,   70.33,   56.17,   68.09,   72.62,   61.16
28/03/2013 08:05:00,   64.97,   70.02,   56.52,   67.83,   72.12,   61.05
28/03/2013 08:10:00,   62.91,   68.27,   55.84,   66.35,   70.46,   60.25
28/03/2013 08:15:00,   64.06,   69.26,   55.47,   66.99,   71.88,   60.07
28/03/2013 08:20:00,   61.85,   67.31,   55.08,   64.98,   68.95,   59.47
28/03/2013 08:25:00,   64.25,   68.97,   55.16,   67.09,   71.30,   59.79
28/03/2013 08:30:00,   64.72,   69.78,   55.35,   67.95,   72.82,   59.94
28/03/2013 08:35:00,   65.07,   70.39,   56.15,   68.07,   73.52,   60.65
28/03/2013 08:40:00,   63.63,   68.41,   55.23,   66.79,   70.62,   59.70
28/03/2013 08:45:00,   63.64,   68.48,   55.64,   66.88,   71.66,   60.27
28/03/2013 08:50:00,   64.96,   70.09,   55.64,   67.88,   72.74,   60.84
28/03/2013 08:55:00,   64.59,   68.29,   56.09,   67.85,   71.29,   60.49
28/03/2013 09:00:00,   63.63,   68.28,   56.68,   66.71,   71.14,   60.84
28/03/2013 09:05:00,   63.27,   67.69,   55.78,   66.26,   70.22,   60.02
28/03/2013 09:10:00,   64.62,   68.71,   58.10,   67.58,   71.45,   62.06
28/03/2013 09:15:00,   64.10,   69.01,   57.26,   67.88,   72.33,   61.58
28/03/2013 09:20:00,   64.57,   69.34,   56.77,   67.80,   72.06,   61.61
28/03/2013 09:25:00,   64.56,   69.05,   55.82,   67.87,   72.08,   60.36
28/03/2013 09:30:00,   65.04,   68.83,   57.17,   67.97,   70.77,   61.40
28/03/2013 09:35:00,   64.48,   68.92,   55.54,   67.18,   70.55,   59.51
28/03/2013 09:40:00,   64.46,   68.30,   56.18,   67.38,   70.40,   60.59
28/03/2013 09:45:00,   64.89,   68.48,   57.46,   68.23,   72.50,   61.42
28/03/2013 09:50:00,   63.67,   67.91,   56.61,   67.45,   71.59,   60.19
28/03/2013 09:55:00,   63.44,   67.98,   56.79,   66.40,   70.05,   60.60
28/03/2013 10:00:00,   63.91,   69.38,   56.48,   67.15,   72.12,   61.02
28/03/2013 10:05:00,   64.07,   68.60,   56.60,   66.74,   71.04,   60.51
