# noise_analysis run from DCC-NOISE-001017 at Sat Mar  2 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/03/2013 00:05:00,   58.56,   63.37,   50.81,   61.98,   65.59,   54.91
02/03/2013 00:10:00,   58.59,   63.97,   51.38,   62.04,   66.55,   55.70
02/03/2013 00:15:00,   59.21,   64.57,   51.38,   62.42,   67.00,   55.70
02/03/2013 00:20:00,   60.62,   66.20,   52.40,   63.76,   68.89,   56.33
02/03/2013 00:25:00,   58.26,   63.79,   51.08,   61.25,   65.83,   55.23
02/03/2013 00:30:00,   59.91,   64.78,   51.11,   62.79,   66.98,   55.19
02/03/2013 00:35:00,   57.52,   63.55,   50.78,   60.49,   65.58,   55.15
02/03/2013 00:40:00,   58.41,   65.06,   50.77,   61.93,   67.38,   54.93
02/03/2013 00:45:00,   57.78,   63.89,   51.22,   60.69,   66.47,   55.23
02/03/2013 00:50:00,   60.08,   66.16,   51.73,   63.42,   68.65,   55.87
02/03/2013 00:55:00,   57.76,   63.61,   51.15,   60.36,   65.14,   55.34
02/03/2013 01:00:00,   62.47,   66.28,   50.98,   64.57,   68.40,   55.32
02/03/2013 01:05:00,   58.35,   64.49,   51.34,   60.88,   66.15,   55.43
02/03/2013 01:10:00,   58.95,   64.04,   52.12,   62.09,   66.03,   56.38
02/03/2013 01:15:00,   56.67,   62.58,   50.88,   59.66,   64.29,   55.27
02/03/2013 01:20:00,   57.98,   63.90,   50.38,   60.82,   66.27,   55.02
02/03/2013 01:25:00,   56.21,   62.34,   50.85,   59.14,   64.04,   55.23
02/03/2013 01:30:00,   58.13,   64.74,   50.97,   61.01,   66.55,   55.19
02/03/2013 01:35:00,   57.45,   63.10,   51.09,   60.19,   65.01,   55.24
02/03/2013 01:40:00,   57.36,   63.08,   51.10,   60.42,   66.02,   55.23
02/03/2013 01:45:00,   57.50,   63.17,   51.13,   60.03,   65.10,   55.22
02/03/2013 01:50:00,   57.60,   64.27,   50.81,   60.18,   66.01,   54.74
02/03/2013 01:55:00,   56.32,   61.79,   51.07,   59.19,   63.86,   55.12
02/03/2013 02:00:00,   56.56,   61.56,   51.22,   59.32,   63.79,   55.03
02/03/2013 02:05:00,   58.14,   64.51,   51.00,   60.68,   66.03,   54.94
02/03/2013 02:10:00,   58.42,   65.18,   52.06,   60.94,   66.86,   56.01
02/03/2013 02:15:00,   57.42,   62.95,   51.56,   60.21,   65.26,   55.61
02/03/2013 02:20:00,   56.02,   62.47,   50.59,   58.93,   64.31,   54.73
02/03/2013 02:25:00,   57.30,   63.14,   51.21,   59.94,   64.45,   54.95
02/03/2013 02:30:00,   54.26,   58.78,   50.42,   57.57,   61.19,   54.74
02/03/2013 02:35:00,   57.27,   62.78,   50.87,   60.71,   66.03,   54.75
02/03/2013 02:40:00,   55.89,   61.85,   51.03,   58.85,   63.94,   55.06
02/03/2013 02:45:00,   57.01,   63.99,   50.50,   60.13,   66.14,   54.80
02/03/2013 02:50:00,   57.53,   64.09,   50.91,   60.22,   66.04,   55.06
02/03/2013 02:55:00,   56.53,   62.60,   50.95,   59.38,   64.13,   55.18
02/03/2013 03:00:00,   56.97,   61.77,   51.15,   59.64,   63.84,   55.29
02/03/2013 03:05:00,   57.11,   63.78,   50.98,   60.90,   66.96,   55.30
02/03/2013 03:10:00,   59.77,   66.24,   51.52,   62.91,   68.05,   55.65
02/03/2013 03:15:00,   57.98,   63.23,   51.90,   60.84,   65.21,   55.73
02/03/2013 03:20:00,   59.53,   65.30,   51.54,   62.17,   67.21,   55.72
02/03/2013 03:25:00,   58.58,   65.30,   51.54,   61.29,   66.99,   55.59
02/03/2013 03:30:00,   56.47,   61.59,   51.08,   59.66,   64.14,   55.44
02/03/2013 03:35:00,   58.93,   64.96,   52.14,   62.28,   67.34,   56.20
02/03/2013 03:40:00,   58.87,   64.93,   51.38,   61.83,   67.51,   55.49
02/03/2013 03:45:00,   57.46,   62.64,   51.58,   60.00,   64.27,   55.57
02/03/2013 03:50:00,   57.92,   64.27,   51.55,   60.59,   66.37,   55.36
02/03/2013 03:55:00,   56.45,   62.85,   50.88,   59.24,   64.72,   54.82
02/03/2013 04:00:00,   56.16,   61.95,   50.70,   58.76,   63.87,   54.52
02/03/2013 04:05:00,   57.59,   63.85,   51.18,   60.57,   66.24,   55.14
02/03/2013 04:10:00,   57.12,   62.58,   51.08,   60.42,   65.37,   55.11
02/03/2013 04:15:00,   59.63,   64.91,   51.43,   62.71,   67.88,   55.38
02/03/2013 04:20:00,   58.17,   64.18,   51.53,   61.79,   67.23,   55.76
02/03/2013 04:25:00,   57.47,   63.87,   50.73,   60.09,   65.62,   54.71
02/03/2013 04:30:00,   58.25,   65.34,   50.96,   61.12,   66.81,   55.21
02/03/2013 04:35:00,   57.31,   62.95,   50.41,   60.28,   64.91,   54.61
02/03/2013 04:40:00,   57.71,   65.28,   50.85,   60.22,   66.61,   54.60
02/03/2013 04:45:00,   57.70,   65.10,   50.42,   60.26,   66.93,   54.47
02/03/2013 04:50:00,   57.01,   63.93,   50.33,   60.61,   66.61,   54.37
02/03/2013 04:55:00,   59.19,   64.63,   50.77,   61.29,   65.84,   55.07
02/03/2013 05:00:00,   57.73,   63.50,   51.41,   60.20,   65.26,   55.30
02/03/2013 05:05:00,   57.40,   64.26,   51.50,   59.92,   65.49,   55.19
02/03/2013 05:10:00,   57.80,   63.66,   51.83,   61.40,   66.69,   55.52
02/03/2013 05:15:00,   58.05,   63.96,   52.13,   60.52,   65.80,   55.51
02/03/2013 05:20:00,   57.03,   62.04,   52.29,   59.79,   63.99,   55.47
02/03/2013 05:25:00,   55.58,   60.40,   52.51,   58.73,   63.24,   55.61
02/03/2013 05:30:00,   58.86,   64.37,   53.12,   61.25,   66.53,   55.82
02/03/2013 05:35:00,   56.35,   59.72,   53.69,   58.92,   62.10,   56.13
02/03/2013 05:40:00,   58.57,   62.64,   53.81,   60.92,   65.07,   56.42
02/03/2013 05:45:00,   58.83,   65.01,   54.63,   61.05,   66.49,   56.91
02/03/2013 05:50:00,   59.18,   64.12,   54.53,   61.43,   66.05,   56.82
02/03/2013 05:55:00,   58.88,   64.06,   53.85,   62.02,   66.89,   56.09
02/03/2013 06:00:00,   57.48,   61.55,   53.94,   60.21,   64.65,   56.29
02/03/2013 06:05:00,   59.93,   65.78,   54.42,   63.22,   68.40,   57.30
02/03/2013 06:10:00,   59.05,   64.09,   54.86,   62.48,   66.66,   58.23
02/03/2013 06:15:00,   60.27,   66.80,   54.41,   64.81,   70.32,   57.52
02/03/2013 06:20:00,   60.61,   66.51,   54.73,   64.78,   70.13,   57.94
02/03/2013 06:25:00,   58.78,   63.77,   54.71,   63.14,   67.35,   58.31
02/03/2013 06:30:00,   59.04,   62.89,   55.19,   62.11,   65.94,   58.24
02/03/2013 06:35:00,   62.99,   68.07,   56.26,   67.58,   72.23,   59.18
02/03/2013 06:40:00,   60.63,   65.16,   55.57,   64.17,   68.70,   58.57
02/03/2013 06:45:00,   61.26,   66.87,   55.85,   65.33,   69.78,   60.17
02/03/2013 06:50:00,   59.73,   64.19,   55.59,   63.72,   68.20,   59.14
02/03/2013 06:55:00,   59.43,   63.85,   54.71,   62.45,   66.30,   58.13
02/03/2013 07:00:00,   60.01,   64.79,   55.12,   63.17,   67.31,   58.77
02/03/2013 07:05:00,   61.00,   65.71,   55.63,   64.79,   70.01,   59.34
02/03/2013 07:10:00,   60.58,   67.04,   55.42,   63.64,   68.82,   58.69
02/03/2013 07:15:00,   60.11,   65.39,   55.30,   62.97,   67.38,   58.77
02/03/2013 07:20:00,   61.66,   66.53,   55.89,   64.23,   68.26,   59.57
02/03/2013 07:25:00,   61.77,   67.01,   55.26,   65.26,   69.80,   59.65
02/03/2013 07:30:00,   63.07,   68.34,   55.54,   66.32,   70.91,   59.24
02/03/2013 07:35:00,   60.14,   64.99,   55.78,   63.68,   67.31,   59.79
02/03/2013 07:40:00,   61.18,   67.62,   54.95,   64.65,   71.20,   57.69
02/03/2013 07:45:00,   61.68,   66.13,   54.92,   64.56,   68.00,   58.45
02/03/2013 07:50:00,   62.58,   68.07,   56.02,   65.49,   71.15,   59.16
02/03/2013 07:55:00,   61.00,   65.46,   55.77,   63.97,   68.40,   58.74
02/03/2013 08:00:00,   61.19,   66.05,   55.27,   64.15,   68.48,   58.41
02/03/2013 08:05:00,   60.25,   65.80,   55.03,   63.10,   67.95,   58.09
02/03/2013 08:10:00,   62.42,   67.23,   55.30,   65.36,   69.77,   58.51
02/03/2013 08:15:00,   60.72,   65.49,   55.23,   64.04,   68.41,   58.39
02/03/2013 08:20:00,   61.42,   66.67,   54.63,   64.63,   68.86,   57.87
02/03/2013 08:25:00,   61.10,   66.09,   55.61,   63.99,   68.74,   59.00
02/03/2013 08:30:00,   63.12,   68.06,   55.66,   66.96,   73.01,   58.91
02/03/2013 08:35:00,   62.39,   67.63,   55.43,   65.67,   70.58,   58.42
02/03/2013 08:40:00,   59.91,   65.75,   54.72,   62.36,   67.65,   57.33
02/03/2013 08:45:00,   61.19,   66.51,   55.34,   64.15,   68.66,   58.60
02/03/2013 08:50:00,   62.18,   68.25,   55.10,   65.30,   70.64,   57.72
02/03/2013 08:55:00,   61.85,   67.61,   55.54,   65.58,   70.67,   58.84
02/03/2013 09:00:00,   63.47,   68.02,   55.33,   66.48,   70.66,   58.37
02/03/2013 09:05:00,   60.63,   66.29,   54.85,   63.66,   68.29,   57.65
02/03/2013 09:10:00,   62.98,   68.26,   56.32,   66.10,   70.36,   59.64
02/03/2013 09:15:00,   62.57,   67.37,   55.23,   66.10,   70.14,   58.05
02/03/2013 09:20:00,   60.48,   65.95,   55.10,   63.03,   68.17,   57.98
02/03/2013 09:25:00,   62.46,   66.86,   54.43,   65.44,   69.77,   56.94
02/03/2013 09:30:00,   61.94,   67.48,   54.59,   64.98,   69.91,   57.31
02/03/2013 09:35:00,   62.75,   67.70,   54.97,   65.70,   69.96,   57.73
02/03/2013 09:40:00,   62.31,   67.08,   55.09,   65.55,   70.56,   58.26
02/03/2013 09:45:00,   65.42,   69.53,   56.35,   68.30,   72.32,   60.18
02/03/2013 09:50:00,   63.76,   67.97,   55.95,   66.94,   71.79,   59.44
02/03/2013 09:55:00,   63.67,   68.60,   54.89,   66.49,   71.31,   57.99
02/03/2013 10:00:00,   62.50,   67.06,   54.93,   65.15,   69.32,   57.68
02/03/2013 10:05:00,   61.24,   66.24,   54.60,   64.56,   69.74,   57.45
02/03/2013 10:10:00,   62.63,   67.29,   54.88,   65.96,   70.54,   58.19
02/03/2013 10:15:00,   61.84,   67.41,   54.86,   65.06,   70.08,   58.19
02/03/2013 10:20:00,   62.64,   67.77,   55.01,   65.54,   70.72,   57.83
02/03/2013 10:25:00,   62.90,   67.68,   54.28,   65.73,   70.12,   56.98
02/03/2013 10:30:00,   61.85,   68.13,   54.89,   65.00,   71.43,   58.05
02/03/2013 10:35:00,   60.59,   65.56,   54.55,   63.23,   67.62,   56.83
02/03/2013 10:40:00,   63.86,   68.61,   55.70,   67.67,   73.81,   58.89
02/03/2013 10:45:00,   62.98,   68.27,   55.04,   67.58,   74.15,   57.93
02/03/2013 10:50:00,   61.21,   65.15,   54.72,   64.28,   67.97,   57.74
02/03/2013 10:55:00,   62.08,   67.75,   54.07,   64.98,   69.99,   56.66
02/03/2013 11:00:00,   61.70,   65.12,   54.47,   64.74,   67.75,   57.37
02/03/2013 11:05:00,   61.81,   66.78,   54.44,   64.78,   69.52,   57.70
02/03/2013 11:10:00,   63.55,   68.59,   54.79,   67.59,   73.41,   58.20
02/03/2013 11:15:00,   60.82,   65.24,   54.07,   63.76,   67.28,   56.96
02/03/2013 11:20:00,   62.26,   67.87,   53.72,   65.25,   70.87,   56.35
02/03/2013 11:25:00,   63.80,   69.62,   54.17,   65.74,   71.41,   57.01
02/03/2013 11:30:00,   61.74,   67.08,   53.68,   65.14,   71.16,   56.23
02/03/2013 11:35:00,   62.30,   66.12,   54.39,   65.82,   69.80,   57.08
