# noise_analysis run from DCC-NOISE-001017 at Sun Mar  3 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/03/2013 00:05:00,   58.41,   64.15,   50.49,   61.49,   66.66,   55.04
03/03/2013 00:10:00,   59.10,   63.56,   50.65,   62.53,   66.14,   55.15
03/03/2013 00:15:00,   59.51,   64.15,   50.72,   62.76,   66.86,   54.84
03/03/2013 00:20:00,   57.36,   62.93,   49.71,   60.97,   65.92,   53.89
03/03/2013 00:25:00,   57.75,   64.25,   49.76,   61.08,   66.63,   53.93
03/03/2013 00:30:00,   58.36,   64.04,   50.95,   61.42,   66.35,   54.93
03/03/2013 00:35:00,   58.37,   64.31,   50.08,   61.81,   66.79,   54.17
03/03/2013 00:40:00,   57.87,   63.33,   49.80,   60.52,   65.27,   54.22
03/03/2013 00:45:00,   59.06,   63.18,   51.09,   62.24,   65.91,   55.00
03/03/2013 00:50:00,   57.51,   63.87,   50.04,   60.64,   66.21,   54.29
03/03/2013 00:55:00,   59.48,   64.40,   51.16,   61.89,   66.64,   55.06
03/03/2013 01:00:00,   58.84,   64.04,   51.32,   61.77,   66.60,   54.88
03/03/2013 01:05:00,   57.87,   64.30,   50.22,   60.56,   65.90,   54.42
03/03/2013 01:10:00,   55.70,   60.45,   50.11,   59.02,   62.74,   54.27
03/03/2013 01:15:00,   57.96,   63.06,   50.83,   60.85,   65.50,   54.91
03/03/2013 01:20:00,   55.23,   61.24,   49.72,   58.25,   64.27,   53.70
03/03/2013 01:25:00,   57.33,   63.79,   49.70,   60.21,   65.71,   54.21
03/03/2013 01:30:00,   55.92,   60.61,   50.69,   59.53,   63.41,   55.71
03/03/2013 01:35:00,   57.49,   62.82,   51.37,   60.72,   65.00,   56.29
03/03/2013 01:40:00,   56.54,   63.00,   49.72,   59.47,   65.34,   53.86
03/03/2013 01:45:00,   57.92,   64.84,   49.72,   60.74,   66.90,   53.82
03/03/2013 01:50:00,   57.20,   63.09,   49.78,   60.33,   65.15,   54.15
03/03/2013 01:55:00,   55.44,   61.41,   49.53,   58.41,   63.75,   53.80
03/03/2013 02:00:00,   57.29,   62.98,   49.96,   60.04,   64.88,   54.17
03/03/2013 02:05:00,   56.33,   61.72,   50.03,   59.53,   64.74,   54.23
03/03/2013 02:10:00,   57.40,   63.56,   49.85,   60.25,   66.09,   53.93
03/03/2013 02:15:00,   55.66,   61.73,   49.55,   58.72,   63.64,   53.72
03/03/2013 02:20:00,   56.44,   63.37,   49.35,   59.20,   65.33,   53.39
03/03/2013 02:25:00,   57.36,   64.30,   49.79,   59.93,   65.97,   53.74
03/03/2013 02:30:00,   56.13,   61.16,   49.96,   58.88,   62.69,   53.71
03/03/2013 02:35:00,   56.56,   62.57,   50.14,   59.41,   64.93,   54.17
03/03/2013 02:40:00,   56.26,   62.25,   49.81,   59.19,   64.00,   54.05
03/03/2013 02:45:00,   54.64,   59.18,   49.28,   57.72,   61.26,   53.46
03/03/2013 02:50:00,   56.16,   62.36,   49.98,   59.14,   64.19,   54.04
03/03/2013 02:55:00,   57.03,   62.94,   49.87,   59.71,   64.75,   53.81
03/03/2013 03:00:00,   54.61,   59.86,   49.77,   57.73,   62.10,   53.84
03/03/2013 03:05:00,   57.12,   63.51,   49.44,   59.74,   65.49,   53.63
03/03/2013 03:10:00,   55.07,   61.02,   49.64,   57.92,   63.36,   53.74
03/03/2013 03:15:00,   55.95,   61.61,   49.89,   58.79,   63.49,   53.91
03/03/2013 03:20:00,   57.26,   63.11,   49.90,   60.07,   65.22,   53.90
03/03/2013 03:25:00,   56.80,   62.71,   50.16,   59.31,   64.22,   54.16
03/03/2013 03:30:00,   56.74,   62.67,   49.62,   59.73,   65.07,   53.58
03/03/2013 03:35:00,   57.05,   62.35,   50.23,   59.83,   64.45,   54.01
03/03/2013 03:40:00,   57.90,   63.64,   50.58,   60.78,   66.24,   54.37
03/03/2013 03:45:00,   56.65,   63.40,   50.02,   59.60,   65.77,   54.06
03/03/2013 03:50:00,   57.04,   62.21,   50.61,   59.71,   64.47,   54.38
03/03/2013 03:55:00,   56.72,   63.18,   49.71,   59.52,   64.95,   53.75
03/03/2013 04:00:00,   55.02,   60.03,   50.25,   58.05,   62.55,   53.93
03/03/2013 04:05:00,   57.70,   63.05,   50.77,   59.85,   64.51,   54.45
03/03/2013 04:10:00,   57.90,   63.53,   50.87,   60.57,   65.43,   54.61
03/03/2013 04:15:00,   58.70,   63.01,   51.18,   61.43,   65.93,   54.59
03/03/2013 04:20:00,   85.10,   94.00,   51.66,   83.41,   92.17,   54.98
03/03/2013 04:25:00,   85.54,   94.75,   49.50,   83.84,   92.91,   53.90
03/03/2013 04:30:00,   54.17,   59.90,   48.91,   57.31,   62.10,   53.13
03/03/2013 04:35:00,   55.21,   60.49,   49.33,   57.95,   63.02,   53.30
03/03/2013 04:40:00,   56.28,   61.73,   49.52,   58.77,   63.60,   53.32
03/03/2013 04:45:00,   54.71,   61.16,   48.89,   57.70,   63.38,   53.20
03/03/2013 04:50:00,   54.72,   60.51,   48.78,   57.66,   62.57,   53.10
03/03/2013 04:55:00,   56.09,   63.13,   49.38,   58.80,   65.32,   53.25
03/03/2013 05:00:00,   56.10,   61.89,   50.52,   58.78,   64.45,   54.06
