# noise_analysis run from DCC-NOISE-001017 at Mon Mar  4 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/03/2013 00:05:00,   55.73,   61.69,   48.95,   59.55,   64.47,   53.50
04/03/2013 00:10:00,   54.73,   59.89,   49.00,   58.00,   63.04,   53.18
04/03/2013 00:15:00,   55.58,   62.18,   48.87,   58.86,   64.12,   53.09
04/03/2013 00:20:00,   56.21,   60.65,   49.32,   58.93,   62.46,   53.30
04/03/2013 00:25:00,   54.54,   60.52,   49.19,   57.84,   62.69,   53.44
04/03/2013 00:30:00,   55.21,   60.80,   49.44,   58.29,   63.34,   53.70
04/03/2013 00:35:00,   55.92,   61.50,   49.13,   59.07,   63.66,   53.58
04/03/2013 00:40:00,   55.43,   61.36,   49.41,   58.32,   63.98,   53.45
04/03/2013 00:45:00,   55.71,   62.69,   49.67,   58.31,   64.41,   53.70
04/03/2013 00:50:00,   54.69,   60.60,   49.10,   57.77,   62.89,   53.23
04/03/2013 00:55:00,   52.60,   57.98,   48.38,   56.04,   60.58,   52.58
04/03/2013 01:00:00,   54.77,   60.59,   49.20,   57.81,   62.95,   53.25
04/03/2013 01:05:00,   54.41,   60.08,   49.40,   57.68,   62.25,   53.60
04/03/2013 01:10:00,   55.56,   59.50,   49.66,   58.47,   62.05,   53.62
04/03/2013 01:15:00,   53.46,   57.76,   48.70,   56.50,   60.03,   52.93
04/03/2013 01:20:00,   56.87,   61.36,   48.95,   59.96,   64.05,   53.08
04/03/2013 01:25:00,   59.94,   63.28,   52.89,   63.27,   66.49,   57.10
04/03/2013 01:30:00,   57.85,   59.99,   56.22,   61.36,   63.29,   59.98
04/03/2013 01:35:00,   58.15,   59.96,   56.29,   61.46,   62.73,   59.90
04/03/2013 01:40:00,   59.83,   63.22,   56.51,   62.60,   65.55,   60.03
04/03/2013 01:45:00,   64.36,   66.48,   61.50,   66.79,   69.92,   63.58
04/03/2013 01:50:00,   63.61,   65.26,   59.37,   65.07,   66.95,   61.68
04/03/2013 01:55:00,   57.79,   62.87,   50.15,   60.06,   63.83,   54.22
04/03/2013 02:00:00,   52.44,   55.31,   49.47,   56.05,   58.76,   53.58
04/03/2013 02:05:00,   53.89,   59.73,   48.02,   57.74,   62.71,   52.59
04/03/2013 02:10:00,   52.83,   57.23,   48.38,   56.27,   59.79,   52.62
04/03/2013 02:15:00,   52.56,   58.71,   47.83,   55.72,   61.03,   52.40
04/03/2013 02:20:00,   53.13,   57.67,   47.92,   56.65,   60.99,   52.09
04/03/2013 02:25:00,   52.31,   57.80,   47.88,   55.69,   60.10,   52.28
04/03/2013 02:30:00,   51.17,   55.15,   48.14,   54.86,   57.56,   52.52
04/03/2013 02:35:00,   50.76,   52.73,   48.03,   54.92,   57.41,   52.82
