# noise_analysis run from DCC-NOISE-001017 at Tue Mar  5 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/03/2013 00:05:00,   58.07,   63.91,   49.89,   61.55,   65.96,   54.11
05/03/2013 00:10:00,   52.56,   57.16,   49.11,   55.92,   59.59,   53.26
05/03/2013 00:15:00,   57.82,   62.90,   49.92,   61.32,   65.97,   53.95
05/03/2013 00:20:00,   59.36,   67.27,   49.43,   62.88,   70.39,   53.54
05/03/2013 00:25:00,   54.65,   60.35,   49.41,   57.61,   62.96,   53.67
05/03/2013 00:30:00,   55.63,   61.34,   48.98,   59.19,   64.11,   53.41
05/03/2013 00:35:00,   56.00,   61.60,   48.97,   59.51,   64.14,   53.34
05/03/2013 00:40:00,   53.55,   59.25,   48.70,   56.76,   61.58,   52.98
05/03/2013 00:45:00,   56.32,   62.26,   49.25,   59.76,   65.24,   53.30
05/03/2013 00:50:00,   66.23,   76.39,   50.21,   69.76,   79.86,   54.27
05/03/2013 00:55:00,   54.08,   59.69,   48.66,   57.71,   63.02,   52.90
05/03/2013 01:00:00,   55.40,   61.14,   48.76,   59.13,   64.62,   52.93
05/03/2013 01:05:00,   54.55,   59.21,   49.09,   57.65,   61.51,   53.62
05/03/2013 01:10:00,   53.53,   60.48,   48.43,   56.61,   62.38,   52.79
05/03/2013 01:15:00,   52.69,   57.63,   48.57,   56.06,   60.10,   53.12
05/03/2013 01:20:00,   53.00,   58.99,   48.24,   56.20,   60.96,   52.66
05/03/2013 01:25:00,   52.59,   57.45,   48.39,   57.08,   61.81,   52.80
05/03/2013 01:30:00,   53.85,   59.65,   48.40,   57.03,   61.49,   52.96
05/03/2013 01:35:00,   54.35,   59.78,   49.07,   57.68,   62.66,   53.64
05/03/2013 01:40:00,   53.64,   60.14,   48.67,   56.96,   61.94,   53.28
05/03/2013 01:45:00,   51.97,   57.51,   48.30,   56.02,   60.47,   52.88
05/03/2013 01:50:00,   52.94,   56.55,   48.94,   57.24,   61.54,   53.72
