# noise_analysis run from DCC-NOISE-001017 at Wed Mar  6 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/03/2013 00:05:00,   54.32,   58.80,   49.42,   57.55,   61.36,   53.73
06/03/2013 00:10:00,   57.10,   62.90,   49.62,   60.94,   64.97,   53.63
06/03/2013 00:15:00,   57.50,   63.58,   49.95,   60.93,   66.97,   53.76
06/03/2013 00:20:00,   58.50,   64.61,   50.21,   61.83,   67.28,   54.29
06/03/2013 00:25:00,   56.16,   62.12,   49.62,   59.13,   64.76,   53.58
06/03/2013 00:30:00,   58.93,   66.29,   50.26,   62.09,   68.70,   54.15
06/03/2013 00:35:00,   57.27,   63.11,   49.45,   61.08,   66.01,   53.39
06/03/2013 00:40:00,   54.85,   60.51,   49.70,   57.73,   62.44,   53.73
06/03/2013 00:45:00,   58.84,   65.29,   49.25,   62.67,   68.53,   53.62
06/03/2013 00:50:00,   52.42,   55.83,   48.38,   55.77,   58.40,   52.76
06/03/2013 00:55:00,   52.40,   56.89,   48.69,   56.00,   59.23,   53.26
06/03/2013 01:00:00,   54.09,   60.01,   49.00,   57.83,   62.56,   53.54
06/03/2013 01:05:00,   57.77,   64.23,   48.52,   61.13,   67.46,   52.77
06/03/2013 01:10:00,   52.87,   57.63,   48.18,   55.81,   59.87,   52.34
06/03/2013 01:15:00,   53.44,   59.15,   48.51,   57.09,   62.22,   52.73
06/03/2013 01:20:00,   53.84,   59.66,   48.46,   56.93,   61.81,   52.67
06/03/2013 01:25:00,   55.09,   61.47,   48.92,   58.03,   63.79,   52.95
06/03/2013 01:30:00,   54.91,   60.95,   48.62,   57.80,   63.17,   52.72
06/03/2013 01:35:00,   53.55,   59.72,   48.59,   56.95,   61.68,   52.76
06/03/2013 01:40:00,   52.71,   58.55,   48.22,   55.77,   60.76,   52.27
06/03/2013 01:45:00,   54.76,   60.32,   49.20,   59.57,   65.26,   53.43
06/03/2013 01:50:00,   53.35,   57.87,   49.36,   57.46,   61.36,   53.92
06/03/2013 01:55:00,   52.87,   56.82,   49.63,   56.68,   59.61,   54.21
06/03/2013 02:00:00,   54.75,   59.60,   50.13,   58.32,   63.17,   53.98
06/03/2013 02:05:00,   52.73,   56.79,   49.57,   56.43,   59.83,   53.45
06/03/2013 02:10:00,   52.94,   56.78,   50.09,   56.29,   59.26,   54.00
06/03/2013 02:15:00,   56.79,   60.88,   51.49,   59.38,   62.76,   55.15
06/03/2013 02:20:00,   55.81,   60.12,   51.54,   59.34,   62.72,   55.17
06/03/2013 02:25:00,   56.94,   58.92,   52.94,   61.26,   63.10,   56.54
06/03/2013 02:30:00,   57.80,   59.64,   53.45,   61.76,   63.26,   56.84
06/03/2013 02:35:00,   61.33,   62.86,   57.62,   63.57,   64.96,   60.90
06/03/2013 02:40:00,   61.52,   62.38,   60.82,   63.42,   64.27,   62.70
06/03/2013 02:45:00,   58.54,   61.43,   55.49,   60.99,   63.37,   58.26
06/03/2013 02:50:00,   58.22,   60.94,   55.58,   60.99,   63.58,   58.34
06/03/2013 02:55:00,   58.53,   58.98,   57.92,   61.58,   62.26,   61.07
06/03/2013 03:00:00,   58.82,   60.03,   57.82,   61.77,   63.05,   60.91
06/03/2013 03:05:00,   56.62,   59.51,   48.98,   59.82,   62.53,   53.12
06/03/2013 03:10:00,   53.15,   58.13,   49.08,   56.50,   60.57,   53.54
06/03/2013 03:15:00,   56.59,   60.41,   49.62,   59.61,   62.76,   53.89
06/03/2013 03:20:00,   54.62,   59.35,   48.85,   57.31,   62.16,   52.87
