# noise_analysis run from DCC-NOISE-001017 at Thu Mar  7 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/03/2013 00:05:00,   59.69,   65.79,   51.88,   62.26,   67.17,   55.20
07/03/2013 00:10:00,   55.18,   59.05,   50.61,   57.94,   61.37,   54.32
07/03/2013 00:15:00,   60.01,   65.49,   51.53,   62.21,   66.54,   55.06
07/03/2013 00:20:00,   58.35,   65.71,   50.23,   60.97,   67.06,   53.81
07/03/2013 00:25:00,   58.80,   63.80,   49.47,   61.74,   65.71,   53.46
07/03/2013 00:30:00,   58.97,   65.00,   50.73,   62.09,   66.67,   54.27
07/03/2013 00:35:00,   57.27,   62.59,   50.11,   60.73,   65.96,   53.78
07/03/2013 00:40:00,   57.97,   63.38,   51.89,   60.29,   65.10,   55.35
07/03/2013 00:45:00,   58.86,   64.66,   50.93,   61.49,   66.37,   54.38
07/03/2013 00:50:00,   57.08,   62.92,   50.83,   60.15,   64.72,   54.48
07/03/2013 00:55:00,   55.72,   60.25,   51.03,   58.66,   62.20,   54.72
07/03/2013 01:00:00,   66.06,   75.96,   51.16,   69.49,   79.75,   54.71
07/03/2013 01:05:00,   54.06,   58.76,   50.18,   56.95,   60.64,   54.08
07/03/2013 01:10:00,   54.99,   57.97,   50.28,   57.90,   60.37,   54.11
07/03/2013 01:15:00,   55.25,   61.83,   50.21,   58.12,   63.42,   54.27
07/03/2013 01:20:00,   53.68,   58.94,   49.86,   57.14,   61.89,   53.78
07/03/2013 01:25:00,   52.32,   54.66,   49.86,   55.48,   57.40,   53.68
07/03/2013 01:30:00,   55.05,   59.85,   50.38,   58.20,   62.12,   54.20
07/03/2013 01:35:00,   56.10,   63.76,   49.68,   58.45,   64.53,   53.59
07/03/2013 01:40:00,   52.79,   55.71,   49.61,   56.07,   58.36,   53.63
07/03/2013 01:45:00,   55.00,   60.63,   50.62,   58.00,   62.20,   54.43
07/03/2013 01:50:00,   54.10,   59.65,   50.15,   57.42,   61.44,   54.09
07/03/2013 01:55:00,   54.98,   61.27,   49.83,   58.02,   62.99,   53.92
07/03/2013 02:00:00,   56.26,   63.28,   50.10,   59.09,   64.56,   54.22
07/03/2013 02:05:00,   53.97,   59.95,   49.79,   57.86,   63.02,   54.09
07/03/2013 02:10:00,   52.59,   55.08,   50.20,   56.73,   59.76,   54.18
07/03/2013 02:15:00,   53.82,   57.76,   50.15,   58.05,   62.32,   54.29
07/03/2013 02:20:00,   53.01,   54.35,   49.67,   56.49,   58.73,   53.75
07/03/2013 02:25:00,   54.27,   58.94,   50.75,   58.32,   62.21,   54.73
07/03/2013 02:30:00,   53.76,   59.15,   49.69,   56.98,   61.20,   53.71
07/03/2013 02:35:00,   52.64,   56.05,   49.69,   56.11,   59.53,   53.75
07/03/2013 02:40:00,   53.91,   59.00,   49.92,   57.25,   61.31,   54.18
07/03/2013 02:45:00,   55.01,   60.85,   49.76,   58.62,   63.56,   54.23
07/03/2013 02:50:00,   55.73,   62.12,   50.16,   59.07,   64.76,   54.03
07/03/2013 02:55:00,   54.49,   58.90,   49.98,   57.64,   62.17,   53.93
07/03/2013 03:00:00,   54.82,   61.15,   49.70,   57.78,   63.14,   53.80
07/03/2013 03:05:00,   54.86,   60.81,   49.45,   57.63,   62.62,   53.61
07/03/2013 03:10:00,   54.77,   58.20,   49.38,   59.67,   63.06,   53.72
07/03/2013 03:15:00,   54.45,   58.50,   49.93,   57.68,   61.44,   54.13
07/03/2013 03:20:00,   54.23,   60.41,   49.47,   56.99,   61.96,   53.60
07/03/2013 03:25:00,   51.55,   53.43,   49.11,   54.77,   56.38,   53.11
07/03/2013 03:30:00,   55.13,   61.60,   49.18,   58.28,   63.64,   53.36
07/03/2013 03:35:00,   56.09,   61.64,   49.54,   58.54,   63.23,   53.75
07/03/2013 03:40:00,   55.85,   61.64,   49.23,   58.36,   63.45,   53.69
07/03/2013 03:45:00,   54.83,   60.13,   49.15,   57.11,   62.19,   52.95
07/03/2013 03:50:00,   54.82,   59.38,   49.80,   57.36,   61.47,   53.43
07/03/2013 03:55:00,   55.87,   61.65,   49.60,   58.50,   63.66,   53.45
07/03/2013 04:00:00,   55.29,   61.34,   49.51,   58.08,   63.05,   53.52
07/03/2013 04:05:00,   57.03,   63.74,   49.19,   59.54,   64.81,   53.47
07/03/2013 04:10:00,   55.00,   61.43,   49.49,   58.12,   64.11,   53.77
07/03/2013 04:15:00,   56.53,   63.55,   49.29,   59.30,   65.57,   53.35
07/03/2013 04:20:00,   55.39,   61.70,   49.06,   57.99,   63.09,   53.09
07/03/2013 04:25:00,   55.71,   61.95,   49.68,   58.15,   63.40,   53.52
07/03/2013 04:30:00,   54.99,   60.47,   49.72,   58.02,   63.79,   53.56
07/03/2013 04:35:00,   55.43,   60.25,   50.28,   58.42,   62.33,   54.44
07/03/2013 04:40:00,   58.06,   65.40,   49.99,   60.76,   67.22,   54.11
07/03/2013 04:45:00,   54.90,   60.75,   49.87,   57.51,   62.68,   53.66
07/03/2013 04:50:00,   57.28,   63.56,   49.97,   60.04,   65.95,   53.90
07/03/2013 04:55:00,   56.45,   62.18,   51.08,   58.74,   63.85,   54.94
07/03/2013 05:00:00,   56.77,   62.00,   51.44,   59.17,   63.53,   55.05
07/03/2013 05:05:00,   59.61,   65.33,   50.75,   63.66,   69.40,   54.51
07/03/2013 05:10:00,   58.62,   65.48,   52.31,   62.72,   68.40,   56.16
07/03/2013 05:15:00,   56.21,   60.95,   51.56,   60.06,   63.92,   55.74
07/03/2013 05:20:00,   59.15,   64.67,   52.62,   62.45,   67.45,   56.39
07/03/2013 05:25:00,   57.74,   62.08,   53.39,   61.35,   64.56,   57.02
07/03/2013 05:30:00,   59.53,   66.15,   53.56,   62.55,   67.88,   57.50
07/03/2013 05:35:00,   61.48,   67.63,   53.87,   64.75,   70.30,   57.58
07/03/2013 05:40:00,   60.58,   65.58,   54.09,   63.78,   68.32,   57.05
07/03/2013 05:45:00,   60.96,   66.12,   54.39,   63.85,   68.61,   57.54
07/03/2013 05:50:00,   59.58,   64.03,   54.35,   62.48,   66.93,   57.51
07/03/2013 05:55:00,   61.59,   66.68,   54.91,   64.85,   69.62,   58.29
07/03/2013 06:00:00,   59.83,   63.81,   55.57,   63.11,   66.59,   58.60
07/03/2013 06:05:00,   60.73,   66.53,   55.08,   63.93,   68.87,   58.33
07/03/2013 06:10:00,   63.99,   69.33,   55.59,   67.60,   72.49,   59.49
07/03/2013 06:15:00,   60.63,   66.69,   55.34,   64.30,   68.80,   59.65
07/03/2013 06:20:00,   60.99,   65.88,   55.76,   63.71,   67.56,   59.20
07/03/2013 06:25:00,   61.61,   66.29,   56.86,   65.93,   69.40,   60.90
07/03/2013 06:30:00,   63.62,   68.64,   56.82,   66.62,   70.81,   60.26
07/03/2013 06:35:00,   61.33,   66.09,   57.03,   64.44,   68.50,   60.65
07/03/2013 06:40:00,   63.13,   68.61,   56.98,   65.63,   70.45,   60.22
07/03/2013 06:45:00,   63.57,   68.56,   57.31,   67.12,   71.18,   60.96
07/03/2013 06:50:00,   65.24,   69.23,   60.67,   69.35,   71.51,   66.38
07/03/2013 06:55:00,   64.13,   67.88,   60.57,   68.59,   70.57,   66.53
07/03/2013 07:00:00,   64.83,   70.24,   59.77,   68.88,   73.00,   65.43
07/03/2013 07:05:00,   62.00,   67.51,   56.33,   65.62,   69.82,   59.64
07/03/2013 07:10:00,   64.10,   68.38,   57.82,   66.72,   70.75,   61.36
07/03/2013 07:15:00,   63.35,   67.90,   57.23,   66.47,   71.56,   60.71
07/03/2013 07:20:00,   63.08,   68.52,   57.03,   65.80,   70.22,   60.16
07/03/2013 07:25:00,   64.07,   68.61,   57.41,   67.42,   71.56,   61.00
07/03/2013 07:30:00,   65.23,   69.36,   57.62,   68.28,   72.44,   60.56
07/03/2013 07:35:00,   63.18,   68.12,   56.84,   65.97,   70.43,   60.09
07/03/2013 07:40:00,   64.46,   68.80,   56.99,   67.68,   72.46,   60.29
07/03/2013 07:45:00,   63.38,   69.10,   56.54,   66.35,   71.52,   60.52
07/03/2013 07:50:00,   64.30,   68.60,   57.26,   67.13,   70.75,   61.03
07/03/2013 07:55:00,   64.24,   68.07,   57.27,   67.56,   71.63,   61.46
07/03/2013 08:00:00,   65.43,   69.60,   57.03,   68.03,   71.73,   61.30
07/03/2013 08:05:00,   63.95,   69.51,   55.68,   67.14,   72.22,   59.20
07/03/2013 08:10:00,   65.47,   69.91,   56.60,   68.52,   72.74,   60.58
07/03/2013 08:15:00,   63.47,   68.15,   56.77,   66.37,   70.96,   60.87
07/03/2013 08:20:00,   64.32,   69.14,   57.50,   67.51,   71.88,   61.59
07/03/2013 08:25:00,   64.31,   68.81,   57.68,   67.45,   72.25,   61.66
07/03/2013 08:30:00,   63.96,   68.45,   56.07,   67.22,   71.70,   60.10
07/03/2013 08:35:00,   64.03,   68.22,   57.46,   67.41,   70.85,   62.13
07/03/2013 08:40:00,   64.80,   69.59,   56.88,   68.56,   73.32,   61.85
07/03/2013 08:45:00,   63.50,   67.10,   56.82,   66.71,   69.44,   61.27
07/03/2013 08:50:00,   63.34,   68.70,   56.69,   66.51,   71.43,   60.17
07/03/2013 08:55:00,   63.57,   68.54,   56.34,   67.19,   72.27,   60.11
07/03/2013 09:00:00,   64.51,   69.10,   56.43,   68.79,   74.40,   60.63
07/03/2013 09:05:00,   63.46,   68.40,   56.89,   66.88,   71.24,   60.81
07/03/2013 09:10:00,   63.53,   67.27,   56.89,   66.86,   70.23,   61.08
07/03/2013 09:15:00,   63.61,   67.99,   56.65,   67.20,   71.35,   60.39
07/03/2013 09:20:00,   64.72,   67.69,   58.43,   68.35,   72.28,   62.41
07/03/2013 09:25:00,   65.01,   69.17,   58.41,   68.42,   73.01,   62.42
07/03/2013 09:30:00,   63.30,   65.59,   56.93,   66.63,   69.89,   60.58
07/03/2013 09:35:00,   63.93,   68.33,   57.23,   67.49,   71.20,   61.21
07/03/2013 09:40:00,   64.44,   67.86,   56.82,   67.31,   70.58,   60.30
07/03/2013 09:45:00,   63.75,   67.75,   56.86,   66.75,   70.27,   60.51
07/03/2013 09:50:00,   63.98,   67.14,   58.43,   67.14,   69.66,   62.44
