# noise_analysis run from DCC-NOISE-001017 at Fri Mar  8 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/03/2013 00:05:00,   60.41,   67.23,   52.44,   61.87,   67.80,   55.70
08/03/2013 00:10:00,   61.32,   67.45,   53.60,   63.37,   68.30,   56.50
08/03/2013 00:15:00,   60.53,   66.46,   52.63,   63.11,   67.99,   56.04
08/03/2013 00:20:00,   60.51,   67.63,   52.66,   63.62,   70.65,   55.90
08/03/2013 00:25:00,   56.42,   62.15,   52.21,   59.58,   63.94,   55.56
08/03/2013 00:30:00,   60.61,   67.43,   52.40,   62.55,   68.60,   55.82
08/03/2013 00:35:00,   58.99,   65.03,   52.23,   61.58,   67.53,   55.40
08/03/2013 00:40:00,   59.43,   66.76,   51.42,   61.35,   67.87,   54.98
08/03/2013 00:45:00,   58.78,   65.63,   51.87,   61.56,   67.04,   55.02
08/03/2013 00:50:00,   65.35,   74.84,   52.50,   69.01,   78.29,   56.15
08/03/2013 00:55:00,   59.52,   65.82,   52.01,   62.53,   67.94,   55.53
08/03/2013 01:00:00,   58.76,   64.59,   51.73,   61.73,   66.45,   55.33
08/03/2013 01:05:00,   57.32,   63.65,   50.81,   59.53,   64.67,   54.21
08/03/2013 01:10:00,   55.60,   60.52,   50.50,   58.31,   62.22,   54.17
08/03/2013 01:15:00,   55.96,   62.01,   50.09,   58.67,   63.40,   53.77
08/03/2013 01:20:00,   57.75,   64.33,   50.88,   59.96,   66.01,   54.25
08/03/2013 01:25:00,   54.21,   57.13,   50.93,   57.61,   60.30,   54.79
08/03/2013 01:30:00,   55.78,   61.93,   50.93,   58.49,   63.82,   54.78
08/03/2013 01:35:00,   56.68,   63.02,   50.71,   59.07,   64.82,   54.59
08/03/2013 01:40:00,   57.77,   64.65,   51.75,   60.78,   66.23,   55.59
08/03/2013 01:45:00,   57.32,   62.62,   51.56,   60.40,   65.07,   55.59
08/03/2013 01:50:00,   54.82,   59.71,   50.62,   59.14,   63.38,   54.86
08/03/2013 01:55:00,   55.20,   61.88,   51.00,   58.31,   63.25,   55.08
08/03/2013 02:00:00,   56.67,   63.67,   50.88,   59.17,   65.20,   54.58
08/03/2013 02:05:00,   57.21,   63.28,   50.66,   60.15,   65.38,   54.67
08/03/2013 02:10:00,   55.62,   61.76,   50.18,   58.37,   63.38,   54.44
08/03/2013 02:15:00,   53.75,   55.73,   50.28,   56.94,   59.28,   54.42
08/03/2013 02:20:00,   55.14,   60.72,   50.04,   57.98,   61.99,   53.84
08/03/2013 02:25:00,   52.77,   53.82,   49.83,   56.23,   57.66,   53.73
08/03/2013 02:30:00,   54.21,   59.15,   49.90,   57.30,   61.19,   53.72
08/03/2013 02:35:00,   54.54,   60.31,   49.53,   57.24,   61.88,   53.32
08/03/2013 02:40:00,   56.44,   63.55,   50.70,   58.77,   64.92,   54.21
08/03/2013 02:45:00,   55.59,   61.43,   50.31,   57.95,   62.70,   53.97
08/03/2013 02:50:00,   55.42,   59.71,   50.62,   58.03,   62.20,   54.24
08/03/2013 02:55:00,   54.10,   58.64,   50.34,   57.28,   61.18,   54.31
08/03/2013 03:00:00,   57.80,   64.74,   51.27,   60.38,   65.94,   54.99
08/03/2013 03:05:00,   58.95,   64.73,   51.51,   61.13,   65.86,   55.49
08/03/2013 03:10:00,   57.21,   63.05,   51.58,   59.98,   64.66,   55.30
08/03/2013 03:15:00,   57.88,   63.96,   51.30,   59.81,   64.98,   54.88
08/03/2013 03:20:00,   57.83,   64.11,   51.81,   59.87,   65.18,   55.06
08/03/2013 03:25:00,   55.88,   60.34,   51.34,   58.47,   61.98,   54.97
08/03/2013 03:30:00,   57.60,   65.47,   51.43,   59.74,   66.02,   55.10
08/03/2013 03:35:00,   56.17,   61.74,   51.38,   58.99,   63.01,   55.03
08/03/2013 03:40:00,   60.07,   66.20,   52.74,   62.52,   67.60,   56.36
08/03/2013 03:45:00,   56.48,   61.74,   51.51,   59.40,   63.37,   55.65
08/03/2013 03:50:00,   56.95,   62.02,   51.76,   60.05,   64.66,   55.44
08/03/2013 03:55:00,   55.31,   59.25,   51.71,   58.61,   61.69,   55.39
08/03/2013 04:00:00,   58.01,   65.00,   50.80,   61.35,   67.10,   55.12
08/03/2013 04:05:00,   54.84,   58.84,   51.09,   59.43,   64.43,   54.95
08/03/2013 04:10:00,   56.24,   61.45,   51.10,   59.19,   62.64,   55.37
08/03/2013 04:15:00,   54.86,   59.80,   50.75,   58.60,   63.13,   54.82
