# noise_analysis run from DCC-NOISE-001011 at Thu May  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/05/2013 00:05:00,   55.30,   61.31,   48.63,   58.51,   63.87,   53.27
02/05/2013 00:10:00,   58.01,   63.32,   49.50,   61.60,   65.84,   53.35
02/05/2013 00:15:00,   58.83,   63.45,   49.81,   62.07,   66.01,   54.22
02/05/2013 00:20:00,   56.49,   62.19,   48.84,   60.39,   65.11,   53.60
02/05/2013 00:25:00,   57.06,   62.35,   48.88,   60.72,   65.90,   53.06
02/05/2013 00:30:00,   56.86,   64.13,   48.26,   60.28,   66.75,   52.38
02/05/2013 00:35:00,   55.11,   61.32,   48.66,   58.46,   64.55,   53.01
02/05/2013 00:40:00,   58.09,   63.96,   48.56,   61.36,   66.51,   52.64
02/05/2013 00:45:00,   57.68,   63.68,   48.77,   61.32,   67.24,   52.82
02/05/2013 00:50:00,   55.99,   61.44,   49.08,   59.86,   63.92,   53.10
02/05/2013 00:55:00,   54.53,   59.72,   48.21,   57.61,   62.11,   52.33
02/05/2013 01:00:00,   55.67,   62.42,   47.90,   58.42,   64.27,   51.94
02/05/2013 01:05:00,   53.52,   58.74,   47.64,   57.65,   63.50,   51.82
02/05/2013 01:10:00,   54.09,   60.49,   48.34,   57.24,   63.00,   52.45
02/05/2013 01:15:00,   52.70,   57.97,   48.08,   55.74,   60.24,   52.16
02/05/2013 01:20:00,   53.21,   60.35,   47.67,   56.18,   62.35,   51.64
02/05/2013 01:25:00,   52.71,   58.71,   48.07,   56.40,   61.45,   52.09
02/05/2013 01:30:00,   54.43,   59.48,   48.83,   57.94,   62.42,   53.22
02/05/2013 01:35:00,   53.68,   60.73,   47.75,   56.50,   62.44,   51.83
02/05/2013 01:40:00,   53.81,   60.47,   48.14,   56.91,   62.57,   52.43
02/05/2013 01:45:00,   54.15,   61.16,   48.09,   57.62,   63.71,   52.40
02/05/2013 01:50:00,   52.98,   60.69,   47.06,   56.11,   62.57,   51.42
02/05/2013 01:55:00,   50.55,   54.06,   47.43,   55.19,   58.64,   51.88
02/05/2013 02:00:00,   53.84,   60.64,   47.26,   56.71,   62.96,   51.49
02/05/2013 02:05:00,   53.93,   59.85,   47.66,   57.00,   62.58,   52.01
02/05/2013 02:10:00,   51.30,   56.96,   47.06,   54.62,   59.31,   51.48
02/05/2013 02:15:00,   53.32,   59.01,   47.72,   57.44,   61.97,   51.87
02/05/2013 02:20:00,   54.78,   59.83,   47.67,   58.69,   62.29,   52.16
02/05/2013 02:25:00,   52.26,   57.82,   47.06,   55.44,   60.21,   51.61
02/05/2013 02:30:00,   50.50,   53.12,   47.19,   54.12,   56.91,   51.59
02/05/2013 02:35:00,   51.49,   56.02,   47.34,   55.08,   59.47,   51.69
02/05/2013 02:40:00,   50.95,   55.26,   47.14,   54.44,   57.78,   51.49
02/05/2013 02:45:00,   52.57,   59.03,   47.19,   55.87,   61.57,   51.63
02/05/2013 02:50:00,   50.49,   55.53,   46.90,   53.93,   57.96,   51.30
02/05/2013 02:55:00,   53.62,   58.84,   47.49,   56.59,   61.12,   51.78
02/05/2013 03:00:00,   52.94,   59.49,   47.47,   56.20,   62.52,   51.80
02/05/2013 03:05:00,   53.45,   60.52,   47.51,   56.55,   62.68,   51.95
02/05/2013 03:10:00,   54.08,   60.11,   47.81,   59.06,   64.40,   51.84
02/05/2013 03:15:00,   54.31,   61.17,   48.09,   57.67,   63.88,   52.18
02/05/2013 03:20:00,   51.62,   57.33,   47.77,   54.82,   59.46,   51.78
02/05/2013 03:25:00,   52.11,   57.30,   47.93,   55.16,   59.63,   51.95
02/05/2013 03:30:00,   51.90,   54.63,   48.66,   55.86,   58.54,   52.49
02/05/2013 03:35:00,   52.66,   58.56,   48.15,   55.84,   60.88,   52.10
02/05/2013 03:40:00,   52.15,   56.61,   47.71,   57.28,   61.28,   51.83
02/05/2013 03:45:00,   52.84,   57.88,   48.01,   56.53,   60.96,   52.17
02/05/2013 03:50:00,   54.08,   60.78,   48.60,   58.14,   64.29,   52.78
02/05/2013 03:55:00,   54.29,   61.80,   47.85,   57.35,   64.24,   51.98
02/05/2013 04:00:00,   54.03,   60.65,   47.22,   57.03,   62.92,   51.67
