# noise_analysis run from DCC-NOISE-001011 at Fri May  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/05/2013 00:05:00,   59.59,   63.68,   50.13,   63.03,   66.22,   54.20
03/05/2013 00:10:00,   57.68,   63.64,   49.87,   60.68,   65.73,   54.07
03/05/2013 00:15:00,   58.34,   63.52,   49.98,   61.59,   66.30,   53.69
03/05/2013 00:20:00,   57.65,   63.69,   49.54,   60.91,   66.39,   53.60
03/05/2013 00:25:00,   58.58,   64.29,   49.59,   62.02,   66.73,   53.72
03/05/2013 00:30:00,   57.40,   63.49,   49.58,   60.87,   66.54,   53.57
03/05/2013 00:35:00,   55.35,   61.38,   49.23,   58.17,   63.17,   53.64
03/05/2013 00:40:00,   57.50,   63.05,   49.20,   61.03,   65.69,   53.04
03/05/2013 00:45:00,   56.67,   62.65,   48.86,   60.30,   66.04,   53.42
03/05/2013 00:50:00,   55.06,   60.50,   49.04,   58.69,   63.25,   53.10
03/05/2013 00:55:00,   53.75,   59.23,   49.14,   57.19,   61.75,   53.01
03/05/2013 01:00:00,   53.87,   59.06,   49.29,   57.26,   61.76,   53.32
03/05/2013 01:05:00,   57.24,   62.98,   49.09,   61.15,   67.37,   53.25
03/05/2013 01:10:00,   54.90,   61.70,   48.96,   58.04,   63.75,   53.07
03/05/2013 01:15:00,   54.41,   60.19,   48.66,   59.75,   63.80,   52.92
03/05/2013 01:20:00,   53.02,   57.78,   48.75,   56.18,   60.37,   52.82
03/05/2013 01:25:00,   52.72,   57.73,   48.08,   55.97,   60.26,   52.18
03/05/2013 01:30:00,   54.34,   60.08,   48.36,   57.13,   61.95,   52.40
03/05/2013 01:35:00,   52.37,   56.50,   48.31,   56.01,   59.63,   52.51
03/05/2013 01:40:00,   54.16,   58.54,   48.80,   57.96,   61.65,   53.41
03/05/2013 01:45:00,   54.79,   61.03,   48.21,   57.46,   62.39,   52.35
03/05/2013 01:50:00,   54.29,   61.39,   48.46,   57.74,   63.31,   52.52
03/05/2013 01:55:00,   53.89,   59.99,   47.84,   58.52,   63.96,   52.85
03/05/2013 02:00:00,   52.61,   59.04,   47.53,   56.21,   62.15,   51.95
03/05/2013 02:05:00,   53.21,   60.04,   48.17,   56.47,   61.77,   52.46
03/05/2013 02:10:00,   52.20,   55.61,   48.11,   55.77,   58.60,   52.42
03/05/2013 02:15:00,   53.70,   59.13,   48.41,   56.98,   62.00,   52.69
03/05/2013 02:20:00,   52.21,   58.19,   47.81,   55.92,   61.07,   52.28
03/05/2013 02:25:00,   51.56,   56.08,   48.12,   55.18,   59.82,   52.22
03/05/2013 02:30:00,   54.00,   59.51,   48.35,   57.72,   62.22,   52.56
