# noise_analysis run from DCC-NOISE-001011 at Sat May  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/05/2013 00:05:00,   59.20,   64.05,   54.07,   62.50,   66.38,   57.63
04/05/2013 00:10:00,   58.87,   64.25,   52.86,   61.98,   67.24,   56.14
04/05/2013 00:15:00,   59.33,   65.29,   52.30,   62.39,   67.60,   56.02
04/05/2013 00:20:00,   58.58,   64.33,   51.26,   61.52,   66.70,   55.17
04/05/2013 00:25:00,   61.25,   66.28,   52.02,   64.72,   69.10,   55.84
04/05/2013 00:30:00,   60.22,   66.28,   52.29,   63.09,   67.98,   55.47
04/05/2013 00:35:00,   58.11,   62.52,   52.05,   61.68,   64.80,   55.68
04/05/2013 00:40:00,   58.94,   64.18,   51.79,   61.78,   66.47,   55.16
04/05/2013 00:45:00,   60.39,   66.92,   52.99,   62.83,   68.48,   55.95
04/05/2013 00:50:00,   60.84,   65.57,   53.23,   63.56,   68.29,   56.34
04/05/2013 00:55:00,   57.32,   62.68,   52.41,   60.38,   65.17,   55.40
04/05/2013 01:00:00,   60.59,   67.01,   52.58,   63.39,   69.13,   56.02
04/05/2013 01:05:00,   58.32,   64.79,   52.05,   60.96,   66.00,   55.28
04/05/2013 01:10:00,   59.42,   65.79,   52.24,   62.03,   67.47,   55.53
04/05/2013 01:15:00,   57.78,   62.52,   52.33,   60.56,   64.97,   55.44
04/05/2013 01:20:00,   57.80,   64.80,   51.89,   60.36,   66.35,   55.12
04/05/2013 01:25:00,   56.83,   62.00,   52.66,   59.51,   63.81,   55.94
04/05/2013 01:30:00,   58.64,   65.78,   51.90,   60.99,   67.22,   55.19
04/05/2013 01:35:00,   56.28,   61.61,   50.66,   58.90,   63.70,   54.29
04/05/2013 01:40:00,   55.42,   58.57,   51.52,   58.52,   61.88,   54.88
04/05/2013 01:45:00,   56.90,   63.54,   51.22,   60.18,   65.84,   54.50
04/05/2013 01:50:00,   58.12,   63.54,   51.46,   60.82,   65.57,   55.21
04/05/2013 01:55:00,   57.60,   63.37,   51.34,   60.38,   65.36,   55.29
04/05/2013 02:00:00,   57.91,   62.96,   52.47,   61.22,   64.96,   56.62
04/05/2013 02:05:00,   57.37,   62.30,   51.55,   60.08,   64.41,   55.19
04/05/2013 02:10:00,   58.95,   64.96,   50.96,   61.52,   67.01,   54.66
04/05/2013 02:15:00,   57.09,   63.70,   50.96,   59.50,   65.48,   54.37
04/05/2013 02:20:00,   55.03,   59.44,   50.71,   58.55,   62.64,   54.61
04/05/2013 02:25:00,   55.73,   60.81,   50.43,   58.39,   63.12,   53.90
04/05/2013 02:30:00,   57.34,   64.35,   51.41,   60.46,   66.32,   54.86
04/05/2013 02:35:00,   57.73,   63.66,   51.30,   60.38,   65.31,   54.80
04/05/2013 02:40:00,   57.00,   62.69,   51.84,   59.84,   64.60,   55.21
04/05/2013 02:45:00,   56.66,   62.07,   51.32,   60.06,   65.62,   55.09
04/05/2013 02:50:00,   56.78,   63.38,   51.00,   59.68,   65.17,   54.29
04/05/2013 02:55:00,   55.94,   60.94,   50.76,   58.79,   63.70,   54.17
04/05/2013 03:00:00,   56.29,   61.74,   51.33,   58.86,   63.28,   54.49
04/05/2013 03:05:00,   58.49,   65.52,   51.78,   60.89,   67.37,   55.11
04/05/2013 03:10:00,   57.71,   63.75,   51.43,   59.99,   65.01,   54.58
04/05/2013 03:15:00,   56.18,   62.71,   50.84,   58.64,   64.47,   54.20
04/05/2013 03:20:00,   59.65,   65.11,   52.98,   61.75,   66.40,   56.03
04/05/2013 03:25:00,   56.82,   62.67,   51.34,   59.50,   64.45,   54.82
04/05/2013 03:30:00,   58.66,   63.72,   52.75,   61.32,   65.65,   55.99
04/05/2013 03:35:00,   59.00,   64.08,   51.92,   61.27,   65.40,   55.06
04/05/2013 03:40:00,   57.47,   63.95,   51.76,   60.36,   66.31,   54.90
04/05/2013 03:45:00,   57.11,   63.43,   51.18,   60.10,   66.02,   54.75
04/05/2013 03:50:00,   56.75,   62.94,   51.23,   59.48,   64.91,   54.51
04/05/2013 03:55:00,   57.28,   63.33,   51.34,   60.12,   65.10,   54.75
04/05/2013 04:00:00,   56.89,   63.77,   51.07,   60.60,   66.87,   54.61
04/05/2013 04:05:00,   58.14,   65.08,   50.90,   61.31,   66.91,   54.73
04/05/2013 04:10:00,   57.76,   64.66,   50.55,   60.12,   66.40,   54.13
04/05/2013 04:15:00,   56.08,   62.85,   50.02,   59.13,   64.83,   53.78
04/05/2013 04:20:00,   57.96,   64.19,   50.48,   60.65,   66.05,   54.38
04/05/2013 04:25:00,   56.18,   62.53,   49.84,   59.32,   64.92,   53.48
04/05/2013 04:30:00,   56.93,   64.00,   49.90,   59.48,   65.53,   53.47
04/05/2013 04:35:00,   58.40,   65.86,   49.99,   60.83,   67.44,   53.83
04/05/2013 04:40:00,   58.58,   66.01,   49.45,   60.84,   67.36,   53.35
04/05/2013 04:45:00,   57.54,   64.11,   50.26,   60.15,   66.36,   53.75
04/05/2013 04:50:00,   57.21,   62.36,   50.50,   59.92,   64.11,   53.88
04/05/2013 04:55:00,   57.75,   64.55,   50.53,   61.07,   66.32,   54.73
04/05/2013 05:00:00,   55.67,   62.07,   49.68,   58.75,   64.94,   53.28
04/05/2013 05:05:00,   58.50,   64.39,   50.84,   61.80,   66.72,   55.49
04/05/2013 05:10:00,   56.28,   63.34,   50.22,   59.60,   65.29,   54.54
04/05/2013 05:15:00,   56.78,   63.23,   49.70,   60.27,   66.26,   53.57
04/05/2013 05:20:00,   56.35,   62.75,   50.12,   59.72,   65.27,   53.84
04/05/2013 05:25:00,   55.58,   61.35,   49.34,   59.10,   64.45,   53.55
04/05/2013 05:30:00,   55.87,   61.18,   49.17,   60.42,   65.50,   53.40
04/05/2013 05:35:00,   56.92,   63.04,   49.67,   59.82,   64.76,   53.78
04/05/2013 05:40:00,   57.02,   64.21,   50.02,   59.85,   66.29,   54.24
04/05/2013 05:45:00,   59.65,   66.04,   50.43,   63.00,   68.53,   54.47
04/05/2013 05:50:00,   56.57,   61.16,   51.33,   59.76,   64.29,   55.33
04/05/2013 05:55:00,   58.90,   64.67,   53.11,   61.96,   67.87,   56.51
04/05/2013 06:00:00,   59.40,   64.55,   53.80,   63.33,   67.37,   56.21
04/05/2013 06:05:00,   59.31,   64.89,   52.99,   62.19,   67.20,   56.11
04/05/2013 06:10:00,   60.47,   65.54,   54.62,   63.64,   68.01,   57.35
04/05/2013 06:15:00,   59.76,   66.03,   54.11,   62.77,   68.08,   56.52
04/05/2013 06:20:00,   59.62,   64.95,   54.14,   62.43,   67.49,   56.16
04/05/2013 06:25:00,   57.33,   60.36,   54.80,   60.29,   63.38,   56.66
04/05/2013 06:30:00,   62.12,   66.97,   55.63,   67.69,   71.47,   57.40
04/05/2013 06:35:00,   64.78,   67.80,   61.80,   70.64,   71.79,   69.16
04/05/2013 06:40:00,   64.35,   67.43,   61.55,   70.85,   72.54,   69.21
04/05/2013 06:45:00,   66.46,   69.83,   62.17,   71.97,   73.97,   69.72
04/05/2013 06:50:00,   60.84,   65.70,   56.06,   64.29,   69.27,   58.05
04/05/2013 06:55:00,   61.66,   67.65,   56.26,   64.68,   70.39,   58.73
04/05/2013 07:00:00,   60.69,   65.64,   55.78,   63.86,   68.63,   58.45
04/05/2013 07:05:00,   61.12,   65.64,   55.76,   63.98,   68.34,   58.01
04/05/2013 07:10:00,   62.47,   67.77,   55.81,   65.95,   71.38,   57.75
04/05/2013 07:15:00,   59.75,   64.68,   55.70,   62.38,   67.15,   58.04
04/05/2013 07:20:00,   59.22,   63.29,   56.00,   62.78,   66.88,   58.35
04/05/2013 07:25:00,   61.39,   66.04,   56.07,   64.88,   70.57,   58.51
04/05/2013 07:30:00,   60.38,   66.07,   55.49,   63.50,   68.53,   57.61
04/05/2013 07:35:00,   60.43,   64.76,   55.98,   63.00,   66.99,   58.03
04/05/2013 07:40:00,   63.70,   66.91,   56.94,   66.03,   69.00,   60.00
04/05/2013 07:45:00,   61.61,   65.91,   55.92,   64.90,   68.87,   58.49
04/05/2013 07:50:00,   61.98,   66.18,   56.10,   65.67,   70.19,   58.83
04/05/2013 07:55:00,   61.82,   67.41,   56.09,   64.58,   69.70,   58.30
04/05/2013 08:00:00,   62.86,   66.85,   56.22,   66.63,   70.94,   58.76
