# noise_analysis run from DCC-NOISE-001011 at Sun May  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/05/2013 00:05:00,   55.80,   61.62,   50.37,   59.60,   64.42,   54.32
05/05/2013 00:10:00,   58.94,   63.89,   50.90,   62.33,   66.22,   54.81
05/05/2013 00:15:00,   59.60,   65.19,   51.14,   62.81,   67.33,   55.19
05/05/2013 00:20:00,   58.70,   63.63,   50.54,   61.53,   66.25,   54.80
05/05/2013 00:25:00,   61.06,   67.08,   51.30,   64.49,   69.29,   55.80
05/05/2013 00:30:00,   59.04,   64.79,   51.20,   62.41,   66.98,   54.87
05/05/2013 00:35:00,   57.12,   62.95,   50.26,   60.07,   65.50,   54.26
05/05/2013 00:40:00,   60.39,   66.21,   51.90,   63.30,   68.94,   55.54
05/05/2013 00:45:00,   59.00,   65.36,   51.94,   62.32,   68.18,   55.93
05/05/2013 00:50:00,   56.47,   62.71,   50.04,   59.26,   64.66,   54.02
05/05/2013 00:55:00,   57.96,   62.97,   52.00,   61.24,   66.59,   55.49
05/05/2013 01:00:00,   56.08,   60.76,   50.84,   59.57,   63.49,   54.60
05/05/2013 01:05:00,   59.29,   64.58,   50.94,   62.74,   68.06,   55.22
05/05/2013 01:10:00,   56.02,   60.36,   51.18,   59.40,   63.54,   55.07
05/05/2013 01:15:00,   57.56,   63.22,   50.71,   60.49,   65.64,   54.39
05/05/2013 01:20:00,   56.07,   61.49,   50.23,   60.15,   65.45,   54.52
05/05/2013 01:25:00,   58.32,   62.26,   50.75,   60.83,   64.63,   54.35
05/05/2013 01:30:00,   55.21,   60.87,   50.20,   58.44,   63.68,   54.02
05/05/2013 01:35:00,   55.30,   62.23,   49.47,   58.33,   64.74,   53.77
05/05/2013 01:40:00,   57.20,   63.32,   50.60,   61.16,   66.78,   54.48
05/05/2013 01:45:00,   55.68,   60.59,   50.12,   58.83,   63.25,   54.23
05/05/2013 01:50:00,   55.68,   61.43,   50.22,   59.20,   64.23,   54.26
05/05/2013 01:55:00,   57.23,   63.88,   49.89,   60.43,   65.91,   54.31
05/05/2013 02:00:00,   56.46,   62.40,   50.09,   59.58,   64.86,   54.05
05/05/2013 02:05:00,   54.45,   59.97,   49.86,   57.59,   61.95,   53.97
05/05/2013 02:10:00,   55.65,   61.33,   49.49,   58.75,   63.92,   53.61
05/05/2013 02:15:00,   55.69,   62.63,   49.57,   58.94,   65.32,   53.66
05/05/2013 02:20:00,   57.41,   63.56,   50.35,   59.73,   65.32,   54.03
05/05/2013 02:25:00,   56.12,   62.87,   50.05,   59.04,   64.71,   53.82
05/05/2013 02:30:00,   57.78,   63.65,   49.83,   60.14,   65.83,   53.64
05/05/2013 02:35:00,   54.68,   60.14,   49.96,   57.85,   62.49,   53.86
05/05/2013 02:40:00,   55.19,   61.18,   49.89,   58.12,   63.58,   53.85
05/05/2013 02:45:00,   55.73,   62.21,   49.96,   58.76,   64.41,   53.70
05/05/2013 02:50:00,   57.54,   63.57,   50.09,   60.34,   65.49,   53.82
05/05/2013 02:55:00,   56.65,   62.68,   50.48,   59.95,   65.22,   54.58
05/05/2013 03:00:00,   55.77,   61.03,   49.56,   59.66,   64.47,   53.47
05/05/2013 03:05:00,   56.20,   62.02,   49.77,   59.19,   64.22,   53.54
05/05/2013 03:10:00,   58.17,   63.96,   50.62,   61.15,   66.55,   54.54
05/05/2013 03:15:00,   57.85,   64.17,   50.56,   60.34,   65.98,   54.05
05/05/2013 03:20:00,   56.49,   62.05,   50.57,   59.45,   64.79,   54.21
05/05/2013 03:25:00,   57.56,   64.24,   50.35,   60.10,   66.40,   53.77
05/05/2013 03:30:00,   55.09,   60.35,   49.85,   58.19,   62.86,   53.54
05/05/2013 03:35:00,   57.12,   63.66,   51.06,   59.69,   65.58,   54.56
05/05/2013 03:40:00,   57.58,   62.96,   52.19,   60.09,   64.51,   55.45
05/05/2013 03:45:00,   57.70,   63.38,   51.07,   60.76,   65.84,   54.73
05/05/2013 03:50:00,   56.91,   61.50,   50.60,   60.16,   64.68,   54.29
05/05/2013 03:55:00,   57.80,   64.68,   50.04,   60.23,   66.61,   53.56
05/05/2013 04:00:00,   57.58,   64.16,   50.37,   60.46,   66.50,   53.96
05/05/2013 04:05:00,   57.71,   64.17,   50.81,   60.89,   66.42,   54.50
05/05/2013 04:10:00,   56.32,   62.66,   50.61,   59.11,   64.56,   54.34
05/05/2013 04:15:00,   55.56,   62.09,   49.82,   58.66,   64.24,   53.70
05/05/2013 04:20:00,   57.27,   62.81,   50.10,   60.19,   64.97,   54.15
05/05/2013 04:25:00,   55.67,   61.20,   50.43,   58.58,   63.44,   53.90
05/05/2013 04:30:00,   54.36,   58.83,   49.68,   58.07,   62.79,   53.30
05/05/2013 04:35:00,   56.27,   63.01,   48.96,   58.85,   64.94,   52.51
05/05/2013 04:40:00,   55.22,   62.04,   48.90,   58.01,   63.91,   52.65
05/05/2013 04:45:00,   55.02,   61.79,   49.40,   58.13,   64.65,   52.94
05/05/2013 04:50:00,   57.79,   63.75,   49.60,   60.61,   66.25,   53.02
05/05/2013 04:55:00,   56.38,   62.16,   48.95,   58.81,   64.62,   52.67
05/05/2013 05:00:00,   55.14,   61.74,   49.56,   58.09,   63.43,   53.21
05/05/2013 05:05:00,   55.30,   60.96,   49.18,   58.29,   63.16,   53.10
05/05/2013 05:10:00,   56.38,   62.08,   49.63,   58.86,   64.04,   53.37
05/05/2013 05:15:00,   57.46,   63.28,   50.12,   59.93,   65.30,   53.53
05/05/2013 05:20:00,   53.97,   58.91,   48.84,   56.81,   61.20,   52.50
05/05/2013 05:25:00,   55.26,   62.88,   48.66,   58.12,   64.97,   52.37
05/05/2013 05:30:00,   54.74,   59.71,   49.04,   57.24,   61.35,   52.65
05/05/2013 05:35:00,   56.09,   60.46,   51.03,   58.22,   62.05,   53.83
05/05/2013 05:40:00,   53.72,   58.44,   48.56,   56.52,   60.93,   52.21
05/05/2013 05:45:00,   53.44,   58.10,   48.93,   56.19,   60.14,   52.57
05/05/2013 05:50:00,   54.60,   60.38,   48.94,   57.61,   62.86,   52.62
05/05/2013 05:55:00,   57.48,   62.70,   49.41,   59.28,   63.77,   53.08
05/05/2013 06:00:00,   55.85,   60.60,   51.14,   57.79,   62.61,   53.36
05/05/2013 06:05:00,   55.12,   59.39,   50.90,   57.41,   61.44,   53.37
05/05/2013 06:10:00,   57.43,   62.81,   51.87,   59.25,   64.56,   54.03
05/05/2013 06:15:00,   55.78,   60.26,   52.22,   57.82,   63.16,   54.08
05/05/2013 06:20:00,   55.69,   59.26,   52.97,   57.66,   61.68,   54.30
05/05/2013 06:25:00,   57.74,   62.31,   53.59,   59.36,   64.41,   54.70
05/05/2013 06:30:00,   57.72,   61.56,   54.21,   60.08,   64.28,   55.57
05/05/2013 06:35:00,   56.93,   60.63,   54.03,   59.59,   63.70,   55.47
05/05/2013 06:40:00,   59.48,   64.59,   54.85,   62.64,   67.66,   56.56
05/05/2013 06:45:00,   58.26,   63.05,   54.75,   61.43,   66.02,   56.59
05/05/2013 06:50:00,   57.31,   60.44,   54.59,   60.44,   64.24,   56.58
05/05/2013 06:55:00,   57.11,   60.65,   54.16,   60.68,   64.95,   55.85
05/05/2013 07:00:00,   58.09,   62.34,   54.44,   60.72,   66.57,   55.58
05/05/2013 07:05:00,   60.37,   65.44,   54.80,   64.49,   70.20,   56.89
05/05/2013 07:10:00,   58.15,   62.88,   54.33,   61.94,   67.58,   55.64
05/05/2013 07:15:00,   59.81,   64.66,   55.10,   62.53,   67.20,   56.79
05/05/2013 07:20:00,   57.71,   61.76,   54.49,   60.55,   64.66,   55.98
05/05/2013 07:25:00,   59.29,   64.08,   54.71,   63.07,   67.83,   56.00
05/05/2013 07:30:00,   57.91,   61.71,   54.46,   62.61,   68.76,   56.19
05/05/2013 07:35:00,   60.40,   66.12,   54.46,   64.31,   69.87,   55.52
05/05/2013 07:40:00,   65.10,   69.77,   55.90,   68.97,   73.33,   61.61
05/05/2013 07:45:00,   59.92,   64.33,   54.90,   64.77,   70.07,   57.13
05/05/2013 07:50:00,   58.01,   61.84,   54.91,   60.71,   65.01,   56.51
05/05/2013 07:55:00,   60.53,   67.66,   54.93,   64.46,   71.48,   56.49
05/05/2013 08:00:00,   58.73,   62.25,   55.05,   62.22,   65.78,   56.73
05/05/2013 08:05:00,   58.08,   61.72,   54.68,   61.15,   65.55,   55.98
05/05/2013 08:10:00,   59.95,   63.83,   54.86,   63.09,   66.56,   56.14
05/05/2013 08:15:00,   59.49,   65.26,   54.29,   62.87,   69.40,   55.66
05/05/2013 08:20:00,   59.57,   63.95,   54.69,   63.94,   67.62,   56.89
05/05/2013 08:25:00,   57.14,   60.24,   54.33,   60.89,   63.91,   55.86
05/05/2013 08:30:00,   59.48,   64.22,   54.60,   62.86,   67.80,   55.95
05/05/2013 08:35:00,   59.71,   63.72,   54.82,   62.89,   66.78,   56.75
05/05/2013 08:40:00,   58.19,   62.21,   54.70,   62.38,   66.56,   56.40
05/05/2013 08:45:00,   60.34,   64.84,   55.17,   65.63,   70.91,   57.09
05/05/2013 08:50:00,   58.45,   61.57,   55.13,   60.98,   64.04,   56.62
05/05/2013 08:55:00,   60.07,   66.87,   54.76,   63.02,   69.45,   56.55
05/05/2013 09:00:00,   59.96,   63.79,   54.85,   63.15,   66.80,   56.72
05/05/2013 09:05:00,   59.56,   64.61,   54.58,   62.52,   67.27,   56.16
05/05/2013 09:10:00,   57.43,   61.19,   54.42,   61.57,   66.11,   56.25
05/05/2013 09:15:00,   59.61,   63.86,   54.43,   62.65,   67.10,   55.77
05/05/2013 09:20:00,   57.40,   61.19,   54.06,   60.87,   65.07,   55.73
05/05/2013 09:25:00,   58.65,   62.04,   54.11,   62.25,   67.06,   55.73
05/05/2013 09:30:00,   61.68,   65.19,   54.46,   64.00,   67.71,   56.24
05/05/2013 09:35:00,   58.40,   61.28,   54.90,   60.79,   63.89,   56.58
05/05/2013 09:40:00,   59.98,   63.80,   54.55,   63.78,   68.66,   56.59
05/05/2013 09:45:00,   60.45,   65.32,   54.56,   63.45,   68.56,   56.00
05/05/2013 09:50:00,   60.09,   63.40,   55.16,   63.02,   66.69,   56.76
05/05/2013 09:55:00,   58.41,   62.18,   55.07,   62.31,   66.52,   57.09
05/05/2013 10:00:00,   61.12,   65.99,   54.88,   64.47,   69.15,   56.77
05/05/2013 10:05:00,   61.43,   67.15,   54.70,   67.01,   72.81,   56.48
05/05/2013 10:10:00,   57.91,   62.08,   54.28,   60.35,   64.38,   56.06
05/05/2013 10:15:00,   61.30,   66.98,   54.52,   65.08,   71.05,   56.30
05/05/2013 10:20:00,   58.32,   62.84,   54.73,   61.20,   65.59,   56.85
05/05/2013 10:25:00,   61.56,   66.36,   56.05,   64.85,   70.31,   58.21
05/05/2013 10:30:00,   59.75,   62.16,   56.18,   62.87,   65.47,   58.02
05/05/2013 10:35:00,   59.32,   63.06,   54.92,   61.51,   65.62,   57.15
05/05/2013 10:40:00,   61.79,   66.66,   55.85,   64.62,   70.16,   58.38
05/05/2013 10:45:00,   61.88,   64.70,   55.81,   64.32,   67.91,   58.57
05/05/2013 10:50:00,   62.43,   66.51,   58.09,   65.01,   69.85,   59.68
05/05/2013 10:55:00,   60.39,   63.16,   55.43,   62.30,   64.77,   57.46
05/05/2013 11:00:00,   61.06,   63.68,   55.68,   63.26,   66.25,   57.43
05/05/2013 11:05:00,   60.24,   63.54,   55.53,   65.02,   69.66,   57.95
05/05/2013 11:10:00,   58.26,   61.48,   55.37,   62.04,   65.92,   57.46
05/05/2013 11:15:00,   62.62,   67.05,   55.24,   66.37,   71.18,   57.79
05/05/2013 11:20:00,   58.89,   62.34,   54.58,   62.49,   66.55,   56.33
05/05/2013 11:25:00,   60.71,   65.20,   54.35,   64.78,   69.42,   56.10
05/05/2013 11:30:00,   61.07,   64.13,   54.95,   65.20,   69.29,   57.48
05/05/2013 11:35:00,   60.10,   62.66,   54.87,   65.15,   68.57,   57.00
05/05/2013 11:40:00,   60.02,   63.70,   55.15,   63.44,   66.80,   57.75
05/05/2013 11:45:00,   61.65,   66.48,   54.77,   65.05,   70.03,   56.93
05/05/2013 11:50:00,   57.35,   60.24,   54.37,   60.67,   64.29,   56.76
05/05/2013 11:55:00,   60.44,   64.77,   55.07,   65.36,   70.95,   57.06
05/05/2013 12:00:00,   59.94,   63.54,   54.55,   63.19,   66.50,   56.45
05/05/2013 12:05:00,   62.63,   64.51,   54.82,   64.56,   67.08,   56.83
05/05/2013 12:10:00,   59.86,   63.58,   54.33,   63.53,   67.50,   56.29
05/05/2013 12:15:00,   60.69,   64.23,   54.57,   64.19,   69.05,   56.77
05/05/2013 12:20:00,   58.90,   62.26,   54.57,   62.56,   65.59,   56.75
05/05/2013 12:25:00,   58.35,   62.09,   54.85,   61.05,   64.45,   57.30
05/05/2013 12:30:00,   61.17,   65.97,   54.47,   64.77,   69.76,   56.06
05/05/2013 12:35:00,   59.01,   63.15,   54.69,   61.90,   66.21,   56.83
05/05/2013 12:40:00,   60.24,   65.18,   54.20,   63.69,   68.31,   56.36
05/05/2013 12:45:00,   59.66,   62.78,   54.70,   63.59,   67.07,   57.55
05/05/2013 12:50:00,   61.17,   66.18,   55.05,   65.70,   71.93,   57.31
05/05/2013 12:55:00,   59.26,   62.97,   54.32,   62.73,   66.82,   56.05
05/05/2013 13:00:00,   59.48,   63.39,   54.19,   61.87,   66.07,   55.95
05/05/2013 13:05:00,   60.70,   64.58,   54.81,   63.73,   67.10,   56.82
