# noise_analysis run from DCC-NOISE-001011 at Mon May  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/05/2013 00:05:00,   56.13,   61.43,   49.73,   59.72,   64.49,   53.61
06/05/2013 00:10:00,   58.13,   63.45,   50.56,   60.96,   65.60,   54.43
06/05/2013 00:15:00,   55.00,   60.68,   49.60,   58.08,   63.01,   53.42
06/05/2013 00:20:00,   56.23,   62.38,   50.00,   59.30,   64.68,   53.94
06/05/2013 00:25:00,   55.77,   61.48,   49.21,   58.97,   63.95,   53.10
06/05/2013 00:30:00,   54.32,   60.18,   49.27,   57.21,   62.17,   53.25
06/05/2013 00:35:00,   56.53,   62.52,   49.33,   59.30,   65.07,   53.37
06/05/2013 00:40:00,   55.95,   61.05,   49.23,   60.33,   65.19,   53.31
06/05/2013 00:45:00,   55.10,   59.48,   49.70,   57.94,   61.93,   53.73
06/05/2013 00:50:00,   65.36,   65.55,   49.85,   66.48,   66.65,   53.82
06/05/2013 00:55:00,   58.54,   64.55,   49.68,   60.76,   66.46,   53.56
06/05/2013 01:00:00,   56.02,   61.46,   49.31,   58.96,   63.88,   53.17
06/05/2013 01:05:00,   55.04,   61.40,   49.32,   58.29,   63.62,   53.44
06/05/2013 01:10:00,   54.34,   59.87,   49.05,   57.56,   62.41,   53.07
06/05/2013 01:15:00,   56.09,   61.26,   49.32,   59.29,   64.35,   53.47
06/05/2013 01:20:00,   55.71,   60.65,   49.14,   58.82,   63.07,   53.37
06/05/2013 01:25:00,   56.32,   62.00,   50.16,   60.03,   65.65,   54.06
06/05/2013 01:30:00,   55.77,   61.77,   48.61,   58.55,   64.12,   52.54
06/05/2013 01:35:00,   54.97,   61.29,   49.13,   57.93,   63.42,   53.14
06/05/2013 01:40:00,   59.65,   63.16,   49.15,   61.05,   65.25,   53.03
06/05/2013 01:45:00,   77.87,   78.72,   76.58,   76.38,   77.23,   75.10
06/05/2013 01:50:00,   77.86,   78.88,   76.31,   76.39,   77.39,   74.80
06/05/2013 01:55:00,   77.69,   78.60,   76.33,   76.20,   77.09,   74.82
06/05/2013 02:00:00,   76.35,   78.46,   50.47,   74.92,   76.97,   54.19
06/05/2013 02:05:00,   55.17,   61.99,   48.07,   58.43,   63.52,   51.87
06/05/2013 02:10:00,   61.86,   67.25,   50.62,   63.08,   67.80,   54.10
06/05/2013 02:15:00,   56.02,   61.77,   48.71,   58.42,   63.65,   52.54
06/05/2013 02:20:00,   55.68,   62.19,   48.44,   58.20,   64.06,   52.47
06/05/2013 02:25:00,   54.51,   60.92,   48.18,   57.79,   63.66,   52.35
06/05/2013 02:30:00,   52.99,   57.59,   47.71,   56.06,   60.08,   51.84
06/05/2013 02:35:00,   53.33,   58.81,   47.74,   56.34,   61.38,   51.90
06/05/2013 02:40:00,   54.30,   61.36,   47.92,   57.41,   63.73,   52.26
06/05/2013 02:45:00,   55.45,   62.36,   48.62,   58.02,   63.83,   52.44
06/05/2013 02:50:00,   53.64,   60.36,   48.21,   56.82,   62.66,   52.22
06/05/2013 02:55:00,   55.68,   61.39,   49.09,   58.85,   64.04,   53.18
06/05/2013 03:00:00,   56.11,   62.67,   49.04,   58.81,   64.68,   53.13
