# noise_analysis run from DCC-NOISE-001011 at Tue May  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/05/2013 00:05:00,   57.75,   63.94,   49.01,   61.06,   66.23,   53.38
07/05/2013 00:10:00,   54.98,   61.92,   48.10,   58.06,   64.26,   52.65
07/05/2013 00:15:00,   53.29,   58.72,   48.15,   56.52,   61.07,   52.47
07/05/2013 00:20:00,   53.26,   59.56,   47.87,   56.25,   61.42,   52.05
07/05/2013 00:25:00,   54.08,   59.77,   48.05,   57.23,   62.89,   52.37
07/05/2013 00:30:00,   54.34,   59.83,   47.87,   57.07,   61.69,   52.09
07/05/2013 00:35:00,   52.00,   56.35,   48.33,   55.25,   58.86,   52.33
07/05/2013 00:40:00,   52.85,   58.60,   48.04,   55.95,   60.73,   52.26
07/05/2013 00:45:00,   54.13,   60.74,   47.88,   57.37,   62.76,   52.09
07/05/2013 00:50:00,   53.60,   60.91,   48.01,   56.61,   62.81,   52.31
07/05/2013 00:55:00,   65.89,   77.25,   49.21,   69.93,   81.39,   53.20
07/05/2013 01:00:00,   53.76,   60.46,   48.51,   57.35,   63.11,   52.56
07/05/2013 01:05:00,   51.72,   56.32,   47.69,   55.54,   59.16,   51.96
07/05/2013 01:10:00,   51.05,   55.80,   47.27,   54.77,   58.76,   51.68
07/05/2013 01:15:00,   51.92,   56.78,   47.50,   55.81,   60.40,   51.72
07/05/2013 01:20:00,   53.15,   59.15,   47.25,   56.27,   61.86,   51.56
07/05/2013 01:25:00,   62.84,   69.29,   47.88,   66.62,   72.28,   52.32
07/05/2013 01:30:00,   54.48,   58.33,   47.72,   59.27,   62.71,   52.15
07/05/2013 01:35:00,   52.30,   56.93,   48.06,   56.59,   60.26,   52.67
07/05/2013 01:40:00,   54.14,   60.42,   47.72,   58.22,   63.81,   52.04
07/05/2013 01:45:00,   51.95,   56.69,   47.65,   56.04,   60.83,   52.17
07/05/2013 01:50:00,   52.89,   57.16,   47.80,   56.55,   60.83,   52.14
07/05/2013 01:55:00,   53.57,   61.40,   47.32,   57.13,   64.04,   51.70
07/05/2013 02:00:00,   51.40,   56.08,   47.56,   55.19,   59.42,   51.85
07/05/2013 02:05:00,   53.61,   59.27,   47.84,   56.56,   61.23,   52.07
07/05/2013 02:10:00,   49.88,   52.70,   47.30,   53.87,   57.11,   51.65
07/05/2013 02:15:00,   50.93,   55.94,   47.35,   54.44,   58.93,   51.70
07/05/2013 02:20:00,   50.24,   53.73,   47.46,   54.10,   57.11,   51.78
07/05/2013 02:25:00,   50.99,   56.26,   47.27,   54.36,   58.80,   51.60
07/05/2013 02:30:00,   50.99,   56.56,   47.30,   54.55,   59.13,   51.64
07/05/2013 02:35:00,   50.12,   53.37,   47.42,   54.07,   56.57,   52.02
07/05/2013 02:40:00,   49.18,   49.54,   47.19,   53.06,   53.45,   51.48
07/05/2013 02:45:00,   51.89,   56.13,   47.44,   54.92,   59.09,   51.71
07/05/2013 02:50:00,   50.48,   53.97,   47.21,   54.38,   58.23,   51.50
07/05/2013 02:55:00,   50.79,   54.75,   47.29,   54.47,   58.31,   51.67
07/05/2013 03:00:00,   51.39,   57.39,   47.02,   54.63,   59.87,   51.30
07/05/2013 03:05:00,   52.45,   58.84,   47.58,   55.89,   60.50,   51.89
07/05/2013 03:10:00,   67.59,   77.90,   48.42,   71.97,   81.95,   52.71
07/05/2013 03:15:00,   51.88,   56.63,   47.83,   55.64,   59.38,   52.01
07/05/2013 03:20:00,   52.92,   58.52,   47.49,   57.00,   62.52,   51.76
07/05/2013 03:25:00,   50.83,   57.01,   46.69,   54.44,   59.35,   50.98
07/05/2013 03:30:00,   51.98,   57.69,   46.79,   55.59,   60.40,   50.94
07/05/2013 03:35:00,   51.09,   54.57,   46.62,   54.52,   57.63,   50.85
07/05/2013 03:40:00,   48.44,   50.68,   46.66,   52.51,   53.98,   50.95
07/05/2013 03:45:00,   49.68,   52.10,   46.94,   53.39,   55.75,   51.23
07/05/2013 03:50:00,   54.01,   61.05,   47.14,   57.16,   63.45,   51.47
07/05/2013 03:55:00,   56.70,   62.38,   47.51,   59.63,   65.01,   51.63
07/05/2013 04:00:00,   51.24,   56.83,   46.67,   54.62,   59.20,   51.09
07/05/2013 04:05:00,   54.20,   61.48,   47.35,   57.02,   63.56,   51.48
07/05/2013 04:10:00,   53.61,   58.91,   47.44,   56.52,   61.57,   52.00
07/05/2013 04:15:00,   53.53,   59.83,   47.46,   57.18,   62.68,   52.05
07/05/2013 04:20:00,   52.98,   58.00,   47.19,   56.53,   60.37,   51.97
07/05/2013 04:25:00,   54.58,   60.31,   47.51,   57.58,   62.55,   52.08
07/05/2013 04:30:00,   53.03,   58.80,   46.97,   56.58,   62.11,   51.43
07/05/2013 04:35:00,   54.09,   61.10,   47.06,   58.45,   64.29,   51.86
07/05/2013 04:40:00,   54.90,   60.03,   47.51,   59.11,   63.59,   51.98
07/05/2013 04:45:00,   55.15,   62.18,   47.81,   58.42,   64.62,   52.04
07/05/2013 04:50:00,   54.15,   59.18,   48.22,   58.78,   62.84,   54.46
07/05/2013 04:55:00,   57.48,   63.03,   49.05,   62.56,   66.06,   54.76
