# noise_analysis run from DCC-NOISE-001011 at Wed May  8 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/05/2013 00:05:00,   56.21,   62.38,   49.14,   59.24,   64.48,   53.92
08/05/2013 00:10:00,   57.93,   63.31,   48.55,   61.26,   65.16,   53.40
08/05/2013 00:15:00,   54.34,   60.23,   48.59,   57.69,   62.30,   53.07
08/05/2013 00:20:00,   57.75,   64.25,   48.78,   61.91,   67.42,   53.61
08/05/2013 00:25:00,   55.90,   61.78,   47.97,   60.23,   64.45,   52.95
08/05/2013 00:30:00,   55.35,   61.57,   47.81,   59.05,   63.80,   52.53
08/05/2013 00:35:00,   54.29,   61.07,   47.67,   58.36,   63.82,   52.34
08/05/2013 00:40:00,   56.87,   64.65,   48.36,   60.72,   66.96,   52.78
08/05/2013 00:45:00,   56.12,   63.73,   47.75,   59.26,   66.10,   52.14
08/05/2013 00:50:00,   58.25,   63.84,   49.71,   61.40,   66.05,   53.70
08/05/2013 00:55:00,   54.57,   58.58,   48.61,   57.64,   62.11,   53.03
08/05/2013 01:00:00,   53.68,   60.78,   47.61,   56.76,   63.00,   52.09
08/05/2013 01:05:00,   55.12,   61.52,   48.06,   59.68,   65.43,   52.42
08/05/2013 01:10:00,   54.40,   60.11,   47.85,   57.04,   62.08,   52.24
08/05/2013 01:15:00,   49.38,   51.17,   47.63,   53.50,   54.90,   52.13
08/05/2013 01:20:00,   54.66,   61.27,   48.16,   57.53,   63.15,   52.39
08/05/2013 01:25:00,   51.69,   53.80,   48.71,   55.42,   57.30,   53.05
08/05/2013 01:30:00,   56.50,   63.82,   49.99,   60.89,   65.84,   55.00
08/05/2013 01:35:00,   55.55,   59.83,   49.96,   60.75,   63.90,   54.32
08/05/2013 01:40:00,   52.03,   53.88,   49.62,   56.85,   60.28,   54.33
08/05/2013 01:45:00,   54.47,   59.09,   50.18,   58.31,   61.94,   54.57
08/05/2013 01:50:00,   56.78,   63.38,   50.21,   59.97,   65.11,   54.48
08/05/2013 01:55:00,   56.37,   62.16,   50.73,   60.37,   64.28,   55.17
08/05/2013 02:00:00,   54.96,   59.95,   50.30,   57.93,   61.68,   54.23
08/05/2013 02:05:00,   54.15,   58.85,   48.95,   56.97,   61.57,   53.18
08/05/2013 02:10:00,   53.08,   56.72,   48.21,   55.84,   58.86,   52.43
08/05/2013 02:15:00,   52.84,   56.31,   48.46,   55.71,   58.64,   52.60
08/05/2013 02:20:00,   51.39,   52.88,   48.60,   55.14,   56.38,   53.18
08/05/2013 02:25:00,   52.54,   56.23,   48.92,   56.31,   60.18,   53.79
08/05/2013 02:30:00,   52.11,   53.28,   48.65,   55.88,   57.43,   53.26
08/05/2013 02:35:00,   53.86,   61.59,   48.30,   56.59,   62.71,   52.66
08/05/2013 02:40:00,   56.33,   65.18,   48.53,   59.13,   66.57,   52.63
08/05/2013 02:45:00,   51.46,   54.23,   48.56,   54.83,   56.66,   52.63
08/05/2013 02:50:00,   53.52,   55.41,   50.29,   59.51,   62.24,   54.36
08/05/2013 02:55:00,   56.55,   61.47,   51.14,   60.61,   64.20,   54.86
08/05/2013 03:00:00,   56.96,   63.98,   51.38,   60.21,   65.86,   54.89
08/05/2013 03:05:00,   55.14,   57.50,   51.48,   58.29,   61.68,   54.50
08/05/2013 03:10:00,   56.19,   63.00,   50.59,   58.39,   63.36,   53.77
08/05/2013 03:15:00,   57.17,   63.40,   51.21,   59.58,   65.14,   54.45
08/05/2013 03:20:00,   53.44,   55.11,   51.08,   56.73,   58.29,   54.48
08/05/2013 03:25:00,   56.36,   61.49,   52.30,   58.58,   62.74,   55.24
08/05/2013 03:30:00,   57.44,   63.84,   50.96,   60.06,   65.07,   54.49
08/05/2013 03:35:00,   58.72,   65.13,   51.98,   63.19,   68.23,   56.06
08/05/2013 03:40:00,   58.77,   64.26,   53.82,   60.85,   65.52,   56.48
08/05/2013 03:45:00,   59.59,   66.08,   53.94,   61.57,   67.16,   56.42
08/05/2013 03:50:00,   58.58,   65.08,   52.26,   60.28,   65.44,   55.14
08/05/2013 03:55:00,   58.55,   64.91,   51.54,   60.63,   66.19,   54.46
08/05/2013 04:00:00,   60.27,   67.81,   52.25,   63.07,   69.19,   55.81
08/05/2013 04:05:00,   58.42,   64.69,   51.58,   60.94,   66.54,   55.21
08/05/2013 04:10:00,   60.42,   66.81,   50.99,   62.89,   68.13,   55.12
