# noise_analysis run from DCC-NOISE-001011 at Sat May 11 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/05/2013 00:05:00,   56.35,   61.31,   51.63,   59.37,   63.37,   55.22
11/05/2013 00:10:00,   59.43,   65.74,   51.95,   62.66,   68.45,   55.53
11/05/2013 00:15:00,   58.67,   63.50,   52.10,   61.99,   66.28,   55.62
11/05/2013 00:20:00,   58.90,   63.96,   50.73,   62.12,   67.21,   54.57
11/05/2013 00:25:00,   59.81,   64.33,   52.21,   63.17,   66.97,   55.64
11/05/2013 00:30:00,   58.70,   64.45,   51.00,   61.76,   67.08,   54.61
11/05/2013 00:35:00,   57.20,   63.18,   51.39,   59.83,   66.02,   54.84
11/05/2013 00:40:00,   58.89,   64.18,   51.91,   61.91,   66.35,   55.55
11/05/2013 00:45:00,   59.26,   64.15,   52.61,   62.33,   66.88,   55.84
11/05/2013 00:50:00,   57.76,   63.93,   51.46,   60.50,   65.83,   55.33
11/05/2013 00:55:00,   58.95,   64.90,   51.11,   61.94,   66.98,   54.71
11/05/2013 01:00:00,   57.73,   64.08,   50.56,   61.07,   67.08,   54.21
11/05/2013 01:05:00,   57.55,   62.94,   51.54,   60.69,   65.62,   55.52
11/05/2013 01:10:00,   56.90,   63.61,   50.65,   59.95,   65.60,   54.35
11/05/2013 01:15:00,   58.89,   64.85,   51.73,   61.86,   67.10,   55.20
11/05/2013 01:20:00,   57.05,   62.66,   51.37,   59.75,   64.21,   54.97
11/05/2013 01:25:00,   55.41,   58.84,   50.91,   58.39,   61.35,   54.33
11/05/2013 01:30:00,   58.12,   64.66,   51.52,   61.72,   67.61,   55.23
11/05/2013 01:35:00,   57.25,   62.22,   50.54,   59.87,   64.27,   54.24
11/05/2013 01:40:00,   57.71,   63.17,   50.54,   59.73,   64.83,   54.22
11/05/2013 01:45:00,   58.81,   64.87,   50.89,   61.31,   66.39,   54.52
11/05/2013 01:50:00,   55.84,   61.50,   50.73,   58.62,   63.68,   54.32
11/05/2013 01:55:00,   57.21,   62.38,   51.75,   60.19,   65.10,   55.12
