# noise_analysis run from DCC-NOISE-001011 at Mon May 13 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/05/2013 00:05:00,   56.34,   62.02,   51.19,   59.93,   64.89,   54.85
13/05/2013 00:10:00,   57.41,   63.81,   50.76,   60.61,   66.21,   54.28
13/05/2013 00:15:00,   55.97,   60.71,   50.96,   59.22,   63.43,   54.36
13/05/2013 00:20:00,   55.60,   61.50,   50.55,   58.72,   63.67,   54.15
13/05/2013 00:25:00,   56.10,   61.65,   50.51,   59.36,   64.99,   53.96
13/05/2013 00:30:00,   56.38,   62.09,   49.87,   60.12,   64.96,   54.05
13/05/2013 00:35:00,   55.27,   60.21,   49.60,   58.83,   63.43,   53.45
13/05/2013 00:40:00,   56.03,   61.69,   49.97,   59.38,   64.07,   53.80
13/05/2013 00:45:00,   56.75,   62.50,   50.23,   60.10,   64.79,   53.76
13/05/2013 00:50:00,   56.68,   62.30,   49.98,   60.04,   64.46,   53.43
13/05/2013 00:55:00,   56.87,   62.17,   50.46,   59.67,   64.35,   54.41
13/05/2013 01:00:00,   55.72,   62.24,   50.08,   59.15,   65.05,   53.59
13/05/2013 01:05:00,   55.96,   61.70,   49.83,   59.21,   64.41,   53.60
13/05/2013 01:10:00,   61.93,   72.00,   49.97,   65.57,   76.39,   53.79
13/05/2013 01:15:00,   59.00,   63.85,   49.89,   63.08,   67.16,   53.83
13/05/2013 01:20:00,   54.46,   59.40,   49.75,   57.51,   61.83,   53.59
13/05/2013 01:25:00,   54.34,   59.35,   49.87,   57.81,   61.84,   53.50
13/05/2013 01:30:00,   55.93,   62.15,   50.12,   59.16,   64.64,   54.22
13/05/2013 01:35:00,   51.90,   54.77,   48.88,   55.96,   59.66,   52.68
13/05/2013 01:40:00,   54.68,   60.10,   49.89,   58.36,   62.84,   53.53
13/05/2013 01:45:00,   55.48,   61.81,   49.77,   59.44,   64.63,   53.59
13/05/2013 01:50:00,   54.88,   61.03,   49.36,   60.16,   66.00,   53.42
13/05/2013 01:55:00,   53.57,   59.81,   49.17,   58.13,   63.87,   52.87
13/05/2013 02:00:00,   55.32,   62.12,   48.95,   58.31,   63.94,   52.97
13/05/2013 02:05:00,   52.87,   57.03,   49.00,   57.96,   61.71,   53.18
13/05/2013 02:10:00,   51.03,   53.22,   48.78,   55.18,   57.78,   52.71
13/05/2013 02:15:00,   53.71,   57.81,   49.52,   58.28,   63.34,   53.38
13/05/2013 02:20:00,   54.26,   61.25,   49.04,   59.07,   63.73,   53.00
13/05/2013 02:25:00,   54.76,   60.94,   49.52,   58.71,   63.67,   53.63
