# noise_analysis run from DCC-NOISE-001011 at Tue May 14 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/05/2013 00:05:00,   54.29,   58.58,   50.11,   57.98,   62.18,   54.04
14/05/2013 00:10:00,   58.56,   64.85,   51.25,   61.77,   66.81,   55.28
14/05/2013 00:15:00,   56.14,   61.27,   50.81,   59.91,   65.51,   54.51
14/05/2013 00:20:00,   58.43,   64.41,   50.82,   61.63,   66.20,   54.70
14/05/2013 00:25:00,   58.57,   63.27,   50.74,   62.27,   65.78,   54.59
14/05/2013 00:30:00,   58.31,   65.79,   50.45,   61.66,   67.58,   54.43
14/05/2013 00:35:00,   57.52,   65.40,   50.22,   61.89,   68.00,   54.01
14/05/2013 00:40:00,   57.33,   64.53,   50.02,   61.19,   67.89,   53.78
14/05/2013 00:45:00,   56.85,   63.50,   49.64,   60.16,   65.51,   53.64
14/05/2013 00:50:00,   57.25,   63.05,   49.96,   61.11,   66.22,   54.00
14/05/2013 00:55:00,   54.29,   59.22,   50.20,   57.80,   62.41,   53.91
14/05/2013 01:00:00,   52.68,   54.81,   49.78,   56.39,   59.34,   53.67
14/05/2013 01:05:00,   56.58,   62.78,   50.81,   60.41,   65.88,   54.40
14/05/2013 01:10:00,   53.29,   57.16,   49.84,   56.99,   60.81,   53.60
14/05/2013 01:15:00,   60.76,   70.03,   49.54,   65.93,   76.43,   53.23
14/05/2013 01:20:00,   54.18,   58.00,   49.80,   58.07,   62.70,   53.48
14/05/2013 01:25:00,   55.24,   61.28,   49.48,   58.19,   62.96,   53.28
14/05/2013 01:30:00,   56.60,   63.28,   49.97,   58.96,   65.17,   53.80
14/05/2013 01:35:00,   53.37,   58.57,   49.15,   56.69,   61.28,   52.87
14/05/2013 01:40:00,   51.64,   53.81,   49.03,   55.56,   58.59,   52.87
14/05/2013 01:45:00,   53.36,   58.14,   49.62,   56.65,   60.53,   53.28
14/05/2013 01:50:00,   53.16,   58.09,   49.57,   57.04,   61.62,   53.30
14/05/2013 01:55:00,   53.65,   59.13,   49.10,   56.64,   61.53,   52.83
14/05/2013 02:00:00,   52.12,   54.24,   49.26,   57.46,   62.41,   53.12
14/05/2013 02:05:00,   51.21,   53.51,   49.24,   56.33,   59.72,   53.02
14/05/2013 02:10:00,   51.93,   54.49,   49.47,   56.21,   59.45,   53.32
14/05/2013 02:15:00,   54.33,   61.47,   49.26,   58.34,   64.40,   53.17
14/05/2013 02:20:00,   52.99,   59.40,   48.81,   56.42,   61.74,   52.58
14/05/2013 02:25:00,   52.65,   57.30,   49.24,   56.69,   61.45,   53.07
14/05/2013 02:30:00,   52.70,   57.63,   48.61,   56.04,   60.00,   52.66
14/05/2013 02:35:00,   51.98,   56.19,   48.86,   56.40,   61.28,   52.69
14/05/2013 02:40:00,   51.44,   53.09,   48.79,   55.24,   57.39,   52.74
14/05/2013 02:45:00,   54.17,   60.87,   48.66,   58.00,   63.86,   52.95
14/05/2013 02:50:00,   52.72,   56.61,   49.34,   57.47,   61.28,   53.40
14/05/2013 02:55:00,   54.22,   59.46,   49.19,   57.89,   62.71,   52.98
14/05/2013 03:00:00,   53.66,   58.75,   49.05,   57.24,   62.11,   52.99
14/05/2013 03:05:00,   52.20,   56.07,   48.96,   55.86,   59.55,   53.02
14/05/2013 03:10:00,   53.55,   60.02,   49.13,   56.50,   62.08,   52.84
14/05/2013 03:15:00,   53.02,   56.73,   49.19,   56.19,   60.20,   53.00
14/05/2013 03:20:00,   50.25,   50.98,   48.81,   54.57,   56.41,   52.73
14/05/2013 03:25:00,   57.78,   65.00,   49.09,   61.39,   67.52,   53.25
14/05/2013 03:30:00,   51.70,   54.58,   49.14,   55.97,   58.93,   53.07
14/05/2013 03:35:00,   52.60,   56.59,   49.10,   56.34,   61.03,   52.80
14/05/2013 03:40:00,   54.62,   60.64,   49.84,   58.63,   64.02,   53.83
14/05/2013 03:45:00,   55.08,   61.97,   49.66,   59.40,   64.72,   53.76
14/05/2013 03:50:00,   55.41,   61.34,   49.25,   59.37,   64.28,   52.96
14/05/2013 03:55:00,   53.93,   60.13,   49.38,   57.43,   62.13,   53.33
14/05/2013 04:00:00,   54.51,   59.51,   49.19,   58.15,   62.72,   53.35
14/05/2013 04:05:00,   56.68,   64.60,   49.43,   60.68,   66.79,   53.36
14/05/2013 04:10:00,   56.62,   63.94,   49.74,   60.04,   66.90,   53.80
14/05/2013 04:15:00,   52.55,   56.60,   48.97,   56.84,   60.91,   53.29
14/05/2013 04:20:00,   55.05,   60.90,   49.46,   58.28,   63.03,   53.55
14/05/2013 04:25:00,   53.46,   57.99,   49.47,   57.28,   61.54,   53.40
14/05/2013 04:30:00,   56.22,   62.75,   49.23,   59.59,   65.38,   53.71
14/05/2013 04:35:00,   56.41,   63.99,   49.94,   60.04,   65.57,   54.02
14/05/2013 04:40:00,   54.48,   59.46,   49.74,   57.62,   62.01,   53.43
14/05/2013 04:45:00,   54.34,   58.81,   49.57,   57.32,   61.51,   53.29
14/05/2013 04:50:00,   55.04,   60.67,   50.01,   59.13,   63.88,   54.02
14/05/2013 04:55:00,   58.80,   65.41,   50.67,   62.60,   68.00,   54.49
14/05/2013 05:00:00,   58.14,   64.77,   50.11,   61.30,   66.81,   54.11
14/05/2013 05:05:00,   56.39,   62.47,   50.19,   59.38,   64.22,   54.40
14/05/2013 05:10:00,   58.39,   64.16,   50.95,   62.76,   67.75,   55.63
14/05/2013 05:15:00,   57.50,   63.87,   50.31,   60.82,   66.63,   54.86
14/05/2013 05:20:00,   57.58,   63.41,   51.24,   61.48,   66.00,   55.77
14/05/2013 05:25:00,   55.58,   60.60,   50.76,   59.64,   63.50,   55.69
14/05/2013 05:30:00,   60.33,   67.33,   50.66,   63.74,   69.71,   54.86
14/05/2013 05:35:00,   59.34,   64.69,   52.21,   63.68,   68.46,   56.91
14/05/2013 05:40:00,   59.04,   65.03,   52.40,   62.69,   68.29,   56.73
14/05/2013 05:45:00,   59.73,   65.45,   53.03,   64.52,   69.54,   57.58
14/05/2013 05:50:00,   58.14,   62.70,   52.18,   61.58,   65.95,   56.23
14/05/2013 05:55:00,   61.29,   66.29,   55.33,   64.26,   68.81,   58.22
14/05/2013 06:00:00,   57.47,   60.60,   54.56,   60.09,   63.13,   57.09
14/05/2013 06:05:00,   62.17,   67.45,   55.37,   65.60,   70.27,   58.40
14/05/2013 06:10:00,   59.95,   66.07,   55.75,   62.83,   68.26,   57.96
14/05/2013 06:15:00,   58.65,   63.65,   55.22,   61.40,   65.99,   57.51
14/05/2013 06:20:00,   59.59,   63.68,   55.41,   62.53,   66.14,   58.17
14/05/2013 06:25:00,   63.02,   68.23,   56.28,   66.06,   70.72,   59.09
14/05/2013 06:30:00,   60.36,   65.84,   55.70,   63.47,   68.92,   58.34
14/05/2013 06:35:00,   59.80,   63.31,   56.11,   63.12,   67.08,   58.84
14/05/2013 06:40:00,   61.49,   67.41,   56.12,   64.25,   69.57,   58.67
14/05/2013 06:45:00,   61.62,   66.19,   56.71,   65.38,   69.06,   59.85
14/05/2013 06:50:00,   61.26,   66.77,   56.75,   64.59,   68.95,   59.78
14/05/2013 06:55:00,   62.35,   66.76,   56.86,   65.43,   69.57,   60.07
14/05/2013 07:00:00,   63.63,   68.62,   57.04,   67.36,   72.30,   60.82
14/05/2013 07:05:00,   60.90,   66.96,   56.29,   64.16,   69.11,   60.02
14/05/2013 07:10:00,   62.60,   67.56,   56.59,   66.04,   70.40,   60.26
14/05/2013 07:15:00,   63.72,   68.20,   56.37,   67.00,   71.06,   60.10
14/05/2013 07:20:00,   63.39,   68.19,   56.44,   66.99,   72.33,   59.72
14/05/2013 07:25:00,   63.82,   67.62,   56.33,   67.07,   71.08,   59.53
14/05/2013 07:30:00,   63.27,   68.08,   56.29,   66.78,   71.30,   59.40
14/05/2013 07:35:00,   63.79,   68.03,   56.36,   67.04,   71.74,   59.23
14/05/2013 07:40:00,   65.32,   70.19,   56.46,   68.17,   72.21,   59.92
14/05/2013 07:45:00,   67.34,   70.84,   58.04,   69.65,   72.96,   61.63
14/05/2013 07:50:00,   66.01,   70.33,   57.48,   69.00,   72.99,   61.41
14/05/2013 07:55:00,   62.58,   66.63,   56.59,   65.73,   68.90,   60.38
14/05/2013 08:00:00,   62.71,   67.64,   56.12,   65.68,   69.98,   59.33
14/05/2013 08:05:00,   64.04,   69.72,   56.73,   67.21,   72.23,   60.27
14/05/2013 08:10:00,   63.83,   67.57,   56.74,   67.43,   72.30,   60.61
14/05/2013 08:15:00,   62.34,   66.32,   56.01,   65.75,   69.88,   59.17
14/05/2013 08:20:00,   61.06,   65.70,   55.73,   64.50,   69.10,   58.62
14/05/2013 08:25:00,   63.87,   67.99,   56.64,   67.58,   72.05,   60.22
14/05/2013 08:30:00,   64.39,   67.94,   56.18,   67.83,   72.32,   59.71
14/05/2013 08:35:00,   63.07,   67.24,   56.57,   66.22,   69.77,   60.10
14/05/2013 08:40:00,   64.09,   67.97,   55.57,   66.83,   71.49,   58.66
14/05/2013 08:45:00,   64.76,   68.94,   57.07,   67.94,   72.40,   61.04
14/05/2013 08:50:00,   63.58,   68.72,   56.62,   67.11,   71.92,   60.03
14/05/2013 08:55:00,   64.26,   69.14,   57.46,   67.83,   73.29,   60.76
14/05/2013 09:00:00,   62.35,   66.28,   56.21,   65.42,   68.57,   59.55
14/05/2013 09:05:00,   64.68,   69.85,   57.17,   67.85,   72.18,   59.93
14/05/2013 09:10:00,   63.63,   68.30,   56.57,   67.13,   71.62,   60.43
14/05/2013 09:15:00,   64.82,   69.51,   57.78,   68.45,   72.77,   61.39
14/05/2013 09:20:00,   62.95,   66.90,   57.32,   66.85,   70.65,   61.37
14/05/2013 09:25:00,   65.47,   70.38,   57.93,   69.20,   73.57,   61.85
14/05/2013 09:30:00,   64.15,   67.91,   57.54,   67.76,   71.03,   60.93
14/05/2013 09:35:00,   63.88,   67.86,   57.44,   67.34,   71.18,   60.70
14/05/2013 09:40:00,   63.24,   67.32,   57.45,   66.86,   70.32,   60.98
14/05/2013 09:45:00,   63.53,   67.87,   57.99,   67.40,   71.94,   61.56
14/05/2013 09:50:00,   62.51,   65.92,   57.07,   65.95,   69.81,   60.18
14/05/2013 09:55:00,   63.52,   68.17,   56.88,   66.84,   72.11,   60.25
14/05/2013 10:00:00,   62.28,   66.86,   57.01,   66.14,   70.24,   60.65
14/05/2013 10:05:00,   63.43,   67.55,   57.70,   67.10,   71.07,   61.63
14/05/2013 10:10:00,   64.40,   69.00,   57.82,   68.23,   72.37,   62.12
14/05/2013 10:15:00,   63.41,   67.73,   57.95,   66.76,   70.31,   61.15
14/05/2013 10:20:00,   64.11,   68.38,   58.29,   68.03,   73.39,   61.56
14/05/2013 10:25:00,   63.53,   67.26,   57.76,   68.06,   71.75,   61.21
14/05/2013 10:30:00,   62.76,   66.68,   57.77,   66.45,   70.00,   62.24
14/05/2013 10:35:00,   63.46,   68.14,   57.44,   67.13,   71.88,   60.84
14/05/2013 10:40:00,   61.80,   64.59,   56.78,   64.89,   67.62,   59.57
14/05/2013 10:45:00,   63.82,   68.13,   57.38,   67.69,   72.75,   60.73
14/05/2013 10:50:00,   63.30,   67.36,   56.87,   67.18,   71.72,   59.86
14/05/2013 10:55:00,   63.24,   67.58,   57.72,   66.73,   70.72,   61.33
14/05/2013 11:00:00,   63.72,   69.09,   56.62,   67.63,   72.95,   59.85
14/05/2013 11:05:00,   61.81,   65.51,   56.46,   66.34,   71.90,   59.83
14/05/2013 11:10:00,   61.77,   66.31,   56.19,   65.26,   68.98,   59.53
14/05/2013 11:15:00,   62.61,   66.39,   56.85,   66.10,   70.00,   60.02
14/05/2013 11:20:00,   62.88,   66.09,   57.10,   66.08,   69.54,   60.27
14/05/2013 11:25:00,   62.05,   66.15,   56.51,   66.17,   70.12,   60.15
14/05/2013 11:30:00,   62.82,   67.56,   56.53,   66.37,   71.21,   59.60
14/05/2013 11:35:00,   62.85,   66.87,   55.89,   66.33,   70.46,   59.13
14/05/2013 11:40:00,   63.06,   69.27,   55.29,   67.47,   74.00,   58.13
14/05/2013 11:45:00,   61.82,   65.53,   55.10,   65.27,   69.86,   58.43
14/05/2013 11:50:00,   62.60,   67.08,   55.45,   66.15,   70.13,   58.56
14/05/2013 11:55:00,   62.71,   67.27,   55.63,   66.07,   70.35,   59.15
14/05/2013 12:00:00,   63.45,   67.17,   56.35,   67.21,   72.05,   60.03
14/05/2013 12:05:00,   62.25,   65.63,   56.29,   65.54,   69.44,   59.39
14/05/2013 12:10:00,   61.74,   64.87,   55.94,   65.81,   69.43,   59.59
14/05/2013 12:15:00,   62.16,   67.02,   55.58,   65.95,   71.35,   58.44
14/05/2013 12:20:00,   62.45,   66.26,   55.29,   66.21,   70.71,   59.09
14/05/2013 12:25:00,   61.56,   65.10,   55.40,   65.17,   69.01,   57.97
14/05/2013 12:30:00,   62.15,   67.01,   55.95,   65.40,   69.68,   58.80
14/05/2013 12:35:00,   62.17,   65.79,   55.42,   65.88,   70.32,   58.16
14/05/2013 12:40:00,   61.30,   66.72,   55.07,   64.79,   70.34,   58.09
14/05/2013 12:45:00,   62.83,   67.60,   55.73,   66.33,   71.45,   59.10
14/05/2013 12:50:00,   61.09,   64.97,   55.85,   64.93,   68.79,   58.74
14/05/2013 12:55:00,   63.47,   68.24,   57.76,   66.95,   71.95,   61.00
14/05/2013 13:00:00,   61.51,   66.75,   55.40,   65.05,   69.87,   58.29
14/05/2013 13:05:00,   61.90,   65.45,   55.23,   65.55,   69.39,   58.87
14/05/2013 13:10:00,   62.73,   68.08,   55.83,   66.51,   71.65,   58.72
