# noise_analysis run from DCC-NOISE-001011 at Thu May 16 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/05/2013 00:05:00,   59.07,   63.97,   54.84,   64.35,   66.92,   61.20
16/05/2013 00:10:00,   59.10,   63.95,   53.11,   64.43,   67.52,   61.16
16/05/2013 00:15:00,   59.37,   66.31,   52.66,   64.10,   69.35,   58.86
16/05/2013 00:20:00,   58.27,   64.96,   51.10,   63.46,   68.20,   55.69
16/05/2013 00:25:00,   58.48,   61.65,   51.82,   63.37,   66.01,   57.96
16/05/2013 00:30:00,   57.86,   64.24,   50.63,   62.34,   67.22,   54.44
16/05/2013 00:35:00,   55.23,   60.63,   48.95,   58.26,   63.32,   52.70
16/05/2013 00:40:00,   57.54,   64.86,   48.87,   60.79,   67.32,   52.84
16/05/2013 00:45:00,   55.42,   61.12,   49.04,   58.88,   64.44,   52.88
16/05/2013 00:50:00,   57.23,   63.97,   48.85,   60.67,   66.60,   52.65
16/05/2013 00:55:00,   53.11,   58.23,   48.70,   56.37,   60.70,   52.55
16/05/2013 01:00:00,   54.70,   61.43,   48.37,   57.52,   63.53,   52.27
16/05/2013 01:05:00,   55.84,   61.44,   48.34,   59.45,   65.25,   52.18
16/05/2013 01:10:00,   55.39,   61.80,   47.96,   57.85,   63.48,   51.87
16/05/2013 01:15:00,   53.47,   60.48,   47.83,   56.39,   62.34,   51.84
16/05/2013 01:20:00,   54.07,   61.07,   48.26,   57.14,   63.58,   52.19
16/05/2013 01:25:00,   53.84,   59.72,   48.70,   57.37,   62.69,   52.56
16/05/2013 01:30:00,   53.10,   57.56,   48.23,   56.84,   61.94,   52.20
16/05/2013 01:35:00,   52.15,   56.43,   48.24,   55.50,   59.40,   52.16
16/05/2013 01:40:00,   54.12,   60.79,   48.42,   57.01,   62.69,   52.27
16/05/2013 01:45:00,   52.50,   55.75,   48.18,   55.86,   59.45,   51.99
16/05/2013 01:50:00,   54.13,   61.16,   47.98,   56.82,   62.90,   51.90
16/05/2013 01:55:00,   51.66,   57.97,   47.78,   55.06,   60.33,   51.55
16/05/2013 02:00:00,   53.77,   60.31,   47.72,   56.86,   62.54,   51.70
16/05/2013 02:05:00,   52.74,   58.30,   47.90,   55.95,   61.15,   51.77
16/05/2013 02:10:00,   53.37,   58.07,   48.01,   57.37,   62.19,   52.52
16/05/2013 02:15:00,   52.31,   56.10,   48.17,   55.79,   59.14,   53.01
16/05/2013 02:20:00,   53.04,   58.39,   47.76,   56.02,   61.38,   52.09
16/05/2013 02:25:00,   50.06,   51.77,   47.87,   53.26,   54.09,   51.94
16/05/2013 02:30:00,   53.30,   58.42,   48.23,   56.59,   60.86,   52.60
16/05/2013 02:35:00,   54.01,   60.09,   48.58,   57.11,   62.71,   52.92
16/05/2013 02:40:00,   50.29,   52.20,   48.12,   54.05,   55.75,   52.47
16/05/2013 02:45:00,   50.31,   53.94,   47.50,   54.07,   56.80,   51.92
16/05/2013 02:50:00,   52.55,   59.25,   47.71,   55.96,   61.14,   52.22
16/05/2013 02:55:00,   51.60,   55.55,   47.71,   55.31,   58.96,   51.90
16/05/2013 03:00:00,   53.52,   60.61,   47.85,   57.30,   63.09,   52.64
16/05/2013 03:05:00,   56.47,   63.79,   48.63,   62.30,   67.31,   53.65
16/05/2013 03:10:00,   69.88,   71.56,   66.86,   78.07,   80.49,   74.32
16/05/2013 03:15:00,   66.75,   68.27,   62.17,   73.40,   74.47,   70.54
16/05/2013 03:20:00,   62.43,   63.26,   61.29,   70.68,   71.15,   70.07
16/05/2013 03:25:00,   62.67,   63.66,   61.33,   71.27,   72.57,   69.71
16/05/2013 03:30:00,   61.14,   62.25,   59.80,   67.68,   68.43,   66.47
16/05/2013 03:35:00,   59.13,   61.64,   57.15,   66.28,   67.81,   65.08
16/05/2013 03:40:00,   57.85,   58.96,   54.62,   65.15,   66.72,   61.13
16/05/2013 03:45:00,   54.23,   58.03,   48.86,   59.08,   62.46,   53.85
16/05/2013 03:50:00,   54.63,   58.61,   48.16,   59.76,   64.33,   52.30
16/05/2013 03:55:00,   65.90,   68.05,   61.25,   71.07,   73.04,   67.34
16/05/2013 04:00:00,   69.73,   77.21,   52.76,   73.60,   81.07,   57.60
16/05/2013 04:05:00,   54.01,   59.22,   48.46,   57.00,   61.41,   52.55
