# noise_analysis run from DCC-NOISE-001011 at Wed May 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/05/2013 00:05:00,   55.46,   61.93,   48.25,   58.40,   63.94,   52.51
22/05/2013 00:10:00,   56.79,   62.14,   48.77,   60.65,   65.50,   52.82
22/05/2013 00:15:00,   57.81,   63.47,   48.72,   61.25,   66.56,   52.82
22/05/2013 00:20:00,   57.01,   62.02,   49.24,   60.84,   65.99,   53.39
22/05/2013 00:25:00,   57.10,   62.49,   49.00,   60.80,   64.53,   53.42
22/05/2013 00:30:00,   57.14,   63.89,   49.52,   60.75,   65.87,   53.77
22/05/2013 00:35:00,   56.78,   63.05,   48.61,   59.61,   65.16,   52.57
22/05/2013 00:40:00,   59.42,   64.21,   49.91,   62.52,   66.06,   53.81
22/05/2013 00:45:00,   57.11,   63.37,   48.96,   61.88,   68.48,   52.71
22/05/2013 00:50:00,   58.40,   64.44,   48.94,   61.84,   67.05,   53.17
22/05/2013 00:55:00,   63.76,   74.86,   49.39,   67.81,   78.77,   53.22
22/05/2013 01:00:00,   54.09,   60.21,   48.46,   57.55,   63.23,   52.94
22/05/2013 01:05:00,   57.53,   63.88,   49.12,   60.95,   65.85,   53.24
22/05/2013 01:10:00,   54.02,   60.24,   48.68,   57.43,   61.91,   52.84
22/05/2013 01:15:00,   54.48,   60.08,   48.18,   57.93,   63.11,   52.42
22/05/2013 01:20:00,   51.22,   55.63,   47.80,   55.22,   58.74,   52.16
22/05/2013 01:25:00,   53.88,   59.68,   48.58,   57.67,   62.57,   52.75
22/05/2013 01:30:00,   52.64,   58.15,   48.17,   56.09,   60.39,   52.40
22/05/2013 01:35:00,   52.27,   57.01,   48.05,   56.47,   60.88,   52.32
22/05/2013 01:40:00,   51.77,   55.98,   47.77,   55.95,   59.99,   52.04
