# noise_analysis run from DCC-NOISE-001011 at Fri May 24 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/05/2013 00:05:00,   53.62,   56.85,   49.79,   57.12,   60.04,   53.80
24/05/2013 00:10:00,   59.38,   63.66,   49.95,   62.64,   66.23,   53.74
24/05/2013 00:15:00,   58.82,   64.69,   50.07,   61.64,   66.97,   53.75
24/05/2013 00:20:00,   57.21,   63.35,   49.91,   60.11,   64.97,   53.75
24/05/2013 00:25:00,   58.91,   64.91,   50.19,   62.61,   68.73,   54.18
24/05/2013 00:30:00,   57.17,   62.70,   49.80,   60.73,   65.67,   53.82
24/05/2013 00:35:00,   59.34,   63.93,   50.60,   62.76,   66.90,   54.71
24/05/2013 00:40:00,   56.32,   61.85,   48.89,   59.22,   64.64,   52.86
24/05/2013 00:45:00,   59.29,   65.17,   50.00,   62.37,   66.80,   54.09
24/05/2013 00:50:00,   57.47,   63.52,   49.82,   60.91,   66.00,   53.73
24/05/2013 00:55:00,   64.13,   73.97,   51.45,   68.29,   78.43,   56.02
24/05/2013 01:00:00,   56.99,   63.80,   49.96,   60.81,   67.26,   53.74
24/05/2013 01:05:00,   55.05,   60.94,   50.12,   58.06,   62.75,   53.90
24/05/2013 01:10:00,   54.50,   59.31,   49.70,   58.66,   63.92,   53.64
24/05/2013 01:15:00,   55.21,   61.36,   49.46,   58.50,   63.79,   53.32
24/05/2013 01:20:00,   55.16,   60.82,   50.03,   58.87,   63.60,   54.13
24/05/2013 01:25:00,   55.51,   61.41,   50.45,   59.19,   64.65,   55.00
24/05/2013 01:30:00,   55.81,   61.09,   50.64,   59.85,   64.21,   54.77
24/05/2013 01:35:00,   54.63,   60.04,   50.14,   57.99,   62.68,   54.26
24/05/2013 01:40:00,   54.22,   59.22,   49.69,   57.11,   61.33,   53.47
24/05/2013 01:45:00,   56.39,   62.90,   49.59,   60.95,   66.09,   53.34
24/05/2013 01:50:00,   54.28,   59.57,   49.17,   57.69,   63.48,   52.91
24/05/2013 01:55:00,   54.11,   60.22,   48.92,   57.82,   63.23,   52.86
24/05/2013 02:00:00,   56.81,   62.44,   50.35,   60.55,   65.35,   54.45
24/05/2013 02:05:00,   54.32,   58.82,   49.61,   57.86,   62.05,   53.47
24/05/2013 02:10:00,   55.06,   60.15,   49.52,   59.28,   63.84,   53.42
24/05/2013 02:15:00,   53.59,   58.50,   49.54,   56.98,   60.80,   53.37
24/05/2013 02:20:00,   52.69,   57.79,   49.09,   56.58,   61.07,   52.85
24/05/2013 02:25:00,   55.31,   61.84,   48.87,   58.65,   65.43,   52.75
24/05/2013 02:30:00,   54.59,   61.45,   48.50,   57.34,   63.19,   52.57
24/05/2013 02:35:00,   54.42,   60.72,   48.77,   57.36,   63.17,   52.75
24/05/2013 02:40:00,   54.39,   60.75,   48.51,   57.48,   63.33,   52.46
24/05/2013 02:45:00,   53.50,   59.64,   48.38,   57.62,   62.89,   52.33
24/05/2013 02:50:00,   53.45,   59.73,   48.00,   56.72,   61.72,   52.18
24/05/2013 02:55:00,   54.00,   59.56,   49.35,   57.91,   63.07,   53.29
24/05/2013 03:00:00,   55.77,   61.55,   49.12,   58.95,   63.65,   52.93
24/05/2013 03:05:00,   53.75,   58.40,   49.06,   56.79,   61.13,   53.11
24/05/2013 03:10:00,   55.06,   62.19,   49.10,   58.48,   64.46,   53.17
24/05/2013 03:15:00,   53.96,   58.67,   48.91,   57.41,   61.97,   52.68
24/05/2013 03:20:00,   55.39,   61.06,   49.50,   58.46,   63.51,   53.56
24/05/2013 03:25:00,   56.04,   61.24,   50.56,   59.68,   64.14,   54.40
24/05/2013 03:30:00,   55.66,   62.97,   50.14,   59.28,   66.56,   53.93
24/05/2013 03:35:00,   56.78,   63.60,   49.85,   60.09,   65.73,   53.67
24/05/2013 03:40:00,   56.39,   62.36,   50.37,   59.83,   65.24,   54.10
24/05/2013 03:45:00,   54.32,   59.22,   49.89,   57.50,   61.58,   53.69
24/05/2013 03:50:00,   54.80,   59.58,   49.43,   58.40,   62.68,   53.36
24/05/2013 03:55:00,   54.61,   60.10,   50.04,   57.77,   62.45,   53.66
24/05/2013 04:00:00,   56.41,   63.03,   50.09,   60.01,   65.95,   53.92
24/05/2013 04:05:00,   54.82,   60.29,   49.87,   57.94,   62.77,   53.80
24/05/2013 04:10:00,   56.06,   62.91,   49.87,   58.81,   64.77,   53.44
24/05/2013 04:15:00,   55.27,   61.49,   49.39,   59.50,   65.39,   53.13
24/05/2013 04:20:00,   55.13,   60.47,   49.88,   58.82,   64.17,   53.89
24/05/2013 04:25:00,   55.54,   61.70,   49.87,   58.86,   64.21,   54.07
