# noise_analysis run from DCC-NOISE-001011 at Sun May 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/05/2013 00:05:00,   57.11,   62.63,   50.74,   60.36,   64.89,   55.01
26/05/2013 00:10:00,   59.16,   64.16,   49.71,   62.53,   67.15,   54.01
26/05/2013 00:15:00,   59.02,   63.55,   52.01,   62.09,   66.22,   55.82
26/05/2013 00:20:00,   57.82,   62.75,   51.43,   61.12,   65.39,   55.36
26/05/2013 00:25:00,   60.52,   66.08,   51.02,   63.99,   69.36,   54.94
26/05/2013 00:30:00,   61.06,   66.76,   50.79,   64.32,   69.39,   55.14
26/05/2013 00:35:00,   58.03,   63.34,   50.90,   60.82,   65.68,   54.67
26/05/2013 00:40:00,   59.80,   64.28,   50.95,   62.71,   66.31,   54.76
26/05/2013 00:45:00,   59.38,   65.22,   49.84,   62.32,   67.81,   53.77
26/05/2013 00:50:00,   60.05,   65.50,   50.56,   62.80,   67.40,   54.62
26/05/2013 00:55:00,   57.19,   62.86,   50.01,   59.78,   64.98,   54.14
26/05/2013 01:00:00,   58.27,   65.25,   49.88,   60.81,   67.23,   53.91
26/05/2013 01:05:00,   59.53,   65.78,   50.18,   62.33,   67.99,   54.42
26/05/2013 01:10:00,   58.25,   64.31,   50.26,   60.72,   66.29,   53.92
26/05/2013 01:15:00,   57.91,   63.81,   49.53,   60.45,   66.14,   53.93
26/05/2013 01:20:00,   55.52,   61.46,   48.96,   58.52,   63.43,   52.74
26/05/2013 01:25:00,   57.38,   63.66,   50.21,   60.32,   65.61,   54.43
26/05/2013 01:30:00,   56.47,   62.44,   50.47,   59.64,   64.50,   54.72
26/05/2013 01:35:00,   57.09,   63.16,   50.21,   60.06,   65.87,   54.27
26/05/2013 01:40:00,   56.31,   63.87,   49.19,   59.03,   65.98,   53.48
26/05/2013 01:45:00,   57.56,   63.48,   49.60,   60.18,   65.21,   53.47
26/05/2013 01:50:00,   56.63,   62.99,   49.69,   59.51,   64.99,   53.50
26/05/2013 01:55:00,   56.29,   62.52,   49.85,   59.23,   64.99,   53.63
26/05/2013 02:00:00,   56.20,   61.85,   49.69,   59.15,   65.14,   53.54
26/05/2013 02:05:00,   56.21,   61.69,   49.69,   59.15,   63.84,   53.79
26/05/2013 02:10:00,   56.47,   62.56,   49.70,   59.20,   64.90,   53.52
26/05/2013 02:15:00,   57.14,   63.83,   49.82,   59.77,   65.95,   53.68
26/05/2013 02:20:00,   58.69,   64.10,   49.69,   61.19,   66.14,   53.80
26/05/2013 02:25:00,   56.35,   61.56,   49.06,   58.97,   63.98,   53.14
26/05/2013 02:30:00,   56.04,   62.29,   48.97,   58.93,   64.37,   53.25
26/05/2013 02:35:00,   55.44,   59.88,   49.73,   58.61,   62.65,   53.77
26/05/2013 02:40:00,   55.62,   62.28,   48.86,   59.43,   65.99,   52.99
26/05/2013 02:45:00,   56.81,   62.79,   49.76,   59.47,   64.50,   53.61
26/05/2013 02:50:00,   55.19,   61.12,   49.62,   58.03,   63.21,   53.49
26/05/2013 02:55:00,   56.11,   61.98,   49.81,   58.84,   63.94,   53.51
26/05/2013 03:00:00,   55.60,   62.34,   48.98,   58.45,   64.79,   53.02
26/05/2013 03:05:00,   58.56,   64.74,   49.94,   61.20,   66.87,   54.03
26/05/2013 03:10:00,   56.99,   63.88,   49.05,   59.78,   65.99,   52.94
26/05/2013 03:15:00,   55.60,   60.95,   49.15,   58.55,   63.29,   53.33
26/05/2013 03:20:00,   57.48,   64.34,   49.16,   60.20,   66.32,   53.16
26/05/2013 03:25:00,   55.16,   61.58,   48.67,   58.04,   63.49,   52.83
26/05/2013 03:30:00,   56.78,   64.19,   49.16,   59.32,   66.16,   53.10
26/05/2013 03:35:00,   55.97,   64.01,   48.76,   58.82,   65.70,   52.95
26/05/2013 03:40:00,   56.92,   63.50,   49.39,   59.76,   66.36,   53.21
26/05/2013 03:45:00,   56.31,   63.21,   48.60,   59.19,   65.36,   52.64
26/05/2013 03:50:00,   56.38,   63.33,   48.68,   59.13,   65.32,   52.54
26/05/2013 03:55:00,   55.55,   61.39,   49.66,   58.67,   63.31,   53.56
26/05/2013 04:00:00,   57.37,   63.44,   49.83,   59.90,   65.46,   53.47
26/05/2013 04:05:00,   55.91,   62.79,   49.31,   58.53,   64.43,   53.09
26/05/2013 04:10:00,   58.00,   64.59,   48.90,   60.28,   66.46,   52.88
26/05/2013 04:15:00,   57.95,   63.41,   49.20,   59.83,   64.28,   53.14
26/05/2013 04:20:00,   56.87,   63.65,   49.56,   59.62,   65.61,   53.43
26/05/2013 04:25:00,   57.21,   63.36,   48.81,   59.79,   65.21,   52.96
26/05/2013 04:30:00,   56.30,   64.13,   48.95,   59.27,   66.43,   53.23
26/05/2013 04:35:00,   54.78,   60.48,   48.45,   57.48,   62.38,   52.50
26/05/2013 04:40:00,   55.46,   62.96,   48.60,   58.44,   65.16,   52.74
26/05/2013 04:45:00,   56.63,   63.07,   48.44,   59.61,   65.10,   52.87
26/05/2013 04:50:00,   56.60,   62.96,   48.21,   59.33,   64.85,   52.81
26/05/2013 04:55:00,   56.90,   63.72,   47.80,   59.59,   66.05,   52.17
26/05/2013 05:00:00,   56.35,   63.73,   48.42,   58.95,   65.40,   52.38
26/05/2013 05:05:00,   55.05,   61.55,   47.83,   57.66,   63.70,   51.77
26/05/2013 05:10:00,   54.28,   60.10,   48.33,   57.22,   62.46,   52.52
26/05/2013 05:15:00,   53.17,   58.29,   47.86,   56.20,   60.60,   52.21
26/05/2013 05:20:00,   55.01,   61.72,   47.77,   57.87,   63.86,   51.75
26/05/2013 05:25:00,   54.51,   61.25,   47.67,   57.41,   63.61,   52.14
26/05/2013 05:30:00,   54.63,   62.64,   47.70,   58.41,   65.64,   52.13
26/05/2013 05:35:00,   54.67,   61.80,   47.51,   57.72,   64.03,   51.87
26/05/2013 05:40:00,   56.09,   62.11,   47.73,   59.63,   65.70,   52.16
26/05/2013 05:45:00,   55.53,   62.24,   47.83,   58.90,   64.86,   52.33
26/05/2013 05:50:00,   55.38,   61.50,   47.77,   58.16,   63.65,   52.56
26/05/2013 05:55:00,   57.61,   62.81,   51.38,   59.43,   64.56,   54.38
26/05/2013 06:00:00,   55.78,   60.30,   52.46,   58.36,   62.67,   55.15
26/05/2013 06:05:00,   56.32,   60.67,   52.03,   58.50,   62.85,   54.05
26/05/2013 06:10:00,   54.92,   58.93,   51.81,   56.76,   60.90,   53.56
26/05/2013 06:15:00,   55.17,   58.91,   52.23,   57.22,   60.96,   54.28
26/05/2013 06:20:00,   55.12,   59.38,   52.32,   56.92,   61.50,   53.94
26/05/2013 06:25:00,   55.58,   60.09,   52.32,   58.36,   62.75,   53.96
26/05/2013 06:30:00,   56.16,   62.81,   52.47,   58.25,   64.69,   54.29
26/05/2013 06:35:00,   60.30,   65.74,   52.77,   63.60,   69.32,   54.70
26/05/2013 06:40:00,   57.14,   60.96,   52.85,   60.14,   63.70,   54.50
26/05/2013 06:45:00,   58.23,   63.24,   52.68,   61.64,   66.40,   54.60
26/05/2013 06:50:00,   56.19,   61.38,   52.69,   58.36,   63.57,   54.37
26/05/2013 06:55:00,   57.34,   63.05,   52.47,   59.80,   65.97,   54.03
26/05/2013 07:00:00,   57.50,   61.77,   52.98,   60.38,   65.24,   54.97
26/05/2013 07:05:00,   59.12,   64.60,   52.85,   62.22,   66.82,   54.48
26/05/2013 07:10:00,   57.36,   63.66,   52.57,   60.35,   66.43,   54.38
26/05/2013 07:15:00,   59.45,   65.29,   52.64,   61.96,   67.10,   54.28
26/05/2013 07:20:00,   56.68,   62.14,   52.70,   58.69,   63.70,   54.49
26/05/2013 07:25:00,   58.97,   63.21,   52.54,   61.84,   65.85,   54.55
26/05/2013 07:30:00,   55.70,   59.17,   52.75,   58.05,   61.51,   54.90
26/05/2013 07:35:00,   60.80,   66.29,   53.03,   64.41,   69.43,   55.47
26/05/2013 07:40:00,   57.60,   63.02,   52.72,   60.73,   65.59,   54.55
26/05/2013 07:45:00,   56.68,   61.54,   52.61,   58.95,   63.63,   54.30
26/05/2013 07:50:00,   57.73,   63.40,   52.54,   59.74,   65.79,   54.08
26/05/2013 07:55:00,   58.13,   62.41,   52.88,   61.00,   65.24,   54.41
26/05/2013 08:00:00,   59.74,   66.18,   52.86,   63.03,   68.37,   55.40
26/05/2013 08:05:00,   56.75,   60.93,   52.48,   59.18,   62.67,   54.46
26/05/2013 08:10:00,   59.66,   64.46,   52.76,   63.25,   66.70,   54.84
26/05/2013 08:15:00,   61.48,   67.46,   52.83,   65.29,   70.97,   55.08
26/05/2013 08:20:00,   59.60,   64.00,   52.43,   62.99,   67.65,   53.92
26/05/2013 08:25:00,   55.91,   60.45,   52.40,   58.28,   62.75,   53.93
26/05/2013 08:30:00,   59.51,   66.43,   52.71,   62.16,   68.39,   54.49
26/05/2013 08:35:00,   57.31,   62.44,   51.99,   59.97,   65.24,   53.59
