# noise_analysis run from DCC-NOISE-001011 at Fri Nov  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/11/2013 00:05:00,   59.59,   64.09,   53.71,   61.97,   66.15,   56.58
01/11/2013 00:10:00,   61.50,   67.06,   54.72,   64.03,   68.78,   57.41
01/11/2013 00:15:00,   60.09,   65.56,   54.27,   63.34,   67.73,   57.92
01/11/2013 00:20:00,   60.51,   64.77,   53.92,   63.17,   66.92,   56.84
01/11/2013 00:25:00,   58.47,   64.57,   53.24,   60.83,   66.35,   55.85
01/11/2013 00:30:00,   61.09,   65.88,   54.14,   64.07,   68.49,   57.14
01/11/2013 00:35:00,   68.16,   77.12,   55.28,   71.06,   80.14,   58.45
01/11/2013 00:40:00,   60.38,   65.30,   53.63,   63.03,   67.38,   56.98
01/11/2013 00:45:00,   61.11,   67.27,   53.64,   63.75,   69.01,   56.71
01/11/2013 00:50:00,   58.72,   65.47,   52.46,   61.53,   67.71,   55.27
01/11/2013 00:55:00,   58.33,   64.81,   52.78,   61.81,   66.91,   55.71
01/11/2013 01:00:00,   57.41,   62.96,   52.54,   60.04,   65.02,   55.31
01/11/2013 01:05:00,   58.21,   62.95,   53.07,   61.23,   65.07,   56.38
01/11/2013 01:10:00,   57.01,   62.45,   52.71,   59.56,   64.78,   55.63
01/11/2013 01:15:00,   57.80,   63.36,   53.24,   60.35,   65.02,   56.31
01/11/2013 01:20:00,   59.48,   66.05,   53.31,   63.07,   70.05,   56.76
01/11/2013 01:25:00,   66.65,   76.89,   53.21,   69.52,   79.59,   56.26
01/11/2013 01:30:00,   58.07,   65.22,   52.72,   60.54,   66.44,   55.91
01/11/2013 01:35:00,   57.40,   63.57,   52.49,   60.01,   65.58,   55.75
01/11/2013 01:40:00,   57.63,   63.47,   52.48,   60.00,   64.99,   55.54
01/11/2013 01:45:00,   57.87,   63.94,   52.86,   60.45,   65.92,   55.74
01/11/2013 01:50:00,   56.83,   61.97,   52.49,   59.76,   64.66,   55.71
01/11/2013 01:55:00,   58.00,   63.85,   52.36,   60.57,   65.68,   55.68
01/11/2013 02:00:00,   55.67,   57.29,   52.01,   58.49,   59.76,   55.50
01/11/2013 02:05:00,   57.53,   64.19,   52.55,   60.09,   65.76,   55.83
01/11/2013 02:10:00,   58.67,   64.72,   52.30,   61.44,   67.11,   55.36
01/11/2013 02:15:00,   56.55,   60.99,   52.08,   59.86,   64.78,   54.89
01/11/2013 02:20:00,   56.02,   60.26,   52.36,   58.96,   63.09,   55.26
01/11/2013 02:25:00,   57.28,   63.22,   52.14,   60.11,   65.28,   55.37
01/11/2013 02:30:00,   57.77,   64.21,   52.26,   60.48,   66.44,   55.39
01/11/2013 02:35:00,   57.71,   63.50,   52.14,   59.94,   65.43,   55.00
01/11/2013 02:40:00,   57.00,   61.76,   52.16,   59.62,   64.01,   54.98
01/11/2013 02:45:00,   55.37,   59.79,   51.70,   57.98,   62.20,   54.55
01/11/2013 02:50:00,   55.12,   59.27,   51.56,   57.60,   61.42,   54.52
01/11/2013 02:55:00,   57.29,   62.95,   51.71,   59.73,   65.37,   54.79
01/11/2013 03:00:00,   56.42,   61.89,   52.11,   58.88,   63.77,   54.85
01/11/2013 03:05:00,   58.14,   63.74,   52.66,   60.17,   65.20,   55.28
01/11/2013 03:10:00,   57.72,   63.59,   52.09,   59.87,   65.12,   54.91
01/11/2013 03:15:00,   55.79,   59.40,   52.09,   58.30,   61.65,   54.94
01/11/2013 03:20:00,   58.77,   64.48,   52.92,   61.03,   66.49,   55.75
01/11/2013 03:25:00,   57.18,   62.88,   51.98,   59.31,   64.14,   54.71
01/11/2013 03:30:00,   58.98,   64.03,   52.88,   60.83,   65.70,   55.84
01/11/2013 03:35:00,   58.52,   63.73,   53.00,   60.65,   65.30,   55.84
01/11/2013 03:40:00,   58.50,   64.52,   52.53,   61.01,   67.01,   55.71
01/11/2013 03:45:00,   58.07,   65.03,   52.22,   60.34,   67.02,   54.84
01/11/2013 03:50:00,   57.96,   63.80,   51.95,   60.24,   65.65,   54.81
01/11/2013 03:55:00,   57.58,   62.63,   52.02,   60.15,   64.57,   54.91
01/11/2013 04:00:00,   58.77,   64.32,   52.56,   62.01,   66.70,   55.41
01/11/2013 04:05:00,   58.49,   64.68,   51.73,   61.28,   67.16,   54.60
01/11/2013 04:10:00,   58.46,   65.15,   51.97,   60.61,   66.80,   54.94
01/11/2013 04:15:00,   57.61,   63.39,   51.71,   59.81,   64.96,   55.14
01/11/2013 04:20:00,   57.58,   62.93,   51.86,   59.83,   64.74,   54.61
01/11/2013 04:25:00,   57.59,   63.79,   51.82,   60.12,   65.55,   54.89
01/11/2013 04:30:00,   59.51,   66.26,   52.03,   62.45,   68.05,   55.38
01/11/2013 04:35:00,   60.39,   67.31,   51.90,   62.96,   70.14,   54.78
01/11/2013 04:40:00,   58.68,   66.08,   51.37,   61.14,   68.00,   54.71
01/11/2013 04:45:00,   58.37,   65.31,   51.95,   60.74,   66.73,   55.03
01/11/2013 04:50:00,   58.47,   65.39,   51.28,   61.64,   68.61,   54.30
01/11/2013 04:55:00,   58.09,   63.94,   51.51,   60.74,   65.70,   54.97
01/11/2013 05:00:00,   58.59,   64.87,   51.50,   61.28,   67.17,   54.56
01/11/2013 05:05:00,   62.10,   67.32,   51.47,   64.57,   69.17,   55.25
01/11/2013 05:10:00,   59.37,   65.29,   52.05,   62.28,   67.56,   55.85
01/11/2013 05:15:00,   58.93,   65.09,   51.88,   62.21,   67.62,   55.25
01/11/2013 05:20:00,   59.14,   64.97,   51.76,   62.99,   68.24,   55.23
01/11/2013 05:25:00,   57.34,   63.53,   51.66,   60.81,   65.82,   55.56
01/11/2013 05:30:00,   59.04,   66.47,   52.35,   62.55,   68.54,   56.26
01/11/2013 05:35:00,   60.60,   67.38,   52.38,   64.45,   71.23,   57.34
01/11/2013 05:40:00,   58.12,   63.91,   52.49,   61.44,   66.89,   56.91
01/11/2013 05:45:00,   60.05,   65.47,   52.86,   63.70,   68.33,   56.51
01/11/2013 05:50:00,   56.61,   61.43,   52.31,   60.00,   64.16,   56.02
01/11/2013 05:55:00,   60.89,   66.94,   52.88,   64.37,   69.91,   56.77
01/11/2013 06:00:00,   58.11,   64.23,   51.99,   61.21,   66.06,   55.74
01/11/2013 06:05:00,   61.55,   68.09,   52.57,   64.65,   70.05,   56.41
01/11/2013 06:10:00,   60.06,   66.03,   53.20,   63.41,   68.75,   57.25
01/11/2013 06:15:00,   59.80,   65.99,   53.07,   63.62,   68.93,   57.34
01/11/2013 06:20:00,   60.49,   66.60,   53.71,   63.60,   69.09,   57.80
01/11/2013 06:25:00,   61.67,   67.45,   53.81,   65.08,   69.59,   57.81
01/11/2013 06:30:00,   61.44,   68.05,   54.24,   65.04,   70.22,   58.69
01/11/2013 06:35:00,   60.07,   65.18,   53.79,   63.05,   67.49,   57.56
01/11/2013 06:40:00,   63.16,   69.67,   53.74,   66.38,   73.92,   57.77
01/11/2013 06:45:00,   63.56,   69.16,   55.22,   66.62,   71.25,   59.15
01/11/2013 06:50:00,   61.41,   66.57,   54.96,   64.97,   70.22,   59.25
01/11/2013 06:55:00,   61.86,   66.62,   55.27,   64.77,   68.42,   59.12
01/11/2013 07:00:00,   63.33,   68.16,   55.59,   66.99,   72.28,   59.45
01/11/2013 07:05:00,   65.19,   69.16,   56.78,   68.79,   72.99,   61.66
01/11/2013 07:10:00,   63.21,   67.94,   56.70,   67.14,   71.90,   61.62
01/11/2013 07:15:00,   63.73,   67.91,   55.79,   67.31,   71.69,   60.10
01/11/2013 07:20:00,   64.25,   68.77,   55.24,   66.87,   70.59,   59.23
01/11/2013 07:25:00,   63.92,   68.25,   55.73,   66.79,   70.58,   59.74
01/11/2013 07:30:00,   62.99,   67.74,   55.38,   66.31,   70.56,   59.52
01/11/2013 07:35:00,   64.64,   69.44,   55.56,   67.96,   72.41,   60.10
01/11/2013 07:40:00,   64.09,   68.91,   55.27,   67.72,   72.48,   59.83
01/11/2013 07:45:00,   63.04,   67.77,   55.14,   66.10,   70.16,   59.72
01/11/2013 07:50:00,   64.25,   68.98,   55.16,   66.88,   71.20,   59.49
01/11/2013 07:55:00,   63.22,   66.69,   56.00,   66.56,   69.31,   60.61
01/11/2013 08:00:00,   63.89,   68.58,   54.54,   66.59,   70.73,   58.64
01/11/2013 08:05:00,   63.39,   67.72,   55.37,   66.35,   69.88,   59.52
01/11/2013 08:10:00,   64.54,   68.33,   55.86,   67.95,   72.13,   60.51
01/11/2013 08:15:00,   63.41,   68.27,   54.46,   66.53,   70.53,   59.72
01/11/2013 08:20:00,   63.73,   68.36,   55.13,   67.10,   71.50,   59.93
01/11/2013 08:25:00,   63.71,   67.81,   53.75,   66.77,   70.72,   58.37
01/11/2013 08:30:00,   63.41,   67.03,   53.86,   66.33,   69.85,   58.36
01/11/2013 08:35:00,   64.38,   67.92,   54.72,   67.17,   70.33,   59.04
01/11/2013 08:40:00,   65.08,   67.96,   56.28,   67.86,   70.63,   60.61
01/11/2013 08:45:00,   64.03,   67.83,   55.47,   67.01,   71.12,   60.21
01/11/2013 08:50:00,   64.62,   68.58,   54.34,   67.56,   71.37,   59.02
01/11/2013 08:55:00,   63.71,   68.25,   56.12,   66.86,   70.69,   60.67
01/11/2013 09:00:00,   63.02,   67.06,   54.25,   66.08,   69.67,   58.36
01/11/2013 09:05:00,   63.23,   67.50,   55.11,   66.29,   70.81,   59.51
01/11/2013 09:10:00,   63.65,   67.27,   55.98,   66.66,   69.73,   60.38
01/11/2013 09:15:00,   65.13,   70.22,   55.36,   68.14,   72.77,   59.80
01/11/2013 09:20:00,   64.06,   69.05,   55.19,   67.36,   72.12,   59.53
01/11/2013 09:25:00,   62.48,   66.51,   55.16,   65.54,   69.19,   59.30
01/11/2013 09:30:00,   62.84,   67.43,   55.44,   65.83,   70.59,   59.28
01/11/2013 09:35:00,   62.65,   66.85,   54.75,   65.67,   69.76,   58.29
01/11/2013 09:40:00,   63.76,   67.89,   55.37,   66.79,   70.80,   59.37
01/11/2013 09:45:00,   64.61,   69.11,   56.38,   67.58,   71.95,   60.14
01/11/2013 09:50:00,   62.85,   67.34,   54.86,   65.90,   70.02,   59.32
01/11/2013 09:55:00,   62.85,   67.62,   56.26,   66.26,   70.79,   60.19
01/11/2013 10:00:00,   63.32,   66.90,   55.81,   66.81,   70.75,   59.68
01/11/2013 10:05:00,   64.62,   68.75,   56.58,   67.68,   71.70,   60.34
01/11/2013 10:10:00,   61.77,   66.99,   55.45,   65.15,   69.98,   59.15
01/11/2013 10:15:00,   62.69,   66.52,   54.82,   66.31,   70.14,   59.15
01/11/2013 10:20:00,   63.35,   67.66,   57.02,   66.63,   70.60,   60.92
01/11/2013 10:25:00,   64.16,   69.00,   55.12,   67.22,   71.44,   58.82
01/11/2013 10:30:00,   64.38,   68.34,   56.26,   67.74,   71.55,   60.27
01/11/2013 10:35:00,   63.78,   68.26,   56.05,   66.76,   70.67,   60.52
01/11/2013 10:40:00,   63.35,   67.01,   55.90,   66.77,   70.41,   59.60
01/11/2013 10:45:00,   61.79,   65.45,   56.12,   65.10,   68.61,   59.83
01/11/2013 10:50:00,   65.16,   69.75,   56.77,   68.86,   73.85,   60.66
01/11/2013 10:55:00,   62.99,   65.14,   55.14,   66.61,   69.85,   59.08
01/11/2013 11:00:00,   61.18,   64.39,   55.52,   64.56,   67.57,   59.14
01/11/2013 11:05:00,   64.12,   68.18,   56.53,   66.58,   69.72,   60.37
01/11/2013 11:10:00,   65.23,   68.30,   60.92,   68.91,   72.14,   64.96
01/11/2013 11:15:00,   64.36,   67.10,   56.96,   68.03,   70.35,   61.35
01/11/2013 11:20:00,   65.97,   69.43,   57.18,   69.52,   72.68,   62.12
01/11/2013 11:25:00,   64.31,   67.84,   54.97,   67.92,   71.28,   58.86
01/11/2013 11:30:00,   64.45,   67.76,   55.04,   67.87,   71.73,   58.88
01/11/2013 11:35:00,   67.17,   69.40,   63.59,   70.76,   72.88,   67.75
01/11/2013 11:40:00,   64.96,   67.81,   56.44,   68.73,   71.77,   60.08
01/11/2013 11:45:00,   68.22,   71.13,   60.47,   72.19,   74.98,   64.50
01/11/2013 11:50:00,   68.30,   70.90,   63.69,   72.14,   75.26,   67.88
01/11/2013 11:55:00,   66.11,   73.95,   55.95,   69.25,   74.08,   59.94
01/11/2013 12:00:00,   62.70,   67.29,   53.69,   65.54,   69.97,   57.69
