# noise_analysis run from DCC-NOISE-001011 at Sun Nov  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/11/2013 00:05:00,   59.24,   63.91,   54.39,   61.93,   66.18,   57.29
03/11/2013 00:10:00,   61.92,   66.16,   54.27,   64.16,   68.53,   57.11
03/11/2013 00:15:00,   60.02,   65.67,   53.79,   63.31,   68.34,   56.67
03/11/2013 00:20:00,   61.66,   67.10,   53.79,   64.58,   69.43,   56.74
03/11/2013 00:25:00,   61.12,   65.75,   54.10,   63.72,   68.06,   56.88
03/11/2013 00:30:00,   59.58,   65.19,   53.48,   62.88,   67.26,   56.58
03/11/2013 00:35:00,   60.15,   64.71,   54.58,   62.11,   66.23,   57.53
03/11/2013 00:40:00,   61.68,   66.13,   54.53,   64.36,   68.57,   57.72
03/11/2013 00:45:00,   61.06,   65.45,   54.51,   63.92,   67.60,   57.63
03/11/2013 00:50:00,   59.77,   64.82,   53.60,   62.74,   67.03,   56.58
03/11/2013 00:55:00,   60.93,   65.60,   54.18,   63.16,   67.27,   57.30
03/11/2013 01:00:00,   60.32,   65.36,   54.09,   62.81,   67.42,   57.13
03/11/2013 01:05:00,   61.54,   66.84,   54.35,   64.21,   68.53,   57.46
03/11/2013 01:10:00,   58.98,   65.17,   53.58,   61.35,   67.29,   56.63
03/11/2013 01:15:00,   59.06,   63.95,   54.05,   61.35,   65.81,   56.79
03/11/2013 01:20:00,   58.29,   63.24,   53.35,   60.83,   65.36,   56.15
03/11/2013 01:25:00,   58.14,   63.40,   53.43,   60.69,   65.33,   56.13
03/11/2013 01:30:00,   59.28,   65.38,   53.86,   61.85,   67.62,   56.69
03/11/2013 01:35:00,   58.46,   64.66,   53.83,   60.96,   66.51,   56.44
03/11/2013 01:40:00,   58.25,   63.05,   53.61,   60.67,   65.13,   56.29
03/11/2013 01:45:00,   59.07,   65.02,   53.50,   61.50,   66.63,   56.15
03/11/2013 01:50:00,   57.34,   61.12,   53.65,   60.08,   63.46,   56.62
03/11/2013 01:55:00,   58.28,   62.80,   53.86,   60.96,   65.13,   57.11
03/11/2013 02:00:00,   58.07,   62.64,   53.98,   60.89,   65.19,   56.86
03/11/2013 02:05:00,   59.07,   63.96,   54.16,   61.84,   65.91,   56.81
03/11/2013 02:10:00,   58.02,   63.61,   53.65,   60.52,   65.99,   56.50
03/11/2013 02:15:00,   59.99,   65.18,   53.55,   62.26,   66.82,   56.20
03/11/2013 02:20:00,   57.34,   61.93,   53.48,   59.64,   63.43,   56.18
03/11/2013 02:25:00,   57.04,   60.52,   53.51,   59.94,   63.52,   56.39
03/11/2013 02:30:00,   58.66,   64.11,   54.40,   61.08,   65.54,   57.28
03/11/2013 02:35:00,   58.34,   63.06,   54.28,   61.74,   65.95,   57.48
03/11/2013 02:40:00,   58.35,   63.71,   53.87,   61.12,   65.36,   57.27
03/11/2013 02:45:00,   58.68,   64.71,   54.24,   61.50,   66.50,   57.25
03/11/2013 02:50:00,   56.94,   61.14,   53.39,   59.75,   64.00,   56.09
03/11/2013 02:55:00,   57.79,   63.54,   53.83,   60.24,   65.02,   56.73
03/11/2013 03:00:00,   59.12,   64.64,   54.54,   62.69,   67.58,   57.61
03/11/2013 03:05:00,   60.23,   65.30,   54.37,   62.75,   67.92,   57.08
03/11/2013 03:10:00,   68.54,   70.27,   63.98,   71.93,   74.08,   67.21
03/11/2013 03:15:00,   66.63,   70.18,   59.43,   70.18,   73.01,   64.36
03/11/2013 03:20:00,   61.58,   66.70,   55.82,   65.39,   70.22,   59.56
03/11/2013 03:25:00,   58.05,   61.60,   54.28,   61.09,   64.25,   57.05
03/11/2013 03:30:00,   58.45,   62.60,   54.29,   60.91,   64.63,   56.98
03/11/2013 03:35:00,   58.38,   63.17,   53.83,   61.29,   65.49,   56.61
03/11/2013 03:40:00,   59.50,   65.26,   53.91,   61.72,   66.96,   56.89
03/11/2013 03:45:00,   59.54,   65.66,   53.74,   62.00,   67.39,   56.49
03/11/2013 03:50:00,   57.71,   62.02,   53.38,   60.22,   64.45,   56.17
03/11/2013 03:55:00,   59.27,   64.75,   54.14,   61.53,   66.52,   57.02
03/11/2013 04:00:00,   59.55,   65.94,   53.87,   61.75,   67.40,   56.47
03/11/2013 04:05:00,   59.12,   65.39,   53.25,   61.30,   67.04,   56.10
03/11/2013 04:10:00,   58.01,   64.41,   53.18,   60.13,   65.73,   55.86
03/11/2013 04:15:00,   57.63,   63.99,   53.02,   59.93,   65.30,   55.80
03/11/2013 04:20:00,   57.26,   63.46,   52.82,   59.89,   65.60,   55.71
03/11/2013 04:25:00,   57.94,   63.61,   52.63,   60.18,   65.40,   55.55
03/11/2013 04:30:00,   57.87,   64.09,   52.65,   60.37,   66.42,   55.58
03/11/2013 04:35:00,   59.37,   64.85,   52.81,   61.77,   66.54,   55.60
03/11/2013 04:40:00,   58.92,   64.52,   52.57,   61.58,   67.11,   55.38
03/11/2013 04:45:00,   57.26,   62.48,   52.59,   59.78,   64.22,   55.42
03/11/2013 04:50:00,   57.72,   63.42,   52.85,   60.18,   65.83,   55.70
03/11/2013 04:55:00,   58.11,   64.65,   52.70,   60.36,   66.10,   55.53
03/11/2013 05:00:00,   58.34,   63.84,   52.67,   60.54,   65.63,   55.49
03/11/2013 05:05:00,   57.03,   62.58,   52.10,   60.05,   65.79,   55.39
03/11/2013 05:10:00,   57.36,   63.27,   52.34,   59.84,   65.36,   55.10
03/11/2013 05:15:00,   57.04,   64.21,   51.83,   59.25,   65.83,   54.55
03/11/2013 05:20:00,   57.40,   63.38,   51.93,   60.13,   65.52,   54.85
03/11/2013 05:25:00,   58.30,   65.04,   52.20,   61.31,   67.36,   55.09
03/11/2013 05:30:00,   57.46,   63.05,   51.78,   60.39,   65.49,   54.83
03/11/2013 05:35:00,   57.21,   63.82,   51.84,   59.81,   65.97,   54.56
03/11/2013 05:40:00,   57.71,   64.82,   51.87,   60.04,   66.84,   54.60
03/11/2013 05:45:00,   55.72,   59.44,   52.05,   59.80,   65.27,   54.78
03/11/2013 05:50:00,   56.39,   60.70,   51.93,   59.56,   63.83,   54.77
03/11/2013 05:55:00,   55.41,   58.65,   52.22,   59.05,   62.71,   55.38
03/11/2013 06:00:00,   57.42,   64.09,   51.52,   60.94,   66.35,   54.83
03/11/2013 06:05:00,   55.78,   62.37,   51.47,   58.75,   64.20,   54.58
03/11/2013 06:10:00,   57.00,   62.33,   51.93,   60.60,   65.37,   54.88
03/11/2013 06:15:00,   56.10,   61.11,   51.91,   58.93,   63.38,   54.93
03/11/2013 06:20:00,   55.53,   60.73,   51.64,   59.34,   64.33,   54.74
03/11/2013 06:25:00,   56.03,   59.92,   52.46,   59.75,   63.96,   55.31
03/11/2013 06:30:00,   59.15,   65.11,   52.05,   61.42,   66.36,   55.53
03/11/2013 06:35:00,   58.68,   64.14,   54.12,   61.61,   66.52,   56.61
03/11/2013 06:40:00,   58.04,   64.88,   52.50,   61.37,   67.28,   55.86
